VariableSpecificUUID,AggregationInterval,AggregationIntervalUnitCV,AggregationStatisticCV,AmountUnitCV,MaximumAmountUnitCV,ReportYearStartMonth,ReportYearTypeCV,VariableCV,VariableSpecificCV
UTss_Withdrawal Commercial,1,Year,Cumulative,AF,AF,1,CalendarYear,Withdrawal,Commercial
UTss_Withdrawal Domestic,1,Year,Cumulative,AF,AF,1,CalendarYear,Withdrawal,Domestic
UTss_Withdrawal Industrial,1,Year,Cumulative,AF,AF,1,CalendarYear,Withdrawal,Industrial
UTss_Withdrawal Institutional,1,Year,Cumulative,AF,AF,1,CalendarYear,Withdrawal,Institutional
UTss_Withdrawal Total (DCII),1,Year,Cumulative,AF,AF,1,CalendarYear,Withdrawal,Total (DCII)
