GMD_ID,NAME,geometry
2,Equus Beds Gmd #2,"POLYGON ((-98.14224116191173 38.17362310356521, -98.03242953665443 38.1733564393063, -98.00050744096029 38.17319039016445, -97.7575551378464 38.17364462761884, -97.75761515515575 38.26053471918561, -97.77759119814669 38.26055930736652, -97.77790784551229 38.31870143345549, -97.7594542929632 38.3185908968797, -97.75899658299818 38.40561041588057, -97.77685203443514 38.40550790666703, -97.77761316565943 38.43505687961624, -97.79595512685142 38.43525965068284, -97.79520214575473 38.47861221644428, -97.7585533267947 38.47817827789362, -97.75842978458945 38.46389023227511, -97.64878794906451 38.46370411222244, -97.648575679955 38.40556138733848, -97.6300515247018 38.4056835565741, -97.62992733551215 38.39124165310011, -97.39037676525624 38.39167484212663, -97.39013041515148 38.30439067621478, -97.40842509407827 38.30431154255922, -97.40857086185434 38.27547752345902, -97.42692057481236 38.27550855557723, -97.42679364528084 38.26090121436562, -97.44466986413494 38.2608026561972, -97.44469817035741 38.24655848797966, -97.46347083059351 38.24643612833228, -97.46419304264083 38.05735579052464, -97.44624928270451 38.05739132237517, -97.4459466230926 38.04283407200325, -97.40902383156686 38.04292040623227, -97.40890451600336 37.99998408575334, -97.40867985661964 37.92678173717769, -97.33628341045397 37.92669478914297, -97.33570895636484 37.81062637051554, -97.33516785102688 37.7668696806881, -97.40828809025737 37.76696260917987, -97.40801846208808 37.7525003918513, -97.44436125164771 37.75215404525028, -97.44438124489034 37.7230624615724, -97.49883915251087 37.72231532561807, -97.49898123982655 37.73671001439129, -97.53508043251895 37.73615465823093, -97.69866230558119 37.73533020003873, -98.0001786272806 37.73357368342994, -98.24629146191302 37.73264416676847, -98.24573431258108 37.82483543942578, -98.25173395992795 37.8248068332353, -98.25219908652423 38.17350417871779, -98.21596905121692 38.1735379737155, -98.21594305268246 38.15873018682549, -98.14225710087345 38.15941323238235, -98.14224116191173 38.17362310356521))"
1,Western Kansas Gmd #1,"POLYGON ((-102.0018278130771 38.91550672543173, -101.9817394546631 38.91573523717176, -101.9823590898506 38.87201881944731, -101.9263083145719 38.87220444843791, -101.9268902832919 38.85787276593868, -101.8155058161894 38.85765159006513, -101.8159041176618 38.84323103534717, -101.7043791892605 38.84382139220958, -101.705132916972 38.81493545080843, -101.5567171135761 38.8156624331732, -101.5572086416852 38.78677973628947, -101.5204029584489 38.78680420421028, -101.5203225370082 38.75767415233105, -101.4833295987645 38.75791688482877, -101.4844881971567 38.7001286767167, -101.1285310798479 38.7003945968662, -101.1287121464705 38.68496945436016, -101.0009390705142 38.68492558698091, -100.9630376022425 38.68494481607092, -100.962607594694 38.64180736056386, -100.871371563445 38.6424523105037, -100.8715523695041 38.67112712526654, -100.7975635165791 38.67158914705749, -100.797353815524 38.64284524787433, -100.6322300976591 38.64227164474812, -100.6322300149802 38.65678171557727, -100.4859656248013 38.65629123974395, -100.4872220197144 38.61261954875761, -100.4507500282083 38.61213585258793, -100.4504085020332 38.59774167993089, -100.3587832539606 38.59674694846075, -100.3580782315921 38.56766072387381, -100.3027659460673 38.56722665253602, -100.3028630561033 38.55303771126682, -100.2473285299018 38.55234858077034, -100.2471264703742 38.50868172524241, -100.4310386025491 38.51087208519607, -100.4309040064359 38.49998371010707, -100.4306248251042 38.4821131409725, -100.5758543545186 38.48185905892734, -100.575497430039 38.46759188094251, -100.63093108056 38.46775465800744, -100.6312975080933 38.48195316496606, -100.8518121866469 38.48313833833635, -100.8503247896075 38.32297449801865, -100.8319314122091 38.32291155688546, -100.8309733174793 38.26455075533102, -101.0004453576798 38.26482901967933, -101.0702878726341 38.26462919248007, -101.0717451520333 38.35130858834032, -101.5672525427906 38.35020647962756, -101.5674499823257 38.4661174419295, -101.6785636361957 38.46564343170928, -101.678588705417 38.49472833343492, -101.8458392783832 38.49451485921901, -101.8459380169414 38.50019596167857, -101.8462951944682 38.61071943907626, -101.9757767656698 38.61045274224688, -101.9763411137787 38.69772900404791, -102.0005330025764 38.69771858150528, -102.04501805776 38.69709200630751, -102.0459189412497 38.91511612812218, -102.0018278130771 38.91550672543173))"
4,Northwest Kansas Gmd #4,"POLYGON ((-102.0003913637306 39.87233774206663, -101.2795892408074 39.87176771166759, -101.2799556883842 39.72772369886593, -100.9629146888974 39.726895885918, -100.9630266535619 39.71215655673382, -100.9636038795238 39.65490042192482, -100.5725007135448 39.65469059309333, -100.5665392321634 39.65449909891726, -100.5600691357162 39.6544305356241, -100.5567578638811 39.65439988182408, -100.5517683321959 39.65436181448956, -100.5451916001101 39.65430074490422, -100.538157120478 39.65423973294361, -100.5336099079697 39.65420926203905, -100.5288794791892 39.65418670074206, -100.5265298221976 39.65418637002665, -100.5227299661206 39.65418630488591, -100.5181064961777 39.65416350557393, -100.5163365755778 39.65416367594253, -100.5163364152311 39.6526604847424, -100.5163669738253 39.64966994160022, -100.5163975073651 39.64744995005742, -100.5163976125928 39.64474137176745, -100.5164278980962 39.6420939131711, -100.5164584216144 39.63949967718787, -100.5164891731257 39.63721853338109, -100.5164890303169 39.63492212155165, -100.5165195964274 39.63335038960707, -100.5165195914165 39.63064973094612, -100.5165501500106 39.62630881963941, -100.5165501374835 39.62500377951335, -100.5165194561238 39.62250922162065, -100.5165498593821 39.6172222215514, -100.5165802927052 39.61079039537753, -100.5166870987122 39.60257360356348, -100.5167175220138 39.5978889813565, -100.5168090374493 39.59180865793576, -100.5169006706395 39.58632282531863, -100.5168701646592 39.58095200144976, -100.5169158184021 39.57674039230636, -100.5169461765627 39.57105641112059, -100.5170447798283 39.56803360820487, -100.1616915386222 39.56711581564326, -100.162054476107 39.53795532793521, -100.0003673486243 39.53843576455495, -99.69547754052815 39.5388593632419, -99.69514586064929 39.50010833749172, -99.69541127971496 39.43764914917858, -100.0005662513241 39.43649904165079, -100.0507856466131 39.43632684170547, -100.0511383494619 39.30621811404905, -100.0005180595918 39.3057926262764, -99.94008036349419 39.30612475462522, -99.94071362816038 39.24816261031276, -100.0004288942392 39.24796482753521, -100.1635758391104 39.24799707979241, -100.1640270750729 39.13211084096406, -100.1479420453196 39.1321069224889, -100.149153092151 39.00169166184276, -100.4819346638757 39.00250492331776, -100.4813724829541 39.04622889989105, -101.0003200391326 39.04665409202426, -101.1652596838723 39.04759857481332, -101.1643581414574 39.1053043822036, -101.4784926220352 39.10664052710513, -101.4781001381453 39.1347600308049, -101.9233677645582 39.13363190081157, -101.9237058908799 39.08996009457587, -102.0002812330328 39.0893843418001, -102.0466001796767 39.08933877324159, -102.0496549492319 39.49993961757315, -102.0514726682132 39.87218890264694, -102.0003913637306 39.87233774206663))"
5,Big Bend Gmd #5,"POLYGON ((-98.47963527995307 38.52198169628866, -98.47953335450205 38.30399589986661, -98.47953329938287 38.30382380264359, -98.41264994469367 38.30391150232612, -98.38731570013431 38.30393461230989, -98.27517308325605 38.30396994623237, -98.27548123474617 38.3476173822587, -98.27525372517363 38.34761742986154, -98.21998301958064 38.34767646755216, -98.21997549831303 38.36185957871163, -98.16481517897063 38.36182180701655, -98.16486204784172 38.34750115838199, -98.14653633679666 38.3473066176166, -98.14658673079202 38.33296304941018, -98.12788792278843 38.33304231334745, -98.12811560774031 38.31849176246527, -98.10915918254551 38.31863790605422, -98.10971064779051 38.3041548712003, -98.09087363085962 38.3041370977586, -98.09111428385972 38.26060231037621, -98.03254646705909 38.26072086429241, -98.03242953665443 38.1733564393063, -98.14224116191173 38.17362310356521, -98.16078541814062 38.17366458829105, -98.16090090542411 38.17368901612519, -98.25246578041794 38.17322346419911, -98.25210250219601 38.00006217214366, -98.25169090947645 37.82482742047404, -98.24569958605065 37.82484511875316, -98.24627665166594 37.73267454120634, -98.46476853017532 37.73248202481932, -98.46471520734519 37.49990415520807, -98.4647563438179 37.47122523155832, -99.00050282380647 37.47064104303712, -99.01217562299911 37.47052175252787, -99.01256363972703 37.50002232579516, -99.01406707144747 37.55684013757042, -99.55720175111691 37.55632174636014, -99.56013382529841 37.82558513931798, -99.57039468816311 37.82564745409638, -99.56976193710773 37.91289319488453, -99.44137090709995 37.91366254137756, -99.44117174133117 37.92801922545164, -99.42305258704062 37.92808600989753, -99.42328055009398 37.94234120947442, -99.40468828001758 37.94223241416495, -99.40490334016368 37.95703804925972, -99.38651559244164 37.95708215465373, -99.38639633951357 37.97155145480144, -99.36812887945752 37.97181897841892, -99.3680854455157 37.98608002814905, -99.34983485444502 37.98611516163805, -99.35012239886487 38.00100652715633, -99.35018251889642 38.01532114023667, -99.33231650461346 38.01539359695067, -99.33245066728927 38.02978621875349, -99.31406440778602 38.02959689176475, -99.31412027111082 38.05847132828245, -99.27753492443281 38.0581553674017, -99.27753357902287 38.07293674753635, -99.26800350174915 38.07285726562765, -99.25878733592361 38.07277990079791, -99.25879420077138 38.08705566234767, -99.25879216386579 38.08710210279207, -99.24050700051993 38.08692581400317, -99.240673708587 38.10164063517982, -99.22322402477079 38.10158747019113, -99.22321703465207 38.11611639680279, -99.2049769513082 38.11618743043903, -99.20505135723823 38.13080937072675, -99.35013155867637 38.13145794600769, -99.35016838833388 38.1465149447684, -99.5697007823382 38.14607486042519, -99.57055304566904 38.24769051640465, -99.35129397031619 38.24800167439753, -99.35053721605863 38.2044972025837, -99.11389713543196 38.20344861713448, -99.11403932296446 38.23264741770794, -99.07726563643268 38.23279445823687, -99.0774390314628 38.24707441135251, -99.05896223864812 38.24709632875692, -99.05927347681438 38.2615390013126, -99.03244380534812 38.26143099521005, -99.03260471086503 38.50015723792421, -99.03320180730424 38.5218522162408, -99.00071044035309 38.52264605069786, -98.51763334966068 38.5216217427577, -98.47963527995307 38.52198169628866))"
3,Southwest Kansas Gmd #3,"POLYGON ((-101.0702878726341 38.26462919248007, -101.0004453576798 38.26482901967933, -100.8309733174793 38.26455075533102, -100.6288175267277 38.26389324823162, -100.6276368355517 38.08934407186928, -100.2254494784598 38.08849970561874, -100.2264776622831 37.99996151443446, -100.2270105924392 37.91385712724053, -100.0005870838821 37.91308948944328, -99.56981246890126 37.91296932454287, -99.56976193710773 37.91289319488453, -99.57039468816311 37.82564745409638, -99.56013382529841 37.82558513931798, -99.55720175111691 37.55632174636014, -99.55649971771322 37.50013910587461, -99.55620773369111 37.46813317385386, -99.57426715629015 37.46771833912214, -99.59248688310561 37.46762706921777, -99.61067589599105 37.46749731357369, -99.62884967342427 37.46739823678405, -99.64709978094908 37.46726107762714, -99.66515146932005 37.46714667268475, -99.68347794702333 37.46720001806352, -99.70171276147136 37.46723828833706, -99.71981016872616 37.46723833092909, -99.7381517691378 37.46733760314163, -99.75637171893561 37.46734521961491, -99.77454549135791 37.46749768187021, -99.79345142484601 37.46775706037107, -99.81237304225635 37.46820726660638, -99.83129439910317 37.46879472219388, -99.85015481163555 37.46929074001355, -99.8689847332202 37.46969491418787, -99.88816576671258 37.47016028572386, -99.9065074347705 37.47058764253904, -99.9247881234383 37.47103786380711, -99.94309909760955 37.47146488239082, -99.96122712859932 37.47190756234784, -99.97966017429485 37.47239567056022, -99.99778836062058 37.47274678497348, -100.107334499166 37.47471541285034, -100.1074263177572 37.38711589188335, -100.110066212494 37.38710083181053, -100.1098222197706 37.37262040259219, -100.2000653084185 37.37255184180435, -100.199836483501 37.31428653679609, -100.3083603560227 37.3144921790726, -100.3081620020096 37.25651692891398, -100.3624236927394 37.25643234597243, -100.3612797209825 37.00142340347116, -101.0005452236766 36.99775678306491, -101.5557121900619 36.99534031406796, -102.0008438348647 36.99323649629355, -102.0423767875483 36.99318630022617, -102.0420289527284 37.49988000296997, -102.0433930480829 37.87075133020647, -102.0006119107441 37.8705011315605, -101.9815300542583 37.87046528903795, -101.9815370619149 37.84143569192872, -101.9448676233575 37.84125720839285, -101.944973577522 37.82697339192134, -101.8882584328017 37.82676975648536, -101.8885090974555 37.81074541799921, -101.8518291211063 37.81042215632772, -101.8517294104456 37.79588245140394, -101.7979062857752 37.79536199071765, -101.7979844748877 37.7664474875412, -101.5272529290127 37.76558885042459, -101.5271480972758 37.8277342425389, -101.5426089119358 37.82769735776208, -101.5412958394368 38.00005961411097, -101.5419530133154 38.17612830447752, -101.2126238536931 38.17721796626921, -101.1213752652846 38.17731462031878, -101.1151259588765 38.17724528535666, -101.1063979513716 38.17733684588967, -101.1030868549158 38.17742834629286, -101.1030678613353 38.1834479609085, -101.1030639027735 38.18458477718912, -101.1031185234105 38.19261858573515, -101.103120487659 38.19293881835512, -101.1032064861622 38.20080477886847, -101.1032167934554 38.20175886492802, -101.1032860657822 38.20965497815763, -101.1032989887327 38.2111348764783, -101.103296663704 38.21836756230385, -101.1033011283605 38.21958062599725, -101.10330952903 38.22622572094269, -101.1033192024523 38.22785863020562, -101.1033372314466 38.2340687919492, -101.1033482653114 38.23506817347675, -101.1033652144701 38.23945547762486, -101.1033911430501 38.24117180731474, -101.1033701250911 38.24366637021836, -101.1033649764553 38.24609965558699, -101.1033093160693 38.24800378646569, -101.1032067467257 38.25003735730542, -101.1032068469424 38.25253987741957, -101.1032675382095 38.257178387392, -101.1032981018145 38.26156533577057, -101.1032677211051 38.26452001384132, -101.0702878726341 38.26462919248007))"
