SiteUUID,PODorPOUSite,Longitude,Latitude
KSwr_S10103,POD,-98.85123,38.43032
KSwr_S10104,POD,-98.15103,37.43741
KSwr_S10105,POD,-101.8236,39.47128
KSwr_S10106,POD,-101.1895,37.51116
KSwr_S10107,POD,-100.4108,37.76265
KSwr_S10108,POD,-100.819,39.06158
KSwr_S10109,POD,-101.3201,37.16306
KSwr_S10109,POD,-101.3201,37.16306
KSwr_S1011,POD,-96.39001,39.42587
KSwr_S10110,POD,-100.6459,37.43497
KSwr_S10111,POD,-100.6398,37.42485
KSwr_S10112,POD,-100.6462,37.43861
KSwr_S10113,POD,-100.6402,37.43135
KSwr_S10114,POD,-100.6727,37.51101
KSwr_S10115,POD,-100.6608,37.51864
KSwr_S10116,POD,-100.7429,37.23506
KSwr_S10117,POD,-100.5455,39.43004
KSwr_S10118,POD,-99.49692,38.48488
KSwr_S10119,POD,-99.52508,37.66031
KSwr_S1012,POD,-96.39705,39.41856
KSwr_S10120,POD,-99.42006,38.22524
KSwr_S10121,POD,-100.5058,39.2837
KSwr_S10121,POD,-100.5058,39.2837
KSwr_S10122,POD,-101.5706,39.72998
KSwr_S10123,POD,-102.0232,39.41872
KSwr_S10124,POD,-99.14094,38.15965
KSwr_S10125,POD,-102.0253,38.89388
KSwr_S10126,POD,-101.5167,37.43773
KSwr_S10127,POD,-101.1994,37.56137
KSwr_S10128,POD,-100.9927,37.6724
KSwr_S10129,POD,-101.48527,38.50622
KSwr_S1013,POD,-96.39118,39.42313
KSwr_S10130,POD,-101.48538,38.51061
KSwr_S10131,POD,-99.2002,38.14163
KSwr_S10132,POD,-99.21417,38.14342
KSwr_S10133,POD,-100.6225,37.62046
KSwr_S10134,POD,-100.6931,37.93927
KSwr_S10135,POD,-100.4573,37.75825
KSwr_S10136,POD,-98.85545,37.78808
KSwr_S10137,POD,-98.8447,37.79525
KSwr_S10138,POD,-100.5938,39.43469
KSwr_S10139,POD,-100.4583,37.17502
KSwr_S10139,POD,-100.4583,37.17502
KSwr_S1014,POD,-96.39471,39.41948
KSwr_S10140,POD,-100.4533,37.17286
KSwr_S10141,POD,-100.4526,37.16998
KSwr_S10142,POD,-100.0302,37.55521
KSwr_S10143,POD,-101.8949,39.24192
KSwr_S10144,POD,-98.95374,38.18545
KSwr_S10145,POD,-100.4075,38.56184
KSwr_S10146,POD,-101.8423,37.64273
KSwr_S10147,POD,-101.8167,37.59281
KSwr_S10148,POD,-100.8941,39.11763
KSwr_S10149,POD,-101.3318,38.63013
KSwr_S1015,POD,-97.87962,39.92089
KSwr_S1015,POD,-97.87962,39.92089
KSwr_S10150,POD,-98.38735,37.7142
KSwr_S10151,POD,-99.71151,38.1422
KSwr_S10152,POD,-99.63152,37.56324
KSwr_S10153,POD,-101.3583,38.63425
KSwr_S10154,POD,-101.6723,38.65461
KSwr_S10155,POD,-101.5797,37.47536
KSwr_S10155,POD,-101.5797,37.47536
KSwr_S10156,POD,-100.5848,37.58399
KSwr_S10157,POD,-101.7906,39.52117
KSwr_S10158,POD,-100.7795,37.63917
KSwr_S10159,POD,-99.47984,37.1597
KSwr_S1016,POD,-99.03638,37.96095
KSwr_S1016,POD,-99.03638,37.96095
KSwr_S10160,POD,-99.70692,38.03931
KSwr_S10161,POD,-100.9376,39.07925
KSwr_S10162,POD,-100.9385,39.0791
KSwr_S10163,POD,-100.3473,37.69736
KSwr_S10164,POD,-97.41289,37.77761
KSwr_S10165,POD,-96.57583,37.1428
KSwr_S10166,POD,-98.83568,38.4234
KSwr_S10166,POD,-98.83568,38.4234
KSwr_S10167,POD,-98.83909,38.4233
KSwr_S10167,POD,-98.83909,38.4233
KSwr_S10168,POD,-98.90343,38.369
KSwr_S10169,POD,-98.8949,38.36961
KSwr_S1017,POD,-101.7856,38.74166
KSwr_S10170,POD,-98.89455,38.36934
KSwr_S10171,POD,-98.89525,38.36987
KSwr_S10172,POD,-98.85767,38.4195
KSwr_S10172,POD,-98.85767,38.4195
KSwr_S10173,POD,-101.807,37.58833
KSwr_S10174,POD,-101.6691,38.666
KSwr_S10175,POD,-101.7333,38.67646
KSwr_S10176,POD,-101.7194,38.68074
KSwr_S10177,POD,-101.724,38.67649
KSwr_S10178,POD,-100.6688,38.11509
KSwr_S10179,POD,-97.54201,38.03725
KSwr_S1018,POD,-101.3425,38.47383
KSwr_S10180,POD,-99.13862,38.16856
KSwr_S10181,POD,-99.13873,38.16845
KSwr_S10182,POD,-99.13893,38.16823
KSwr_S10183,POD,-99.13851,38.16867
KSwr_S10184,POD,-99.13882,38.16834
KSwr_S10185,POD,-99.13873,38.16845
KSwr_S10186,POD,-101.5618,37.38883
KSwr_S10187,POD,-99.39182,38.14263
KSwr_S10187,POD,-99.39182,38.14263
KSwr_S10188,POD,-98.78868,38.40895
KSwr_S10189,POD,-100.4153,37.49686
KSwr_S10189,POD,-100.4153,37.49686
KSwr_S1019,POD,-101.8401,37.5927
KSwr_S1019,POD,-101.8401,37.5927
KSwr_S10190,POD,-101.3311,37.87449
KSwr_S10191,POD,-100.8129,38.57519
KSwr_S10192,POD,-100.8184,38.57276
KSwr_S10193,POD,-101.3396,37.52053
KSwr_S10194,POD,-102.0417,37.41053
KSwr_S10195,POD,-100.5932,37.56575
KSwr_S10196,POD,-101.1372,38.44379
KSwr_S10197,POD,-101.2374,37.90336
KSwr_S10197,POD,-101.2374,37.90336
KSwr_S10198,POD,-100.8798,37.7748
KSwr_S10199,POD,-100.8724,37.77328
KSwr_S102,POD,-99.35793,38.45094
KSwr_S102,POD,-99.35793,38.45094
KSwr_S1020,POD,-101.2756,37.30077
KSwr_S1020,POD,-101.2756,37.30077
KSwr_S10200,POD,-100.8797,37.76606
KSwr_S10201,POD,-99.841,38.99468
KSwr_S10202,POD,-98.84387,37.98152
KSwr_S10203,POD,-97.19514,38.87545
KSwr_S10204,POD,-97.19563,38.87869
KSwr_S10205,POD,-99.29413,38.14555
KSwr_S10206,POD,-99.29573,38.15261
KSwr_S10206,POD,-99.29573,38.15261
KSwr_S10207,POD,-99.2821,38.1596
KSwr_S10208,POD,-99.2821,38.15373
KSwr_S10209,POD,-101.6539,39.39501
KSwr_S1021,POD,-95.1902,38.97571
KSwr_S10210,POD,-101.6326,39.40424
KSwr_S10211,POD,-99.38548,37.6197
KSwr_S10212,POD,-101.8551,39.33428
KSwr_S10213,POD,-100.3901,38.56979
KSwr_S10214,POD,-100.3903,38.57904
KSwr_S10215,POD,-100.3908,38.58267
KSwr_S10216,POD,-100.3886,38.58284
KSwr_S10217,POD,-98.93706,38.44879
KSwr_S10217,POD,-98.93706,38.44879
KSwr_S10218,POD,-102.0424,38.79483
KSwr_S10219,POD,-100.5347,39.35019
KSwr_S1022,POD,-99.03382,39.71364
KSwr_S10220,POD,-100.5303,39.35012
KSwr_S10221,POD,-100.5249,39.34604
KSwr_S10221,POD,-100.5249,39.34604
KSwr_S10222,POD,-100.4079,38.53201
KSwr_S10223,POD,-100.4113,38.53241
KSwr_S10224,POD,-101.7538,39.35435
KSwr_S10225,POD,-101.9757,39.09803
KSwr_S10226,POD,-101.7917,39.32895
KSwr_S10227,POD,-101.801,39.31507
KSwr_S10228,POD,-101.7705,38.80739
KSwr_S10229,POD,-97.66268,37.62506
KSwr_S1023,POD,-101.1931,37.64497
KSwr_S10230,POD,-101.5343,37.54108
KSwr_S10231,POD,-97.75891,39.62098
KSwr_S10232,POD,-101.6053,39.60829
KSwr_S10233,POD,-101.7917,39.8028
KSwr_S10234,POD,-101.7918,39.80276
KSwr_S10235,POD,-101.7919,39.80205
KSwr_S10236,POD,-101.7917,39.80246
KSwr_S10237,POD,-101.9871,39.20552
KSwr_S10238,POD,-101.8825,39.24908
KSwr_S10239,POD,-99.8021,38.06208
KSwr_S10239,POD,-99.8021,38.06208
KSwr_S1024,POD,-101.4144,38.45136
KSwr_S10240,POD,-99.80601,38.06567
KSwr_S10241,POD,-99.79351,38.06176
KSwr_S10241,POD,-99.79351,38.06176
KSwr_S10242,POD,-95.62575,37.52703
KSwr_S10243,POD,-95.62575,37.52885
KSwr_S10244,POD,-95.63034,37.52705
KSwr_S10245,POD,-101.4562,37.17605
KSwr_S10246,POD,-101.0303,37.47873
KSwr_S10247,POD,-101.0444,37.54707
KSwr_S10247,POD,-101.0444,37.54707
KSwr_S10248,POD,-100.8797,38.56033
KSwr_S10249,POD,-100.5934,39.04539
KSwr_S1025,POD,-101.3863,38.63821
