index,STATE,COUNTY,RESERVOIRNAME,Amount,ReportYearCV,BeneficialUseCV,TheJoin,AFFGEOID
13,AZ,Apache,Unspecified,,1984,IrrigatedAcreage,AZApache,0500000US04001
14,AZ,Apache,Unspecified,,1985,IrrigatedAcreage,AZApache,0500000US04001
15,AZ,Apache,Unspecified,3208.4,1986,IrrigatedAcreage,AZApache,0500000US04001
16,AZ,Apache,Unspecified,3208.4,1987,IrrigatedAcreage,AZApache,0500000US04001
17,AZ,Apache,Unspecified,3208.4,1988,IrrigatedAcreage,AZApache,0500000US04001
18,AZ,Apache,Unspecified,3208.4,1989,IrrigatedAcreage,AZApache,0500000US04001
19,AZ,Apache,Unspecified,3208.4,1990,IrrigatedAcreage,AZApache,0500000US04001
20,AZ,Apache,Unspecified,3856.9,1991,IrrigatedAcreage,AZApache,0500000US04001
21,AZ,Apache,Unspecified,3499.9,1992,IrrigatedAcreage,AZApache,0500000US04001
22,AZ,Apache,Unspecified,3499.9,1993,IrrigatedAcreage,AZApache,0500000US04001
23,AZ,Apache,Unspecified,3499.9,1994,IrrigatedAcreage,AZApache,0500000US04001
24,AZ,Apache,Unspecified,3499.9,1995,IrrigatedAcreage,AZApache,0500000US04001
25,AZ,Apache,Unspecified,312.83,1996,IrrigatedAcreage,AZApache,0500000US04001
26,AZ,Apache,Unspecified,312.83,1997,IrrigatedAcreage,AZApache,0500000US04001
27,AZ,Apache,Unspecified,312.83,1998,IrrigatedAcreage,AZApache,0500000US04001
28,AZ,Apache,Unspecified,312.83,1999,IrrigatedAcreage,AZApache,0500000US04001
29,AZ,Apache,Unspecified,312.83,2000,IrrigatedAcreage,AZApache,0500000US04001
30,AZ,Apache,Unspecified,312.83,2001,IrrigatedAcreage,AZApache,0500000US04001
31,AZ,Apache,Unspecified,312.83,2002,IrrigatedAcreage,AZApache,0500000US04001
32,AZ,Apache,Unspecified,312.83,2003,IrrigatedAcreage,AZApache,0500000US04001
33,AZ,Apache,Unspecified,312.83,2004,IrrigatedAcreage,AZApache,0500000US04001
34,AZ,Apache,Unspecified,312.83,2005,IrrigatedAcreage,AZApache,0500000US04001
35,AZ,Apache,Unspecified,397.33,2006,IrrigatedAcreage,AZApache,0500000US04001
36,AZ,Apache,Unspecified,506.23,2007,IrrigatedAcreage,AZApache,0500000US04001
37,AZ,Apache,Unspecified,526.23,2008,IrrigatedAcreage,AZApache,0500000US04001
38,AZ,Apache,Unspecified,546.23,2009,IrrigatedAcreage,AZApache,0500000US04001
39,AZ,Apache,Unspecified,566.23,2010,IrrigatedAcreage,AZApache,0500000US04001
40,AZ,Apache,Unspecified,586.23,2011,IrrigatedAcreage,AZApache,0500000US04001
41,AZ,Apache,Unspecified,606.23,2012,IrrigatedAcreage,AZApache,0500000US04001
42,AZ,Apache,Unspecified,617.83,2013,IrrigatedAcreage,AZApache,0500000US04001
43,AZ,Apache,Unspecified,629.4300000000001,2014,IrrigatedAcreage,AZApache,0500000US04001
44,AZ,Apache,Unspecified,642.83,2015,IrrigatedAcreage,AZApache,0500000US04001
45,AZ,Apache,Unspecified,659.33,2016,IrrigatedAcreage,AZApache,0500000US04001
46,AZ,Apache,Unspecified,676.63,2017,IrrigatedAcreage,AZApache,0500000US04001
47,AZ,Apache,Unspecified,694.82,2018,IrrigatedAcreage,AZApache,0500000US04001
0,AZ,Apache,Unspecified,0.0,1971,LivestockDist,AZApache,0500000US04001
1,AZ,Apache,Unspecified,0.0,1972,LivestockDist,AZApache,0500000US04001
2,AZ,Apache,Unspecified,0.0,1973,LivestockDist,AZApache,0500000US04001
3,AZ,Apache,Unspecified,0.0,1974,LivestockDist,AZApache,0500000US04001
4,AZ,Apache,Unspecified,0.0,1975,LivestockDist,AZApache,0500000US04001
5,AZ,Apache,Unspecified,0.0,1976,LivestockDist,AZApache,0500000US04001
6,AZ,Apache,Unspecified,0.0,1977,LivestockDist,AZApache,0500000US04001
7,AZ,Apache,Unspecified,0.0,1978,LivestockDist,AZApache,0500000US04001
8,AZ,Apache,Unspecified,0.0,1979,LivestockDist,AZApache,0500000US04001
9,AZ,Apache,Unspecified,0.0,1980,LivestockDist,AZApache,0500000US04001
10,AZ,Apache,Unspecified,36.205457883295765,1981,LivestockDist,AZApache,0500000US04001
11,AZ,Apache,Unspecified,36.205457883295765,1982,LivestockDist,AZApache,0500000US04001
12,AZ,Apache,Unspecified,36.205457883295765,1983,LivestockDist,AZApache,0500000US04001
