MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,83986.0,Artificial,,,,06/15/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,0.0,Artificial,,,,06/15/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,79780.0,Artificial,,,,06/15/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,0.0,Artificial,,,,06/15/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,81576.0,Artificial,,,,06/15/2020,,,,,,,,,,1988,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,0.0,Artificial,,,,06/15/2020,,,,,,,,,,1988,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,75902.0,Artificial,,,,06/15/2020,,,,,,,,,,1989,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,0.0,Artificial,,,,06/15/2020,,,,,,,,,,1989,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,75802.0,Artificial,,,,06/15/2020,,,,,,,,,,1990,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,14.81,Artificial,,,,06/15/2020,,,,,,,,,,1990,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,76132.0,Artificial,,,,06/15/2020,,,,,,,,,,1991,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,1.24,Artificial,,,,06/15/2020,,,,,,,,,,1991,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,83055.0,Artificial,,,,06/15/2020,,,,,,,,,,1992,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,4137.45,Artificial,,,,06/15/2020,,,,,,,,,,1992,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,78354.0,Artificial,,,,06/15/2020,,,,,,,,,,1993,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,6335.0,Artificial,,,,06/15/2020,,,,,,,,,,1993,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,85454.0,Artificial,,,,06/15/2020,,,,,,,,,,1994,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,2616.5,Artificial,,,,06/15/2020,,,,,,,,,,1994,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,84499.0,Artificial,,,,06/15/2020,,,,,,,,,,1995,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,5946.37,Artificial,,,,06/15/2020,,,,,,,,,,1995,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,83719.0,Artificial,,,,06/15/2020,,,,,,,,,,1996,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,8952.7165,Artificial,,,,06/15/2020,,,,,,,,,,1996,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,79324.0,Artificial,,,,06/15/2020,,,,,,,,,,1997,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,15251.27645,Artificial,,,,06/15/2020,,,,,,,,,,1997,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73864.0,Artificial,,,,06/15/2020,,,,,,,,,,1998,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,8704.615,Artificial,,,,06/15/2020,,,,,,,,,,1998,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,70213.0,Artificial,,,,06/15/2020,,,,,,,,,,1999,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,14237.407,Artificial,,,,06/15/2020,,,,,,,,,,1999,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,72451.0,Artificial,,,,06/15/2020,,,,,,,,,,2000,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,14421.31325,Artificial,,,,06/15/2020,,,,,,,,,,2000,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73507.0,Artificial,,,,06/15/2020,,,,,,,,,,2001,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,14933.4125,Artificial,,,,06/15/2020,,,,,,,,,,2001,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73507.0,Artificial,,,,06/15/2020,,,,,,,,,,2002,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,13650.0865,Artificial,,,,06/15/2020,,,,,,,,,,2002,,,
