WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
OR_1,1,FORMOSA 1 ADIT                                    ,groundwater,Fresh,,
OR_2,2,SILVER BUTTE 1 ADIT                               ,groundwater,Fresh,,
OR_3,3,A WELL                                            ,groundwater,Fresh,,
OR_4,4,A WELL,groundwater,Fresh,,
OR_5,5,WELL 1                                            ,groundwater,Fresh,,
OR_6,6,WELL 2                                            ,groundwater,Fresh,,
OR_7,7,WELL 3                                            ,groundwater,Fresh,,
OR_8,8,WELL 4                                            ,groundwater,Fresh,,
OR_9,9,EAST FORK GRANDE RONDE RIVER                      ,surface water,Fresh,,
OR_10,10,LITTLE MEADOW CREEK                               ,surface water,Fresh,,
OR_11,11,NORTH FORK BRIDGE CREEK                           ,surface water,Fresh,,
OR_12,12,CAMPBELL GULCH                                    ,surface water,Fresh,,
OR_13,13,VINCENT CREEK                                     ,surface water,Fresh,,
OR_14,14,SUCKER CREEK                                      ,surface water,Fresh,,
OR_15,15,UNNAMED STREAM 1                                  ,surface water,Fresh,,
OR_16,16,UNNAMED STREAM 2                                  ,surface water,Fresh,,
OR_17,17,UNNAMED STREAM 3                                  ,surface water,Fresh,,
OR_18,18,SPRING 1                                          ,surface water,Fresh,,
OR_19,19,SPRING FED POND                                   ,surface water,Fresh,,
OR_20,20,UNNAMED STREAM                                    ,surface water,Fresh,,
OR_21,21,TOWN GULCH                                        ,surface water,Fresh,,
OR_22,22,CHANNEL CREEK                                     ,surface water,Fresh,,
OR_23,23,BLUE CANYON                                       ,surface water,Fresh,,
OR_24,24,STEVES FORK                                       ,surface water,Fresh,,
OR_25,25,TEXAS GULCH                                       ,surface water,Fresh,,
OR_26,26,RUSSELL CREEK                                     ,surface water,Fresh,,
OR_27,27,SNAILBACK CREEK                                   ,surface water,Fresh,,
OR_28,28,GRAVE CREEK                                       ,surface water,Fresh,,
OR_29,29,A RESERVOIR                                       ,surface water,Fresh,,
OR_30,30,UNNAMED SLOUGH,surface water,Fresh,,
OR_31,31,FOREST CREEK                                     ,surface water,Fresh,,
OR_32,32,ALTHOUSE CREEK                                    ,surface water,Fresh,,
OR_33,33,JOHNSON GULCH                                     ,surface water,Fresh,,
OR_34,34,GRANITE CREEK                                     ,surface water,Fresh,,
OR_35,35,STAR GULCH                                        ,surface water,Fresh,,
OR_36,36,TAYLOR CREEK                                     ,surface water,Fresh,,
OR_37,37,HENCE CREEK                                       ,surface water,Fresh,,
OR_38,38,BIRCH CREEK                                       ,surface water,Fresh,,
OR_39,39,SPRS                                              ,surface water,Fresh,,
OR_40,40,RICH CREEK                                        ,surface water,Fresh,,
OR_41,41,QUARTZ GULCH                                     ,surface water,Fresh,,
OR_42,42,RAT CREEK,surface water,Fresh,,
OR_43,43,MOUSE CREEK,surface water,Fresh,,
OR_44,44,CUT CREEK                                         ,surface water,Fresh,,
OR_45,45,CENTENNIAL GULCH                                  ,surface water,Fresh,,
OR_46,46,STARVEOUT CREEK                                   ,surface water,Fresh,,
OR_47,47,ROCK CREEK                                        ,surface water,Fresh,,
OR_48,48,LIGHTNING CREEK                                   ,surface water,Fresh,,
OR_49,49,2 UNN STRS                                        ,surface water,Fresh,,
OR_50,50,GIMLET CREEK                                     ,surface water,Fresh,,
OR_51,51,ROGUE RIVER                                       ,surface water,Fresh,,
OR_52,52,WEST FORK ALTHOUSE CREEK                          ,surface water,Fresh,,
OR_53,53,INDIAN CREEK                                     ,surface water,Fresh,,
OR_54,54,BROWNTOWN GULCH                                   ,surface water,Fresh,,
OR_55,55,HYDRAULIC GULCH                                   ,surface water,Fresh,,
OR_56,56,DEMOCRAT GULCH                                    ,surface water,Fresh,,
OR_57,57,RUN GULCH                                         ,surface water,Fresh,,
OR_58,58,FLOOD WATERS                                     ,surface water,Fresh,,
OR_59,59,OBRIEN CREEK                                     ,surface water,Fresh,,
OR_60,60,STURGIS FORK CARBERRY                             ,surface water,Fresh,,
OR_61,61,LITTLE SAVAGE CREEK                               ,surface water,Fresh,,
OR_62,62,LITTLE WINDY CREEK                                ,surface water,Fresh,,
OR_63,63,JENNY CREEK                                       ,surface water,Fresh,,
OR_64,64,MUIR CREEK                                        ,surface water,Fresh,,
OR_65,65,WILDCAT CREEK                                     ,surface water,Fresh,,
OR_66,66,UNNAMED STREAM,surface water,Fresh,,
OR_67,67,APPLEGATE RIVER                                   ,surface water,Fresh,,
OR_68,68,WHISKEY CREEK,surface water,Fresh,,
OR_69,69,IRONDYKE CREEK                                    ,surface water,Fresh,,
OR_70,70,HOMESTEAD CREEK                                   ,surface water,Fresh,,
OR_71,71,SAILOR GULCH                                     ,surface water,Fresh,,
OR_72,72,WOLF CREEK                                        ,surface water,Fresh,,
OR_73,73,LEHMAN RESERVOIR                                  ,surface water,Fresh,,
OR_74,74,WOLF CREEK                                        ,storage,Fresh,,
OR_75,75,CAMP CREEK,surface water,Fresh,,
OR_76,76,PINE CREEK,surface water,Fresh,,
OR_77,77,SPRING GULCH                                     ,surface water,Fresh,,
OR_78,78,BOULDER CREEK                                     ,surface water,Fresh,,
OR_79,79,OLIVE CREEK                                       ,surface water,Fresh,,
OR_80,80,COVE CREEK                                        ,surface water,Fresh,,
OR_81,81,SALMON CREEK                                     ,surface water,Fresh,,
OR_82,82,SPILLMAN SPRING                                   ,surface water,Fresh,,
OR_83,83,SALMON CREEK,surface water,Fresh,,
OR_84,84,WAGGIE CREEK,surface water,Fresh,,
OR_85,85,SPRING CREEK,surface water,Fresh,,
OR_86,86,ELK CREEK                                         ,surface water,Fresh,,
OR_87,87,MCCULLY FORK                                     ,surface water,Fresh,,
OR_88,88,DENNY CREEK                                       ,surface water,Fresh,,
OR_89,89,OFARRELL GULCH                                    ,surface water,Fresh,,
OR_90,90,EAGLE CREEK                                       ,surface water,Fresh,,
OR_91,91,DITCH CREEK                                       ,surface water,Fresh,,
OR_92,92,SNOW GULCH                                        ,surface water,Fresh,,
OR_93,93,DAYS GULCH                                        ,surface water,Fresh,,
OR_94,94,NORTH FORK GALICE CREEK                           ,surface water,Fresh,,
OR_95,95,TARTER GULCH                                     ,surface water,Fresh,,
OR_96,96,COLD SPRINGS CREEK                                ,surface water,Fresh,,
OR_97,97,GALICE CREEK                                     ,surface water,Fresh,,
OR_98,98,RATTLESNAKE CREEK                                 ,surface water,Fresh,,
OR_99,99,PINE CREEK                                        ,surface water,Fresh,,
OR_100,100,COW CREEK                                         ,surface water,Fresh,,
OR_101,101,SISLEY CREEK                                     ,surface water,Fresh,,
OR_102,102,GRANDE RONDE RIVER                                ,surface water,Fresh,,
OR_103,103,GOOSE CREEK                                       ,surface water,Fresh,,
OR_104,104,RICH GULCH                                        ,surface water,Fresh,,
OR_105,105,SOUTH FORK SIXES RIVER                            ,surface water,Fresh,,
OR_106,106,RICH GULCH,surface water,Fresh,,
OR_107,107,CAVE CREEK                                        ,surface water,Fresh,,
OR_108,108,BOLAN CREEK                                       ,surface water,Fresh,,
OR_109,109,EAST FORK BOLAN CREEK                             ,surface water,Fresh,,
OR_110,110,HOG CREEK                                         ,surface water,Fresh,,
OR_111,111,JEWETT CREEK                                     ,surface water,Fresh,,
OR_112,112,FRUITDALE CREEK                                   ,surface water,Fresh,,
OR_113,113,SALMON CREEK & TRIBS                              ,surface water,Fresh,,
OR_114,114,CLARK CREEK                                       ,surface water,Fresh,,
OR_115,115,FIZZLEOUT CREEK,surface water,Fresh,,
OR_116,116,BOULDER CREEK,surface water,Fresh,,
OR_117,117,BLACK CANYON                                     ,surface water,Fresh,,
OR_118,118,DEEP CREEK                                        ,surface water,Fresh,,
OR_119,119,HOT CREEK,surface water,Fresh,,
OR_120,120,BIG CREEK                                         ,surface water,Fresh,,
OR_121,121,POLLY CREEK                                       ,surface water,Fresh,,
OR_122,122,BELKNAP GULCH                                     ,surface water,Fresh,,
OR_123,123,RANCHERIE CREEK                                   ,surface water,Fresh,,
OR_124,124,WEST FORK RANCHERIE CREEK                         ,surface water,Fresh,,
OR_125,125,BILLS GULCH                                       ,surface water,Fresh,,
OR_126,126,MILLER GULCH                                     ,surface water,Fresh,,
OR_127,127,NORTH FORK COYOTE CREEK                           ,surface water,Fresh,,
OR_128,128,UNDERGROUND SPRINGS                               ,surface water,Fresh,,
OR_129,129,A SPRING                                          ,surface water,Fresh,,
OR_130,130,MARY M SHAFT                                     ,surface water,Fresh,,
OR_131,131,BURNT RIVER                                       ,surface water,Fresh,,
OR_132,132,STUD HORSE CREEK                                  ,surface water,Fresh,,
OR_133,133,SCOTCH GULCH                                     ,surface water,Fresh,,
OR_134,134,SLAGLE CREEK                                     ,surface water,Fresh,,
OR_135,135,FOOTS CREEK                                       ,surface water,Fresh,,
OR_136,136,NORTH FORK SILVER CREEK                           ,surface water,Fresh,,
OR_137,137,BUTLER CREEK                                     ,surface water,Fresh,,
OR_138,138,TOINEN GULCH                                     ,surface water,Fresh,,
OR_139,139,SCOFIELD GULCH                                    ,surface water,Fresh,,
OR_140,140,FROG GULCH                                        ,surface water,Fresh,,
OR_141,141,GREEN CREEK                                       ,surface water,Fresh,,
OR_142,142,LOUSE CREEK                                       ,surface water,Fresh,,
OR_143,143,QUARTZ CREEK                                     ,surface water,Fresh,,
OR_144,144,SEEPAGE                                           ,surface water,Fresh,,
OR_145,145,GROUSE CREEK                                     ,surface water,Fresh,,
OR_146,146,BUTTE CREEK                                       ,surface water,Fresh,,
OR_147,147,HOOKS GULCH                                       ,surface water,Fresh,,
OR_148,148,LITTLE APPLEGATE RIVER                            ,surface water,Fresh,,
OR_149,149,BEAR GULCH                                        ,surface water,Fresh,,
OR_150,150,UNNAMED SPRING                                    ,surface water,Fresh,,
OR_151,151,EAST FORK HIGH PRAIRIE CREEK                      ,surface water,Fresh,,
OR_152,152,WEST FORK HIGH PRAIRIE CREEK                      ,surface water,Fresh,,
OR_153,153,NORTH FORK BURNT RIVER                            ,surface water,Fresh,,
OR_154,154,JOSEPHINE CREEK                                   ,surface water,Fresh,,
OR_155,155,BULL RUN                                          ,surface water,Fresh,,
OR_156,156,MARION CREEK                                     ,surface water,Fresh,,
OR_157,157,TULLER CREEK                                     ,surface water,Fresh,,
OR_158,158,LONESOME GULCH                                    ,surface water,Fresh,,
OR_159,159,LYONS GULCH                                       ,surface water,Fresh,,
OR_160,160,DOMESTIC SPRING                                   ,surface water,Fresh,,
OR_161,161,CRYSTAL SPRING                                    ,surface water,Fresh,,
OR_162,162,SHADY SPRING                                     ,surface water,Fresh,,
OR_163,163,TRACY CREEK                                       ,surface water,Fresh,,
OR_164,164,GOSS CREEK                                        ,surface water,Fresh,,
OR_165,165,PANTHER CREEK                                     ,surface water,Fresh,,
OR_166,166,WHITEHORSE CREEK                                  ,surface water,Fresh,,
OR_167,167,TENNESSEE GULCH                                   ,surface water,Fresh,,
OR_168,168,PANTHER GULCH                                     ,surface water,Fresh,,
OR_169,169,LANE CREEK                                        ,surface water,Fresh,,
OR_170,170,JACK CREEK                                        ,surface water,Fresh,,
OR_171,171,PERKINS CREEK                                     ,surface water,Fresh,,
OR_172,172,SOUTH FORK ROCKY GULCH                            ,surface water,Fresh,,
OR_173,173,SIXMILE CREEK                                     ,surface water,Fresh,,
OR_174,174,MILL CREEK                                        ,surface water,Fresh,,
OR_175,175,WHISKY CREEK                                     ,surface water,Fresh,,
OR_176,176,YELLOWBOTTOM CREEK                                ,surface water,Fresh,,
OR_177,177,LOST HORSE CREEK,surface water,Fresh,,
OR_178,178,RUM CREEK                                         ,surface water,Fresh,,
OR_179,179,BAILEY CREEK                                     ,surface water,Fresh,,
OR_180,180,UNNAMED SPRING 1                                  ,surface water,Fresh,,
OR_181,181,UNNAMED SPRING 2                                  ,surface water,Fresh,,
OR_182,182,WEST BRANCH GALLS CREEK                           ,surface water,Fresh,,
OR_183,183,SLATE CREEK                                       ,surface water,Fresh,,
OR_184,184,STERLING CREEK                                    ,surface water,Fresh,,
OR_185,185,PENNINGTON CREEK                                  ,surface water,Fresh,,
OR_186,186,KANE CREEK                                        ,surface water,Fresh,,
OR_187,187,DOSTLER CREEK                                     ,surface water,Fresh,,
OR_188,188,DIXIE CREEK                                       ,surface water,Fresh,,
OR_189,189,LIMBER JIM CREEK                                  ,surface water,Fresh,,
OR_190,190,MOON CREEK                                        ,surface water,Fresh,,
OR_191,191,BRIGGS CREEK                                     ,surface water,Fresh,,
OR_192,192,SUMMIT CREEK                                     ,surface water,Fresh,,
OR_193,193,CARSON CREEK                                     ,surface water,Fresh,,
OR_194,194,MILLER CREEK                                     ,surface water,Fresh,,
OR_195,195,BOARD TREE CREEK                                  ,surface water,Fresh,,
OR_196,196,COLLINS CREEK                                     ,surface water,Fresh,,
OR_197,197,LEE CREEK                                         ,surface water,Fresh,,
OR_198,198,MCGUIRE GULCH                                     ,surface water,Fresh,,
OR_199,199,HORN GULCH                                        ,surface water,Fresh,,
OR_200,200,BRUSHY GULCH                                     ,surface water,Fresh,,
OR_201,201,CLEAR CREEK,surface water,Fresh,,
OR_202,202,DRY CREEK                                         ,surface water,Fresh,,
OR_203,203,SPRING CREEK                                     ,surface water,Fresh,,
OR_204,204,BRIMSTONE GULCH                                   ,surface water,Fresh,,
OR_205,205,BEAR BRANCH                                       ,surface water,Fresh,,
OR_206,206,SOUTH FORK QUEENS BRANCH                          ,surface water,Fresh,,
OR_207,207,TURNER CREEK                                     ,surface water,Fresh,,
OR_208,208,MCKINNON CREEK                                    ,surface water,Fresh,,
OR_209,209,RED DITCH                                         ,surface water,Fresh,,
OR_210,210,QUEENS BRANCH                                     ,surface water,Fresh,,
OR_211,211,FALL CREEK                                        ,surface water,Fresh,,
OR_212,212,HOOVER GULCH                                     ,surface water,Fresh,,
OR_213,213,BALLS BRANCH                                     ,surface water,Fresh,,
OR_214,214,SECESH GULCH                                     ,surface water,Fresh,,
OR_215,215,JUMPOFF JOE CREEK                                 ,surface water,Fresh,,
OR_216,216,EAST FORK JONES CREEK                             ,surface water,Fresh,,
OR_217,217,DRY GULCH                                         ,surface water,Fresh,,
OR_218,218,BOAZ GULCH                                        ,surface water,Fresh,,
OR_219,219,WEST FORK MURPHY GULCH                            ,surface water,Fresh,,
OR_220,220,SOUTH FORK TAYLOR CREEK                           ,surface water,Fresh,,
OR_221,221,WEST FORK TAYLOR CREEK                            ,surface water,Fresh,,
OR_222,222,POST GULCH                                        ,surface water,Fresh,,
OR_223,223,ALDER CREEK                                       ,surface water,Fresh,,
OR_224,224,CHIEFTAIN CREEK                                  ,surface water,Fresh,,
OR_225,225,HORSE CREEK                                       ,surface water,Fresh,,
OR_226,226,MCNAIR CREEK                                      ,surface water,Fresh,,
OR_227,227,POORMANS CREEK                                    ,surface water,Fresh,,
OR_228,228,FOREST CREEK                                      ,surface water,Fresh,,
OR_229,229,EAST FORK EAGLE CREEK                             ,surface water,Fresh,,
OR_230,230,WOLESY CREEK                                      ,surface water,Fresh,,
OR_231,231,BLUE GULCH                                        ,surface water,Fresh,,
OR_232,232,BULL RUN CREEK                                    ,surface water,Fresh,,
OR_233,233,DOG CREEK                                         ,surface water,Fresh,,
OR_234,234,MIKES GULCH                                       ,surface water,Fresh,,
OR_235,235,CHINA CREEK,surface water,Fresh,,
OR_236,236,NORTH FORK BURNT RIVER                           ,surface water,Fresh,,
OR_237,237,SUTTON GULCH                                      ,surface water,Fresh,,
OR_238,238,L MEADOW G/UNN STRS                               ,surface water,Fresh,,
OR_239,239,BRIGGS CREEK                                      ,surface water,Fresh,,
OR_240,240,EASTTENCENT CREEK                                ,surface water,Fresh,,
OR_241,241,STEVE FORK CARBERRY CREEK                         ,surface water,Fresh,,
OR_242,242,TOM EAST CREEK                                    ,surface water,Fresh,,
OR_243,243,SECRET CREEK                                      ,surface water,Fresh,,
OR_244,244,MAPLE CREEK                                       ,surface water,Fresh,,
OR_245,245,NUMBER SEVEN GULCH                                ,surface water,Fresh,,
OR_246,246,GALICE CREEK                                      ,surface water,Fresh,,
OR_247,247,SHIRTTAIL CREEK                                  ,surface water,Fresh,,
OR_248,248,CANYON CREEK,surface water,Fresh,,
OR_249,249,WATERDOG CREEK                                    ,surface water,Fresh,,
OR_250,250,R FORK PLEASANT CREEK                             ,surface water,Fresh,,
OR_251,251,BIG BOULDER CREEK                                 ,surface water,Fresh,,
OR_252,252,LITTLE PINE CREEK                                 ,surface water,Fresh,,
OR_253,253,DEVIL CREEK                                       ,surface water,Fresh,,
OR_254,254,LIGHTNING CREEK                                  ,surface water,Fresh,,
OR_255,255,RESERVOIR CREEK                                  ,surface water,Fresh,,
OR_256,256,FIDDLER GULCH                                     ,surface water,Fresh,,
OR_257,257,NOGLE CREEK                                       ,surface water,Fresh,,
OR_258,258,ZIGZAG CREEK                                      ,surface water,Fresh,,
OR_259,259,GLADE CREEK                                       ,surface water,Fresh,,
OR_260,260,WARD CREEK                                        ,storage,Fresh,,
OR_261,261,LITTLE ELDER CREEK                                ,surface water,Fresh,,
OR_262,262,R FORK BIRDSEYE CREEK                             ,surface water,Fresh,,
OR_263,263,WARD CREEK                                        ,surface water,Fresh,,
OR_264,264,SKULL CREEK                                       ,surface water,Fresh,,
OR_265,265,HOGUM CREEK                                       ,surface water,Fresh,,
OR_266,266,FIZZLEOUT CREEK                                  ,surface water,Fresh,,
OR_267,267,MEADOW CREEK                                      ,surface water,Fresh,,
OR_268,268,NUMBER EIGHT GULCH                                ,surface water,Fresh,,
OR_269,269,BUMMER GULCH                                      ,surface water,Fresh,,
OR_270,270,MANZANITA CREEK                                  ,surface water,Fresh,,
OR_271,271,STORE GULCH                                       ,surface water,Fresh,,
OR_272,272,KEYTE CREEK                                       ,surface water,Fresh,,
OR_273,273,ALDER GULCH                                       ,surface water,Fresh,,
OR_274,274,COLLINS GULCH                                     ,surface water,Fresh,,
OR_275,275,UNNAMED BASIN                                     ,surface water,Fresh,,
OR_276,276,ILLINOIS RIVER                                    ,surface water,Fresh,,
OR_277,277,MILLER GULCH                                      ,storage,Fresh,,
OR_278,278,BREWER RESERVOIR                                  ,surface water,Fresh,,
OR_279,279,MAPLE GULCH                                       ,surface water,Fresh,,
OR_280,280,CEDAR CREEK                                       ,surface water,Fresh,,
OR_281,281,NORTH FORK ROCKY GULCH                           ,surface water,Fresh,,
OR_282,282,EAST FORK WHITEHORSE CREEK                        ,surface water,Fresh,,
OR_283,283,WHISKEY GULCH                                     ,surface water,Fresh,,
OR_284,284,STRATTON CREEK                                    ,surface water,Fresh,,
OR_285,285,WILDCAT GULCH                                     ,surface water,Fresh,,
OR_286,286,HAMILTON GU/WASTE W                               ,surface water,Fresh,,
OR_287,287,BYRON CREEK                                       ,surface water,Fresh,,
OR_288,288,FALL CREEK                                        ,storage,Fresh,,
OR_289,289,WATERFALLS RESERVOIR                              ,surface water,Fresh,,
OR_290,290,STARVEOUT CREEK                                  ,surface water,Fresh,,
OR_291,291,WILSON CREEK                                      ,surface water,Fresh,,
OR_292,292,COLD SPRINGS                                     ,surface water,Fresh,,
OR_293,293,SANDERS GULCH                                     ,surface water,Fresh,,
OR_294,294,BAILEY CREEK                                      ,surface water,Fresh,,
OR_295,295,BROWN GULCH                                       ,surface water,Fresh,,
OR_296,296,CHINA GULCH                                       ,surface water,Fresh,,
OR_297,297,LITTLE TODD CREEK                                 ,surface water,Fresh,,
OR_298,298,KNOTT CREEK                                       ,surface water,Fresh,,
OR_299,299,HAWKS NEST SPRING                                 ,surface water,Fresh,,
OR_300,300,HOGBACK CREEK                                     ,surface water,Fresh,,
OR_301,301,TARTER GULCH                                      ,surface water,Fresh,,
OR_302,302,FIDDLER GULCH,surface water,Fresh,,
OR_303,303,DAYS GULCH,surface water,Fresh,,
OR_304,304,MIKES GULCH,surface water,Fresh,,
OR_305,305,SEBASTOPOL CREEK                                  ,surface water,Fresh,,
OR_306,306,HANSEN GULCH                                      ,surface water,Fresh,,
OR_307,307,ROCKY BAR GULCH                                   ,surface water,Fresh,,
OR_308,308,WOOD CREEK,surface water,Fresh,,
OR_309,309,FRY GULCH,surface water,Fresh,,
OR_310,310,DUTCHY CREEK                                      ,surface water,Fresh,,
OR_311,311,BRUSH CREEK                                       ,surface water,Fresh,,
OR_312,312,JOHNSON CREEK                                     ,surface water,Fresh,,
OR_313,313,SPRINGS                                           ,surface water,Fresh,,
OR_314,314,FERRIS GULCH                                      ,surface water,Fresh,,
OR_315,315,LONG GULCH                                        ,surface water,Fresh,,
OR_316,316,QUARTZ GULCH                                      ,surface water,Fresh,,
OR_317,317,GEORGE BLACK GULCH                                ,surface water,Fresh,,
OR_318,318,FLUME GULCH                                       ,surface water,Fresh,,
OR_319,319,LAST CHANCE CREEK                                 ,surface water,Fresh,,
OR_320,320,PLEASANT CREEK                                    ,surface water,Fresh,,
OR_321,321,JAMISON GULCH                                     ,surface water,Fresh,,
OR_322,322,FRENCH GULCH                                      ,surface water,Fresh,,
OR_323,323,HARRIS GULCH                                      ,surface water,Fresh,,
OR_324,324,GERTULLA CREEK                                    ,surface water,Fresh,,
OR_325,325,COPPER CREEK,surface water,Fresh,,
OR_326,326,LAKE CREEK                                        ,surface water,Fresh,,
OR_327,327,BABOON CREEK                                      ,surface water,Fresh,,
OR_328,328,SHANKS CREEK                                      ,surface water,Fresh,,
OR_329,329,HOOVER GULCH                                      ,surface water,Fresh,,
OR_330,330,GARRADALLA GULCH                                 ,surface water,Fresh,,
OR_331,331,PAINT CREEK                                       ,surface water,Fresh,,
OR_332,332,SOUTH FORK QUINES CREEK                           ,surface water,Fresh,,
OR_333,333,R FORK FOREST CREEK                               ,surface water,Fresh,,
OR_334,334,SOUTH FORK ROCKY GULCH                           ,surface water,Fresh,,
OR_335,335,ROCKY BAR CREEK                                  ,surface water,Fresh,,
OR_336,336,A K GULCH                                         ,surface water,Fresh,,
OR_337,337,R FORK FOOTS CREEK                                ,surface water,Fresh,,
OR_338,338,MIDDLE FORK FOOTS CREEK                           ,surface water,Fresh,,
OR_339,339,BRUSHY GULCH                                      ,surface water,Fresh,,
OR_340,340,SARDINE CREEK                                     ,surface water,Fresh,,
OR_341,341,HUMBUG CREEK                                      ,surface water,Fresh,,
OR_342,342,L FORK HUMBUG CREEK                               ,surface water,Fresh,,
OR_343,343,CARBERRY CREEK                                    ,surface water,Fresh,,
OR_344,344,OBRIEN CREEK                                      ,surface water,Fresh,,
OR_345,345,BRASS NAIL GULCH,surface water,Fresh,,
OR_346,346,EASTMAN GULCH                                     ,surface water,Fresh,,
OR_347,347,REUBEN CREEK                                      ,surface water,Fresh,,
OR_348,348,MCKNABE CREEK                                     ,surface water,Fresh,,
OR_349,349,WOLF CREEK,surface water,Fresh,,
OR_350,350,SECESH GULCH                                      ,surface water,Fresh,,
OR_351,351,SAILOR GULCH                                      ,surface water,Fresh,,
OR_352,352,COYOTE CREEK                                      ,surface water,Fresh,,
OR_353,353,APPLEGATE GULCH                                   ,surface water,Fresh,,
OR_354,354,ROCKY GULCH                                       ,surface water,Fresh,,
OR_355,355,BISHOP CREEK                                      ,surface water,Fresh,,
OR_356,356,SNOW CREEK                                        ,surface water,Fresh,,
OR_357,357,LITTLE BOULDER CREEK                              ,surface water,Fresh,,
OR_358,358,TIN CAN GULCH                                     ,surface water,Fresh,,
OR_359,359,NORTH UNN STREAM                                  ,surface water,Fresh,,
OR_360,360,SPRING CAN                                        ,surface water,Fresh,,
OR_361,361,JOHN DAY RIVER                                    ,surface water,Fresh,,
OR_362,362,BEEMAN CREEK                                      ,surface water,Fresh,,
OR_363,363,JUNKENS CREEK                                     ,surface water,Fresh,,
OR_364,364,PALMER CREEK                                      ,surface water,Fresh,,
OR_365,365,GEM SPRING,surface water,Fresh,,
OR_366,366,VINEGAR CREEK                                     ,surface water,Fresh,,
OR_367,367,EAST CREEK                                        ,surface water,Fresh,,
OR_368,368,BRETZ MINE WELL #1                                ,groundwater,Fresh,,
OR_369,369,FIVE FINGER GULCH                                 ,surface water,Fresh,,
OR_370,370,MYRTLE CREEK                                      ,surface water,Fresh,,
OR_371,371,CANYON CREEK                                      ,surface water,Fresh,,
OR_372,372,SALMON CREEK                                      ,surface water,Fresh,,
OR_373,373,KHOEERY CREEK                                     ,surface water,Fresh,,
OR_374,374,SQUAW CREEK                                       ,surface water,Fresh,,
OR_375,375,PIT WELL                                          ,groundwater,Fresh,,
OR_376,376,DAVIS CREEK                                       ,surface water,Fresh,,
OR_377,377,ALTHOUSE CREEK,surface water,Fresh,,
OR_378,378,MINE CREEK                                        ,surface water,Fresh,,
OR_379,379,SCHOLEY GULCH                                     ,surface water,Fresh,,
OR_380,380,GROUSE CREEK                                      ,surface water,Fresh,,
OR_381,381,CAMP CREEK                                        ,surface water,Fresh,,
OR_382,382,GIMLET CREEK                                      ,surface water,Fresh,,
OR_383,383,UNION CREEK                                       ,surface water,Fresh,,
OR_384,384,HIBBARD GULCH                                     ,surface water,Fresh,,
OR_385,385,CLARKS CREEK                                      ,surface water,Fresh,,
OR_386,386,CONNOR CREEK                                      ,surface water,Fresh,,
OR_387,387,SLIDE CREEK                                       ,surface water,Fresh,,
OR_388,388,GRAYBACK CREEK                                    ,surface water,Fresh,,
OR_389,389,SPRING AREA                                       ,surface water,Fresh,,
OR_390,390,EMIGRANT CR/RESERVOIR 1                           ,storage,Fresh,,
OR_391,391,EMIGRANT CR/RESERVOIR 2                           ,storage,Fresh,,
OR_392,392,BASIN CR/RESERVOIR 3                              ,storage,Fresh,,
OR_393,393,BASIN CR/RESERVOIR 4                              ,storage,Fresh,,
OR_394,394,COARSE GOLD CR/RESERVOIR                          ,storage,Fresh,,
OR_395,395,BUSHNELL CR/RESERVOIR                             ,storage,Fresh,,
OR_396,396,LETITIA CREEK                                     ,surface water,Fresh,,
OR_397,397,BENNETT CREEK                                     ,surface water,Fresh,,
OR_398,398,NORTH FORK BENNETT CREEK,surface water,Fresh,,
OR_399,399,SOUTH FORK BENNETT CREEK,surface water,Fresh,,
OR_400,400,BEAR GULCH,surface water,Fresh,,
OR_401,401,L FORK SARDINE CREEK                              ,surface water,Fresh,,
OR_402,402,SILVER SPRING                                     ,surface water,Fresh,,
OR_403,403,QUICKSAND CREEK                                  ,surface water,Fresh,,
OR_404,404,CRYSTAL CREEK                                     ,surface water,Fresh,,
OR_405,405,SOUTH TRAIL CREEK                                 ,surface water,Fresh,,
OR_406,406,NORTH DIXIE CREEK                                 ,surface water,Fresh,,
OR_407,407,A SPRING,surface water,Fresh,,
OR_408,408,WASTE WATER,surface water,Fresh,,
OR_409,409,UNNAMED STREAM,groundwater,Fresh,,
OR_410,410,A SUMP,surface water,Fresh,,
OR_411,411,LOST CREEK RESERVOIR,surface water,Fresh,,
OR_412,412,ROGUE RIVER,surface water,Fresh,,
OR_413,413,A SUMP,groundwater,Fresh,,
OR_414,414,ROCK CREEK,surface water,Fresh,,
OR_415,415,WEST FORK BIRCH CREEK,surface water,Fresh,,
OR_416,416,FIRST CREEK,surface water,Fresh,,
OR_417,417,SECOND CREEK,surface water,Fresh,,
OR_418,418,FIR TREE CREEK,surface water,Fresh,,
OR_419,419,LITTLE BUTTE CREEK,surface water,Fresh,,
OR_420,420,WILLAMETTE RIVER,surface water,Fresh,,
OR_421,421,APPLEGATE RIVER,surface water,Fresh,,
OR_422,422,MIDDLE FORK WILLAMETTE RIVER,surface water,Fresh,,
OR_423,423,MILL RACE,surface water,Fresh,,
OR_424,424,CLARKS CREEK,surface water,Fresh,,
OR_425,425,EAST FORK ILLINOIS RIVER,surface water,Fresh,,
OR_426,426,A RESERVOIR,groundwater,Fresh,,
OR_427,427,WILLIAMS CREEK,surface water,Fresh,,
OR_428,428,OPEN PIT MINE,groundwater,Fresh,,
OR_429,429,A SUMP                                            ,groundwater,Fresh,,
