Basin Code,Inflow/Outflow,Sector,Year,Quantity,Water Type,Component
PHX,Inflow,Artificial,2005,79107,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2005,8188.054,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2006,72833,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2006,14735.2285,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2007,73361,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2007,16316.999,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2008,73305,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2008,11787.3755,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2009,73649,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2009,15835.1065,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2010,73782,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2010,13947.4135,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2011,73812,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2011,12675.9465,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2012,73846,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2012,9067.621,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2013,74089,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2013,9678.7025,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2014,74198,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2014,11495.557,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2015,73653,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2015,13687.9645,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2016,73744,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2016,12202.08,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,2017,73786,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,2017,10559.06,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Industrial                                        ,1985,6941.5384,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1986,7177.9804,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1987,7393.99762,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1988,7117.653436,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1989,7349.716172,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1990,6421.832952,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1991,6328.887884,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1992,6352.031348,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1993,6620.3888,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1994,6555.5316,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1995,8054.17524,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1996,8027.447872,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1997,8043.270121,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1998,8192.39152,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,1999,9330.410937,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2000,8680.34996,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2001,9104.6034,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2002,10105.18236,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2003,9375.63988,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2004,9269.29532,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2005,8488.34988,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2006,8948.90572,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2007,10169.96136,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2008,9422.9076,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2009,8434.65064,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2010,8530.9252,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2011,8013.93556,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2012,8784.5296,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2013,8956.9354,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2014,9153.2,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2015,8984.373688,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2016,9866.32,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Industrial                                        ,2017,9566.1448,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1985,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1985,50983.9008,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1986,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1986,52363.0508,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1987,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1987,53943.898,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1988,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1988,54621.4584,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1989,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1989,55928.9216,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1990,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1990,54972.26936,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1991,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1991,55547.11604,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1992,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1992,54457.80224,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1993,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1993,55857.28,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1994,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1994,57296.1904,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1995,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1995,58919.65548,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1996,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1996,60152.70591,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1997,0,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1997,63498.5136,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1998,0.1,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1998,62870.87158,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,1999,42,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,1999,66687.1116,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2000,413.85,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2000,70389.81463,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2001,4031.62,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2001,69061.97212,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2002,3263.24,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2002,67116.8304,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2003,10927.25,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2003,74261.63027,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2004,2540.42,Groundwater                                       ,CAGRD Replenishment
