WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
BOLEN A & J RES NO 2-CODWR,BOLEN A & J RES NO 2-CODWR,,Unspecified,Fresh,,
BOMGARDNER DITCH-CODWR,BOMGARDNER DITCH-CODWR,,Unspecified,Fresh,,
BLOHM WASTE WATER SYS AP-CODWR,BLOHM WASTE WATER SYS AP-CODWR,,Unspecified,Fresh,,
BLUE MOON 32-3-CODWR,BLUE MOON 32-3-CODWR,,Unspecified,Fresh,,
DEAKINS GULCH DITCH-CODWR,DEAKINS GULCH DITCH-CODWR,,Unspecified,Fresh,,
DEER CREEK STOCK POND-CODWR,DEER CREEK STOCK POND-CODWR,,Unspecified,Fresh,,
DELOACH DOMESTIC WELL AUG PLAN DEPLETION-CODWR,DELOACH DOMESTIC WELL AUG PLAN DEPLETION-CODWR,,Unspecified,Fresh,,
DESOTO WELL 3-P10495F-CODWR,DESOTO WELL 3-P10495F-CODWR,,Unspecified,Fresh,,
DIEKMAN DITCH NO 3-CODWR,DIEKMAN DITCH NO 3-CODWR,,Unspecified,Fresh,,
DIREZZA WELL NO 4-CODWR,DIREZZA WELL NO 4-CODWR,,Unspecified,Fresh,,
DOBIES SEEP DITCH-CODWR,DOBIES SEEP DITCH-CODWR,,Unspecified,Fresh,,
DINSDALE BROS RCHRG WL 2-50036-CODWR,DINSDALE BROS RCHRG WL 2-50036-CODWR,,Unspecified,Fresh,,
DEVILS THUMB RANCH WELL NO 2-CODWR,DEVILS THUMB RANCH WELL NO 2-CODWR,,Unspecified,Fresh,,
DIXON DITCH-CODWR,DIXON DITCH-CODWR,,Unspecified,Fresh,,
DODD'S SPRING-CODWR,DODD'S SPRING-CODWR,,Unspecified,Fresh,,
DODO DITCH-CODWR,DODO DITCH-CODWR,,Unspecified,Fresh,,
DIETRICH DITCH NO 1-CODWR,DIETRICH DITCH NO 1-CODWR,,Unspecified,Fresh,,
DISSMORE DITCH-CODWR,DISSMORE DITCH-CODWR,,Unspecified,Fresh,,
DIXIT WELL NO 3-CODWR,DIXIT WELL NO 3-CODWR,,Unspecified,Fresh,,
DINSDALE BROS RCHRG WL 3-CODWR,DINSDALE BROS RCHRG WL 3-CODWR,,Unspecified,Fresh,,
DINOSAUR MUN WELL 4-CODWR,DINOSAUR MUN WELL 4-CODWR,,Unspecified,Fresh,,
DIONISIO 1930 WELL-CODWR,DIONISIO 1930 WELL-CODWR,,Unspecified,Fresh,,
DIONISIO WELL NO 1-CODWR,DIONISIO WELL NO 1-CODWR,,Unspecified,Fresh,,
DIREZZA WELL NO 1-CODWR,DIREZZA WELL NO 1-CODWR,,Unspecified,Fresh,,
DOC WADE DITCH-CODWR,DOC WADE DITCH-CODWR,,Unspecified,Fresh,,
DOMINGO WELL NO 1-CODWR,DOMINGO WELL NO 1-CODWR,,Unspecified,Fresh,,
DOMINGO WELL NO 2-CODWR,DOMINGO WELL NO 2-CODWR,,Unspecified,Fresh,,
DKC WELL-CODWR,DKC WELL-CODWR,,Unspecified,Fresh,,
DOG LAKE RESERVOIR NO 3-CODWR,DOG LAKE RESERVOIR NO 3-CODWR,,Unspecified,Fresh,,
DOCTOR DITCH-CODWR,DOCTOR DITCH-CODWR,,Unspecified,Fresh,,
DOLORES WATER DIVR HGT-CODWR,DOLORES WATER DIVR HGT-CODWR,,Unspecified,Fresh,,
