MethodUUID,ApplicableResourceTypeCV,DataConfidenceValue,DataCoverageValue,DataQualityValueCV,MethodDescription,MethodName,MethodNEMILink,MethodTypeCV
UT_Consumptive Use Estimate,Surface Ground,,,,Consumptive Use Estimate,Consumptive Use Estimate,,Estimate
UT_Withdrawal Estimate,Surface Ground,,,,Withdrawal Volume Estimate,Withdrawal Volume Estimate,,Estimate
