PODSiteUUID,POUSiteUUID,StartDate,EndDate
UTwr_S61465,UTwr_S462910,01/01/2021,12/31/2021
UTwr_S61465,UTwr_S462914,01/01/2021,12/31/2021
UTwr_S61465,UTwr_S462911,01/01/2021,12/31/2021
UTwr_S61669,UTwr_S463058,01/01/2021,12/31/2021
UTwr_S61676,UTwr_S463079,01/01/2021,12/31/2021
UTwr_S61682,UTwr_S457446,01/01/2021,12/31/2021
UTwr_S61904,UTwr_S463087,01/01/2021,12/31/2021
UTwr_S61913,UTwr_S462770,01/01/2021,12/31/2021
UTwr_S61936,UTwr_S457349,01/01/2021,12/31/2021
UTwr_S61936,UTwr_S457350,01/01/2021,12/31/2021
UTwr_S61958,UTwr_S457147,01/01/2021,12/31/2021
UTwr_S61958,UTwr_S461596,01/01/2021,12/31/2021
UTwr_S62573,UTwr_S462780,01/01/2021,12/31/2021
UTwr_S62593,UTwr_S462798,01/01/2021,12/31/2021
UTwr_S62594,UTwr_S463140,01/01/2021,12/31/2021
UTwr_S62595,UTwr_S463166,01/01/2021,12/31/2021
UTwr_S17709,UTwr_S457515,01/01/2021,12/31/2021
UTwr_S17721,UTwr_S463044,01/01/2021,12/31/2021
UTwr_S18257,UTwr_S463045,01/01/2021,12/31/2021
UTwr_S18412,UTwr_S463047,01/01/2021,12/31/2021
UTwr_S18413,UTwr_S462782,01/01/2021,12/31/2021
UTwr_S18415,UTwr_S463089,01/01/2021,12/31/2021
UTwr_S18422,UTwr_S463042,01/01/2021,12/31/2021
UTwr_S61469,UTwr_S462760,01/01/2021,12/31/2021
UTwr_S61471,UTwr_S463137,01/01/2021,12/31/2021
UTwr_S61642,UTwr_S463024,01/01/2021,12/31/2021
UTwr_S61920,UTwr_S462788,01/01/2021,12/31/2021
UTwr_S61921,UTwr_S463043,01/01/2021,12/31/2021
UTwr_S61928,UTwr_S463130,01/01/2021,12/31/2021
UTwr_S62579,UTwr_S462767,01/01/2021,12/31/2021
UTwr_S60780,UTwr_S463150,01/01/2021,12/31/2021
UTwr_S61082,UTwr_S463143,01/01/2021,12/31/2021
UTwr_S61121,UTwr_S463111,01/01/2021,12/31/2021
UTwr_S17741,UTwr_S463041,01/01/2021,12/31/2021
UTwr_S18454,UTwr_S463076,01/01/2021,12/31/2021
UTwr_S18456,UTwr_S457442,01/01/2021,12/31/2021
UTwr_S60793,UTwr_S463077,01/01/2021,12/31/2021
UTwr_S60794,UTwr_S463146,01/01/2021,12/31/2021
UTwr_S60795,UTwr_S463063,01/01/2021,12/31/2021
UTwr_S60796,UTwr_S463141,01/01/2021,12/31/2021
UTwr_S60797,UTwr_S463080,01/01/2021,12/31/2021
UTwr_S60798,UTwr_S463064,01/01/2021,12/31/2021
UTwr_S61103,UTwr_S457353,01/01/2021,12/31/2021
UTwr_S61104,UTwr_S457341,01/01/2021,12/31/2021
UTwr_S62007,UTwr_S462779,01/01/2021,12/31/2021
UTwr_S62006,UTwr_S462779,01/01/2021,12/31/2021
UTwr_S62008,UTwr_S383848,01/01/2021,12/31/2021
UTwr_S62008,UTwr_S383849,01/01/2021,12/31/2021
UTwr_S62011,UTwr_S463138,01/01/2021,12/31/2021
UTwr_S62154,UTwr_S461273,01/01/2021,12/31/2021
UTwr_S62155,UTwr_S463097,01/01/2021,12/31/2021
UTwr_S17759,UTwr_S457545,01/01/2021,12/31/2021
UTwr_S18467,UTwr_S463069,01/01/2021,12/31/2021
UTwr_S18469,UTwr_S457445,01/01/2021,12/31/2021
UTwr_S18472,UTwr_S463154,01/01/2021,12/31/2021
UTwr_S60809,UTwr_S457369,01/01/2021,12/31/2021
UTwr_S60809,UTwr_S457368,01/01/2021,12/31/2021
UTwr_S60812,UTwr_S457370,01/01/2021,12/31/2021
UTwr_S60812,UTwr_S457371,01/01/2021,12/31/2021
UTwr_S60815,UTwr_S457440,01/01/2021,12/31/2021
UTwr_S60821,UTwr_S457441,01/01/2021,12/31/2021
UTwr_S61107,UTwr_S457439,01/01/2021,12/31/2021
UTwr_S61108,UTwr_S462740,01/01/2021,12/31/2021
UTwr_S62015,UTwr_S463091,01/01/2021,12/31/2021
