,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,GNISCodeCV,Geometry,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,ReasonRemoved,SiteName,SiteNativeID,SitePoint,SiteTypeCV,SiteUUID,StateCV,USGSSiteID,index
46,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,621320.0,,unknown,WA_15406,WA,,15405.0
47,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620647.0,,unknown,WA_15545,WA,,15544.0
48,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620652.0,,unknown,WA_15551,WA,,15550.0
49,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620655.0,,unknown,WA_15553,WA,,15552.0
50,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620656.0,,unknown,WA_15555,WA,,15554.0
51,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620667.0,,unknown,WA_15557,WA,,15556.0
52,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620668.0,,unknown,WA_15559,WA,,15558.0
53,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620669.0,,unknown,WA_15561,WA,,15560.0
54,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620670.0,,unknown,WA_15563,WA,,15562.0
55,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620671.0,,unknown,WA_15565,WA,,15564.0
56,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620708.0,,unknown,WA_15567,WA,,15566.0
57,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620709.0,,unknown,WA_15569,WA,,15568.0
58,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620713.0,,unknown,WA_15571,WA,,15570.0
59,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620715.0,,unknown,WA_15573,WA,,15572.0
60,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620720.0,,unknown,WA_15575,WA,,15574.0
61,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620722.0,,unknown,WA_15577,WA,,15576.0
62,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620730.0,,unknown,WA_15579,WA,,15578.0
63,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620731.0,,unknown,WA_15581,WA,,15580.0
64,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620732.0,,unknown,WA_15583,WA,,15582.0
65,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620734.0,,unknown,WA_15585,WA,,15584.0
