SiteUUID,PODorPOUSite,Longitude,Latitude
OKwr_S10101,POD,-98.15859721,35.61739193
OKwr_S10102,POD,-99.45247798,35.61346399
OKwr_S10103,POD,-99.45015634,35.62071513
OKwr_S10106,POD,-98.6664715,35.55606753
OKwr_S10107,POD,-99.04431991,35.58424232
OKwr_S10108,POD,-99.67128864,35.62257658
OKwr_S10108,POD,-99.67128864,35.62257658
OKwr_S10108,POD,-99.67128864,35.62257658
OKwr_S10109,POD,-99.9872545,35.58773517
OKwr_S1011,POD,-99.03543187,34.48493057
OKwr_S10110,POD,-99.98724664,35.58231078
OKwr_S10111,POD,-98.65312602,35.61221187
OKwr_S10112,POD,-99.0743495,35.61045894
OKwr_S10113,POD,-97.1901469,35.66495528
OKwr_S10114,POD,-98.6732085,35.6140445
OKwr_S10115,POD,-97.53514412,35.69370699
OKwr_S10116,POD,-98.6642585,35.5633365
OKwr_S10117,POD,-98.95891908,35.63222144
OKwr_S10118,POD,-99.74331334,35.63637546
OKwr_S10119,POD,-99.7455365,35.6327615
OKwr_S1012,POD,-99.02885836,34.47950289
OKwr_S10120,POD,-99.0321695,35.55612375
OKwr_S10121,POD,-97.53077664,35.71009305
OKwr_S10122,POD,-98.125412,35.63382151
OKwr_S10123,POD,-96.491448,35.5909625
OKwr_S10124,POD,-96.49369737,35.58917411
OKwr_S10125,POD,-96.49144775,35.5891555
OKwr_S10126,POD,-96.49370024,35.59098108
OKwr_S10127,POD,-99.43136485,35.61432819
OKwr_S10128,POD,-99.4536155,35.6143575
OKwr_S10129,POD,-99.4535165,35.6197785
OKwr_S1013,POD,-99.03105225,34.48311143
OKwr_S10130,POD,-98.57797,35.55614061
OKwr_S10131,POD,-98.5757605,35.5561315
OKwr_S10132,POD,-99.14094462,35.55250988
OKwr_S10133,POD,-99.7102305,35.6071265
OKwr_S10134,POD,-98.08789189,35.61847906
OKwr_S10135,POD,-98.0889575,35.6193825
OKwr_S10136,POD,-99.28416201,35.58431691
OKwr_S10137,POD,-99.4359755,35.6070605
OKwr_S10138,POD,-98.65757303,35.60134247
OKwr_S10139,POD,-98.73529362,35.63382254
OKwr_S1014,POD,-97.96616713,34.42989479
OKwr_S1014,POD,-97.96616713,34.42989479
OKwr_S10140,POD,-98.7176095,35.6049505
OKwr_S10141,POD,-98.71760871,35.59774154
OKwr_S10142,POD,-98.70650175,35.60675743
OKwr_S10143,POD,-98.01566669,35.59392649
OKwr_S10144,POD,-98.01330867,35.58121519
OKwr_S10145,POD,-98.01551615,35.58119911
OKwr_S10146,POD,-98.6442585,35.6140135
OKwr_S10147,POD,-98.642045,35.58507325
OKwr_S10148,POD,-98.65426638,35.55519316
OKwr_S10149,POD,-98.06332359,35.57839904
OKwr_S1015,POD,-100.27239488,36.57712229
OKwr_S10150,POD,-97.55744605,35.68302709
OKwr_S10151,POD,-97.55745024,35.68838728
OKwr_S10152,POD,-99.6837945,35.6052375
OKwr_S10153,POD,-99.6815372,35.60704759
OKwr_S10154,POD,-99.79005597,35.63811811
OKwr_S10155,POD,-99.71223702,35.62163307
OKwr_S10155,POD,-99.71223702,35.62163307
OKwr_S10156,POD,-99.57514068,35.58564376
OKwr_S10157,POD,-97.5018555,35.7120125
OKwr_S10158,POD,-97.48832295,35.71190763
OKwr_S10159,POD,-97.48165255,35.71183671
OKwr_S1016,POD,-99.15756062,34.5068113
OKwr_S10160,POD,-99.9915305,35.6167925
OKwr_S10161,POD,-99.57734781,35.57459835
OKwr_S10161,POD,-99.57734781,35.57459835
OKwr_S10162,POD,-97.89205864,35.55496695
OKwr_S10163,POD,-97.90106424,35.56223172
OKwr_S10164,POD,-97.91233643,35.56039631
OKwr_S10165,POD,-99.50309152,35.56543202
OKwr_S10166,POD,-98.70647226,35.63024518
OKwr_S10167,POD,-98.7064625,35.62843682
OKwr_S10168,POD,-97.46602525,35.6591765
OKwr_S10169,POD,-97.46157715,35.65556138
OKwr_S1017,POD,-99.1575655,34.5053835
OKwr_S10170,POD,-97.4838215,35.6393305
OKwr_S10171,POD,-97.459323,35.66458781
OKwr_S10172,POD,-97.45267176,35.66640175
OKwr_S10173,POD,-97.5373265,35.6828865
OKwr_S10175,POD,-98.06121,35.60376398
OKwr_S10175,POD,-98.06121,35.60376398
OKwr_S10176,POD,-99.914127,35.5713965
OKwr_S10177,POD,-99.9207925,35.5714055
OKwr_S10178,POD,-98.70646312,35.5777694
OKwr_S10179,POD,-98.11651286,35.62568518
OKwr_S1018,POD,-99.8514535,34.5878085
OKwr_S10180,POD,-96.4335911,35.58375
OKwr_S10181,POD,-99.58626173,35.58925751
OKwr_S10182,POD,-99.08984269,35.5742055
OKwr_S10183,POD,-98.63656297,35.56964558
OKwr_S10185,POD,-99.72660422,35.63176997
OKwr_S10186,POD,-99.7266677,35.62091831
OKwr_S10187,POD,-99.69006066,35.62714933
OKwr_S10188,POD,-99.69027986,35.62344719
OKwr_S10189,POD,-99.4604137,35.57273855
OKwr_S1019,POD,-99.8362185,34.5860285
OKwr_S10190,POD,-99.43832186,35.5745042
OKwr_S10191,POD,-99.42933403,35.57447072
OKwr_S10192,POD,-99.44041459,35.56185553
OKwr_S10193,POD,-99.43375538,35.55462336
OKwr_S10194,POD,-97.94685062,35.56676129
OKwr_S10195,POD,-97.94462606,35.566767
OKwr_S10196,POD,-97.4905335,35.6917115
OKwr_S10197,POD,-97.4883085,35.6917115
OKwr_S10198,POD,-97.4838495,35.6917115
OKwr_S10199,POD,-99.44456819,35.62697898
OKwr_S102,POD,-99.07210315,34.5864045
OKwr_S1020,POD,-99.08580475,34.4435635
OKwr_S10200,POD,-97.44822585,35.65555163
OKwr_S10201,POD,-97.443774,35.657364
OKwr_S10202,POD,-97.483743,35.6628865
OKwr_S10203,POD,-97.47929375,35.6610555
OKwr_S10204,POD,-97.47932701,35.66648534
OKwr_S10205,POD,-97.452678,35.6464995
OKwr_S10206,POD,-97.45935037,35.64650274
OKwr_S10206,POD,-97.45935037,35.64650274
OKwr_S10207,POD,-97.454902,35.6501135
OKwr_S10208,POD,-97.4571238,35.65375238
OKwr_S10209,POD,-97.45045107,35.65374784
OKwr_S1021,POD,-100.6788375,36.5375615
OKwr_S10210,POD,-97.44377675,35.65374573
OKwr_S10211,POD,-97.46159283,35.68264524
OKwr_S10212,POD,-97.46161433,35.68805751
OKwr_S10213,POD,-97.47710399,35.6574311
OKwr_S10214,POD,-97.470484,35.65740625
OKwr_S10215,POD,-97.46155731,35.65917425
OKwr_S10216,POD,-97.45736637,35.70977053
OKwr_S10217,POD,-97.46152737,35.66459454
OKwr_S10218,POD,-97.46824,35.6627905
OKwr_S10219,POD,-97.474933,35.6645975
OKwr_S1022,POD,-99.19702013,34.49992954
OKwr_S10220,POD,-97.47269619,35.66643597
OKwr_S10221,POD,-97.46375534,35.66642161
OKwr_S10222,POD,-97.46377862,35.67727079
OKwr_S10223,POD,-97.47040637,35.67187154
OKwr_S10224,POD,-97.472631,35.6736715
OKwr_S10225,POD,-97.4771095,35.67188578
OKwr_S10226,POD,-97.503865,35.6684727
OKwr_S10227,POD,-97.49721149,35.67385874
OKwr_S10228,POD,-97.4749435,35.6898745
OKwr_S10229,POD,-97.4704935,35.6898745
OKwr_S1023,POD,-99.19702091,34.49629525
OKwr_S10230,POD,-97.47495964,35.69538624
OKwr_S10231,POD,-97.47050949,35.69536286
OKwr_S10232,POD,-97.47711338,35.64291676
OKwr_S10233,POD,-97.48155926,35.64473706
OKwr_S10234,POD,-97.48601061,35.6465474
OKwr_S10235,POD,-97.49048,35.6501595
OKwr_S10236,POD,-97.49492617,35.65204098
OKwr_S10237,POD,-97.45712375,35.6609715
OKwr_S10238,POD,-97.457124,35.6645855
OKwr_S10239,POD,-97.450447,35.6627785
OKwr_S1024,POD,-95.25946275,34.47650864
OKwr_S10240,POD,-97.44376598,35.6645983
OKwr_S10241,POD,-97.44821751,35.66639675
OKwr_S10242,POD,-97.45712075,35.66640725
OKwr_S10243,POD,-97.43270839,35.65377681
OKwr_S10244,POD,-97.430495,35.6574085
OKwr_S10245,POD,-97.43272402,35.65921148
OKwr_S10246,POD,-97.430521,35.6628295
OKwr_S10247,POD,-97.4415868,35.6664075
OKwr_S10248,POD,-97.41497113,35.66641522
OKwr_S10249,POD,-97.410522,35.66097877
OKwr_S1025,POD,-99.08357969,34.43454913
OKwr_S10250,POD,-97.4083129,35.66642825
OKwr_S10251,POD,-97.42609574,35.66820352
OKwr_S10252,POD,-97.42832255,35.67000811
OKwr_S10253,POD,-97.42610642,35.6736344
OKwr_S10254,POD,-97.45266069,35.67001866
OKwr_S10255,POD,-97.45931731,35.67003256
OKwr_S10256,POD,-97.45932882,35.67363456
OKwr_S10257,POD,-97.4527485,35.6898235
OKwr_S10258,POD,-97.45490775,35.68083327
OKwr_S10259,POD,-97.4571985,35.6898235
OKwr_S1026,POD,-99.09677608,34.46342546
OKwr_S10260,POD,-97.4527485,35.6934375
OKwr_S10261,POD,-97.45941726,35.69345077
OKwr_S10262,POD,-97.45719918,35.69528009
OKwr_S10263,POD,-97.45951212,35.70072665
OKwr_S10264,POD,-97.4529135,35.70071275
OKwr_S10265,POD,-97.4573645,35.7043075
OKwr_S10266,POD,-97.490366,35.6574915
OKwr_S10267,POD,-97.48592279,35.65927409
OKwr_S10268,POD,-97.4903665,35.6628865
OKwr_S10269,POD,-97.4949038,35.66656869
OKwr_S1027,POD,-99.09468845,34.46527763
OKwr_S10270,POD,-97.48816838,35.66653598
OKwr_S10271,POD,-97.35500163,35.64278272
OKwr_S10272,POD,-97.47267862,35.64471254
OKwr_S10273,POD,-97.45952264,35.70793512
OKwr_S10274,POD,-97.44599587,35.6609714
OKwr_S10275,POD,-97.45291388,35.70792154
OKwr_S10276,POD,-97.4638105,35.68265025
OKwr_S10277,POD,-97.46157987,35.65012254
OKwr_S10278,POD,-97.46379787,35.64831826
OKwr_S10279,POD,-99.29842274,35.63778427
OKwr_S10279,POD,-99.29842274,35.63778427
OKwr_S1028,POD,-99.09353658,34.46798746
OKwr_S10280,POD,-97.8976737,35.58128463
OKwr_S10281,POD,-99.44707899,35.56548837
OKwr_S10282,POD,-98.10644699,35.6374925
OKwr_S10282,POD,-98.10644699,35.6374925
OKwr_S10283,POD,-98.69196233,35.555123
OKwr_S10284,POD,-97.38614487,35.70805654
OKwr_S10285,POD,-97.38836961,35.70627171
OKwr_S10286,POD,-98.59236147,35.56974749
OKwr_S10287,POD,-99.13423788,35.55972905
OKwr_S10288,POD,-99.12975078,35.56334129
OKwr_S10289,POD,-99.16098529,35.55974549
OKwr_S1029,POD,-99.08813877,34.47069579
