index,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
39,NDwr_S40,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.90768,-103.2648,,,POD,Unspecified,15109807DD,,Surface Water,ND,
40,NDwr_S41,,NDwr_WS8,,Unspecified,Williams,4326,,,,,48.19905,-102.96009,,,POD,Unspecified,15509636DD,,Surface Water,ND,
41,NDwr_S42,,NDwr_WS8,,Unspecified,Williams,4326,,,,,48.20267,-102.94949,,,POD,Unspecified,15509531CA,,Surface Water,ND,
42,NDwr_S43,,NDwr_WS8,,Unspecified,Williams,4326,,,,,48.19906,-102.95475,,,POD,Unspecified,15509531CC,,Surface Water,ND,
43,NDwr_S44,,NDwr_WS8,,Unspecified,Williams,4326,,,,,48.19906,-102.94949,,,POD,Unspecified,15509531CD,,Surface Water,ND,
44,NDwr_S45,,NDwr_WS8,,Unspecified,Williams,4326,,,,,48.19544000000001,-102.94954,,,POD,Unspecified,15409506BA,,Surface Water,ND,
45,NDwr_S46,,NDwr_WS9,,Unspecified,Bowman,4326,,,,,46.18406,-103.91937,,,POD,Unspecified,13110610,,Surface Water,ND,
46,NDwr_S47,,NDwr_WS10,,Unspecified,Morton,4326,,,,,46.81759,-100.90953,,,POD,Unspecified,13908133AW,,Surface Water,ND,
47,NDwr_S48,,NDwr_WS2,,Unspecified,Burleigh,4326,,,,,46.76925,-100.71568,,,POD,Unspecified,13808013D,,Surface Water,ND,
48,NDwr_S49,,NDwr_WS2,,Unspecified,Burleigh,4326,,,,,46.77649,-100.71566,,,POD,Unspecified,13808013A,,Surface Water,ND,
49,NDwr_S50,,NDwr_WS2,,Unspecified,Divide,4326,,,,,48.64105,-103.96087,,,POD,Unspecified,16010335,,Surface Water,ND,
50,NDwr_S51,,NDwr_WS2,,Unspecified,Divide,4326,,,,,48.65554,-103.96085,,,POD,Unspecified,16010326,,Surface Water,ND,
51,NDwr_S52,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.79171,-103.18422,,,POD,Unspecified,15009823DC,,Surface Water,ND,
52,NDwr_S53,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.79173,-103.19485,,,POD,Unspecified,15009823CC,,Surface Water,ND,
53,NDwr_S54,,NDwr_WS2,,Unspecified,Stark,4326,,,,,46.86688,-102.82943,,,POD,Unspecified,13909608CB,,Surface Water,ND,
54,NDwr_S55,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.84571,-102.94414,,,POD,Unspecified,15009603AA,,Surface Water,ND,
55,NDwr_S56,,NDwr_WS11,,Unspecified,Dunn,4326,,,,,47.66263,-102.96401,,,POD,Unspecified,14809606CD,,Surface Water,ND,
56,NDwr_S57,,NDwr_WS2,,Unspecified,Hettinger,4326,,,,,46.43302,-102.60548,,,POD,Unspecified,13409510CA,,Surface Water,ND,
57,NDwr_S58,,NDwr_WS2,,Unspecified,Williams,4326,,,,,47.99823,-103.96619,,,POD,Unspecified,15210411CB,,Surface Water,ND,
58,NDwr_S59,,NDwr_WS2,,Unspecified,Williams,4326,,,,,47.99642,-103.9635,,,POD,Unspecified,15210411C,,Surface Water,ND,
59,NDwr_S60,,NDwr_WS2,,Unspecified,Mountrail,4326,,,,,48.10836,-102.55054,,,POD,Unspecified,15309206AA,,Surface Water,ND,
60,NDwr_S61,,NDwr_WS12,,Unspecified,Williams,4326,,,,,47.99101,-104.01483,,,POD,Unspecified,15210417AA,,Surface Water,ND,
61,NDwr_S62,,NDwr_WS2,,Unspecified,Williams,4326,,,,,47.99462,-103.98244,,,POD,Unspecified,15210410CD,,Surface Water,ND,
62,NDwr_S63,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.69089,-103.47352,,,POD,Unspecified,14910027CC,,Surface Water,ND,
63,NDwr_S64,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.58115,-103.703,,,POD,Unspecified,15910123CA,,Surface Water,ND,
64,NDwr_S65,,NDwr_WS2,,Unspecified,Dunn,4326,,,,,47.24677,-102.82887,,,POD,Unspecified,14409634DB,,Surface Water,ND,
65,NDwr_S66,,NDwr_WS2,,Unspecified,Renville,4326,,,,,48.87022,-101.87118,,,POD,Unspecified,16208607DA,,Surface Water,ND,
66,NDwr_S67,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.19182,-102.9443,,,POD,Unspecified,15409506AC,,Surface Water,ND,
67,NDwr_S68,,NDwr_WS13,,Unspecified,Burleigh,4326,,,,,46.88724000000001,-100.85634,,,POD,Unspecified,13908102DA,,Surface Water,ND,
68,NDwr_S69,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.0697,-103.9088,,,POD,Unspecified,15310315DD,,Surface Water,ND,
69,NDwr_S70,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.61734000000001,-104.01375,,,POD,Unspecified,14810526AA,,Surface Water,ND,
70,NDwr_S71,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.24623,-103.04659,,,POD,Unspecified,15509617DA,,Surface Water,ND,
71,NDwr_S72,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.34703,-101.46641,,,POD,Unspecified,15608410CB,,Surface Water,ND,
72,NDwr_S73,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.34699000000001,-101.47727,,,POD,Unspecified,15608409DB,,Surface Water,ND,
73,NDwr_S74,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.35065,-101.47726,,,POD,Unspecified,15608409AC,,Surface Water,ND,
74,NDwr_S75,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.53045,-103.6432,,,POD,Unspecified,15810008BB,,Surface Water,ND,
76,NDwr_S76,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.53045,-103.6486,,,POD,Unspecified,15810007AA,,Surface Water,ND,
77,NDwr_S77,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.49422,-103.65966,,,POD,Unspecified,15810019CA,,Surface Water,ND,
78,NDwr_S78,,NDwr_WS2,,Unspecified,Dunn,4326,,,,,47.22873,-102.79161,,,POD,Unspecified,14309601CD,,Surface Water,ND,
79,NDwr_S79,,NDwr_WS2,,Unspecified,Dunn,4326,,,,,47.23958,-102.80221,,,POD,Unspecified,14309602AA,,Surface Water,ND,
