OrganizationID,ReportingUnitNativeID,ReportingUnitName,ReportingUnitTypeCV,VariableCV,VariableSpecificCV,BeneficialUseCategory,USGSCategoryCV,WaterSourceID,MethodName,ReportYearCV,TimeframeStart,TimeframeEnd,InterbasinTransferFromID,InterbasinTransferToID,Amount,PopulationServed,IrrigatedAcreage,PowerGeneratedGWh,NAICSCodeCV,Geometry,State
UTDWRE,49011,Davis,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2016,10/1/2016,9/30/2017,,,25269.42,,,,111000,,Utah
UTDWRE,49049,Utah,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2015,10/1/2015,9/30/2016,,,158268.32,,,,111000,,Utah
UTDWRE,49035,Salt Lake,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2011,10/1/2011,9/30/2012,,,13522.21,,,,111000,,Utah
UTDWRE,49041,Sevier,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2009,10/1/2009,9/30/2010,,,123427.98,,,,111000,,Utah
UTDWRE,49021,Iron,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2015,10/1/2015,9/30/2016,,,122699.86,,,,111000,,Utah
UTDWRE,49053,Washington,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2017,10/1/2017,9/30/2018,,,31770.15,,,,111000,,Utah
UTDWRE,49009,Daggett,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2015,10/1/2015,9/30/2016,,,21070.53,,,,111000,,Utah
UTDWRE,49055,Wayne,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,34674.99,,,,111000,,Utah
UTDWRE,49047,Uintah,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2014,10/1/2014,9/30/2015,,,145259.01,,,,111000,,Utah
UTDWRE,49025,Kane,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2017,10/1/2017,9/30/2018,,,12446.47,,,,111000,,Utah
UTDWRE,49003,Box Elder,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2017,10/1/2017,9/30/2018,,,316932.39,,,,111000,,Utah
UTDWRE,49045,Tooele,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2013,10/1/2013,9/30/2014,,,67623.73,,,,111000,,Utah
UTDWRE,49027,Millard,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2005,10/1/2005,9/30/2006,,,241326.99,,,,111000,,Utah
UTDWRE,49043,Summit,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2011,10/1/2011,9/30/2012,,,29553.47,,,,111000,,Utah
UTDWRE,49039,SanPete,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2010,10/1/2010,9/30/2011,,,144013.29,,,,111000,,Utah
UTDWRE,49011,Davis,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2010,10/1/2010,9/30/2011,,,30671.09,,,,111000,,Utah
UTDWRE,49049,Utah,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2009,10/1/2009,9/30/2010,,,158476.92,,,,111000,,Utah
UTDWRE,49027,Millard,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2013,10/1/2013,9/30/2014,,,246817.96,,,,111000,,Utah
UTDWRE,49051,Wasatch,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2009,10/1/2009,9/30/2010,,,30828.32,,,,111000,,Utah
UTDWRE,49045,Tooele,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2007,10/1/2007,9/30/2008,,,46627.5,,,,111000,,Utah
UTDWRE,49033,Rich,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2015,10/1/2015,9/30/2016,,,78129.42,,,,111000,,Utah
UTDWRE,49015,Emery,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2014,10/1/2014,9/30/2015,,,105380.36,,,,111000,,Utah
UTDWRE,49015,Emery,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2008,10/1/2008,9/30/2009,,,110168.17,,,,111000,,Utah
UTDWRE,49051,Wasatch,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2015,10/1/2015,9/30/2016,,,28312.85,,,,111000,,Utah
UTDWRE,49033,Rich,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2009,10/1/2009,9/30/2010,,,92765.99,,,,111000,,Utah
UTDWRE,49001,Beaver,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,70417.78,,,,111000,,Utah
UTDWRE,49021,Iron,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,140039.72,,,,111000,,Utah
UTDWRE,49053,Washington,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2008,10/1/2008,9/30/2009,,,38214.4,,,,111000,,Utah
UTDWRE,49009,Daggett,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,14354.35,,,,111000,,Utah
UTDWRE,49037,San Juan,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,19074.01,,,,111000,,Utah
UTDWRE,49029,Morgan,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,22098.58,,,,111000,,Utah
UTDWRE,49041,Sevier,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2015,10/1/2015,9/30/2016,,,106569.53,,,,111000,,Utah
UTDWRE,49017,Garfield,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2009,10/1/2009,9/30/2010,,,51818.15,,,,111000,,Utah
UTDWRE,49021,Iron,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,135327.99,,,,111000,,Utah
UTDWRE,49031,Piute,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,36525.4,,,,111000,,Utah
UTDWRE,49013,Duchesne,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2016,10/1/2016,9/30/2017,,,221684.22,,,,111000,,Utah
UTDWRE,49005,Cache,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,91118.86,,,,111000,,Utah
UTDWRE,49035,Salt Lake,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2005,10/1/2005,9/30/2006,,,22444.46,,,,111000,,Utah
UTDWRE,49055,Wayne,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2015,10/1/2015,9/30/2016,,,35806.14,,,,111000,,Utah
UTDWRE,49025,Kane,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2011,10/1/2011,9/30/2012,,,10408.61,,,,111000,,Utah
UTDWRE,49035,Salt Lake,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2014,10/1/2014,9/30/2015,,,12286.35,,,,111000,,Utah
UTDWRE,49007,Carbon,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,29903.13,,,,111000,,Utah
UTDWRE,49019,Grand,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,21368.95,,,,111000,,Utah
UTDWRE,49007,Carbon,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,29620.38,,,,111000,,Utah
UTDWRE,49037,San Juan,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,22650.8,,,,111000,,Utah
UTDWRE,49047,Uintah,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,189203.41,,,,111000,,Utah
UTDWRE,49025,Kane,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2005,10/1/2005,9/30/2006,,,11377.97,,,,111000,,Utah
UTDWRE,49031,Piute,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,28703.36,,,,111000,,Utah
UTDWRE,49013,Duchesne,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2010,10/1/2010,9/30/2011,,,233564.8,,,,111000,,Utah
UTDWRE,49051,Wasatch,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,37117.19,,,,111000,,Utah
UTDWRE,49057,Weber,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2016,10/1/2016,9/30/2017,,,59238.22,,,,111000,,Utah
