AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,Geometry,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,Unnamed: 11,MethodUUID,NAICSCodeCV,OrganizationUUID,PopulationServed,PowerGeneratedGWh,PowerType,Unnamed: 18,Unnamed: 19,ReportingUnitName,ReportingUnitNativeID,ReportingUnitTypeCV,ReportYearCV,Unnamed: 24,TimeframeEnd,TimeframeStart,USGSCategoryCV,UT_VariableCV,UT_VariableSpecificCV,WaterSourceID,tempWST,in_VariableSpecificCV,in_WaterSourceNativeID
,9131.299127,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Kane,49025,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,244125.790033,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Millard,49027,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,18257.275956,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Morgan,49029,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,30999.727885,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Piute,49031,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,129841.01344,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Rich,49033,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,22395.358583,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Salt Lake,49035,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,228791.421812,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Duchesne,49013,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,110309.949854,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Emery,49015,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,49149.233037,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Garfield,49017,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,15124.086082,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Grand,49019,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
