SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AKwr_S433,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Kuparuk Deadarm Reservoir 5,,,lake,AK,,Bad Latitude,432.0
AKwr_S434,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,BP W Pad lake,,,lake,AK,,Bad Latitude,433.0
AKwr_S435,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Duck Island Pit (DIU),,,well,AK,,Bad Latitude,434.0
AKwr_S436,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Lake 11,,,lake,AK,,Bad Latitude,435.0
AKwr_S437,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Vern Lake (Sag Mine site C),,,lake,AK,,Bad Latitude,436.0
AKwr_S438,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Northern Lights and C street,,,well,AK,,Bad Latitude,437.0
AKwr_S439,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Cannery Loop Unit Pad 2 Water Well,,,well,AK,,Bad Latitude,438.0
AKwr_S440,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Cannery Loop Unit Pad 3,,,well,AK,,Bad Latitude,439.0
AKwr_S441,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Pretty Creek Unit Pad 2 Well,,,well,AK,,Bad Latitude,440.0
AKwr_S442,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Nanuk Lake and relics,,,lake,AK,,Bad Latitude,441.0
AKwr_S443,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,BOC Impoundments,,,lake,AK,,Bad Latitude,442.0
AKwr_S444,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,CC2 Impoundment,,,lake,AK,,Bad Latitude,443.0
AKwr_S445,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,CSP Impoundments,,,lake,AK,,Bad Latitude,444.0
AKwr_S446,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Five  Impoundments in PBU,,,lake,AK,,Bad Latitude,445.0
AKwr_S447,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,J Pad Impoundments,,,lake,AK,,Bad Latitude,446.0
AKwr_S448,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,NVTA Well #1,,,well,AK,,Bad Latitude,447.0
AKwr_S449,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,5 Lakes within KRU CPF-1,,,lake,AK,,Bad Latitude,448.0
AKwr_S450,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,5 Sources within KRU,,,lake,AK,,Bad Latitude,449.0
AKwr_S451,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Mine Site E plus 3 Lakes,,,lake,AK,,Bad Latitude,450.0
AKwr_S452,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,3 Sources KRU,,,lake,AK,,Bad Latitude,451.0
AKwr_S453,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,5 Sources KRU,,,lake,AK,,Bad Latitude,452.0
AKwr_S454,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Endicott Rd Lake at Mile 6.3,,,lake,AK,,Bad Latitude,453.0
AKwr_S455,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Endicott Rd Lake at Mile 8.5,,,lake,AK,,Bad Latitude,454.0
AKwr_S456,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,4 Endicott Rd Lakes,,,lake,AK,,Bad Latitude,455.0
AKwr_S457,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Ivan River Wells,,,well,AK,,Bad Latitude,456.0
AKwr_S458,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Badami Lake #1,,,lake,AK,,Bad Latitude,457.0
AKwr_S459,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Badami Lake #2,,,lake,AK,,Bad Latitude,458.0
AKwr_S460,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Badami Lake #8,,,well,AK,,Bad Latitude,459.0
AKwr_S461,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Wells 6_ 7_ 8,,,well,AK,,Bad Latitude,460.0
AKwr_S463,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Milne Point Unit F Pad Wells,,,well,AK,,Bad Latitude,462.0
AKwr_S464,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9272,,,lake,AK,,Bad Latitude,463.0
AKwr_S465,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9117,,,well,AK,,Bad Latitude,464.0
AKwr_S466,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MC7920,,,lake,AK,,Bad Latitude,465.0
AKwr_S467,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Sag River,,,river,AK,,Bad Latitude,466.0
AKwr_S468,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Kuparuk Mine Sites C & F and Lakes K201- M9514- and L9334,,,lake,AK,,Bad Latitude,467.0
AKwr_S469,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,K210/L9123,,,well,AK,,Bad Latitude,468.0
AKwr_S470,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M9514,,,well,AK,,Bad Latitude,469.0
AKwr_S471,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M9515,,,well,AK,,Bad Latitude,470.0
AKwr_S472,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MB1201,,,lake,AK,,Bad Latitude,471.0
AKwr_S473,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,K210,,,well,AK,,Bad Latitude,472.0
AKwr_S474,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Kaldacabuna,,,lake,AK,,Bad Latitude,473.0
AKwr_S475,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Pad G well,,,well,AK,,Bad Latitude,474.0
AKwr_S476,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9121,,,lake,AK,,Bad Latitude,475.0
AKwr_S477,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M0251,,,lake,AK,,Bad Latitude,476.0
AKwr_S478,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MB1202,,,lake,AK,,Bad Latitude,477.0
AKwr_S479,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9118,,,lake,AK,,Bad Latitude,478.0
AKwr_S480,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MB1209,,,lake,AK,,Bad Latitude,479.0
AKwr_S481,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MB1203,,,lake,AK,,Bad Latitude,480.0
