VariableSpecificUUID,AggregationInterval,AggregationIntervalUnitCV,AggregationStatisticCV,AmountUnitCV,MaximumAmountUnitCV,ReportYearStartMonth,ReportYearTypeCV,VariableCV,VariableSpecificCV
CO_Supply_1,1,Year,Cumulative,AFY,AFY,1,CalendarYear,Supply,ReservoirStorage
CO_Supply_2,1,Year,Cumulative,AFY,AFY,1,CalendarYear,Supply,ForecastedRunoff
CO_Supply_3,1,Year,Cumulative,AFY,AFY,1,CalendarYear,Supply,PrevMoStreamflow
