SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
UTSS_S232,,Unspecified,Salt Lake,EPSG:4326,,,,,40.67056587,-111.9194979,,,Atherton West Well (WS024),12770028,,Well,UT,
UTSS_S233,,Unspecified,Wayne,EPSG:4326,,,,,38.36316831,-110.7160281,,,Town Well #3 (WS003),108540023,,Well,UT,
UTSS_S234,,Unspecified,Wayne,EPSG:4326,,,,,38.37685506,-110.7155485,,,Ekker Well (6 1/4`),12780001,,Well,UT,
UTSS_S235,,Unspecified,Iron,EPSG:4326,,,,,37.53982965,-113.1731763,,,Kannarraville Spring (WS001),12820002,,Spring,UT,
UTSS_S236,,Unspecified,Iron,EPSG:4326,,,,,37.54099752,-113.1798541,,,Well #2 (WS003),12820001,,Well,UT,
UTSS_S237,,Unspecified,Utah,EPSG:4326,,,,,39.91941582,-111.0883654,,,Aagard Well (WS001),108542143,,Well,UT,
UTSS_S238,,Unspecified,Iron,EPSG:4326,,,,,37.83181558,-112.81368059999998,,,Canyon Well (WS004),12870004,,Well,UT,
UTSS_S239,,Unspecified,Sevier,EPSG:4326,,,,,38.68583495,-112.0880325,,,North/South Springs (Group),12900002,,Tunnel,UT,
UTSS_S240,,Unspecified,Sevier,EPSG:4326,,,,,38.70332642,-112.1015018,,,DownTown Well (WS001),12900003,,Well,UT,
UTSS_S241,,Unspecified,Sevier,EPSG:4326,,,,,38.69327723,-112.0853225,,,Mecham Well (WS004),12900005,,Well,UT,
UTSS_S242,,Unspecified,Sevier,EPSG:4326,,,,,38.69332596,-112.0851024,,,Mecham Spring (WS005),12900004,,Spring,UT,
UTSS_S243,,Unspecified,Iron,EPSG:4326,,,,,37.89233996,-112.7151102,,,Springs Group (SS451),12930003,,Spring,UT,
UTSS_S244,,Unspecified,Salt Lake,EPSG:4326,,,,,40.71117965,-112.05669840000002,,,Barton Well No. 5 (Culinary),12940005,,Well,UT,
UTSS_S245,,Unspecified,San Juan,EPSG:4326,,,,,37.87214845,-109.3692054,,,Blue Mountain Water Treatment Plant,12950005,,Spring,UT,
UTSS_S246,,Unspecified,San Juan,EPSG:4326,,,,,37.86139226,-109.34152079999998,,,STP Well No. 1,12950008,,Well,UT,
UTSS_S247,,Unspecified,Washington,EPSG:4326,,,,,37.17818741,-113.636017,,,Snow Canyon Spring,12960003,,Spring,UT,
UTSS_S248,,Unspecified,Box Elder,EPSG:4326,,,,,41.97585917,-112.2520618,,,1978 Well,13000003,,Well,UT,
UTSS_S249,,Unspecified,Duchesne,EPSG:4326,,,,,40.18433644,-110.4418983,,,Upper Well,13010001,,Well,UT,
UTSS_S250,,Unspecified,Duchesne,EPSG:4326,,,,,40.18912151,-110.4584383,,,Starvation Well,13010002,,Well,UT,
UTSS_S251,,Unspecified,Cache,EPSG:4326,,,,,41.87480403,-111.7434037,,,Miles Spring (Culinary) (WS002),13030002,,Spring,UT,
UTSS_S252,,Unspecified,Cache,EPSG:4326,,,,,41.83116173,-111.8645629,,,Well #1 (3 in),13050002,,Well,UT,
UTSS_S253,,Unspecified,Kane,EPSG:4326,,,,,37.47085648,-112.4864019,,,Birch Spring (WS001),13070002,,Spring,UT,
UTSS_S254,,Unspecified,Kane,EPSG:4326,,,,,37.46200554,-112.4257504,,,Seegmiller Springs #1(WS002),13070003,,Spring,UT,
UTSS_S255,,Unspecified,Utah,EPSG:4326,,,,,40.00116866,-111.7262042,,,Picayune Spring (WS001),13100002,,Spring,UT,
UTSS_S256,,Unspecified,Utah,EPSG:4326,,,,,40.00159971,-111.7357189,,,New East Well (WS003),13100004,,Well,UT,
UTSS_S257,,Unspecified,Cache,EPSG:4326,,,,,41.95887043,-111.8077032,,,South Cove Well,108543056,,Well,UT,
UTSS_S258,,Unspecified,Cache,EPSG:4326,,,,,41.97736431,-111.7806262,,,Atkinson Spring,13130001,,Spring,UT,
UTSS_S259,,Unspecified,Cache,EPSG:4326,,,,,41.97419358,-111.7670223,,,Hy Bair Spring,13130003,,Spring,UT,
UTSS_S260,,Unspecified,Grand,EPSG:4326,,,,,39.04952466,-109.7231821,,,Thompson Springs  (WS001),13140001,,Spring,UT,
UTSS_S261,,Unspecified,Tooele,EPSG:4326,,,,,40.38265118,-112.2345166,,,Martin Spring (WS001),13260002,,Spring,UT,
UTSS_S262,,Unspecified,Tooele,EPSG:4326,,,,,40.39654392,-112.23137,,,Tubbs Spring (WS002),13260003,,Spring,UT,
UTSS_S263,,Unspecified,Tooele,EPSG:4326,,,,,40.38244319,-112.2344518,,,Ophir Well (WS003),13260004,,Well,UT,
UTSS_S264,,Unspecified,Box Elder,EPSG:4326,,,,,41.9036447,-112.1670627,,,Well #1 (WS001),13280001,,Well,UT,
UTSS_S265,,Unspecified,Box Elder,EPSG:4326,,,,,41.90408574,-112.1698525,,,Well #2 (WS002),13280002,,Well,UT,
UTSS_S266,,Unspecified,Summit,EPSG:4326,,,,,40.71706727,-111.3653242,,,Humbug Well (WS004),108540289,,Well,UT,
UTSS_S267,,Unspecified,Summit,EPSG:4326,,,,,40.72687526,-111.25163,,,Cottonwood Spring (WS001),13290001,,Spring,UT,
UTSS_S268,,Unspecified,Sanpete,EPSG:4326,,,,,39.34207656,-111.546922,,,Canyon Tank Springs Group (Group SS143),13300014,,Spring,UT,
UTSS_S269,,Unspecified,Cache,EPSG:4326,,,,,41.68685143,-111.810467,,,Matthews Spring,13320003,,Spring,UT,
UTSS_S270,,Unspecified,Rich,EPSG:4326,,,,,41.52229183,-111.1699982,,,1982 Well (WS003),13330005,,Well,UT,
UTSS_S271,,Unspecified,Weber,EPSG:4326,,,,,41.24917672,-111.7821722,,,Mitchell Well (WS001),108544001,,Well,UT,
UTSS_S272,,Unspecified,Davis,EPSG:4326,,,,,41.13262935,-111.9379993,,,Well #1 (WS001),13400002,,Well,UT,
UTSS_S273,,Unspecified,Utah,EPSG:4326,,,,,40.1568163,-111.5690099,,,Konold Spring (WS009),13430011,,Tunnel,UT,
UTSS_S274,,Unspecified,San Juan,EPSG:4326,,,,,37.87271213,-110.3949781,,,Hite Marina Well (WS002),108542362,,Well,UT,
UTSS_S275,,Unspecified,Sevier,EPSG:4326,,,,,38.92546591,-111.9387519,,,Springs/Wells Group (SS199),13530002,,Well,UT,
UTSS_S276,,Unspecified,Sevier,EPSG:4326,,,,,38.91505268,-111.986567,,,Broadhead Spring,13530003,,Spring,UT,
