MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWRi_Water Use Data,UDWRi,UTSS_S277,UDWRi_Site Specific Withdrawal,UTSS_WS277,41202.86131,,,Water Supplier,Aurora Municipal Water System (Culinary),,,11/02/2020,,"POLYGON ((-111.932344002126 38.9288169775806, -111.932649922548 38.9280483100667, -111.931646711285 38.928074614094, -111.9316762518 38.9280575273437, -111.927908428995 38.9281269186909, -111.926749656839 38.9289741676431, -111.926039945098 38.9284256102514, -111.924574357907 38.9283020596942, -111.924244215321 38.9236638941518, -111.924031933152 38.9210386212578, -111.920585197721 38.9211202813948, -111.920532773156 38.9183218953822, -111.92071171264 38.9182441590376, -111.920704118019 38.9178796242775, -111.921706621591 38.9168107301272, -111.921690548635 38.9167095707072, -111.921668634194 38.9165670057035, -111.921837342323 38.9164210432198, -111.921984455531 38.9163801418708, -111.922089709003 38.9164024694321, -111.923270793113 38.9151430952538, -111.923259847512 38.9151173195601, -111.923245287273 38.915017319831, -111.923455714815 38.914709002944, -111.923647273117 38.9144756282652, -111.923754441017 38.9143433062982, -111.923818505905 38.9141959161093, -111.923988298444 38.9140631884449, -111.92422808995 38.9139917234947, -111.924232626289 38.9138523737859, -111.92449029106 38.9138428542501, -111.924846609282 38.9134629115004, -111.926081770455 38.913097175737, -111.928736997432 38.9129273968036, -111.931093525159 38.9130257717861, -111.932780270244 38.9130618684556, -111.933054972611 38.9135258245496, -111.933632550514 38.9135044459149, -111.933667844456 38.9145607311022, -111.933762796738 38.9147210925384, -111.93418185436 38.9147135947193, -111.936959114235 38.9146197881621, -111.937690123003 38.9134866133887, -111.938020164195 38.9133590662398, -111.938027202151 38.9133417081182, -111.938069050937 38.9133402003905, -111.938327940863 38.9132400775658, -111.938156044377 38.909907931988, -111.940302931351 38.9098236162199, -111.939429780818 38.911052299266, -111.939593694132 38.9110362918246, -111.939641165387 38.9122747745546, -111.939448737531 38.9122802881677, -111.93915369761 38.9132514599433, -111.939157691717 38.9138345447649, -111.938858043834 38.913843983758, -111.938975724374 38.9143278416327, -111.938389316383 38.9150278635306, -111.938423402382 38.9160482917141, -111.943124228711 38.9159394001967, -111.943152205171 38.9167893834944, -111.944042293044 38.9167603817104, -111.944130844938 38.9197868962126, -111.944154447351 38.9198009430494, -111.945192291261 38.9196033087094, -111.946568281073 38.9192452273697, -111.947807412241 38.9193523189875, -111.948436838466 38.9201897558363, -111.94853031999 38.9209729722758, -111.948274876344 38.9220608992636, -111.948089393585 38.9229455050013, -111.947866741826 38.9238979962559, -111.945365076005 38.9236704746754, -111.944282015769 38.9236552710869, -111.944365383548 38.9262889349503, -111.942159866728 38.9263909218933, -111.942165766661 38.9268369293003, -111.941462130942 38.9268426064878, -111.941456224695 38.9263957880682, -111.941371860546 38.9264106160624, -111.940775203603 38.9417615036145, -111.939906225942 38.9434130467899, -111.938888126505 38.9454848030647, -111.938100889895 38.9470410571261, -111.937583033179 38.9479373255671, -111.935214783781 38.9483528186358, -111.93424093009 38.9487120543251, -111.932841459204 38.9482952170935, -111.931965791226 38.947869675879, -111.931456708672 38.9472384512232, -111.932287783618 38.9433795319199, -111.932532597097 38.9413680798577, -111.932883307816 38.9391620395484, -111.932927439594 38.9372468067578, -111.932792369206 38.9353915784202, -111.932642486886 38.9335499844824, -111.932524140343 38.9318252835472, -111.932492310692 38.9302756094912, -111.932344002126 38.9288169775806))",,,,,,Water Supplier,1997,,1997-12-31,1997-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S278,UDWRi_Site Specific Withdrawal,UTSS_WS278,34602.40294,,,Water Supplier,Aurora Municipal Water System (Culinary),,,11/02/2020,,"POLYGON ((-111.932344002126 38.9288169775806, -111.932649922548 38.9280483100667, -111.931646711285 38.928074614094, -111.9316762518 38.9280575273437, -111.927908428995 38.9281269186909, -111.926749656839 38.9289741676431, -111.926039945098 38.9284256102514, -111.924574357907 38.9283020596942, -111.924244215321 38.9236638941518, -111.924031933152 38.9210386212578, -111.920585197721 38.9211202813948, -111.920532773156 38.9183218953822, -111.92071171264 38.9182441590376, -111.920704118019 38.9178796242775, -111.921706621591 38.9168107301272, -111.921690548635 38.9167095707072, -111.921668634194 38.9165670057035, -111.921837342323 38.9164210432198, -111.921984455531 38.9163801418708, -111.922089709003 38.9164024694321, -111.923270793113 38.9151430952538, -111.923259847512 38.9151173195601, -111.923245287273 38.915017319831, -111.923455714815 38.914709002944, -111.923647273117 38.9144756282652, -111.923754441017 38.9143433062982, -111.923818505905 38.9141959161093, -111.923988298444 38.9140631884449, -111.92422808995 38.9139917234947, -111.924232626289 38.9138523737859, -111.92449029106 38.9138428542501, -111.924846609282 38.9134629115004, -111.926081770455 38.913097175737, -111.928736997432 38.9129273968036, -111.931093525159 38.9130257717861, -111.932780270244 38.9130618684556, -111.933054972611 38.9135258245496, -111.933632550514 38.9135044459149, -111.933667844456 38.9145607311022, -111.933762796738 38.9147210925384, -111.93418185436 38.9147135947193, -111.936959114235 38.9146197881621, -111.937690123003 38.9134866133887, -111.938020164195 38.9133590662398, -111.938027202151 38.9133417081182, -111.938069050937 38.9133402003905, -111.938327940863 38.9132400775658, -111.938156044377 38.909907931988, -111.940302931351 38.9098236162199, -111.939429780818 38.911052299266, -111.939593694132 38.9110362918246, -111.939641165387 38.9122747745546, -111.939448737531 38.9122802881677, -111.93915369761 38.9132514599433, -111.939157691717 38.9138345447649, -111.938858043834 38.913843983758, -111.938975724374 38.9143278416327, -111.938389316383 38.9150278635306, -111.938423402382 38.9160482917141, -111.943124228711 38.9159394001967, -111.943152205171 38.9167893834944, -111.944042293044 38.9167603817104, -111.944130844938 38.9197868962126, -111.944154447351 38.9198009430494, -111.945192291261 38.9196033087094, -111.946568281073 38.9192452273697, -111.947807412241 38.9193523189875, -111.948436838466 38.9201897558363, -111.94853031999 38.9209729722758, -111.948274876344 38.9220608992636, -111.948089393585 38.9229455050013, -111.947866741826 38.9238979962559, -111.945365076005 38.9236704746754, -111.944282015769 38.9236552710869, -111.944365383548 38.9262889349503, -111.942159866728 38.9263909218933, -111.942165766661 38.9268369293003, -111.941462130942 38.9268426064878, -111.941456224695 38.9263957880682, -111.941371860546 38.9264106160624, -111.940775203603 38.9417615036145, -111.939906225942 38.9434130467899, -111.938888126505 38.9454848030647, -111.938100889895 38.9470410571261, -111.937583033179 38.9479373255671, -111.935214783781 38.9483528186358, -111.93424093009 38.9487120543251, -111.932841459204 38.9482952170935, -111.931965791226 38.947869675879, -111.931456708672 38.9472384512232, -111.932287783618 38.9433795319199, -111.932532597097 38.9413680798577, -111.932883307816 38.9391620395484, -111.932927439594 38.9372468067578, -111.932792369206 38.9353915784202, -111.932642486886 38.9335499844824, -111.932524140343 38.9318252835472, -111.932492310692 38.9302756094912, -111.932344002126 38.9288169775806))",,,,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S276,UDWRi_Site Specific Withdrawal,UTSS_WS276,34602.40294,,,Water Supplier,Aurora Municipal Water System (Culinary),,,11/02/2020,,"POLYGON ((-111.932344002126 38.9288169775806, -111.932649922548 38.9280483100667, -111.931646711285 38.928074614094, -111.9316762518 38.9280575273437, -111.927908428995 38.9281269186909, -111.926749656839 38.9289741676431, -111.926039945098 38.9284256102514, -111.924574357907 38.9283020596942, -111.924244215321 38.9236638941518, -111.924031933152 38.9210386212578, -111.920585197721 38.9211202813948, -111.920532773156 38.9183218953822, -111.92071171264 38.9182441590376, -111.920704118019 38.9178796242775, -111.921706621591 38.9168107301272, -111.921690548635 38.9167095707072, -111.921668634194 38.9165670057035, -111.921837342323 38.9164210432198, -111.921984455531 38.9163801418708, -111.922089709003 38.9164024694321, -111.923270793113 38.9151430952538, -111.923259847512 38.9151173195601, -111.923245287273 38.915017319831, -111.923455714815 38.914709002944, -111.923647273117 38.9144756282652, -111.923754441017 38.9143433062982, -111.923818505905 38.9141959161093, -111.923988298444 38.9140631884449, -111.92422808995 38.9139917234947, -111.924232626289 38.9138523737859, -111.92449029106 38.9138428542501, -111.924846609282 38.9134629115004, -111.926081770455 38.913097175737, -111.928736997432 38.9129273968036, -111.931093525159 38.9130257717861, -111.932780270244 38.9130618684556, -111.933054972611 38.9135258245496, -111.933632550514 38.9135044459149, -111.933667844456 38.9145607311022, -111.933762796738 38.9147210925384, -111.93418185436 38.9147135947193, -111.936959114235 38.9146197881621, -111.937690123003 38.9134866133887, -111.938020164195 38.9133590662398, -111.938027202151 38.9133417081182, -111.938069050937 38.9133402003905, -111.938327940863 38.9132400775658, -111.938156044377 38.909907931988, -111.940302931351 38.9098236162199, -111.939429780818 38.911052299266, -111.939593694132 38.9110362918246, -111.939641165387 38.9122747745546, -111.939448737531 38.9122802881677, -111.93915369761 38.9132514599433, -111.939157691717 38.9138345447649, -111.938858043834 38.913843983758, -111.938975724374 38.9143278416327, -111.938389316383 38.9150278635306, -111.938423402382 38.9160482917141, -111.943124228711 38.9159394001967, -111.943152205171 38.9167893834944, -111.944042293044 38.9167603817104, -111.944130844938 38.9197868962126, -111.944154447351 38.9198009430494, -111.945192291261 38.9196033087094, -111.946568281073 38.9192452273697, -111.947807412241 38.9193523189875, -111.948436838466 38.9201897558363, -111.94853031999 38.9209729722758, -111.948274876344 38.9220608992636, -111.948089393585 38.9229455050013, -111.947866741826 38.9238979962559, -111.945365076005 38.9236704746754, -111.944282015769 38.9236552710869, -111.944365383548 38.9262889349503, -111.942159866728 38.9263909218933, -111.942165766661 38.9268369293003, -111.941462130942 38.9268426064878, -111.941456224695 38.9263957880682, -111.941371860546 38.9264106160624, -111.940775203603 38.9417615036145, -111.939906225942 38.9434130467899, -111.938888126505 38.9454848030647, -111.938100889895 38.9470410571261, -111.937583033179 38.9479373255671, -111.935214783781 38.9483528186358, -111.93424093009 38.9487120543251, -111.932841459204 38.9482952170935, -111.931965791226 38.947869675879, -111.931456708672 38.9472384512232, -111.932287783618 38.9433795319199, -111.932532597097 38.9413680798577, -111.932883307816 38.9391620395484, -111.932927439594 38.9372468067578, -111.932792369206 38.9353915784202, -111.932642486886 38.9335499844824, -111.932524140343 38.9318252835472, -111.932492310692 38.9302756094912, -111.932344002126 38.9288169775806))",,,,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S277,UDWRi_Site Specific Withdrawal,UTSS_WS277,34602.40294,,,Water Supplier,Aurora Municipal Water System (Culinary),,,11/02/2020,,"POLYGON ((-111.932344002126 38.9288169775806, -111.932649922548 38.9280483100667, -111.931646711285 38.928074614094, -111.9316762518 38.9280575273437, -111.927908428995 38.9281269186909, -111.926749656839 38.9289741676431, -111.926039945098 38.9284256102514, -111.924574357907 38.9283020596942, -111.924244215321 38.9236638941518, -111.924031933152 38.9210386212578, -111.920585197721 38.9211202813948, -111.920532773156 38.9183218953822, -111.92071171264 38.9182441590376, -111.920704118019 38.9178796242775, -111.921706621591 38.9168107301272, -111.921690548635 38.9167095707072, -111.921668634194 38.9165670057035, -111.921837342323 38.9164210432198, -111.921984455531 38.9163801418708, -111.922089709003 38.9164024694321, -111.923270793113 38.9151430952538, -111.923259847512 38.9151173195601, -111.923245287273 38.915017319831, -111.923455714815 38.914709002944, -111.923647273117 38.9144756282652, -111.923754441017 38.9143433062982, -111.923818505905 38.9141959161093, -111.923988298444 38.9140631884449, -111.92422808995 38.9139917234947, -111.924232626289 38.9138523737859, -111.92449029106 38.9138428542501, -111.924846609282 38.9134629115004, -111.926081770455 38.913097175737, -111.928736997432 38.9129273968036, -111.931093525159 38.9130257717861, -111.932780270244 38.9130618684556, -111.933054972611 38.9135258245496, -111.933632550514 38.9135044459149, -111.933667844456 38.9145607311022, -111.933762796738 38.9147210925384, -111.93418185436 38.9147135947193, -111.936959114235 38.9146197881621, -111.937690123003 38.9134866133887, -111.938020164195 38.9133590662398, -111.938027202151 38.9133417081182, -111.938069050937 38.9133402003905, -111.938327940863 38.9132400775658, -111.938156044377 38.909907931988, -111.940302931351 38.9098236162199, -111.939429780818 38.911052299266, -111.939593694132 38.9110362918246, -111.939641165387 38.9122747745546, -111.939448737531 38.9122802881677, -111.93915369761 38.9132514599433, -111.939157691717 38.9138345447649, -111.938858043834 38.913843983758, -111.938975724374 38.9143278416327, -111.938389316383 38.9150278635306, -111.938423402382 38.9160482917141, -111.943124228711 38.9159394001967, -111.943152205171 38.9167893834944, -111.944042293044 38.9167603817104, -111.944130844938 38.9197868962126, -111.944154447351 38.9198009430494, -111.945192291261 38.9196033087094, -111.946568281073 38.9192452273697, -111.947807412241 38.9193523189875, -111.948436838466 38.9201897558363, -111.94853031999 38.9209729722758, -111.948274876344 38.9220608992636, -111.948089393585 38.9229455050013, -111.947866741826 38.9238979962559, -111.945365076005 38.9236704746754, -111.944282015769 38.9236552710869, -111.944365383548 38.9262889349503, -111.942159866728 38.9263909218933, -111.942165766661 38.9268369293003, -111.941462130942 38.9268426064878, -111.941456224695 38.9263957880682, -111.941371860546 38.9264106160624, -111.940775203603 38.9417615036145, -111.939906225942 38.9434130467899, -111.938888126505 38.9454848030647, -111.938100889895 38.9470410571261, -111.937583033179 38.9479373255671, -111.935214783781 38.9483528186358, -111.93424093009 38.9487120543251, -111.932841459204 38.9482952170935, -111.931965791226 38.947869675879, -111.931456708672 38.9472384512232, -111.932287783618 38.9433795319199, -111.932532597097 38.9413680798577, -111.932883307816 38.9391620395484, -111.932927439594 38.9372468067578, -111.932792369206 38.9353915784202, -111.932642486886 38.9335499844824, -111.932524140343 38.9318252835472, -111.932492310692 38.9302756094912, -111.932344002126 38.9288169775806))",,,,,,Water Supplier,1996,,1996-12-31,1996-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S283,UDWRi_Site Specific Withdrawal,UTSS_WS283,37104.0,,,Water Supplier,Deseret - Oasis Special Service District,,,11/02/2020,,"POLYGON ((-112.624680650842 39.2988392876618, -112.622428928046 39.2988526751119, -112.622175454186 39.2892783869277, -112.555363513207 39.2890820078865, -112.555804879442 39.2838771964603, -112.62468807274 39.2841615990529, -112.648304057665 39.2839692600168, -112.648546367981 39.2793210841999, -112.6545674507 39.2792536827229, -112.654371497326 39.2848202462873, -112.662158787654 39.2848985271407, -112.661997936472 39.2889328676874, -112.654281525601 39.2887814907439, -112.654185367624 39.3029233840839, -112.649215209273 39.3025434068702, -112.648677822067 39.2883879591127, -112.631138113975 39.2886710975064, -112.633094741182 39.2914413232888, -112.632637168831 39.2966015594219, -112.626065595735 39.2962475444412, -112.624680650842 39.2988392876618))",,,,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S284,UDWRi_Site Specific Withdrawal,UTSS_WS284,6585.457371,,,Water Supplier,Dansie Water Company (Culinary),,,11/02/2020,,"POLYGON ((-112.071116110063 40.5110910826298, -112.071173864031 40.5147201742176, -112.056468307169 40.5148555653569, -112.05651812336 40.5180288943873, -112.046101629732 40.5180921398684, -112.0461949876 40.5156688392009, -112.046215868284 40.5151137104216, -112.04835681111 40.5150943055911, -112.048324036443 40.5115047006375, -112.053099985991 40.5115093789616, -112.053126061428 40.5078723020217, -112.053116255907 40.504219874608, -112.055073953677 40.5042329164142, -112.056232444134 40.5042327831155, -112.059080722371 40.5042379735055, -112.062616744964 40.5042380325467, -112.062614260372 40.5048882183627, -112.062651750534 40.5115103068461, -112.067380652779 40.5114958189242, -112.067370503814 40.5102677485908, -112.067416114176 40.510189041143, -112.067407707687 40.5101427236861, -112.068226791713 40.5104890184607, -112.068628615214 40.5105809760318, -112.069352398204 40.5106708539576, -112.070196339246 40.5107978116568, -112.070831457052 40.5108859790093, -112.071112356618 40.5109367974187, -112.071116110063 40.5110910826298))",,,,,,Water Supplier,2016,,2016-12-31,2016-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S284,UDWRi_Site Specific Withdrawal,UTSS_WS284,12600.87506,,,Water Supplier,Dansie Water Company (Culinary),,,11/02/2020,,"POLYGON ((-112.071116110063 40.5110910826298, -112.071173864031 40.5147201742176, -112.056468307169 40.5148555653569, -112.05651812336 40.5180288943873, -112.046101629732 40.5180921398684, -112.0461949876 40.5156688392009, -112.046215868284 40.5151137104216, -112.04835681111 40.5150943055911, -112.048324036443 40.5115047006375, -112.053099985991 40.5115093789616, -112.053126061428 40.5078723020217, -112.053116255907 40.504219874608, -112.055073953677 40.5042329164142, -112.056232444134 40.5042327831155, -112.059080722371 40.5042379735055, -112.062616744964 40.5042380325467, -112.062614260372 40.5048882183627, -112.062651750534 40.5115103068461, -112.067380652779 40.5114958189242, -112.067370503814 40.5102677485908, -112.067416114176 40.510189041143, -112.067407707687 40.5101427236861, -112.068226791713 40.5104890184607, -112.068628615214 40.5105809760318, -112.069352398204 40.5106708539576, -112.070196339246 40.5107978116568, -112.070831457052 40.5108859790093, -112.071112356618 40.5109367974187, -112.071116110063 40.5110910826298))",,,,,,Water Supplier,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S285,UDWRi_Site Specific Withdrawal,UTSS_WS285,45600.0,,,Water Supplier,Newton Town Water,,,11/02/2020,,"POLYGON ((-111.980738990031 41.8579213873536, -111.98063591313 41.8579247894478, -111.979532110291 41.8579098911467, -111.97946491343 41.8554011843777, -111.980566071371 41.855403496557, -111.980566325027 41.8554989659321, -111.981260118273 41.8554903380823, -111.986258276293 41.8554727428403, -111.988933586403 41.8554470347624, -111.990076806429 41.8554425887983, -111.99132968358 41.855439886977, -111.991692439699 41.8554484638938, -111.992971817064 41.8554455153193, -111.994111422301 41.855441060438, -111.999966415107 41.8554415679567, -112.001418225643 41.8554487325048, -112.001297290894 41.8621300843588, -112.003400559824 41.8621117268163, -112.004080969958 41.8622444835493, -112.008451223627 41.8657098074902, -112.010918561519 41.8656881143843, -112.01094397283 41.8673009947861, -112.008601387831 41.86736752725, -112.00397779451 41.863581984413, -112.003045851341 41.8630830490749, -112.00036898818 41.863106398134, -112.000383864979 41.8663793138439, -111.992116537335 41.8663618673082, -111.992202726517 41.8797261926508, -111.993312553998 41.8797165980473, -111.993395435735 41.8810993113134, -111.990003217287 41.8811286063666, -111.989964662545 41.8687528095481, -111.98821087129 41.8687095510416, -111.986986630366 41.868679368919, -111.986994568593 41.8666104551394, -111.986321698843 41.8665927285918, -111.980875833115 41.8664494201302, -111.980805826627 41.8664100281583, -111.980772767578 41.86639139636, -111.980738990031 41.8579213873536))",,,,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S287,UDWRi_Site Specific Withdrawal,UTSS_WS287,45600.0,,,Irrigation,Newton Town Water,,,11/02/2020,,"POLYGON ((-111.980738990031 41.8579213873536, -111.98063591313 41.8579247894478, -111.979532110291 41.8579098911467, -111.97946491343 41.8554011843777, -111.980566071371 41.855403496557, -111.980566325027 41.8554989659321, -111.981260118273 41.8554903380823, -111.986258276293 41.8554727428403, -111.988933586403 41.8554470347624, -111.990076806429 41.8554425887983, -111.99132968358 41.855439886977, -111.991692439699 41.8554484638938, -111.992971817064 41.8554455153193, -111.994111422301 41.855441060438, -111.999966415107 41.8554415679567, -112.001418225643 41.8554487325048, -112.001297290894 41.8621300843588, -112.003400559824 41.8621117268163, -112.004080969958 41.8622444835493, -112.008451223627 41.8657098074902, -112.010918561519 41.8656881143843, -112.01094397283 41.8673009947861, -112.008601387831 41.86736752725, -112.00397779451 41.863581984413, -112.003045851341 41.8630830490749, -112.00036898818 41.863106398134, -112.000383864979 41.8663793138439, -111.992116537335 41.8663618673082, -111.992202726517 41.8797261926508, -111.993312553998 41.8797165980473, -111.993395435735 41.8810993113134, -111.990003217287 41.8811286063666, -111.989964662545 41.8687528095481, -111.98821087129 41.8687095510416, -111.986986630366 41.868679368919, -111.986994568593 41.8666104551394, -111.986321698843 41.8665927285918, -111.980875833115 41.8664494201302, -111.980805826627 41.8664100281583, -111.980772767578 41.86639139636, -111.980738990031 41.8579213873536))",,,,,,Irrigation,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S288,UDWRi_Site Specific Withdrawal,UTSS_WS288,45600.0,,,Water Supplier,Newton Town Water,,,11/02/2020,,"POLYGON ((-111.980738990031 41.8579213873536, -111.98063591313 41.8579247894478, -111.979532110291 41.8579098911467, -111.97946491343 41.8554011843777, -111.980566071371 41.855403496557, -111.980566325027 41.8554989659321, -111.981260118273 41.8554903380823, -111.986258276293 41.8554727428403, -111.988933586403 41.8554470347624, -111.990076806429 41.8554425887983, -111.99132968358 41.855439886977, -111.991692439699 41.8554484638938, -111.992971817064 41.8554455153193, -111.994111422301 41.855441060438, -111.999966415107 41.8554415679567, -112.001418225643 41.8554487325048, -112.001297290894 41.8621300843588, -112.003400559824 41.8621117268163, -112.004080969958 41.8622444835493, -112.008451223627 41.8657098074902, -112.010918561519 41.8656881143843, -112.01094397283 41.8673009947861, -112.008601387831 41.86736752725, -112.00397779451 41.863581984413, -112.003045851341 41.8630830490749, -112.00036898818 41.863106398134, -112.000383864979 41.8663793138439, -111.992116537335 41.8663618673082, -111.992202726517 41.8797261926508, -111.993312553998 41.8797165980473, -111.993395435735 41.8810993113134, -111.990003217287 41.8811286063666, -111.989964662545 41.8687528095481, -111.98821087129 41.8687095510416, -111.986986630366 41.868679368919, -111.986994568593 41.8666104551394, -111.986321698843 41.8665927285918, -111.980875833115 41.8664494201302, -111.980805826627 41.8664100281583, -111.980772767578 41.86639139636, -111.980738990031 41.8579213873536))",,,,,,Water Supplier,2019,,2019-12-31,2019-01-01
