VariableSpecificUUID,AggregationInterval,AggregationIntervalUnitCV,AggregationStatisticCV,AmountUnitCV,MaximumAmountUnitCV,ReportYearStartMonth,ReportYearTypeCV,VariableCV,VariableSpecificCV
TXss_V1,1,Annual,Unspecified,G,G,1,CalendarYear,Intake,Intake_Annual_MI_Groundwater
TXss_V2,1,Annual,Unspecified,G,G,1,CalendarYear,Intake,Intake_Annual_MI_Surface Water
TXss_V3,1,Annual,Unspecified,G,G,1,CalendarYear,Intake,Intake_Annual_MI_Reuse
TXss_V4,1,Monthly,Unspecified,G,G,1,CalendarYear,Intake,Intake_Monthly_MI_Groundwater
TXss_V5,1,Monthly,Unspecified,G,G,1,CalendarYear,Intake,Intake_Monthly_MI_Surface Water
TXss_V6,1,Monthly,Unspecified,G,G,1,CalendarYear,Intake,Intake_Monthly_MI_Reuse
TXss_V7,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_SingleFamily_Unspecified
TXss_V8,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_MultiFamily_Unspecified
TXss_V9,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_Commercial_Unspecified
TXss_V10,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_Industrial_Unspecified
TXss_V11,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_Institutional_Unspecified
TXss_V12,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_Agriculture_Unspecified
TXss_V13,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_Reuse_Unspecified
TXss_V14,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_TotalMetered_Unspecified
TXss_V15,1,Annual,Unspecified,G,G,1,CalendarYear,Water Use,Water Use_Annual_TotalUnmetered_Unspecified
