VariableSpecificUUID,AggregationInterval,AggregationIntervalUnitCV,AggregationStatisticCV,AmountUnitCV,MaximumAmountUnitCV,ReportYearStartMonth,ReportYearTypeCV,VariableCV,VariableSpecificCV
UDWR_Site Specific Unspecified,1,Year,Cumulative,AF,AF,1,CalendarYear,Unspecified,Site Specific
UDWR_Site Specific Withdrawal,1,Year,Cumulative,AF,AF,1,CalendarYear,Withdrawal,Site Specific
UDWR_Site Specific Transfer In,1,Year,Cumulative,AF,AF,1,CalendarYear,Transfer In,Site Specific
UDWR_Site Specific Transfer Out,1,Year,Cumulative,AF,AF,1,CalendarYear,Transfer Out,Site Specific
UDWR_Site Specific Delivery,1,Year,Cumulative,AF,AF,1,CalendarYear,Delivery,Site Specific
UDWR_Site Specific Return,1,Year,Cumulative,AF,AF,1,CalendarYear,Return,Site Specific
