RegulatoryOverlayUUID,OversightAgency,RegulatoryDescription,RegulatoryName,RegulatoryOverlayNativeID,RegulatoryStatusCV,RegulatoryStatute,RegulatoryStatuteLink,StatutoryEffectiveDate,StatutoryEndDate
NMRO_1,"State of CO, NM","The major purposes of this compact [this section] are to provide for the equitable division and apportionment of the use of the waters of Costilla creek; to promote interstate comity; to remove causes of present and future interstate controversies; to assure the most efficient utilization of the waters of Costilla creek; to provide for the integrated operation of existing and prospective irrigation facilities on the stream in the two states; to adjust the conflicting jurisdictions of the two states over irrigation works and facilities diverting and storing water in one state for use in both states; to equalize the benefits of water from Costilla creek, used for the irrigation of contiguous lands lying on either side of the boundary, between the citizens and water users of one state and those of the other; and to place the beneficial application of water diverted from Costilla creek for irrigation by the water users of the two states on a common basis.",Costilla Creek Compact,,In Effect,72-15-13,http://www.ose.state.nm.us/Compacts/CostillaCreek/isc_Costilla_Creek.php,2/7/1963,
NMRO_2,"State of CO, NM","The state of Colorado and the state of New Mexico, in order to implement the operation of the Animas-La Plata federal reclamation project, Colorado-New Mexico, a proposed participating project under the Colorado River Storage Project Act (70 Stat. 105), and being moved by considerations of interstate comity, have resolved to conclude a compact",Animas-La Plata Project Compact,,In Effect,37-64-101,http://www.ose.state.nm.us/Compacts/AnimasLaPlata/isc_animas_laPlata_compact.php,1/1/1969,
NMRO_3,"State of CO, NM","The state of Colorado and the state of New Mexico, desiring to provide for the equitable distribution of the waters of the La Plata river, and to remove all causes of present and future controversy between them with respect thereto and being moved by considerations of interstate comity,",La Plata River Compact,,In Effect,72-15-16,http://www.ose.state.nm.us/Compacts/LaPlata/isc_laPlata_river_compact.php,11/27/1922,
NMRO_4,"State of AZ, CO, NM, UT, WY","The major purposes of this compact [this section] are to provide for the equitable division and apportionment of the use of the waters of the Colorado river system, the use of which was apportioned in perpetuity to the upper basin by the Colorado River Compact; to establish the obligations of each state of the upper division with respect to the deliveries of water required to be made at Lee Ferry by the Colorado River Compact; to promote interstate comity; to remove causes of present and future controversies; to secure the expeditious agricultural and industrial development of the upper basin, the storage of water and to protect life and property from floods.",Upper Colorado River Basin Compact,,In Effect,75-34-3,http://www.ose.state.nm.us/Compacts/UpperColoradoRiver/isc_upper_colorado_compact.php,2/2/1949,
NMRO_5,"State of NM, TX","The major purposes of this Compact are to provide for the equitable division and apportionment of the use of the waters of the Pecos River; to promote interstate comity; to remove causes of present and future controversies; to make secure and protect present development within the states; to facilitate the constructio n of works for, (a) the salvage of water, (b) the more efficient use of water, and (c) the protection of life and property from floods.",Pecos River Compact,,In Effect,72-15-19,http://www.ose.state.nm.us/Compacts/Pecos/isc_pecosCompact.php,12/3/1948,
NMRO_6,"State of NM, OK, TX",The major purposes of this compact [this section] are to promote interstate comity; to remove causes of present and future controversy; to make secure and protect present developments within the states; and to provide for the construction of additional works for the conservation of the waters of Canadian river.,Canadian River Compact,,In Effect,72-15-2,http://www.ose.state.nm.us/Compacts/Canadian/isc_Canadian.php,12/6/1950,
NMRO_7,"State of CO, NM, TX","The State of Colorado, the State of New Mexico, and the State of Texas, desiring to remove all causes of present and future controversy among these States and between citizens of one of these States and citizens of another State with respect to the use of the waters of the Rio Grande above Fort Quitman, Texas, and being moved by considerations of interstate comity, and for the purpose of effecting an equitable apportionment of such waters, have resolved to conclude a Compact for the attainment of these purposes,",Rio Grande Compact,,In Effect,72-15-23,http://www.ose.state.nm.us/Compacts/RioGrande/isc_RioGrande.php,3/18/1938,
NMRO_8,"State of AZ, CA, CO, NV, NM, UT, WY","The major purposes of this compact [this section] are to provide for the equitable division and apportionment of the use of the waters of the Colorado river system; to establish the relative importance of different beneficial uses of water; to promote interstate comity; to remove causes of present and future controversies; and to secure the expeditious agricultural and ind ustrial development of the Colorado river basin, the storage of its waters and the protection of life and property from floods.",Colorado River Basin Compact,,In Effect,72-15-5,http://www.ose.state.nm.us/Compacts/ColoradoRiver/PDF/Colorado_River_Compact.pdf,11/24/1922,
