OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
NMISC,Costilla Creek Compact,Costilla Creek Compact,9/23/2020
NMISC,Animas-La Plata Project Compact,Animas-La Plata Project Compact,9/23/2020
NMISC,La Plata River Compact,La Plata River Compact,9/23/2020
NMISC,Upper Colorado River Basin Compact,Upper Colorado River Basin Compact,9/23/2020
NMISC,Pecos River Compact,Pecos River Compact,9/23/2020
NMISC,Canadian River Compact,Canadian River Compact,9/23/2020
NMISC,Rio Grande Compact,Rio Grande Compact,9/23/2020
NMISC,Colorado River Basin Compact,Colorado River Basin Compact,9/23/2020
