OID_,SensorCode,SensorID,SensorLabel,Comment,Description,isPublished,LocationName,LocationCode,LocationID,SubLocationCode,TimeSeriesType,Parameter,UnitOfMeasure,UtcOffset,ComputationMethod,ComputationPeriod,LastModifiedTime,ExtendedAttributeValues,ParameterLabel
236,Stage.Daily Average@41O 04000,0082639a2c2348f5975bbf65ddb78d50,Daily Average,,,1,Teton River below Hwy 287 Bridge,41O 04000,0ef8ff19c430492095f4fea4330fbdca,,ProcessorDerived,HG,ft,-PT7H,Mean,Daily,3/8/2021 21:24:46,[],Stage
237,Discharge.Daily Average@41O 04000,bf8c43cda1cd42afa4072b6d1d7cbbf6,Daily Average,,,1,Teton River below Hwy 287 Bridge,41O 04000,0ef8ff19c430492095f4fea4330fbdca,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:05,[],Discharge
238,Discharge.discharge@41O 04000,7c118eaa9d8e4ac192f36ea0b87a194a,discharge,,,1,Teton River below Hwy 287 Bridge,41O 04000,0ef8ff19c430492095f4fea4330fbdca,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,3/8/2021 21:23:27,[],Discharge
239,Stage.working@41O 04000,6435a3d98cf04c969a19c3669bf05c3a,working,,,1,Teton River below Hwy 287 Bridge,41O 04000,0ef8ff19c430492095f4fea4330fbdca,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,3/8/2021 21:23:45,[],Stage
240,Discharge.discharge@41O 04810,251d00ce21074f0b8f8fb5f218fa455a,discharge,,,1,Upper Deep Creek above Deep Creek Road,41O 04810,03aa776c78ec439ca25e12032916ce13,,ProcessorBasic,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 19:11:10,[],Discharge
241,Stage.working@41O 04810,b64800bf1a6b43d39ce46bace0dc917a,working,,,1,Upper Deep Creek above Deep Creek Road,41O 04810,03aa776c78ec439ca25e12032916ce13,,ProcessorBasic,HG,ft,PT0S,Unknown,Unknown,2/4/2021 19:11:20,[],Stage
242,Discharge.Daily Average@41O 04850,4ed41975dae149a09d654dc7b864e10b,Daily Average,,,1,"Deep Creek near Choteau, MT",41O 04850,478be3d1f8db4f87a671300a4d94e54c,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 19:12:15,[],Discharge
243,Discharge.discharge@41O 04850,0f04fa4dd4f1465487ff3e8ad17965d0,discharge,,,1,"Deep Creek near Choteau, MT",41O 04850,478be3d1f8db4f87a671300a4d94e54c,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 19:12:22,[],Discharge
244,Water Temp.water temp@41O 04850,80c9484f033249e7a4b71e883f40071f,water temp,,,1,"Deep Creek near Choteau, MT",41O 04850,478be3d1f8db4f87a671300a4d94e54c,,ProcessorBasic,TW,degC,-PT7H,Unknown,Unknown,2/4/2021 19:12:34,[],Water Temp
245,Stage.working@41O 04850,3e47b9e7c5cf4f919678657d74bbd7d5,working,,,1,"Deep Creek near Choteau, MT",41O 04850,478be3d1f8db4f87a671300a4d94e54c,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/4/2021 19:12:29,[],Stage
246,Discharge.discharge@41O 04855,6d5167648ae54f088e715e6b6129a7b3,discharge,,,1,Willow Creek,41O 04855,8d254457e89f4913862c0cc46b2b988a,,ProcessorBasic,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 19:15:33,[],Discharge
247,Stage.working@41O 04855,267e600850d64097909ebefc7d9f1bbd,working,,,1,Willow Creek,41O 04855,8d254457e89f4913862c0cc46b2b988a,,ProcessorBasic,HG,ft,-PT7H,Unknown,Unknown,2/4/2021 19:15:51,[],Stage
