OID_,SensorCode,SensorID,SensorLabel,Comment,Description,isPublished,LocationName,LocationCode,LocationID,SubLocationCode,TimeSeriesType,Parameter,UnitOfMeasure,UtcOffset,ComputationMethod,ComputationPeriod,LastModifiedTime,ExtendedAttributeValues,ParameterLabel
175,Stage.working@41K 09900,8aa2944a3f974589bf098a9fd7edd638,working,,real-time,1,Mill Coulee Ck nr Sun River,41K 09900,5a6678db59754fbfbf597fe347236886,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:05,[],Stage
176,Discharge.Daily Average@SR 001,3fe50bc29175497f9300108786d99438,Daily Average,includes legacy data from old data base,Average daily discharge for period of record,1,Upper Elk Creek at FS Boundary,SR 001,2fd12964a0754bb4ad1a7ce612544a2b,,ProcessorBasic,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 20:01:35,[],Discharge
177,Discharge.Daily Average@SR 002,dea63258485a40118d774a8576f82a80,Daily Average,,Daily Average Discharge for Station,1,Lower Elk Creek near Augusta,SR 002,27616f123f45481899528ef744ee1fae,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 20:02:57,[],Discharge
178,Stage.Daily Average@SR 004,95d92e535bfb4995b48608d3480c8019,Daily Average,,,1,Duck Creek above Simms Ashuelot Rd Bridge,SR 004,1ac97ef6cdba4bc58d309b91fdea01b0,,ProcessorDerived,HG,ft,-PT7H,Mean,Daily,2/12/2021 22:14:22,[],Stage
179,Discharge.Daily Average@SR 004,a009a6dd3d86461d9932a6f5abc8be31,Daily Average,,,1,Duck Creek above Simms Ashuelot Rd Bridge,SR 004,1ac97ef6cdba4bc58d309b91fdea01b0,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 20:05:06,[],Discharge
180,Discharge.discharge@SR 004,74d3c6d8ce074d2fa569eb7b1a469a07,discharge,Real-time feed ,,1,Duck Creek above Simms Ashuelot Rd Bridge,SR 004,1ac97ef6cdba4bc58d309b91fdea01b0,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:07,[],Discharge
181,Stage.working@SR 004,404cd6b292194b60813229260b50f9c6,working,,GOES,1,Duck Creek above Simms Ashuelot Rd Bridge,SR 004,1ac97ef6cdba4bc58d309b91fdea01b0,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/4/2021 20:06:22,[],Stage
182,Discharge.discharge@SR 006,949d9d0511c54880922b54c79af1045f,discharge,,,1,Upper Mill Coulee,SR 006,4d47ccf189164034820dbfa3ab8d5ad6,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 20:07:56,[],Discharge
183,Discharge.Daily Average@SR 007,b247b00f29a9445993c31434f3169dc2,Daily Average,Derived from stage values and rating curve,Daily average discharge for station for period of record,1,Rocky Reef Ditch,SR 007,5e7c1d4a41564ac982c419d0a2d37866,,ProcessorBasic,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 20:08:58,[],Discharge
184,Discharge.DailyAverage@41C 04500,cb43ff95c400459ebe3a3682ce86aee7,DailyAverage,Based on discharge computed from daily average stage,Daily Average Discharge for Station,1,Ruby River at Coy Brown Bridge,41C 04500,33404887f3e347249e960ad058b3ca15,,ProcessorBasic,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:16:13,[],Discharge
185,Discharge.Daily Average@41C 04900,2294eb28be454ca184bd596cb24c98d7,Daily Average,,,1,Clear Creek near Alder,41C 04900,be9d6877f0b94b53b4cb8f522803364d,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:03,[],Discharge
186,Discharge.discharge@41C 04900,753f733e05ef4a24a778641bec2458e3,discharge,,,1,Clear Creek near Alder,41C 04900,be9d6877f0b94b53b4cb8f522803364d,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Discharge
187,Stage.working@41C 04900,2e257af828c2490e8d6451d22bdc31cf,working,,,1,Clear Creek near Alder,41C 04900,be9d6877f0b94b53b4cb8f522803364d,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Stage
188,Discharge.Daily Average@41C 05000,a9312900d9314b86b6dc94af504b72a7,Daily Average,,,1,Ruby River at Alder,41C 05000,cf75ef677a844eefb8d64b13dece00f4,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:03,[],Discharge
189,Discharge.discharge@41C 05000,f18e39e2ac5e4963a8267a71f799a5aa,discharge,,,1,Ruby River at Alder,41C 05000,cf75ef677a844eefb8d64b13dece00f4,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Discharge
190,Stage.working@41C 05000,376f2745dfbe4ff39f5f1873b7310623,working,,,1,Ruby River at Alder,41C 05000,cf75ef677a844eefb8d64b13dece00f4,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Stage
191,Discharge.Daily Average@41C 07000,54ded02bafb749f084ac77904454b139,Daily Average,,,1,Ruby River at Silver Springs,41C 07000,edd99425865543af938a4d0fe4d4f3eb,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:03,[],Discharge
192,Discharge.discharge@41C 07000,5ade26b68a4b4be0a094f150dd9fc3e1,discharge,,,1,Ruby River at Silver Springs,41C 07000,edd99425865543af938a4d0fe4d4f3eb,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Discharge
193,Stage.working@41C 07000,a76ecb2723ec4074acfabebf1cea2e75,working,,,1,Ruby River at Silver Springs,41C 07000,edd99425865543af938a4d0fe4d4f3eb,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Stage
194,Stage.Daily Average@41C 08000,a2a90c48222c4a50a4f699f5da0889aa,Daily Average,,,1,Ruby River at Harrington Bridge,41C 08000,93bb576a8a62477f9c4c8240c3eb882f,,ProcessorDerived,HG,ft,-PT7H,Mean,Daily,2/12/2021 21:03:10,[],Stage
195,Discharge.Daily Average@41C 08000,9936990ff4164b61b8daa1956fb16f64,Daily Average,,,1,Ruby River at Harrington Bridge,41C 08000,93bb576a8a62477f9c4c8240c3eb882f,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:03,[],Discharge
196,Water Temp.Daily Average@41C 08000,3e57257de27a41b1880d835d0637da04,Daily Average,,,1,Ruby River at Harrington Bridge,41C 08000,93bb576a8a62477f9c4c8240c3eb882f,,ProcessorDerived,TW,degC,-PT7H,Mean,Daily,2/12/2021 21:03:38,[],Water Temp
197,Discharge.discharge@41C 08000,601a1837a186496488d091c51eab44c2,discharge,,,1,Ruby River at Harrington Bridge,41C 08000,93bb576a8a62477f9c4c8240c3eb882f,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Discharge
