WRNUM,GROUP_IDNUM,USE_IDNUM,POWER_PLANT_NAME,POWER_TYPE,POWER_CAPACITY,POWER_UNITS,USE_BEG_DATE,USE_END_DATE,POWER_COMMENTS
35-8741,1,2,Echo Reservoir Dam,HY,,,401,1001,"Returned to natural channel on Sec. 30 T5N R1E. 64,314 ac.ft. diverted from Released and rediverted on Sec. 28,"
35-8061,1,5,Unnamed,HY,1,KW,101,1231,"Water diverted from Weber River in the SW4SW4 Sec. 28 T5N, R1E.  Returned to the natural channel in the SE4 Sec 30, T5N, R1E"
35-5436,1,2,Unnamed,HY,25,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1213,3,10,,HY,2000,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-2927,1,2,Unnamed,HY,895,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5298,1,0,Unnamed Power Plant,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8004,1,7,Unnamed,HY,0,,101,1231,"Water used for flour milling purposes. After having been used the water is and West 1060 ft. from the NE Cor. Sec. 6 T5N R1W,SLB&M."
35-5264,1,2,Unnamed,HY,1750,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
18-465,1,2,Unnamed,HY,1116,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5242,1,2,Unnamed Power Plant,HY,1500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8494,1,3,Unnamed,HY,,,101,1231,"Diverted from Headwaters of E. Canyon Creek.  Returned to Parleys Canyon Creek on Sec. 9 T1S, R2E, SLB&M."
35-8267,1,2,Morgan City Corp.,HY,0,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-4559,1,8,Thermal power plant,HY,5000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5403,1,2,Unnamed,HY,6000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-970,1,2,Unnames Power Plant,HY,0,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-2973,1,2,,HY,500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5241,1,2,Unnamed Power Plant,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-828,3,5,Unnamed Power Plant,HY,1400,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8020,1,9,Unnamed,HY,,,101,1231,Used for  the development of power for grist milling purposes. 0.13 cfs of land as described in irrigated acreage. The balance to be returned directly to the natural channel of said stream (Anderson Springs  Fork).
35-8747,1,2,U.P. & Light,HY,,,101,1231,Returned at Weber & Riverdale.  See comments
35-8067,1,3,Weber,HY,3750,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-833,1,4,Wanship,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8742,1,2,Utah Power & LightCo,HY,,,401,1001,"Returned to natural channel on Sec. 18 T5N R1E, SLB&M. 32,389 ac.ft. diverted  from Weber River. Stored 1/1 to 12/31 in Echo Reser-  voir. Released and rediverted on Sec.30 T5N R1E, SLB&M."
35-5292,1,2,Unnamed,HY,,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1214,1,2,Unnamed,HY,1500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-836,1,2,Weber Basin Projects,HY,1425,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
18-510,1,2,Unnamed,HY,80,KW,101,1231,"A Pelton wheel in a horizontal shaft, proposing to develop 80 kw induction Sec. 12 T12S R18W, SLB&M."
18-553,3,4,Unnamed,HY,100,KW,101,1231,"Place of use SW1/4SE1/4 Sec. 8,T12S, R17W, SLB&M."
35-5464,4,5,Unnamed,HY,1140,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5468,2,3,Unnamed,HY,3750,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
18-578,2,5,Granite Ranch,HY,90,KW,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5565,2,3,Drought Relief Hydro,HY,563,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4961,2,5,Unnamed,HY,500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-833,1,5,Gateway,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-7398,11,12,Causey Plant,HY,2100,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-4815,1,2,Unknown,HY,2500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8626,1,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-4513,1,2,Unnamed,SG,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-446,1,3,Unnamed,HY,290,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8667,2,3,,HY,500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8633,1,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8629,1,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-6853,1,2,,HY,200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
53-999,1,2,,HY,600,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-6831,1,2,Not Given,HY,3,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-70,1,2,Jordan Steam Plant,SG,0,,101,1231,Water is used for condensing purposes.
55-96,1,2,Unnamed plant,HY,,,101,1231,Power house generates 862 horsepower of electrical energy.
59-4930,1,2,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-7635,11,40,Unnamed,HY,,MW,101,1231,It is proposed to generate 5.5 mega watts of hydroelectric power from various  unnamed power plants the exact locations and numbers  of which are unknown at this time.
57-8670,1,3,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8625,1,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8637,1,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8634,1,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-1063,1,2,Unnamed,HY,385,KW,101,1231,"Power generated is used for industrial and domestic purposes within the immediate vicinity of Payson, Utah, and adjacent areas.   Effective head is 522 feet and produces 510 horsepower."
