WRNUM,GROUP_IDNUM,USE_IDNUM,POWER_PLANT_NAME,POWER_TYPE,POWER_CAPACITY,POWER_UNITS,USE_BEG_DATE,USE_END_DATE,POWER_COMMENTS
51-5800,2,3,Lower Power Plant,HY,2000,KW,101,1231,2 turbines rated at 1000 KW each.
51-5432,2,3,Unnamed,HY,3500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5394,2,3,Spring Lake Power,HY,15,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8661,1,2,,HY,3960,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8579,1,2,,HY,1330,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8579,1,3,,HY,8,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-6237,4,5,Lake Creek,HY,1300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5364,1,0,,HY,70,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8671,1,4,Salt Lake City Cor.,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-7115,2,3,Unnamed,HY,500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-6604,1,2,Unnamed,HY,415,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5418,2,3,,HY,950,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5258,1,5,Oberg Mini Micro Hyd,HY,440,W,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
53-4,1,3,Nephi City Power Plt,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5521,1,3,Unnamed,HY,530,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-7156,2,3,Unnamed,HY,700,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5440,1,2,Impulse turbine pwr.,HY,760,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5440,1,3,Impulse turbine pwr.,HY,475,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-448,1,2,Hale Electric Plant,SG,0,,101,1231,"Water is used for condensing steam, cooling of oil and generator, washing screens and other purposes incidental to the operation of  steam electric plant."
51-5419,2,3,,HY,390,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8897,4,5,unnamed,HY,300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-13,1,3,unnamed,HY,1119,W,101,1231,Power to be used in homes for electric lighting and propelling machinery
51-6188,2,5,Three Forks,HY,33000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-1,3,4,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-3,1,4,Tanners Flat,HY,130,KW,101,1231,Mill machinery and electric lighting
57-15,2,3,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-16,1,3,,HY,407,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-17,1,3,,HY,260,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-18,2,3,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-21,1,3,,HY,7833,W,101,1231,"An 8-inch turbine wheel, operating under a head of 30 feet, is used to generate electric energy which is used for electric lighting  and propelling machinery at Granite, Salt Lake County."
57-39,1,4,,HY,,,101,1231,Power generated with 12-inch turbine wheel under a head of 35 feet. The generated power will be used by residents of Murray City and elsewhere in Salt Lake County.
57-47,2,3,,HY,685,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-50,2,3,,HY,,,101,1231,Effective head is 1020 feet.
57-54,1,5,,HY,,,101,1231,Operating head is 51 feet.
57-78,1,9,Murray City,HY,,,101,1231,Effective head is 550 feet.
55-11552,1,5,Unnamed,HY,,,101,1231,Effective head is 665 feet.  Power generated is distributed to the Park City Mining District and elsewhere in Utah.
53-913,1,16,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
53-914,1,14,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-866,1,6,Unnamed,HY,200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
53-34,1,5,Power Generation,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
53-37,1,9,Power Generation,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8111,2,3,,SG,2000,W,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-7399,2,5,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-1026,1,5,(See Remarks),HY,,,930,615,Strawberry Project Power Plant
51-2259,7,8,(See Remarks),HY,,,1201,228,Strawberry Project Power Plant
51-1002,1,4,Strawberry Upper,HY,3500,KW,101,1231,Two turbines rated at 1750 KW each.
59-704,1,4,Gadsby,SG,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-1033,2,3,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-8361,2,3,Shane,HY,1960,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-8651,2,3,Cascade Springs,HY,500,W,501,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
55-36,1,9,,HY,200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-113,2,4,Olmstead Power Plant,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-113,2,5,Hale Power Plant,SG,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-263,1,5,8000kw,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-11003,3,4,,HY,,,401,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
55-11101,4,5,Olmstead,HY,11,MW,101,1231,Hydropower Generation
55-11100,2,3,,HY,,,101,1231,Hydropower generation
55-11131,1,5,Hydro generation,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-11555,3,4,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-1030,1,6,Strawberry Lower,HY,350,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-1002,1,7,Strawberry Lower,HY,350,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
53-1506,1,2,Gardner Canyon,HY,25,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10292,2,3,Stairs Hydroelectric,HY,1200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10292,2,4,Granite,HY,2000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9545,2,3,Unnamed,HY,10,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8507,1,2,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8256,4,5,,HY,10,KW,1001,331,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2978,1,3,Unnamed,HY,18000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3276,4,5,,HY,4000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8383,1,0,,HY,10600,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8547,1,3,Unnamed,HY,20,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
23-160,21,4,Unknown,HY,,,1002,331,Power for sawing store wood and rolling livestock feed.
25-5780,4,5,Unnamed,GE,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8266,2,3,,HY,566,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2976,1,2,Bear River,HY,4,MW,101,1231,Water will be diverted through the power plants to turbines existing along the West Canal and Hammond Canal systems of Bear River Water Distribution Company.
29-2987,2,5,Unnamed power plant,SG,3000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8861,11,19,Avon,HY,1500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1411,2,3,Brigham City,HY,1200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-5781,4,5,Unnamed,GE,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1779,3,4,Unnamed Power Plant,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2951,1,2,Unnamed,HY,300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8514,1,2,Unnamed,HY,330,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
11-1121,2,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1778,3,4,Unnamed Power Plant,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
23-3656,1,2,,HY,400,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8325,2,3,Unnamed,HY,27,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8781,3,4,,HY,400,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1783,3,4,Unnamed Power Plant,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8363,1,0,,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8546,1,2,Unnamed,HY,20,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1506,2,4,Cutler,HY,30,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2996,2,6,,HY,5,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8731,3,4,Logan City 3rd Dam,HY,155,KW,101,1231,Diverting and carrying works will consist of a new turbine and outlet works connected to the existing radial gate house.
25-3023,1,4,,HY,3000,KW,101,1231,"Two  30 inch wheels of the Allis-Chalmers Francis turbine type, operating  under a head of 235 feet, are employed to generate power  used to furnish electric light, heat, and to propell machinery in Utah and elsewhere."
25-8459,1,2,,HY,20,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1264,2,3,Brigham City,HY,1200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-5782,10,11,Unnamed,GE,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1855,2,3,Cutler,HY,30,MW,101,1231,
25-8453,1,2,,HY,2900,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8533,1,2,Unnamed Power Plant,HY,2000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8454,1,2,,HY,120,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8218,1,2,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1780,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2148,2,3,Cutler Plant,HY,30,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
13-2976,1,3,unnamed nuclear,SG,3000,MW,101,1231,Extraction of minerals from the saline water of Great Salt Lake.
25-8500,1,2,,HY,250,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
23-3658,1,2,,HY,200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-4264,2,4,Logan River,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8186,2,3,Unnamed,HY,3,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8308,2,3,Unnamed,HY,400,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8532,2,3,Unnamed,HY,450,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-6580,2,3,Unnamed,HY,10,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8480,1,2,Unnamed Power Plant,HY,173,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2147,3,4,Cutler Plant,HY,30,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-3026,2,3,Unnamed Power Plant,HY,3000,KW,101,1231,"Water is used to generate power used to produce electric light and to propell machinery in Utah.  Two Francis type turbine wheels,   operating under a head of 235 feet, are used for this purpose."
25-8307,3,7,Unnamed,HY,63,KW,615,914,                                                                                                                                                                                                                                                                                                                                                                                                                
23-1714,1,2,Swan Creek,HY,,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8642,1,2,Smithfield City,HY,350,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8361,1,0,,HY,15,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
