WRNUM,GROUP_IDNUM,USE_IDNUM,MUNICIPALITY,USE_BEG_DATE,USE_END_DATE,MUNICIPAL_COMMENTS
31-303,4,5,"Bountiful, West Bountiful & Woods Cross",401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-5084,2,4,Centerville,301,1104,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2309,1,2,"Sunset, Town of",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-3354,1,4,Farr West School,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1735,1,2,Kaysville City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5327,1,2,Bona Vista Water Improvement District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-5084,2,11,North Salt Lake,301,1104,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4600,1,2,Woods Cross,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2084,1,2,Woods Cross,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-3475,1,3,North Ogden,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1345,1,2,South Ogden,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-3022,1,5,Tooele and Stockton City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1785,1,2,Town of Oakley,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2309,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1784,4,5,Town of Oakley,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2009,2,3,So. Davis Co. Water Improvement District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1328,1,8,Within the service are of WBWCD.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-839,1,3,Weber Basin Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1496,2,8,Areas served by WBCD,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1412,2,3,Salt Lake City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1391,2,6,Areas served by WBCD,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1171,1,4,Lakeview Heights Subdivision,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-5084,2,3,Farmington,301,1104,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8876,1,7,Kamas,101,1231,
31-5017,2,7,Farmington City,101,1231,Used within the service area of Farmington City   Limited to 145.8 acre/feet of water annually
31-2701,1,2,Clearfield City Corporation,101,1231,Within the service area of Clearfield.
31-326,8,9,"Bountiful, West Bountiful, Woods Cross",401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2212,1,2,Town of South Weber,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1803,1,2,Supplemental supply for Layton City Corp,202,630,                                                                                                                                                                                                                                                                                                                                                                                                                
35-3352,1,4,Hooper School,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-3204,1,2,Town of Clearfield,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2281,1,2,Ogden City,101,1231,Within Service Area
31-2217,1,2,Kaysville City,1001,331,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2297,1,2,Within the Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2277,1,2,So. Davis County Water Improvement Dist.,101,1231,Within the service area of South Davis County Water Improvement District.
31-301,4,5,"Bountiful, West Bountiful, Woods Cross",401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2768,1,2,Syracuse City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8727,1,3,Coalville City Corporation,101,1231,Within the service area of Coalville.
35-4608,1,2,Plain City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4413,1,2,West Bountiful City Corporation,101,1231,Municipal use limited to 262.0 acre-feet per year.
15-1082,4,5,Stansbury Park Improvement District,101,1231,"Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4 Sec.17,(1) SW1/4 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4  Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4, (1) SW1/4 SW1/4 Sec.22, T2S, R4W, SLBM or a total o"
31-402,1,2,"Bountiful, West Bountiful, & Woods Cross",1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2300,1,2,Within the Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2266,1,2,Bountiful City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-80,1,2,Farmington City,101,1231,Within the service area of Farmington.
31-4022,1,2,Within Bountiful Cities Service Area.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2378,1,2,South Davis County Water Improv District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2311,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-318,1,6,Bountiful City,101,1231,"Water also used for USA Forest Service Muller Park Recreation Area, Sec34,T2N, R1E,SLB&M."
31-2677,1,2,Clearfield,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-4024,1,3,USA Bureau of Reclamation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-374,4,5,Bountiful City,716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
31-374,4,6,West Bountiful,716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
31-374,4,7,Woods Cross City,716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
53-428,8,9,Mona Town,101,1231,Within the service area of Mona.
53-432,10,11,Mona Town,101,1231,Within the service area of Mona
53-433,6,7,Mona Town,101,1231,Within the service area of Mona
53-434,6,7,Mona Town,101,1231,Within the service area of Mona
53-436,7,8,Mona Town,101,1231,Within the service area of Mona
51-7277,2,4,Payson City,101,1231,Within the service area of Payson.
68-384,1,6,Deseret-Oasis Special Service District,101,1231,Within the service area of Deseret-Oasis Special Service District.                                This right is limited to the annual depletion of 0.87 acre-feet.
55-8222,4,5,Twin Creeks Special Service District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-10495,6,7,Roosevelt City Service Area,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4846,4,5,Centerville,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
