WRNUM,GROUP_IDNUM,USE_IDNUM,MUNICIPALITY,USE_BEG_DATE,USE_END_DATE,MUNICIPAL_COMMENTS
31-202,4,6,West Bountiful,401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-202,4,7,Woods Cross City,401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2263,1,2,South Davis County Water Improv. Dist.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8900,1,3,Kamas,1001,415,"7 connections outside Kamas city limits: 2 in SWSE, 1 in SWSW, 1 in NWSE all inSec 23; 1 in NWSE Sec 22; 1 in SESE Sec 16; 1 in NENE Sec 17; all in T2S, R6E, SLB&M."
35-2314,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2260,1,2,Bona Ville Company,101,1231,The water is to be used in an unincorporated area operating under the Utilities Commission as Bona Ville Company.
31-384,1,2,"Bountiful, West Bountiful, Woods Cross",1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8087,1,3,Salt Lake City,101,1231,Used for Dom. Munic. For use in Salt Lake City
31-4388,1,2,Layton City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4420,1,2,Farmington City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2626,1,2,Layton City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1828,1,2,West Point City,101,1231,3.0 cfs. Limited to 1500 ac.ft.
35-1828,1,3,"Wanship, Utah",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1723,1,2,Bountiful City,315,1030,                                                                                                                                                                                                                                                                                                                                                                                                                
16-54,1,2,Dugway Proving Ground `E` & `F` areas,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-212,6,7,Bountiful City,401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-212,6,8,West Bountiful,401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-212,6,9,Woods Cross City,401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2290,1,2,So. Davis Water Improvement District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4272,1,2,Corporate limits of North Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-955,1,3,Bona Vista Water Improvement District,101,1231,"Two schools, five commercial buildings"
31-369,5,6,"Bountiful, West Bountiful & Woods Cross",716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
35-120,1,2,North Ogden,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-1879,1,2,Stansbury Park,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2341,1,2,South Davis County Water Impr. District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-888,1,0,BURMESTER TOWNSITE (150 PERSON),101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-61,1,2,Town of Stockton,101,1231,
15-2896,3,0,"Grantsville, City",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
16-61,1,2,Dugway Proving Grounds,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-385,1,2,"Bountiful, West Bountiful, Woods Cross",1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
31-5207,2,3,Syracuse City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2288,1,2,Within the Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-3855,1,2,Corporate boundaries of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-3855,1,3,Corporate boundaries of South Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-3855,1,4,Corporate boundaries of Riverdale City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-3855,1,5,Washington Terrace City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-3855,1,6,Corporate boundaries of Roy City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-3855,1,7,Bona Vista Water District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-5084,2,13,Sunset,301,1104,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1966,1,2,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2269,1,2,Bountiful City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2300,1,2,Fruit Heights,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-581,1,3,Town of Layton,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2231,1,2,Bountiful City,615,930,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2276,1,2,Within Bountiful City Service Area.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-396,1,2,"Bountiful, West Bountiful & Woods Cross",1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2396,1,2,Centerville City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2396,1,3,Bountiful City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2396,1,4,West Bountiful City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2396,1,5,Woods Cross City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2396,1,6,North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2396,1,7,South Davis Water Improvement District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-894,1,0,BURMESTER TOWNSITE (150 POPULATION),101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2397,1,2,South Davis Water Improvement District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-388,1,2,"Bountiful, West Bountiful, & Woods Cross",1101,331,
16-3,1,2,Town of Iosepa,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2301,1,2,Ogden City,101,1231,Within Service Area
31-371,4,5,"Bountiful, West Bountiful & Woods Cross",716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
35-3349,1,3,Harrisville School,101,1231,Water to be used for 150 students at the Harrisville School and the Harrisville Ward.
31-661,1,2,Centerville City,101,1231,
35-2317,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-890,1,0,BURMESTER TOWNSITE (150 PERSONS),101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-354,7,8,"Bountiful, West Bountiful, Woods Cross",716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2295,1,2,Within the Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-5084,2,10,West Bountiful,301,1104,                                                                                                                                                                                                                                                                                                                                                                                                                
35-212,2,3,Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2290,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-1163,1,2,Washington Terrace City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-891,1,0,BURMESTER TOWNSITE (75 PERSONS SUPPLIED),101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-887,1,0,BURMESTER TOWNSITE (150 PERSONS),101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-356,4,5,"Bountiful, West Bountiful, Woods Cross",716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
15-921,1,0,400 School Children,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-359,8,9,"Bountiful, West Bountiful, Woods Cross",716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
35-3355,1,3,Slaterville School,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2322,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
18-480,1,0,Delta & other municpality along pipeline,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2478,1,2,Bountiful City,315,1030,(0.25 cfs)
31-4675,1,2,South Davis Co. Water Improvement Dist.,1015,315,                                                                                                                                                                                                                                                                                                                                                                                                                
31-390,1,2,Bountiful City,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
31-390,1,3,West Bountiful,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
31-390,1,4,Woods Cross City,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4672,1,3,Centerville City,101,1231,Within the service area of Centerville.
35-2328,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-531,1,2,City of South Ogden,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8491,1,4,Park City,1001,401,Used at Park City Cons. Mine from Oct. 1 to April l for Dom. and Munic.
35-3351,1,3,Weber County High School,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-3922,2,7,Centerville City,101,1231,Water User`s Claim 3922 is limited to 58.9 acres feet per annum.
31-4858,10,11,Centerville City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-3132,2,3,Tooele City Corporation,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
15-530,6,7,Stansbury Park Improvement District,101,1231,
31-4859,7,5,City of Farmington,101,1231,Water will be used within the corporate limits of Farmington City.
31-4863,2,3,Layton City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-976,1,5,Stansbury Park Improvement District,401,1031,"Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4 Sec.17, (1) SW1/4 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4 Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4, (1) SW1/4 SW1/4 Sec.22, T2S, R4W, SLBM or a total o"
15-525,6,7,Stansbury Park Improvement District,101,1231,"Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4 Sec.17, (1) SW1/4 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4 Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4, (1) SW1/4 SW1/4 Sec.22, T2S, R4W, SLBM or a total o"
15-670,8,9,Stansbury Park Improvement District,101,1231,"or a total of 20 connections   Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4 Sec.17, (1) SW1/4 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4 Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4 (1) SW1/4 SW1/4 Sec.2"
15-324,6,7,Stansbury Park Improvement District,101,1231,"Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4,Sec.17, (1) SW14 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4  Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4, (1) SW1/4 SW1/4, Sec.22, T2S, R4W, SLBM or a total"
15-671,1,11,Stansbury Park Improvement District,101,1231,
15-672,11,12,Stansbury Park Improvement District,101,1231,"Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4 Sec.17, (1) SW1/4 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4 Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4, (1) SW1/4 SW1/4 Sec.22, T2S, R4W, SLBM or a total o"
15-673,11,12,Stansbury Park Improvement District,101,1231,
15-683,12,13,Stansbury Park Improvement District,101,1231,"Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4 Sec.17, (1) SW1/4 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4 Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4, (1) SW1/4 SW1/4, Sec.22, T2S, R4W, SLBM or a total"
15-841,6,7,Stansbury Park Improvement District,101,1231,
31-4795,1,16,Kaysville City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-981,1,7,Stansbury Park Improvement District,401,1031,
15-982,1,7,Stansbury Park Improvement District,401,1031,"Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4 Sec.17, (1) SW1/4 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4 Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4,(1) SW1/4 SW1/4 Sec. 22, T2S, R4W, SLBM or a total o"
15-983,1,7,Stansbury Park Improvement District,401,1031,
31-1997,3,4,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-406,5,6,"Bountiful, West Bountiful, Woods Cross",1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
31-407,5,6,"Bountiful, West Bountiful, Woods Cross",1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
31-401,12,15,Woods Cross,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
18-366,1,6,Town of Goldhill.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4922,4,3,Layton City Corp.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2001,3,4,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2003,3,4,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2004,3,4,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2005,3,4,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2008,3,4,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2011,3,4,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2018,6,7,Town of North Salt Lake,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
