MethodUUID,ApplicableResourceTypeCV,DataConfidenceValue,DataCoverageValue,DataQualityValueCV,MethodDescription,MethodName,MethodNEMILink,MethodTypeCV
NEDNR_Aggregate Modeled,Surface Ground Water,,,,Surface and groundwater water conditions.,Insight,https://nednr.nebraska.gov/insight/about.html,Modeled
NEDNR_Aggregate Estimated,Surface Ground Water,,,,Surface and groundwater water conditions.,Insight,https://nednr.nebraska.gov/insight/about.html,Estimated
