USE TYPE,STATE,COUNTY,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Exports/Imports,Colorado,upper main stem,398626.28,469725.2901,382613.22,630086.91,683572.13,643953.11,575656.74,770970.06,572674.2647,539197.84,695619.48,690807.04,543838.57,576785.63,627381.21,655512.3,505038.62,690896.88,743486.8,617554.14,677275.54,649638.18,746603.87,732937.43,639633.08,705560,694673.86,614318.62,574453.29,820281.92,858150.91,588603.41,651924.24,694838.46,645369.27,872199.902,738056.124,909179.196,760929.4014,649451.17,923264.779,842718.3306,619929.9228,703201.0714,518738.377,700563.862,765864.284,702971.42
Exports/Imports,Colorado,san juan-colorado river,2220.03,2092.87,2226,-116268.3,-134593.43,-133558.26,-59639.23,-119652.01,-123054.35,-128288.46,-127588.8,-139686.18,-120397.85,-133040.12,-123836.37,-132105.64,-138165.79,-151640.1,-172258.9,-165479.1,-172283.44,-156897.69,-157660.91,-191833.49,-185797.25,-222738.76,-173458.29,-215394.57,-184922.38,-238101.74,-231637.81,-103173.21,-169469.19,-217070.82,-200243.19,-215583.84,-219865.4,-236760.926,-208506.99,-218730.526,-287156.128,-288038.368,-164553.206,-252697.518,-226387.926,-249384.343,-265301.272,-207744.9
Exports/Imports,New Mexico,san juan-colorado river,59973.4192,58067.8748,153321.3562,47225.5916,145069.9979,85219.8633,19393.8161,104156.6718,164131.2176,143608.2055,53897.9107,131040.5901,130306.21,113614.2364,91786.4971,89181.4181,83046.5423,63566.834,50126.5965,76172.8236,113391.6315,87061.286,98809.2003,82191.0713,86261.3521,58523.256,142254.4806,96704.4261,118894.8055,42741.9158,110570.1777,6302.0824,62703.1514,84876.7981,155246.196,78794,105075,139984,105354,89403,98321,47222,45760,60030,90566,94309,165713.8493,165081.8608
Exports/Imports,Utah,green river,102741.0916,119254.9976,97249.5203,109614.3401,97790.0189,113905.1254,80641.0229,108452.5588,129062.3866,109750.5923,103780.999,80331.6577,21831.2127,27134.0787,64798.5213,70354.7934,122273.1271,123456.6103,149487.7036,157861.3042,123805.9909,162984.1036,154425.1542,124654.7065,100579.6771,131335.4637,137103.5253,131474.3427,145713.886,146658.4496,164818.7544,171139.5916,164507.2828,153915.1982,175319.363,117743.169,138714.684,123125.2286,121022.7525,137106.9824,88938.5871,115473.1714,136820.2799,123513.4524,120357.4524,126940.803,123914.803,127212.1219
Exports/Imports,Utah,upper main stem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exports/Imports,Utah,san juan-colorado river,-4572,-3077,-6336,-3934,-6088,-5000,-1000,-4831,-5192,-5578,-5717,-5982,-5139,-6083,-6148,-5725,-6155,-6146,-3717,-3334,-3612,-5325,-6509,-4801,-7022,-4542,-5442,-6919,-6696,3413.5537,-5741,-6154,2711.405,2430.9421,-5311.7355,-5045.9504,-4468.7603,-5319.6694,-4258.5124,-5328.9917,-4667.1074,-5099.5041,-5640.9917,-3116,-3116,-3116,-3116,-3116
Exports/Imports,Wyoming,green river,6058.5277,8740.7765,9654.319,8489.305,6647.1996,9136.4606,5368.7676,8483.675,9746.9823,9250.9638,7025.4973,11082.9611,6545.742,4083.1847,11471.0835,13783,9673,7163,14148,15735,18252,14230,25314,16090,13837,18791,15909,16663,15042,17228,14989,11106.1545,19386.2591,15954.5766,23273.314,19754.8637,15265.0344,22027.6,13004.5,14111.6,7178.8,7645.2,14845.3,7178.8,8508.2,8508.2,8508.2,9446.2
Fish & Wildlife,Arizona,san juan-colorado river,1600,1700,900,1700,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish & Wildlife,Colorado,green river,3700,2800,2600,3100,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish & Wildlife,Colorado,upper main stem,2700,2500,2700,2800,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish & Wildlife,Colorado,san juan-colorado river,900,900,700,900,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish & Wildlife,New Mexico,san juan-colorado river,600,700,500,700,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish & Wildlife,Utah,green river,6900,7100,6200,9200,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish & Wildlife,Utah,upper main stem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish & Wildlife,Utah,san juan-colorado river,900,1000,900,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish & Wildlife,Wyoming,green river,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
