USE TYPE,STATE,COUNTY,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Livestock ,Utah,green river,1654.2812,1693.6689,1417.9554,1890.6071,1772.4442,1700,1500,1500,1400,1500,1550,1600,1590,1470,1350,1594.59,1545.005,1578.525,1720.115,1665.05,1668.15,1665.3,1728.095,1842.55,1860.955,2255.3246,2095.1759,2067.6409,1965.0511,1994.262,1883.6097,1922.5115,1673.6191,1752.2998,1781.0671,1883.7963,1925.6994,1883.8192,1888.738,1888.738,1857.4502,1871.9324,1884.3041,1877.1078,1832.9667,1926.7829,1891.198,1793.2481
Livestock ,Utah,upper main stem,286.4385,229.1508,229.1508,286.4385,229.1508,100,100,100,100,100,50,50,50,50,40,156.6,153.575,144.5,138.15,121.85,105.4,106.275,96.175,108.825,112.775,109.3111,156.9793,148.5776,134.5749,120.5721,100.8786,94.9972,81.7226,86.7636,100.7663,88.5618,108.5805,93.656,98.1341,98.1341,95.6136,96.7338,107.3759,108.4961,105.1355,111.8568,109.3363,135.1014
Livestock ,Utah,san juan-colorado river,375.88,395.6631,316.5305,395.6631,336.3137,500,500,500,500,500,1220,1260,1250,1160,1070,561.31,553.62,544.075,602.435,584.3,574.75,584.825,597.73,573.525,604.27,804.6893,753.4983,742.2849,710.6947,683.6414,599.0129,618.4241,530.4528,552.0013,554.3381,585.9798,724.4021,694.6389,711.8183,711.8183,697.5758,698.7498,679.8181,652.9328,626.509,661.6615,654.7475,649.534
Livestock ,Wyoming,green river,2425.3397,2376.833,2279.8194,2522.3533,2376.833,2500,2400,2100,2100,1900,2070,2230,2300,2080,1950,2268.9,2284.6,2448.1,2448.2,2251,2079.7,2007.8,2162.8,2239.2,2183.5,1609.2635,1688.0945,1495.4167,1564.8703,1542.4659,2198.4993,1929.3216,1949.4856,2083.912,2035.7425,2139.923,2006.9932,2041.1491,2146.5051,2094.975,2059.128,2006.9932,2038.8561,2145.3295,2147.57,2147.57,2166.6137,2082.5972
Stockpond,Arizona,san juan-colorado river,1100,1100,900,1164,920,1020,1050,1080,930,996,1083,1000,1100,900,100,1006.5,836,807,535,480,510,690,670,657,633,681.5228,685.7423,896.7388,865.7022,919.8598,899.6921,693.0927,733.5607,917.8699,873.4654,780.0604,866.6497,897,734.899,919.848,898.3606,527.8181,882.001,708.3262,851.2723,950.094,939.26,793.275
Stockpond,Colorado,green river,3323.0441,2778.2828,2669.3305,3050.6634,2832.7589,1254,1582,1687,1678,1861,1892.37,1892.37,1892.37,1892.37,1892.37,2075,2174,2174,2174,2174,2174,2174,2174,2174,1986,1783,1521,1982,2036,2122,2174,2174,2174,2174,2072,2174,1787,1977,1889,1836,1803,2174,1967,1912,1760,1962,1923,2109
Stockpond,Colorado,upper main stem,4632.9196,5008.5617,5217.2518,5384.2039,4465.9675,1564,2052,2627,2229,2694,3365.01,3365.01,3365.01,3365.01,3365.01,2404,3895,3727,3895,3601,3650,3196,2606,3895,2402,3477,3273,3854,3764,3895,3708,3895,3775,3585,2812,3895,3681,3835,3895,3489,3745,3895,3697,3646,3373,3795,3895,3895
Stockpond,Colorado,san juan-colorado river,3893.4858,4113.8718,2718.0938,3599.6378,2791.5558,2537,2626,3155,2638,3644,3781.72,3781.72,3781.72,3781.72,3781.72,2817,3767,3948,5062,3395,3991,4056,4033,4323,4407,4180,3503,4083,4228,4429,4427,5022,4658,3741,3685,4008,4142,4267,4945,4294,4556,5062,4355,4357,3660,4582,4627,5062
Stockpond,New Mexico,san juan-colorado river,2292.8161,2374.7024,1883.3847,2456.5887,1965.271,717,732,872,718,964,2293.5653,2375.4516,2375.4516,2375.4516,2375.4516,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680,3680
Stockpond,Utah,green river,2545.7188,2606.3311,2182.0446,2909.3929,2727.5558,1644,1805,1944,1954,1787,3225.1,2873.48,2929.36,2952.48,3009.31,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2430,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602
Stockpond,Utah,upper main stem,213.5615,170.8492,170.8492,213.5615,170.8492,37,44,46,37,44,69.85,66.47,60.58,65.28,61.07,89,87,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
Stockpond,Utah,san juan-colorado river,1524.12,1604.3369,1283.4695,1604.3369,1363.6863,2072,1904,2228,2102,2043,3091.82,2935.37,2948.41,3106.6,2979.7,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,2962,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,2706,3115,3115,3115
Stockpond,Wyoming,green river,2574.6603,2523.167,2420.1806,2677.6467,2523.167,1420,1753,1742,1860,1765,2499.17,2131.97,2076.17,2158.07,2572.07,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754
Major and Minor Reservoirs,Arizona,san juan-colorado river,4600,4600,3300,4742,3900,3966,4150,4330,3650,3664,5615,4300,4000,4900,4900,5305.9,5582,5131,2765,2440,2590,4700,3850,3825,3760,5806.2678,5686.949,5234.2348,4927.2019,4469.8314,4359.2346,3605.9341,3783.7184,3620.0585,3523.1888,3654.8979,3522.4748,3467.5964,3750.5942,3303.3632,3563.4303,3947.6167,3599.5851,3623.9979,2860.4594,3502.8985,3754.165,3814.9494
Major and Minor Reservoirs,Colorado,green river,5800,4400,4100,4800,4400,3856,5102,5401,5443,6085,6489.35,6470.35,6472,6472.12,6479.8,7000.5008,8169.4223,8133.7357,8252.2691,8057.9477,7466.8927,7871.1245,7394.3744,8370.5691,6770.0048,5619.6158,4258.6787,7055.4815,7766.5131,7735.3301,8373.2691,8373.2691,8373.2691,8373.2691,6534.0696,8373.2691,7522.2714,8363.8505,8075.4252,7554.1786,7204.5679,8373.2691,8373.2691,6835.7505,7381.7902,8183.299,8192.1681,8373.2691
Major and Minor Reservoirs,Colorado,upper main stem,46761,45447,43963,48494,44577,29073,36635,44104,41884,54756,67483.5824,63269.51,67246.22,69052.2894,71397.9652,56008.798,61397.0687,61055.0558,61429.5088,56668.448,62653.2894,63397.8148,59368.2453,66679.9217,52385.491,64865.5574,65765.9873,73124.649,72960.5246,73762.7089,70697.6438,61869.4154,64608.7884,67528.6623,67126.1967,71923.1849,72938.7913,71960.6551,72011.2443,71438.8238,68499.2908,69847.4226,61949.0236,63601.919,67138.2474,76526.9849,72646.3314,67059.0691
Major and Minor Reservoirs,Colorado,san juan-colorado river,8718.1521,8145.4603,6444.7319,8141.3634,6485.975,6092.68,4607.99,6201.93,5464.57,6250.32,8883.13,9074.79,8857.921,9035.33,8928.12,8792.656,9642.8628,9794.9391,9883.1631,8857.9004,9625.6651,9556.4669,9306.0026,9586.3628,9672.6711,9084.9739,8946.8694,9778.0419,9652.2977,9337.4372,9775.4494,8118.6331,8822.7631,9499.713,9244.5642,10073.6592,9972.9025,9501.2974,9969.4788,9240.5756,9922.8776,9702.8404,8783.2476,10097.2142,9431.4572,10128.3022,10117.1929,8931.9623
Major and Minor Reservoirs,New Mexico,san juan-colorado river,21105.2991,20691.1894,28908.2112,22346.1191,26931.64,26885.6462,24072.7901,25937.59,29253.2281,30546.2213,27867.99,29967.45,32321.91,32824.18,32836.2799,31842.2386,25993.8898,25979.8406,28553.7268,28348.6625,32265.9156,33199.047,32597.7622,32096.2479,31797.482,28830.2691,30256.5853,30794.3442,29616.2811,28497.3475,27631.8544,21959.3357,18153.8757,21421.0567,30459.5824,30866.9452,32393.4683,28666.4918,28946.5334,29827.6094,29032.1857,26025.635,21384.8263,24057.9478,28219.7078,29656.3534,29458.0258,24394.9074
Major and Minor Reservoirs,Utah,green river,41507,42374,40836,51506,42221,30427.1567,32688.3038,36654.8754,35271.8038,36018.6433,49309.881,45048.2721,46858.2401,51319.5618,57373.2611,68159.3989,68109.9903,56076.2904,62984.9807,43357.1332,69077.3723,66935.9206,70125.4294,70091.9202,70848.3552,68181.4745,70261.8324,73526.1479,76867.2823,72771.1741,73970.7506,70892.3225,69869.1721,68094.6744,71574.0012,72977.9562,71046.6205,72613.9565,75582.0086,76555.7387,78792.7447,78488.7857,73191.5757,71014.124,70112.3884,70116.5685,74039.079,71895.7495
Major and Minor Reservoirs,Utah,upper main stem,100,100,100,100,100,314,364,391,326,376,574.08,534.02,511.11,545.06,553.18,1445.7086,1398.6016,1453.8073,1453.8073,1453.8073,1453.8073,1453.8073,1414.8173,1453.8073,1446.0417,1453.8073,1373.3703,1453.8073,1441.8671,1453.8073,1453.8073,1453.8073,1453.8073,1453.8073,1434.1187,1449.2239,1453.8073,1453.8073,1453.8073,1415.3126,1453.8073,1453.8073,1453.8073,1446.1218,1418.4088,1453.8073,1453.8073,1453.8073
Major and Minor Reservoirs,Utah,san juan-colorado river,15600,16600,15300,19900,13400,4927,5209,6212,5810,6129,8625.18,8038.64,8230.44,8393.55,8065.82,6600.9088,6534.9462,6613.822,6613.822,6613.822,6613.822,6613.822,6608.0006,6613.822,6613.822,6613.822,6556.0857,6613.822,6613.822,6613.5609,6613.822,6613.822,6613.822,6599.9147,6559.5012,6613.822,6613.822,6613.822,6613.822,6430.5827,6613.822,6613.822,6613.822,6613.822,6423.5391,6613.822,6613.822,6613.822
Major and Minor Reservoirs,Wyoming,green river,27487.2729,30416.6309,29609.7747,30593.1174,27746.5997,27218.0533,26187.146,28680.8808,28959.6976,29176.2729,46477.6529,44986.5596,43091.8596,41305.2267,39076.0486,29785.4586,27997.8012,25479.0076,31972.4842,34820.7138,32323.7627,28385.5431,32563.5297,31846.3673,31828.7146,32968.4271,34367.6882,34160.4473,34687.3119,31099.9445,32753.2225,34811.4058,35519.8135,36481.8914,35914.9482,36071.8901,34206.9421,35336.7357,36147.4125,35288.2283,34782.5554,36372.8858,34445.8389,37155.8014,36733.4514,37868.9866,38062.5758,35677.4438
M & I,Arizona,san juan-colorado river,2900,3600,3200,3700,2900,2900,3100,3800,3600,3600,6580,6610,6970,7500,7170,6789,6663,7570,7486,7172,5964,5695,5678,5804,6350,5689.7473,4933.2689,5268.7075,5306.3304,5194.4371,4929.9979,5099.5563,5096.2393,4809.9532,5032.0746,4922.1748,3512.6089,3650.8201,4188.0661,5235.5416,4541.9486,4118.9176,4111.0077,4062.0117,4458.7642,5252.8279,5268.6905,5291.8113
M & I,Colorado,green river,1900,2000,2100,2200,2200,1460,1560,1670,1780,1900,1900,1900,1910,1910,1910,2162,2095,2020,1949,1905,2084,2299,2467,2678,2858,2920,2979,3035,3092,3148,3223,3298,3372,3446,3521,3396,3437,3479,3521,3560,3608,3653,3699,3745,3791,3841,3890,3940
M & I,Colorado,upper main stem,13300,13600,13900,14200,14500,9810,10210,10640,11090,11530,13070,13840,14620,15390,16160,19512,19010,18491,17987,17462,18595,19792,21040,22237,23367,24246,25122,25999,26875,27752,28844,29935,31028,32119,33211,31498,32122,32746,33371,33996,34727,35462,36194,36924,37658,38477,39292,40109
M & I,Colorado,san juan-colorado river,3000,3100,3300,3400,3600,2490,2540,2610,2690,2750,2980,3090,3210,3320,3440,4136,4057,3955,3875,3820,4034,4227,4526,4717,4930,5087,5243,5400,5557,5714,5915,6120,6323,6526,6729,6216,6300,6383,6467,6551,6646,6740,6832,6926,7021,7122,7223,7325
M & I,New Mexico,san juan-colorado river,3900,4100,4300,4500,4800,5060,5260,5450,5670,5880,9500,9100,8500,8200,7900,7959.71,9760.21,8690.51,10685.61,9611.91,10395.8239,9467.175,10743.7314,10743.7531,10699.6042,14022.8799,12910.8947,16785.5765,15787.2315,17412.9267,15385.6336,16336.0546,19286.5764,17989.9406,18754.7103,15953.45,16325.45,16852.45,15238.45,13357.45,12671.3894,14985.3884,12693.9423,13270.7662,13386.5809,11972.45,14985.45,14985.45
M & I,Utah,green river,4200,4300,4300,4300,4400,3790,3980,4180,4380,4600,5570,6060,6550,7040,7530,12887,12426,11947,11483,11000,10977,10967,11009,10998,10977,11020,11047,11078,11107,11137,11235,11329,11425,11522,11628,12333,12532,12738,12933,13130,13368,13603,13849,14083,14319,14586,14862,15126
M & I,Utah,upper main stem,800,800,900,900,900,620,630,640,650,660,880,990,1100,1210,1320,2149,2153,2136,2141,2134,2000,1841,1741,1585,1450,1474,1499,1525,1550,1575,1615,1656,1698,1738,1780,1655,1669,1682,1695,1709,1723,1737,1751,1766,1781,1795,1810,1825
M & I,Utah,san juan-colorado river,1300,1400,1500,1600,1600,860,890,910,940,970,1090,1160,1220,1280,1340,3086,3076,3066,3057,3006,3098,3189,3335,3427,3519,3564,3604,3647,3691,3735,3789,3843,3896,3949,4006,3835,3851,3869,3886,3903,3919,3938,3956,3975,3992,4011,4031,4047
M & I,Wyoming,green river,3300,3400,3500,3700,3800,3120,3360,3650,3920,4240,5660,5920,6170,6430,6690,5671,5615,5614,5559,5570,5557,5571,5450,5458,5446,5392,5340,5286,5232,5179,5190,5200,5211,5221,5231,5243,5255,5268,5281,6275,6410,6546,6684,6818,6956,7115,7115,7115
Power,Arizona,san juan-colorado river,0,0,0,5269,12414,19931,21761,19365,20413,22322,21140,19360,20210,22100,25301,18701,20130,23058,23874,20668,23866,23575,23382,24086,22180,21427,22364,25017,26697,28709,27620,28415,26284,27375,26200,26660,27604,26334,26073,23948,24221,23953,24963,25810,19077,18116,17631,18116
Power,Colorado,green river,4922,4922,4922,2867,3185,4916,7051,8159,6738,9221.3,13817,11652.3,8123,11202,15596,14579,14832,17442,17509,17854,16679,16703,16804.9,18045,16656,16868.5,17472,19606,18679,14133,17773,17673,17881,17825,17366,18496.2,17848.24,17848.24,17791.84,17768.7417,17980.713,17876.5309,17876.5309,17876.5309,17876.5309,17876.5309,17876.5309,17876.5309
Power,Colorado,upper main stem,37,37,37,37,588,588,588,588,588,588,591,591,453,40,5,5,6,973,719,1331,1636,980,1250,1882,1845,1583.7,1453.1,1263.5,1451.7,1435.8,1604.4,1499.7,1598.1,1834.3,1809.3,1731.5,1636.74,1636.74,1615.94,1623.4238,1632.3153,1609.2078,1609.2078,1609.2078,1609.2078,1609.2078,1609.2078,1609.2078
Power,Colorado,san juan-colorado river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power,New Mexico,san juan-colorado river,15794.604,17379.4735,26055.224,23443.1038,25274.9465,28101.1998,29601.5128,27537.5476,33351.8188,34621.2839,31514.9143,41589.9407,40491.2197,44080.207,43152.718,39561.821,43329.271,42372.724,46376.589,41835.76,39776.533,40192.86,47840.75,47559.349,45765.03,43474.98,45857.026,42610.52,44954.091,44435.561,48315.641,45620.12,46990.25,48974.31,51184.84,50437,45689.7,45995,48045,42533,46724,44440.6,43031.5,37633.9,37802.4,33491.4,34953.4,34953.4
Power,Utah,green river,1872,1696,1912,1832,6996,5054,7303,13155,16769,17770,20120,19960,21430,21940,26666,24614.7,30686,33801,32219.16,30556,33048,32820,34708,35555,35839,37852.96,33817.94,35755.5113,32817.0043,36640.4443,32732.2783,35625.3043,34643.3043,34826.5703,34492.8243,34492.8243,34492.8243,34492.8243,34492.8243,34667.9024,34893.3752,34386.6541,34386.6541,34386.6541,34386.6541,34386.6541,34386.6541,34386.6541
Power,Utah,upper main stem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power,Utah,san juan-colorado river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power,Wyoming,green river,5700,4470,7650,10101,12920,20388,28520,24970,27234,31460,28020,31100,26910,27750,35126.6,29359,39871,39689,36037,38555,39064,45364,43927,46651,32434,39323.83,40072.86,46838.56,42723.37,39979.94,40320.53,38524.26,38288.66,37316.16,37569.44,39665.72,36855.51,37624.7705,37624.7705,38227.5412,37994.9869,37744.7158,37744.7158,37744.7158,37744.7158,37744.7158,37744.7158,37744.7158
Minerals,Arizona,san juan-colorado river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
