MethodUUID,ApplicableResourceTypeCV,DataConfidenceValue,DataCoverageValue,DataQualityValueCV,MethodDescription,MethodName,MethodNEMILink,MethodTypeCV
ADWR_Water Rights GW,Groundwater,,,,Water Rights,Arizona Water Rights,http://gisdata-azwater.opendata.arcgis.com/,Adjudicated
ADWR_Water Rights SW,Surface Water,,,,Water Rights,Arizona Water Rights,http://gisdata-azwater.opendata.arcgis.com/,Adjudicated
