Water Use by Basin,UseType,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Powder-Tongue River Planning Basin,Agricultural Consumptive Use,Surface Water,135915.3713,103709.7692,123435.5869,159452.5732,125654.7589,182010.5436,77434.07415,168807.3441,177279.3388,155102.2972,197176.3997,206668.1652,104950.4086,180608.4463,196408.2517,164640.8924,177475.7443,242543.9632,266917.8104
Powder-Tongue River Planning Basin,Domestic Use,Ground Water,3348.166033,3354.525175,3390.353514,3408.345234,3412.067659,3542.507629,3586.09102,3659.298708,3749.412409,3814.244642,3826.187421,3841.852626,3874.268742,3898.619605,3907.305263,3914.595011,3910.407283,3916.456224,3918.627638
Powder-Tongue River Planning Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powder-Tongue River Planning Basin,Industrial Use,Ground Water,21780.30089,33326.36021,45697.15296,40520.07128,41304.16111,49254.41805,63088.27503,66507.90314,72071.97155,62193.71054,60246.4978,56981.7237,45891.30729,40178.17119,38206.60609,33235.19055,28430.72087,27669.93023,26409.08542
Powder-Tongue River Planning Basin,Industrial Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powder-Tongue River Planning Basin,Municipal  Use,Ground Water,315.544528,316.4210406,321.6801161,324.3096538,325.1861664,327.8157041,331.3217544,341.8399054,351.4815437,355.8641066,354.987594,357.6171318,355.8641066,359.3701569,359.3701569,361.1231821,364.6292324,364.6292324,371.641333
Powder-Tongue River Planning Basin,Municipal  Use,Surface Water,3092.11879,3098.047528,3130.937903,3147.594832,3151.133612,3271.598331,3311.848731,3379.457943,3462.6803,3522.55456,3533.584029,3548.051255,3577.988385,3600.477043,3608.498475,3615.230748,3611.363272,3616.949626,3618.954984
Salt-Snake River Planning Basin,Agricultural Consumptive Use,Ground Water,444.2979561,280.698674,466.8708949,382.2466074,591.8005399,549.6716574,447.1907576,386.5994406,506.3129556,586.8206806,487.6718035,582.1497907,387.9080167,477.3697953,489.3075237,565.2624942,539.0515925,463.8811619,509.0997381
Salt-Snake River Planning Basin,Agricultural Consumptive Use,Surface Water,65743.24704,41535.28508,69083.38911,56561.44214,87569.36321,81335.50709,66171.29799,57205.53556,74919.67329,86832.48807,72161.32195,86141.33146,57399.16698,70636.9227,72403.36123,83642.50001,79764.04466,68640.99509,75332.03651
Salt-Snake River Planning Basin,Domestic Use,Ground Water,2510.242411,2535.5672,2556.568243,2587.040346,2641.807774,2672.073984,2730.547479,2799.10971,2874.672289,2916.468484,2927.174899,2942.822735,1074.67611,1103.207993,1124.588282,1132.410338,1141.275336,1144.702142,1139.26395
Salt-Snake River Planning Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt-Snake River Planning Basin,Industrial Use,Ground Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt-Snake River Planning Basin,Industrial Use,Surface Water,112,112,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt-Snake River Planning Basin,Municipal  Use,Ground Water,6478.175608,6543.531218,6597.728553,6676.367824,6817.705973,6895.813898,7046.716282,7223.654641,7418.658779,7526.522103,7554.152118,7594.534446,7790,7996.818938,8151.798142,8208.497851,8272.757521,8297.597394,8258.177596
Salt-Snake River Planning Basin,Municipal  Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind-Bighorn River Planning Basin,Agricultural Consumptive Use,Ground Water,6037.330428,6222.11288,5364.57725,7019.473338,7164.86076,7471.843485,6195.761936,6778.961843,7115.553906,7697.860383,6777.332646,6919.440653,5895.516728,6710.819372,8038.70938,7721.583591,8900.543988,9144.891978,9819.526616
Wind-Bighorn River Planning Basin,Agricultural Consumptive Use,Surface Water,874695.9093,901467.4199,777226.5957,1016989.99,1038053.9,1082529.938,897649.6624,982144.3872,1030910.262,1115275.546,981908.3472,1002497.131,854149.7648,972271.8216,1164658.171,1118712.593,1289521.836,1324923.275,1422665.177
Wind-Bighorn River Planning Basin,Domestic Use,Ground Water,,,6981.029512,6983.013766,7013.061035,7065.927221,7133.391845,7244.368317,7342.730605,5828.870251,5932.589951,5961.892425,6019.281044,6045.487408,6004.79567,5985.113254,5998.161148,5971.512483,5912.686384
Wind-Bighorn River Planning Basin,Domestic Use,Surface Water,,,2452.794153,2453.491323,2464.048472,2482.623078,2506.326865,2545.318598,2579.878321,2047.981439,2084.423496,2094.71896,2114.882529,2124.09017,2109.793073,2102.87763,2107.462025,2098.09898,2077.430351
Wind-Bighorn River Planning Basin,Industrial Use,Ground Water,11392,11142.76693,10719.95876,10763.58423,11146.11166,10880.62561,11034.56401,11205.69083,10720.06964,91258,95921.65126,96527.61673,99134.21987,94468.09538,93319.23882,88643.84094,81334.22016,80331.18278,78926.47683
Wind-Bighorn River Planning Basin,Industrial Use,Surface Water,82225,80426.08942,77374.35124,77689.23043,80450.23098,78534.00988,79645.1041,80880.26056,77375.15153,982,1032.184154,1038.704767,1066.753643,1016.542875,1004.180373,953.8698175,875.213178,864.4197932,849.3041733
Wind-Bighorn River Planning Basin,Municipal  Use,Ground Water,,,9292.713541,9252.589562,9286.293704,9317.590408,9317.590408,9478.888804,9555.124364,5700,5777.663088,5784.252684,5802.138728,5832.262593,5773.897605,5786.606111,5750.363336,5701.882742,5640.693642
Wind-Bighorn River Planning Basin,Municipal  Use,Surface Water,,,4373.041666,4380.470324,4400.202695,4438.971,4494.22164,4561.775993,4631.303583,7728,7875.122057,7922.893902,8014.440745,8047.367156,8000.927593,7961.910748,7999.024333,7972.759334,7896.248251
