index,Basin_Subbasin_Number,Basin_Subbasin_Name,in_RegulatoryStatute,in_OversightAgency
204,5-013,Upper Lake Valley,Very Low,Northern Region Office
205,5-014,Scotts Valley,Very Low,Northern Region Office
206,5-015,Big Valley,Medium,Northern Region Office
207,5-016,High Valley,Very Low,Northern Region Office
208,5-017,Burns Valley,Very Low,Northern Region Office
209,5-018,Coyote Valley,Very Low,North Central Region Office
210,5-019,Collayomi Valley,Very Low,North Central Region Office
211,5-020,Berryessa Valley,Very Low,North Central Region Office
212,5-021.50,Sacramento Valley - Red Bluff,Medium,Northern Region Office
213,5-021.51,Sacramento Valley - Corning,High,Northern Region Office
214,5-021.52,Sacramento Valley - Colusa,High,Northern Region Office
215,5-021.53,Sacramento Valley - Bend,Very Low,Northern Region Office
216,5-021.54,Sacramento Valley - Antelope,High,Northern Region Office
217,5-021.56,Sacramento Valley - Los Molinos,Medium,Northern Region Office
218,5-021.57,Sacramento Valley - Vina,High,Northern Region Office
219,5-021.60,Sacramento Valley - North Yuba,Medium,North Central Region Office
220,5-021.61,Sacramento Valley - South Yuba,High,North Central Region Office
221,5-021.62,Sacramento Valley - Sutter,Medium,North Central Region Office
222,5-021.64,Sacramento Valley - North American,High,North Central Region Office
223,5-021.65,Sacramento Valley - South American,High,North Central Region Office
224,5-021.66,Sacramento Valley - Solano,Medium,North Central Region Office
225,5-021.67,Sacramento Valley - Yolo,High,North Central Region Office
226,5-021.69,Sacramento Valley - Wyandotte Creek,Medium,Northern Region Office
227,5-021.70,Sacramento Valley - Butte,Medium,Northern Region Office
228,5-022.01,San Joaquin Valley - Eastern San Joaquin,High,North Central Region Office
229,5-022.02,San Joaquin Valley - Modesto,High,South Central Region Office
230,5-022.03,San Joaquin Valley - Turlock,High,South Central Region Office
231,5-022.04,San Joaquin Valley - Merced,High,South Central Region Office
232,5-022.05,San Joaquin Valley - Chowchilla,High,South Central Region Office
233,5-022.06,San Joaquin Valley - Madera,High,South Central Region Office
234,5-022.07,San Joaquin Valley - Delta-Mendota,High,South Central Region Office
235,5-022.08,San Joaquin Valley - Kings,High,South Central Region Office
236,5-022.09,San Joaquin Valley - Westside,High,South Central Region Office
237,5-022.10,San Joaquin Valley - Pleasant Valley,Medium,South Central Region Office
238,5-022.11,San Joaquin Valley - Kaweah,High,South Central Region Office
239,5-022.12,San Joaquin Valley - Tulare Lake,High,South Central Region Office
240,5-022.13,San Joaquin Valley - Tule,High,South Central Region Office
241,5-022.14,San Joaquin Valley - Kern County,High,South Central Region Office
242,5-022.15,San Joaquin Valley - Tracy,Medium,North Central Region Office
243,5-022.16,San Joaquin Valley - Cosumnes,Medium,North Central Region Office
244,5-022.17,San Joaquin Valley - Kettleman Plain,Low,South Central Region Office
245,5-022.18,San Joaquin Valley - White Wolf,Medium,South Central Region Office
246,5-022.19,San Joaquin Valley - East Contra Costa,Medium,North Central Region Office
247,5-023,Panoche Valley,Very Low,South Central Region Office
248,5-025,Kern River Valley,Very Low,South Central Region Office
249,5-026,Walker Basin Creek Valley,Very Low,South Central Region Office
250,5-027,Cummings Valley,Very Low,South Central Region Office
251,5-028,Tehachapi Valley West,Very Low,South Central Region Office
252,5-029,Castac Lake Valley,Very Low,South Central Region Office
253,5-030,Lower Lake Valley,Very Low,Northern Region Office
254,5-031,Long Valley,Very Low,Northern Region Office
255,5-035,Mccloud Area,Very Low,Northern Region Office
256,5-036,Round Valley,Very Low,Northern Region Office
257,5-037,Toad Well Area,Very Low,Northern Region Office
258,5-038,Pondosa Town Area,Very Low,Northern Region Office
259,5-040,Hot Springs Valley,Very Low,Northern Region Office
260,5-041,Egg Lake Valley,Very Low,Northern Region Office
261,5-043,Rock Prairie Valley,Very Low,Northern Region Office
262,5-044,Long Valley,Very Low,Northern Region Office
263,5-045,Cayton Valley,Very Low,Northern Region Office
264,5-046,Lake Britton Area,Very Low,Northern Region Office
265,5-047,Goose Valley,Very Low,Northern Region Office
266,5-048,Burney Creek Valley,Very Low,Northern Region Office
267,5-049,Dry Burney Creek Valley,Very Low,Northern Region Office
268,5-050,North Fork Battle Creek,Very Low,Northern Region Office
269,5-051,Butte Creek Valley,Very Low,Northern Region Office
