SiteUUID,Longitude,Latitude
CAwr_S10137,-120.50402669,40.81203469
CAwr_S10138,-120.22848129,39.6631382
CAwr_S10139,-123.1641878,39.1426361
CAwr_S1014,-123.54727428,41.28339792
CAwr_S10140,-123.14680349,39.14906138
CAwr_S10141,-123.09725936,41.63216831
CAwr_S10142,-123.09704672,41.63038634
CAwr_S10143,-122.2012504,40.68773156
CAwr_S10144,-123.08352498,40.5876838
CAwr_S10145,-121.50769253,38.60103623
CAwr_S10146,-121.15780997,38.70820115
CAwr_S10147,-121.5064,38.5916
CAwr_S10148,-121.55692859,37.83008859
CAwr_S10149,-121.57683259,37.88762563
CAwr_S1015,-120.38334575,39.29411252
CAwr_S10150,-121.61632475,36.42885981
CAwr_S10151,-123.13943657,38.97593984
CAwr_S10152,-122.29711051,39.10666936
CAwr_S10153,-116.62985451,34.91427933
CAwr_S10154,-115.92037329,34.17462728
CAwr_S10155,-116.90334035,34.2417263
CAwr_S10156,-117.17571091,34.85280053
CAwr_S10157,-116.08710379,34.20260124
CAwr_S10158,-116.9128692,34.48580555
CAwr_S10159,-120.95512966,38.50701934
CAwr_S1016,-122.58743465,40.68284022
CAwr_S10160,-122.54124824,38.86416183
CAwr_S10161,-122.50969575,38.8722668
CAwr_S10162,-121.61980929,36.53210693
CAwr_S10163,-121.59358328,36.49118764
CAwr_S10164,-121.21187721,38.48598995
CAwr_S10165,-120.96328557,35.49734931
CAwr_S10166,-120.95797234,35.50847084
CAwr_S10167,-120.55691109,41.9305911
CAwr_S10168,-121.80561189,40.20734461
CAwr_S10169,-120.92635144,41.29781603
CAwr_S1017,-120.97106339,39.09851915
CAwr_S10170,-120.75616551,41.19290531
CAwr_S10171,-122.37139279,37.43642299
CAwr_S10172,-120.26483165,38.06461672
CAwr_S10173,-122.21331819,39.95091452
CAwr_S10174,-121.09330444,39.32208517
CAwr_S10175,-120.5062253,37.83361942
CAwr_S10176,-120.22528977,38.04942705
CAwr_S10177,-120.59314817,41.98866082
CAwr_S10178,-117.2981051,33.95161839
CAwr_S10179,-117.2981051,33.95161839
CAwr_S1018,-120.98042885,38.17866986
CAwr_S10180,-117.29805039,33.94708458
CAwr_S10181,-121.44053617,38.68640384
CAwr_S10182,-121.32666237,39.91041351
CAwr_S10183,-120.21607225,38.51527947
CAwr_S10184,-116.94911313,34.2598998
CAwr_S10185,-120.16778943,38.09376636
CAwr_S10186,-120.68201841,35.38480783
CAwr_S10187,-121.23839625,39.96119312
CAwr_S10188,-121.22869573,39.96716746
CAwr_S10189,-119.75897902,34.52460284
CAwr_S1019,-122.53739665,39.75384447
CAwr_S10190,-120.21488136,38.49699861
CAwr_S10191,-119.89899494,38.77664763
CAwr_S10192,-122.08381202,39.33051382
