OID_,Join_Count,TARGET_FID,SiteUUID,Longitude,Latitude,Basin_Numb,Basin_Subb,Basin_Name,Basin_Su_1,Priority,GlobalID
1887,1,1887,CAwr_S11717,-124.1035856,41.82726506,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
2581,1,2581,CAwr_S12362,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
5718,1,5718,CAwr_S15221,-124.1889662,41.79042868,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
5925,1,5925,CAwr_S15408,-124.1218307,41.84669948,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
6379,1,6379,CAwr_S15823,-124.1816173,41.9333009,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
7415,1,7415,CAwr_S16773,-124.1296272,41.87318178,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
7657,1,7657,CAwr_S16994,-124.1682906,41.8085183,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
8712,1,8712,CAwr_S17967,-124.1624373,41.84238923,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
9498,1,9498,CAwr_S1868,-124.1070594,41.82116389,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
10560,1,10560,CAwr_S19666,-124.1070594,41.82116389,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
11666,1,11666,CAwr_S20692,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
11757,1,11757,CAwr_S20775,-124.0831688,41.80841541,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
14248,1,14248,CAwr_S23084,-124.1272944,41.87074122,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
14612,1,14612,CAwr_S23416,-124.1070594,41.82116389,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
15606,1,15606,CAwr_S24327,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
15944,1,15944,CAwr_S24637,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
16619,1,16619,CAwr_S25254,-124.124,41.8694,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
18238,1,18238,CAwr_S26760,-124.1779,41.9198,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
20103,1,20103,CAwr_S28494,-124.1666,41.9146,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
21284,1,21284,CAwr_S29587,-124.1113388,41.82300831,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
22728,1,22728,CAwr_S30918,-124.145,41.929,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
23466,1,23466,CAwr_S31598,-124.1559,41.8999,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
24297,1,24297,CAwr_S32371,-124.1372,41.8798,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
24323,1,24323,CAwr_S32395,-124.1832,41.9306,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
24330,1,24330,CAwr_S32401,-124.1648,41.8827,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
25211,1,25211,CAwr_S33239,-124.1449,41.929,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
25926,1,25926,CAwr_S33903,-124.1781,41.924,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
26267,1,26267,CAwr_S34221,-124.1459488,41.92174394,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
27074,1,27074,CAwr_S34981,-124.1721,41.9145,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
27076,1,27076,CAwr_S34983,-124.1902,41.9335,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
27296,1,27296,CAwr_S3520,-124.1453,41.9225,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
28523,1,28523,CAwr_S36334,-124.1594,41.9161,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
35085,1,35085,CAwr_S43369,-124.1447668,41.7847955,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
36130,1,36130,CAwr_S44316,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
38033,1,38033,CAwr_S4605,-124.1544501,41.78928428,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
38872,1,38872,CAwr_S46808,-124.1206679,41.8447991,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
39422,1,39422,CAwr_S47311,-124.1131621,41.83971933,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
40397,1,40397,CAwr_S48199,-124.14898,41.89094648,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
40770,1,40770,CAwr_S48538,-124.1070594,41.82116389,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
41087,1,41087,CAwr_S48835,-124.1507,41.8618,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
41101,1,41101,CAwr_S48848,-124.1132374,41.84205113,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
42201,1,42201,CAwr_S49855,-124.1228846,41.85656196,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
43374,1,43374,CAwr_S50915,-124.1459488,41.92174394,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
45035,1,45035,CAwr_S52439,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
46976,1,46976,CAwr_S54213,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
47536,1,47536,CAwr_S5474,-124.1097456,41.83621251,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
47602,1,47602,CAwr_S548,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
47933,1,47933,CAwr_S55101,-124.1240367,41.86944196,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
48631,1,48631,CAwr_S55738,-124.1455995,41.92229929,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
50034,1,50034,CAwr_S5702,-124.1190465,41.85141612,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
50210,1,50210,CAwr_S57179,-124.1095113,41.84033405,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
50867,1,50867,CAwr_S57778,-124.1907666,41.76747408,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
52790,1,52790,CAwr_S59523,-124.1194075,41.83988109,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
54659,1,54659,CAwr_S6358,-124.1041622,41.82807818,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
58525,1,58525,CAwr_S9893,-124.1429072,41.78400604,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
1276,1,1276,CAwr_S11163,-121.3136425,41.96023313,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
6758,1,6758,CAwr_S16172,-121.3237342,41.94423921,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
16524,1,16524,CAwr_S25169,-121.2860251,41.79597013,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
22925,1,22925,CAwr_S311,-121.3331141,41.92549624,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
40023,1,40023,CAwr_S47859,-121.3095558,41.92947613,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
42267,1,42267,CAwr_S49914,-121.3171066,41.98055879,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
43252,1,43252,CAwr_S50801,-121.3286829,41.98705185,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
44166,1,44166,CAwr_S51639,-121.5638794,41.92356126,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
44168,1,44168,CAwr_S51640,-121.5443967,41.92485941,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
44935,1,44935,CAwr_S52347,-121.3163839,41.98285129,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
48757,1,48757,CAwr_S55851,-121.3301965,41.95923108,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
48797,1,48797,CAwr_S55888,-121.2911,41.8313,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
52420,1,52420,CAwr_S5919,-121.3135083,41.93800582,1-002,1-002.01,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,Medium,{0221C1D2-25AE-4A1A-966A-CB67C61AD079}
17412,1,17412,CAwr_S25985,-121.8686,41.9828,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
18162,1,18162,CAwr_S26689,-121.7732,41.9091,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
18724,1,18724,CAwr_S27207,-121.7943,41.9143,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
19462,1,19462,CAwr_S27898,-121.7668,41.8714,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
20099,1,20099,CAwr_S28490,-121.8149,41.9416,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
20263,1,20263,CAwr_S28640,-121.7949,41.912,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
20264,1,20264,CAwr_S28641,-121.7795,41.9001,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
21618,1,21618,CAwr_S29894,-121.7848,41.8918,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
21806,1,21806,CAwr_S30071,-121.8059,41.9268,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
22024,1,22024,CAwr_S30271,-121.8185,41.9726,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
22228,1,22228,CAwr_S30461,-121.8585,41.9548,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
23084,1,23084,CAwr_S31246,-121.7867,41.8947,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
24461,1,24461,CAwr_S32522,-121.7316,41.8252,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
25086,1,25086,CAwr_S33120,-121.7278,41.8158,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
25851,1,25851,CAwr_S33833,-121.8253,41.96,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
25989,1,25989,CAwr_S33969,-121.8139,41.9033,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
25991,1,25991,CAwr_S33970,-121.866,41.9705,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
28107,1,28107,CAwr_S35950,-121.825,41.9595,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
34613,1,34613,CAwr_S42890,-121.750719,41.841178,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
44409,1,44409,CAwr_S51860,-121.8267593,41.99777861,1-002,1-002.02,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,Very Low,{40BABA70-71DB-468B-9D2F-26492806EFDC}
14163,1,14163,CAwr_S23003,-122.1303326,41.86283032,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
14970,1,14970,CAwr_S23748,-122.1008274,41.77230413,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
16749,1,16749,CAwr_S25372,-122.1295785,41.85267817,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
20544,1,20544,CAwr_S28900,-121.9401122,41.93793628,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
20545,1,20545,CAwr_S28901,-121.9483771,41.94301644,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
26786,1,26786,CAwr_S3471,-121.9500268,41.94850499,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
43255,1,43255,CAwr_S50804,-121.8588996,41.85005904,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
44609,1,44609,CAwr_S52044,-121.8631119,41.8540429,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
48615,1,48615,CAwr_S55723,-121.9566492,41.93945262,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
49857,1,49857,CAwr_S56857,-121.9401111,41.93917105,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
55381,1,55381,CAwr_S7011,-122.0653284,41.83242569,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
57668,1,57668,CAwr_S9106,-122.1255309,41.84733167,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,Medium,{3B91BA33-224E-4211-8A5D-63C3FCC00321}
1263,1,1263,CAwr_S11151,-122.5156495,41.68339302,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
1545,1,1545,CAwr_S11407,-122.4182969,41.37565121,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
1624,1,1624,CAwr_S11479,-122.4514906,41.61642225,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
1855,1,1855,CAwr_S11689,-122.3474188,41.75015177,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
1857,1,1857,CAwr_S11690,-122.3054778,41.75411089,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
2074,1,2074,CAwr_S1189,-122.5178938,41.52667673,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
2348,1,2348,CAwr_S12139,-122.4376451,41.70676378,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
2545,1,2545,CAwr_S1233,-122.5381912,41.70908777,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
2816,1,2816,CAwr_S12578,-122.4380748,41.6063192,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
3198,1,3198,CAwr_S12922,-122.326309,41.70548162,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
3288,1,3288,CAwr_S13002,-122.4445318,41.5065337,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
3567,1,3567,CAwr_S13254,-122.5283395,41.73643841,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
4018,1,4018,CAwr_S13673,-122.5268993,41.73960082,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
5608,1,5608,CAwr_S15122,-122.5607072,41.72970117,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
5639,1,5639,CAwr_S15150,-122.3832926,41.71203181,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
6819,1,6819,CAwr_S16229,-122.382628,41.72369709,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
6978,1,6978,CAwr_S16375,-122.5095612,41.70084619,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
7243,1,7243,CAwr_S16616,-122.3594226,41.47399794,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
7245,1,7245,CAwr_S16618,-122.5167467,41.68325095,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
7649,1,7649,CAwr_S16987,-122.3832926,41.71203181,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
8021,1,8021,CAwr_S17325,-122.4189995,41.37554987,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
8283,1,8283,CAwr_S17570,-122.4100129,41.56264787,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
8565,1,8565,CAwr_S17833,-122.5126944,41.65651147,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
9194,1,9194,CAwr_S18403,-122.3832926,41.71203181,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
9270,1,9270,CAwr_S18472,-122.4876215,41.4334927,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
9425,1,9425,CAwr_S18612,-122.4382002,41.4054202,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
9516,1,9516,CAwr_S18697,-122.4751,41.609,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
10153,1,10153,CAwr_S19295,-122.4986,41.6964,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
10635,1,10635,CAwr_S19733,-122.4589,41.716,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
10864,1,10864,CAwr_S19951,-122.4875306,41.76693971,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
11544,1,11544,CAwr_S20580,-122.4461723,41.64114214,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
11792,1,11792,CAwr_S20806,-122.4514906,41.61642225,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
11976,1,11976,CAwr_S20981,-122.4480005,41.45286442,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
12096,1,12096,CAwr_S2109,-122.458302,41.71654197,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
12941,1,12941,CAwr_S21864,-122.4582216,41.71656424,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
13153,1,13153,CAwr_S2206,-122.5057406,41.70401877,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
13922,1,13922,CAwr_S22785,-122.3272127,41.73991933,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,Medium,{F6D0C42A-C0AF-4F60-8548-8987CFF26BC1}
