SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
CAos_S34,,CAos_WS2,Unspecified,Unspecified,Unspecified,4326,,,180201000000.0,18020123.0,39.88022447,-120.47111890000001,,,Gage,LAKE DAVIS (DWR),DAV,,Stream Gage,CA,
CAos_S35,,CAos_WS5,Unspecified,Unspecified,ALAMEDA,4326,,,,,37.614000000000004,-121.745,,,Gage,DEL VALLE,DLV,,Reservoir Gage,CA,
CAos_S36,,CAos_WS5,Unspecified,Unspecified,RIVERSIDE,4326,,,,,33.67,-117.066,,,Gage,DIAMOND VALLEY,DMV,,Reservoir Gage,CA,
CAos_S37,,CAos_WS5,Unspecified,Unspecified,EL DORADO,4326,,,,,38.903,-120.603,,,Gage,STUMPY MEADOWS RESERVOIR(MARK EDSON DAM),EDN,,Reservoir Gage,CA,
CAos_S38,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.882,-116.80799999999999,,,Gage,EL CAPITAN DAM,ELC,,Reservoir Gage,CA,
CAos_S39,,CAos_WS5,Unspecified,Unspecified,TUOLUMNE,4326,,,,,37.974000000000004,-119.88,,,Gage,LAKE ELEANOR,ENR,,Reservoir Gage,CA,
CAos_S40,,CAos_WS1,Unspecified,Unspecified,Unspecified,4326,,,180101000000.0,18010105.0,40.49222933,-124.09912539999999,,,Gage,EEL RIVER AT SCOTIA,ERS,,Stream Gage,CA,
CAos_S41,,CAos_WS5,Unspecified,Unspecified,FRESNO,4326,,,,,37.266999999999996,-118.96700000000001,,,Gage,FLORENCE LAKE (SCE),FLR,,Reservoir Gage,CA,
CAos_S42,,CAos_WS5,Unspecified,Unspecified,PLACER,4326,,,,,39.111999999999995,-120.46799999999999,,,Gage,FRENCH MEADOWS,FMD,,Reservoir Gage,CA,
CAos_S43,,CAos_WS5,Unspecified,Unspecified,LOS ANGELES,4326,,,,,34.711777000000005,-118.433462,,,Gage,FAIRMONT RESERVOIR,FMT,,Reservoir Gage,CA,
CAos_S44,,CAos_WS5,Unspecified,Unspecified,PLUMAS,4326,,,,,39.883,-120.18299999999999,,,Gage,FRENCHMAN DAM,FRD,,Reservoir Gage,CA,
CAos_S45,,CAos_WS2,Unspecified,Unspecified,Unspecified,4326,,,180201000000.0,18020123.0,39.88447736,-120.1902311,,,Gage,FRENCHMAN DAM,FRD,,Stream Gage,CA,
CAos_S46,,CAos_WS5,Unspecified,Unspecified,NEVADA,4326,,,,,39.44,-120.544,,,Gage,FRENCH LAKE,FRL,,Reservoir Gage,CA,
CAos_S47,,CAos_WS1,Unspecified,Unspecified,Unspecified,4326,,,180202000000.0,18020159.0,39.52190567,-121.5466836,,,Gage,FEATHER RIVER AT OROVILLE,FTO,,Stream Gage,CA,
CAos_S48,,CAos_WS5,Unspecified,Unspecified,SANTA BARBARA,4326,,,,,34.525999999999996,-119.686,,,Gage,GIBRALTAR DAM,GBL,,Reservoir Gage,CA,
CAos_S49,,CAos_WS5,Unspecified,Unspecified,MONO,4326,,,,,37.751999999999995,-119.14,,,Gage,GEM LAKE,GLK,,Reservoir Gage,CA,
CAos_S50,,CAos_WS5,Unspecified,Unspecified,MONO,4326,,,,,37.861999999999995,-119.102,,,Gage,GRANT LAKE,GNT,,Reservoir Gage,CA,
CAos_S51,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,33.046,-117.12799999999999,,,Gage,LAKE HODGES,HDG,,Reservoir Gage,CA,
CAos_S52,,CAos_WS5,Unspecified,Unspecified,PLACER,4326,,,,,39.058,-120.40700000000001,,,Gage,HELL HOLE (PCWA),HHL,,Reservoir Gage,CA,
CAos_S53,,CAos_WS5,Unspecified,Unspecified,RIVERSIDE,4326,,,,,33.666,-116.705,,,Gage,LAKE HEMET,HMT,,Reservoir Gage,CA,
CAos_S54,,CAos_WS5,Unspecified,Unspecified,NAPA,4326,,,,,38.482,-122.37200000000001,,,Gage,LAKE HENNESSEY,HNN,,Reservoir Gage,CA,
CAos_S55,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,33.24,-116.762,,,Gage,HENSHAW,HNS,,Reservoir Gage,CA,
CAos_S56,,CAos_WS5,Unspecified,Unspecified,TUOLUMNE,4326,,,,,37.95,-119.78299999999999,,,Gage,HETCH HETCHY,HTH,,Reservoir Gage,CA,
CAos_S57,,CAos_WS5,Unspecified,Unspecified,INYO,4326,,,,,36.137,-117.948,,,Gage,HAIWEE,HWE,,Reservoir Gage,CA,
CAos_S58,,CAos_WS5,Unspecified,Unspecified,EL DORADO,4326,,,,,38.824,-120.359,,,Gage,ICE HOUSE (SMUD),ICH,,Reservoir Gage,CA,
CAos_S59,,CAos_WS5,Unspecified,Unspecified,LAKE,4326,,,,,39.083,-122.53299999999999,,,Gage,INDIAN VALLEY,INV,,Reservoir Gage,CA,
CAos_S60,,CAos_WS5,Unspecified,Unspecified,SHASTA,4326,,,,,41.045,-121.98100000000001,,,Gage,IRON CANYON,IRC,,Reservoir Gage,CA,
CAos_S61,,CAos_WS5,Unspecified,Unspecified,NEVADA,4326,,,,,39.509,-120.552,,,Gage,JACKSON MEADOWS (NEVADA CO WD),JCK,,Reservoir Gage,CA,
CAos_S62,,CAos_WS5,Unspecified,Unspecified,EL DORADO,4326,,,,,38.713,-120.56,,,Gage,JENKINSON LAKE,JNK,,Reservoir Gage,CA,
CAos_S63,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.854,-116.89200000000001,,,Gage,LAKE JENNINGS,JNN,,Reservoir Gage,CA,
CAos_S64,,CAos_WS2,Unspecified,Unspecified,Unspecified,4326,,,180102000000.0,18010209.0,41.30430319,-123.5328866,,,Gage,KLAMATH R AT ORLEANS,KLO,,Stream Gage,CA,
CAos_S65,,CAos_WS5,Unspecified,Unspecified,MARIN,4326,,,,,37.997,-122.70200000000001,,,Gage,KENT,KNT,,Reservoir Gage,CA,
CAos_S66,,CAos_WS5,Unspecified,Unspecified,PLUMAS,4326,,,,,39.724000000000004,-121.01899999999999,,,Gage,LITTLE GRASS VALLEY,LGV,,Reservoir Gage,CA,
CAos_S67,,CAos_WS5,Unspecified,Unspecified,SANTA CLARA,4326,,,,,37.202,-121.988,,,Gage,LEXINGTON RESERVOIR,LNG,,Reservoir Gage,CA,
CAos_S68,,CAos_WS5,Unspecified,Unspecified,EL DORADO,4326,,,,,38.983000000000004,-120.323,,,Gage,LOON LAKE (SMUD),LON,,Reservoir Gage,CA,
CAos_S69,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.609,-116.927,,,Gage,LOWER OTAY,LOT,,Reservoir Gage,CA,
CAos_S70,,CAos_WS5,Unspecified,Unspecified,SANTA CLARA,4326,,,,,37.165,-121.632,,,Gage,LEROY ANDERSON,LRA,,Reservoir Gage,CA,
