ID,Station,Elev,Latitude,Longitude,County,Operating Agency
LUS,SAN LUIS RESERVOIR (STATE),543,37.001,-121.002,MERCED,CA Dept of Water Resources
LVD,LOVELAND RESERVOIR,1366,32.779,-116.792,SAN DIEGO,South Bay Irrigation District
LVQ,LOS VAQUEROS RESERVOIR,472,37.838,-121.726,CONTRA COSTA,Contra Costa Water District
LVY,LAKE VALLEY RESERVOIR,5855,39.3,-120.583,PLACER,Pacific Gas & Electric
LWB,LOWER BEAR,5824,38.538,-120.257,AMADOR,Pacific Gas & Electric
LYS,LYONS RESERVOIR,4134,38.094,-120.166,TUOLUMNE,Pacific Gas & Electric
MAT,MATILIJA DAM,1138,34.486,-119.307,VENTURA,Ventura County Flood Control District
MCO,LAKE MCCLOUD,2700,41.135,-122.074,SHASTA,Pacific Gas & Electric
MCR,LAKE MCCLURE,867,37.584,-120.267,MARIPOSA,Merced County
MCS,LAKE MC SWAIN,425,37.52,-120.309,MARIPOSA,Merced County
MDO,MODESTO RESERVOIR,210,37.657,-120.675,STANISLAUS,Modesto Irrigation District
MHW,LAKE MATHEWS,1404,33.833,-117.46,RIVERSIDE,Metropolitan Water District
MMR,MIRAMAR,720,32.9,-117.1,SAN DIEGO,San Diego County
MMW,MOUNTAIN MEADOWS,5046,40.283,-121.017,LASSEN,Pacific Gas & Electric
MOR,MORENA DAM,3053,32.683,-116.55,SAN DIEGO,San Diego County
MPL,MAMMOTH POOL,3330,37.329,-119.328,FRESNO,Southern California Edison Company
MRR,MURRAY RES,542,32.782,-117.047,SAN DIEGO,San Diego County
NCA,NICASIO,180,38.075,-122.757,MARIN,Marin Municipal Water District
NCM,NACIMIENTO,784,35.758,-120.884,SAN LUIS OBISPO,Monterey County
ONF,ONEILL FOREBAY,225,37.067,-121.067,MERCED,CA Dept of Water Resources/O&M San Joaquin Field Division
ORO,OROVILLE DAM,900,39.54,-121.493,BUTTE,CA Dept of Water Resources/O&M Oroville Field Division
PAR,PARDEE,568,38.25,-120.85,CALAVERAS,East Bay Municipal Utility District
PLL,LAKE PILLSBURY,1807,39.408,-122.958,LAKE,Pacific Gas & Electric
PRR,PERRIS,1600,33.858,-117.183,RIVERSIDE,CA Dept of Water Resources/O&M Southern Field Division
PRU,LAKE PIRU,213,34.461,-118.751,VENTURA,United Water Conservation District
PT6,PIT R PH #6,32,40.842,-122.001,SHASTA,Pacific Gas & Electric
PT7,PIT R PH #7,1036,40.843,-122.015,SHASTA,Pacific Gas & Electric
PVR,PLEASANT VALLEY RESERVOIR,4400,37.423578,-118.583576,INYO,City of Los Angeles; Dept of Water and Power
PYM,PYRAMID,2606,34.644153,-118.764528,LOS ANGELES,CA Dept of Water Resources/O&M Southern Field Division
RDN,REDINGER LAKE,1403,37.145,-119.449,MADERA,Southern California Edison Company
RLC,RAILROAD CANYON,1398,33.675,-117.272,RIVERSIDE,Elsinore Valley Municipal Water District
RLF,RELIEF,7220,38.267,-119.733,TUOLUMNE,Pacific Gas & Electric
RLL,ROLLINS,2176,39.135,-120.948,PLACER,Nevada County
RTD,RUTH DAM,2675,40.367,-123.433,TRINITY,Humboldt Bay Muncipal Water District
SAT,SAN ANTONIO RESERVOIR,468,37.573,-121.848,ALAMEDA,San Francisco County
SDB,SADDLEBAG LAKE RESERVOIR,10090,37.966,-119.272,MONO,"Southern California Edison Company, Big Creek"
SFL,SCOTTS FLAT,3085,39.274,-120.917,NEVADA,Nevada Irrigation District
SGB,SAN GABRIEL,1481,34.207,-117.858,LOS ANGELES,Los Angeles County
SGC,SANTIAGO CREEK RES (IRVINE LAKE),810,33.785,-117.723,ORANGE,Serrano Irrigation Dist and Irvine Ranch Water Dist
SIV,SILVER LAKE RESERVOIR,7134,38.669,-120.121,AMADOR,El Dorado Irrigation District
SKN,SKINNER,1479,33.583,-117.122,RIVERSIDE,Metropolitan Water District
SLB,SLAB CREEK,1850,38.7725,-120.6994,EL DORADO,Sacramento Municipal Utility District
SLC,SLY CREEK,3536,39.584,-121.116,BUTTE,South Feather Water and Power Agency
SLF,SAN LUIS RESERVOIR (FEDERAL),543,37.001,-121.002,MERCED,CA Dept of Water Resources
SLJ,SOULAJULE DAM,344,38.153,-122.782,MARIN,Marin Municipal Water District
SLK,SOUTH LAKE,9600,37.175903,-118.56266,INYO,CA Dept of Water Resources/Snow Surveys
SLS,SALT SPRINGS,3700,38.497,-120.216,AMADOR,Pacific Gas & Electric
SLW,LAKE SILVERWOOD,3331,34.304,-117.318,SAN BERNARDINO,CA Dept of Water Resources/Operations and Maintenance
SNL,SAN LUIS RESERVOIR,543,37.033,-121.133,MERCED,CA Dept of Water Resources/O&M San Luis Field Division
SNN,SAN ANDREAS,456,37.578,-122.412,SAN MATEO,San Francisco County
SPB,SAN PABLO,330,37.9423,-122.2587,CONTRA COSTA,East Bay Municipal Utility District
SPM,SPICER MEADOWS,6516,38.393,-119.998,TUOLUMNE,Calaveras County
STD,SUTHERLAND RESERVOIR,2074,33.118,-116.787,SAN DIEGO,San Diego County
SVO,SEVEN OAKS DAM,2610,34.1178,-117.0978,SAN BERNARDINO,"Orange, Riverside and San Bernardino Counties"
SVT,SAN VICENTE,560,32.912,-116.924,SAN DIEGO,City of San Diego
