Station,ID,Elev,Latitude,Longitude,County,Operating Agency
CUYAMACA DAM,CUY,4641,32.99,-116.587,SAN DIEGO,National Weather Service
LOS BANOS,LSB,120,37.05,-120.867,MERCED,National Weather Service
JACKSON MEADOWS (NEVADA CO WD),JCK,6037,39.509,-120.552,NEVADA,Nevada County
BOWMAN LAKE,BWN,5566,39.45,-120.652,NEVADA,Nevada County
FRENCH LAKE,FRL,6664,39.44,-120.544,NEVADA,Nevada County
ROLLINS,RLL,2176,39.135,-120.948,PLACER,Nevada County
SCOTTS FLAT,SFL,3085,39.274,-120.917,NEVADA,Nevada Irrigation District
BEARDSLEY LAKE,BRD,3398,38.203,-120.075,TUOLUMNE,Oakdale South San Joaquin Irrigation District
SEVEN OAKS DAM,SVO,2610,34.1178,-117.0978,SAN BERNARDINO,"Orange, Riverside and San Bernardino Counties"
LAKE PILLSBURY,PLL,1807,39.408,-122.958,LAKE,Pacific Gas & Electric
LAKE MCCLOUD,MCO,2700,41.135,-122.074,SHASTA,Pacific Gas & Electric
IRON CANYON,IRC,2675,41.045,-121.981,SHASTA,Pacific Gas & Electric
LAKE BRITTON,BIT,2744,41.022,-121.676,SHASTA,Pacific Gas & Electric
PIT R PH #7,PT7,1036,40.843,-122.015,SHASTA,Pacific Gas & Electric
PIT R PH #6,PT6,32,40.842,-122.001,SHASTA,Pacific Gas & Electric
MOUNTAIN MEADOWS,MMW,5046,40.283,-121.017,LASSEN,Pacific Gas & Electric
LAKE ALMANOR,ALM,4600,40.218,-121.173,PLUMAS,Pacific Gas & Electric
BUTT VALLEY,BTV,4144,40.14802,-121.174174,PLUMAS,Pacific Gas & Electric
BUCKS LAKE STORAGE,BCL,5168,39.897,-121.202,PLUMAS,Pacific Gas & Electric
LAKE SPAULDING S YUBA SYSTEM,BWS,5390,39.441,-120.658,NEVADA,Pacific Gas & Electric
LAKE VALLEY RESERVOIR,LVY,5855,39.3,-120.583,PLACER,Pacific Gas & Electric
LOWER BEAR,LWB,5824,38.538,-120.257,AMADOR,Pacific Gas & Electric
SALT SPRINGS,SLS,3700,38.497,-120.216,AMADOR,Pacific Gas & Electric
RELIEF,RLF,7220,38.267,-119.733,TUOLUMNE,Pacific Gas & Electric
STRAWBERRY,SWB,5620,38.2,-119.983,TUOLUMNE,Pacific Gas & Electric
LYONS RESERVOIR,LYS,4134,38.094,-120.166,TUOLUMNE,Pacific Gas & Electric
CRANE VALLEY,CNV,3380,37.283,-119.517,MADERA,Pacific Gas & Electric
COURTRIGHT (PG&E),CTG,8192,37.072,-118.967,FRESNO,Pacific Gas & Electric
WISHON,WSN,6560,37.005,-118.969,FRESNO,Pacific Gas & Electric
FRENCH MEADOWS,FMD,5263,39.112,-120.468,PLACER,Placer County Water Agency
HELL HOLE (PCWA),HHL,4630,39.058,-120.407,PLACER,Placer County Water Agency
VAIL LAKE,VIL,1470,33.496,-116.976,RIVERSIDE,Rancho Calif Water District
LOON LAKE (SMUD),LON,6410,38.983,-120.323,EL DORADO,Sacramento Municipal Utility District
UNION VALLEY,UNV,4870,38.864,-120.438,EL DORADO,Sacramento Municipal Utility District
ICE HOUSE (SMUD),ICH,5454,38.824,-120.359,EL DORADO,Sacramento Municipal Utility District
SLAB CREEK,SLB,1850,38.7725,-120.6994,EL DORADO,Sacramento Municipal Utility District
SUTHERLAND RESERVOIR,STD,2074,33.118,-116.787,SAN DIEGO,San Diego County
LAKE HODGES,HDG,315,33.046,-117.128,SAN DIEGO,San Diego County
MIRAMAR,MMR,720,32.9,-117.1,SAN DIEGO,San Diego County
EL CAPITAN DAM,ELC,600,32.882,-116.808,SAN DIEGO,San Diego County
MURRAY RES,MRR,542,32.782,-117.047,SAN DIEGO,San Diego County
MORENA DAM,MOR,3053,32.683,-116.55,SAN DIEGO,San Diego County
BARRETT,BRT,1607,32.678,-116.669,SAN DIEGO,San Diego County
SAN ANTONIO RESERVOIR,SAT,468,37.573,-121.848,ALAMEDA,San Francisco County
LOWER CRYSTAL SPRINGS RESERVOIR,CRY,293,37.53,-122.36,SAN MATEO,San Francisco County
SAN ANDREAS,SNN,456,37.578,-122.412,SAN MATEO,San Francisco County
CALAVERAS,CVE,775,37.492,-121.818,ALAMEDA,San Francisco PUC
WHALE ROCK,WHR,233,35.45,-120.883,SAN LUIS OBISPO,San Luis Obispo County
LEXINGTON RESERVOIR,LNG,659,37.202,-121.988,SANTA CLARA,Santa Clara County
