SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NDssdw_S14305431C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.15575,-97.57339,,,POD,Wade Blank,14305431C,,WaDE Blank,ND,
NDssdw_S14305432C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.1557,-97.55228,,,POD,Wade Blank,14305432C,,WaDE Blank,ND,
NDssdw_S14305433A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.16284,-97.52017,,,POD,Wade Blank,14305433A,,WaDE Blank,ND,
NDssdw_S14305434A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.16292368,-97.49883531,,,POD,Wade Blank,14305434A,,WaDE Blank,ND,
NDssdw_S14305434B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.16289,-97.50945,,,POD,Wade Blank,14305434B,,WaDE Blank,ND,
NDssdw_S14305434C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.15565,-97.50947,,,POD,Wade Blank,14305434C,,WaDE Blank,ND,
NDssdw_S14305436A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.16288616,-97.45633169,,,POD,Wade Blank,14305436A,,WaDE Blank,ND,
NDssdw_S14305436B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.16288497,-97.46696191,,,POD,Wade Blank,14305436B,,WaDE Blank,ND,
NDssdw_S14305436C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.15567699,-97.46695934,,,POD,Wade Blank,14305436C,,WaDE Blank,ND,
NDssdw_S14305502B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.23558,-97.61601,,,POD,Wade Blank,14305502B,,WaDE Blank,ND,
NDssdw_S14305511W,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.21741,-97.61569,,,POD,Wade Blank,14305511W,,WaDE Blank,ND,
NDssdw_S14305536D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Cass,4326,,,,,47.15587,-97.58397,,,POD,Wade Blank,14305536D,,WaDE Blank,ND,
NDssdw_S14305702C,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Barnes,4326,,,,,47.22931,-97.87082,,,POD,Wade Blank,14305702C,,WaDE Blank,ND,
NDssdw_S14305815DD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Barnes,4326,,,,,47.19902,-98.00634,,,POD,Wade Blank,14305815DD,,WaDE Blank,ND,
NDssdw_S14306013D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Barnes,4326,,,,,47.20104862,-98.2199922,,,POD,Wade Blank,14306013D,,WaDE Blank,ND,
NDssdw_S14306021B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Barnes,4326,,,,,47.19361,-98.29456,,,POD,Wade Blank,14306021B,,WaDE Blank,ND,
NDssdw_S14306024A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Barnes,4326,,,,,47.19383,-98.21994,,,POD,Wade Blank,14306024A,,WaDE Blank,ND,
NDssdw_S14306132CD,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Barnes,4326,,,,,47.15526,-98.43865,,,POD,Wade Blank,14306132CD,,WaDE Blank,ND,
NDssdw_S14306514CD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Stutsman,4326,,,,,47.19863,-98.88216,,,POD,Wade Blank,14306514CD,,WaDE Blank,ND,
NDssdw_S14306722CD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Stutsman,4326,,,,,47.18428,-99.15666,,,POD,Wade Blank,14306722CD,,WaDE Blank,ND,
