WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
OR_96,,,Fresh,COW CREEK,Unspecified,surface water
OR_97,,,Fresh,SISLEY CREEK,Unspecified,surface water
OR_98,,,Fresh,GRANDE RONDE RIVER,Unspecified,surface water
OR_99,,,Fresh,GOOSE CREEK,Unspecified,surface water
OR_100,,,Fresh,RICH GULCH,Unspecified,surface water
OR_101,,,Fresh,SOUTH FORK SIXES RIVER,Unspecified,surface water
OR_102,,,Fresh,CAVE CREEK,Unspecified,surface water
OR_103,,,Fresh,BOLAN CREEK,Unspecified,surface water
OR_104,,,Fresh,EAST FORK BOLAN CREEK,Unspecified,surface water
OR_105,,,Fresh,HOG CREEK,Unspecified,surface water
OR_106,,,Fresh,JEWETT CREEK,Unspecified,surface water
OR_107,,,Fresh,FRUITDALE CREEK,Unspecified,surface water
OR_108,,,Fresh,SALMON CREEK & TRIBS,Unspecified,surface water
OR_109,,,Fresh,CLARK CREEK,Unspecified,surface water
OR_110,,,Fresh,FIZZLEOUT CREEK,Unspecified,surface water
OR_111,,,Fresh,BLACK CANYON,Unspecified,surface water
OR_112,,,Fresh,DEEP CREEK,Unspecified,surface water
OR_113,,,Fresh,HOT CREEK,Unspecified,surface water
OR_114,,,Fresh,BIG CREEK,Unspecified,surface water
OR_115,,,Fresh,POLLY CREEK,Unspecified,surface water
OR_116,,,Fresh,BELKNAP GULCH,Unspecified,surface water
OR_117,,,Fresh,RANCHERIE CREEK,Unspecified,surface water
OR_118,,,Fresh,WEST FORK RANCHERIE CREEK,Unspecified,surface water
OR_119,,,Fresh,BILLS GULCH,Unspecified,surface water
OR_120,,,Fresh,MILLER GULCH,Unspecified,surface water
OR_121,,,Fresh,NORTH FORK COYOTE CREEK,Unspecified,surface water
OR_122,,,Fresh,UNDERGROUND SPRINGS,Unspecified,surface water
OR_123,,,Fresh,A SPRING,Unspecified,surface water
OR_124,,,Fresh,MARY M SHAFT,Unspecified,surface water
OR_125,,,Fresh,BURNT RIVER,Unspecified,surface water
OR_126,,,Fresh,STUD HORSE CREEK,Unspecified,surface water
OR_127,,,Fresh,SCOTCH GULCH,Unspecified,surface water
OR_128,,,Fresh,SLAGLE CREEK,Unspecified,surface water
OR_129,,,Fresh,FOOTS CREEK,Unspecified,surface water
OR_130,,,Fresh,NORTH FORK SILVER CREEK,Unspecified,surface water
OR_131,,,Fresh,BUTLER CREEK,Unspecified,surface water
OR_132,,,Fresh,TOINEN GULCH,Unspecified,surface water
OR_133,,,Fresh,SCOFIELD GULCH,Unspecified,surface water
OR_134,,,Fresh,FROG GULCH,Unspecified,surface water
OR_135,,,Fresh,GREEN CREEK,Unspecified,surface water
OR_136,,,Fresh,LOUSE CREEK,Unspecified,surface water
OR_137,,,Fresh,QUARTZ CREEK,Unspecified,surface water
OR_138,,,Fresh,SEEPAGE,Unspecified,surface water
OR_139,,,Fresh,GROUSE CREEK,Unspecified,surface water
OR_140,,,Fresh,BUTTE CREEK,Unspecified,surface water
OR_141,,,Fresh,HOOKS GULCH,Unspecified,surface water
OR_142,,,Fresh,LITTLE APPLEGATE RIVER,Unspecified,surface water
OR_143,,,Fresh,BEAR GULCH,Unspecified,surface water
OR_144,,,Fresh,UNNAMED SPRING,Unspecified,surface water
OR_145,,,Fresh,EAST FORK HIGH PRAIRIE CREEK,Unspecified,surface water
OR_146,,,Fresh,WEST FORK HIGH PRAIRIE CREEK,Unspecified,surface water
OR_147,,,Fresh,NORTH FORK BURNT RIVER,Unspecified,surface water
OR_148,,,Fresh,JOSEPHINE CREEK,Unspecified,surface water
OR_149,,,Fresh,BULL RUN,Unspecified,surface water
OR_150,,,Fresh,MARION CREEK,Unspecified,surface water
OR_151,,,Fresh,TULLER CREEK,Unspecified,surface water
OR_152,,,Fresh,LONESOME GULCH,Unspecified,surface water
OR_153,,,Fresh,LYONS GULCH,Unspecified,surface water
OR_154,,,Fresh,DOMESTIC SPRING,Unspecified,surface water
OR_155,,,Fresh,CRYSTAL SPRING,Unspecified,surface water
OR_156,,,Fresh,SHADY SPRING,Unspecified,surface water
OR_157,,,Fresh,TRACY CREEK,Unspecified,surface water
OR_158,,,Fresh,GOSS CREEK,Unspecified,surface water
OR_159,,,Fresh,PANTHER CREEK,Unspecified,surface water
OR_160,,,Fresh,WHITEHORSE CREEK,Unspecified,surface water
OR_161,,,Fresh,TENNESSEE GULCH,Unspecified,surface water
OR_162,,,Fresh,PANTHER GULCH,Unspecified,surface water
OR_163,,,Fresh,LANE CREEK,Unspecified,surface water
OR_164,,,Fresh,JACK CREEK,Unspecified,surface water
OR_165,,,Fresh,RIGHT HAND FORK OF PERKINS CREEK AND ITS TRIBUTARI,Unspecified,surface water
OR_166,,,Fresh,SOUTH FORK ROCKY GULCH,Unspecified,surface water
OR_167,,,Fresh,SIXMILE CREEK,Unspecified,surface water
OR_168,,,Fresh,MILL CREEK,Unspecified,surface water
OR_169,,,Fresh,WHISKY CREEK,Unspecified,surface water
OR_170,,,Fresh,YELLOWBOTTOM CREEK,Unspecified,surface water
OR_171,,,Fresh,LOST HORSE CREEK,Unspecified,surface water
OR_172,,,Fresh,RUM CREEK,Unspecified,surface water
OR_173,,,Fresh,BAILEY CREEK,Unspecified,surface water
OR_174,,,Fresh,UNNAMED SPRING 1,Unspecified,surface water
OR_175,,,Fresh,UNNAMED SPRING 2,Unspecified,surface water
OR_176,,,Fresh,WEST BRANCH GALLS CREEK,Unspecified,surface water
OR_177,,,Fresh,SLATE CREEK,Unspecified,surface water
OR_178,,,Fresh,STERLING CREEK,Unspecified,surface water
OR_179,,,Fresh,PENNINGTON CREEK,Unspecified,surface water
OR_180,,,Fresh,KANE CREEK,Unspecified,surface water
OR_181,,,Fresh,DOSTLER CREEK,Unspecified,surface water
OR_182,,,Fresh,DIXIE CREEK,Unspecified,surface water
OR_183,,,Fresh,LIMBER JIM CREEK,Unspecified,surface water
OR_184,,,Fresh,MOON CREEK,Unspecified,surface water
OR_185,,,Fresh,BRIGGS CREEK,Unspecified,surface water
OR_186,,,Fresh,SUMMIT CREEK,Unspecified,surface water
OR_187,,,Fresh,CARSON CREEK,Unspecified,surface water
OR_188,,,Fresh,MILLER CREEK,Unspecified,surface water
OR_189,,,Fresh,BOARD TREE CREEK,Unspecified,surface water
OR_190,,,Fresh,COLLINS CREEK,Unspecified,surface water
OR_191,,,Fresh,LEE CREEK,Unspecified,surface water
OR_192,,,Fresh,MCGUIRE GULCH,Unspecified,surface water
OR_193,,,Fresh,HORN GULCH,Unspecified,surface water
OR_194,,,Fresh,BRUSHY GULCH,Unspecified,surface water
OR_195,,,Fresh,CLEAR CREEK,Unspecified,surface water
OR_196,,,Fresh,DRY CREEK,Unspecified,surface water
OR_197,,,Fresh,BRIMSTONE GULCH,Unspecified,surface water
OR_198,,,Fresh,BEAR BRANCH,Unspecified,surface water
OR_199,,,Fresh,SOUTH FORK QUEENS BRANCH,Unspecified,surface water
OR_200,,,Fresh,TURNER CREEK,Unspecified,surface water
OR_201,,,Fresh,MCKINNON CREEK,Unspecified,surface water
OR_202,,,Fresh,RED DITCH,Unspecified,surface water
OR_203,,,Fresh,QUEENS BRANCH,Unspecified,surface water
OR_204,,,Fresh,FALL CREEK,Unspecified,surface water
OR_205,,,Fresh,HOOVER GULCH,Unspecified,surface water
OR_206,,,Fresh,BALLS BRANCH,Unspecified,surface water
OR_207,,,Fresh,SECESH GULCH,Unspecified,surface water
OR_208,,,Fresh,JUMPOFF JOE CREEK,Unspecified,surface water
OR_209,,,Fresh,EAST FORK JONES CREEK,Unspecified,surface water
OR_210,,,Fresh,DRY GULCH,Unspecified,surface water
OR_211,,,Fresh,BOAZ GULCH,Unspecified,surface water
OR_212,,,Fresh,WEST FORK MURPHY GULCH,Unspecified,surface water
OR_213,,,Fresh,SOUTH FORK TAYLOR CREEK,Unspecified,surface water
OR_214,,,Fresh,WEST FORK TAYLOR CREEK,Unspecified,surface water
OR_215,,,Fresh,POST GULCH,Unspecified,surface water
OR_216,,,Fresh,ALDER CREEK,Unspecified,surface water
OR_217,,,Fresh,CHIEFTAIN CREEK,Unspecified,surface water
OR_218,,,Fresh,HORSE CREEK,Unspecified,surface water
OR_219,,,Fresh,MCNAIR CREEK,Unspecified,surface water
OR_220,,,Fresh,POORMANS CREEK,Unspecified,surface water
OR_221,,,Fresh,EAST FORK EAGLE CREEK,Unspecified,surface water
OR_222,,,Fresh,WOLESY CREEK,Unspecified,surface water
OR_223,,,Fresh,BLUE GULCH,Unspecified,surface water
OR_224,,,Fresh,BULL RUN CREEK,Unspecified,surface water
OR_225,,,Fresh,DOG CREEK,Unspecified,surface water
OR_226,,,Fresh,MIKES GULCH,Unspecified,surface water
OR_227,,,Fresh,CHINA CREEK,Unspecified,surface water
OR_228,,,Fresh,SUTTON GULCH,Unspecified,surface water
OR_229,,,Fresh,L MEADOW G/UNN STRS,Unspecified,surface water
OR_230,,,Fresh,EASTTENCENT CREEK,Unspecified,surface water
OR_231,,,Fresh,STEVE FORK CARBERRY CREEK,Unspecified,surface water
OR_232,,,Fresh,TOM EAST CREEK,Unspecified,surface water
OR_233,,,Fresh,SECRET CREEK,Unspecified,surface water
OR_234,,,Fresh,MAPLE CREEK,Unspecified,surface water
OR_235,,,Fresh,NUMBER SEVEN GULCH,Unspecified,surface water
OR_236,,,Fresh,SHIRTTAIL CREEK,Unspecified,surface water
OR_237,,,Fresh,CANYON CREEK,Unspecified,surface water
OR_238,,,Fresh,WATERDOG CREEK,Unspecified,surface water
OR_239,,,Fresh,R FORK PLEASANT CREEK,Unspecified,surface water
OR_240,,,Fresh,BIG BOULDER CREEK,Unspecified,surface water
OR_241,,,Fresh,LITTLE PINE CREEK,Unspecified,surface water
OR_242,,,Fresh,DEVIL CREEK,Unspecified,surface water
OR_243,,,Fresh,RESERVOIR CREEK,Unspecified,surface water
OR_244,,,Fresh,FIDDLER GULCH,Unspecified,surface water
OR_245,,,Fresh,NOGLE CREEK,Unspecified,surface water
OR_246,,,Fresh,ZIGZAG CREEK,Unspecified,surface water
OR_247,,,Fresh,GLADE CREEK,Unspecified,surface water
OR_248,,,Fresh,WARD CREEK,Unspecified,storage
OR_249,,,Fresh,LITTLE ELDER CREEK,Unspecified,surface water
OR_250,,,Fresh,R FORK BIRDSEYE CREEK,Unspecified,surface water
OR_251,,,Fresh,WARD CREEK,Unspecified,surface water
OR_252,,,Fresh,SKULL CREEK,Unspecified,surface water
OR_253,,,Fresh,HOGUM CREEK,Unspecified,surface water
OR_254,,,Fresh,MEADOW CREEK,Unspecified,surface water
OR_255,,,Fresh,NUMBER EIGHT GULCH,Unspecified,surface water
OR_256,,,Fresh,BUMMER GULCH,Unspecified,surface water
OR_257,,,Fresh,MANZANITA CREEK,Unspecified,surface water
OR_258,,,Fresh,STORE GULCH,Unspecified,surface water
OR_259,,,Fresh,KEYTE CREEK,Unspecified,surface water
OR_260,,,Fresh,ALDER GULCH,Unspecified,surface water
OR_261,,,Fresh,COLLINS GULCH,Unspecified,surface water
OR_262,,,Fresh,UNNAMED BASIN,Unspecified,surface water
OR_263,,,Fresh,ILLINOIS RIVER,Unspecified,surface water
OR_264,,,Fresh,MILLER GULCH,Unspecified,storage
OR_265,,,Fresh,BREWER RESERVOIR,Unspecified,surface water
OR_266,,,Fresh,MAPLE GULCH,Unspecified,surface water
OR_267,,,Fresh,CEDAR CREEK,Unspecified,surface water
OR_268,,,Fresh,NORTH FORK ROCKY GULCH,Unspecified,surface water
OR_269,,,Fresh,EAST FORK WHITEHORSE CREEK,Unspecified,surface water
OR_270,,,Fresh,WHISKEY GULCH,Unspecified,surface water
OR_271,,,Fresh,STRATTON CREEK,Unspecified,surface water
OR_272,,,Fresh,WILDCAT GULCH,Unspecified,surface water
OR_273,,,Fresh,HAMILTON GU/WASTE W,Unspecified,surface water
OR_274,,,Fresh,BYRON CREEK,Unspecified,surface water
OR_275,,,Fresh,FALL CREEK,Unspecified,storage
OR_276,,,Fresh,WATERFALLS RESERVOIR,Unspecified,surface water
OR_277,,,Fresh,WILSON CREEK,Unspecified,surface water
OR_278,,,Fresh,COLD SPRINGS,Unspecified,surface water
OR_279,,,Fresh,SANDERS GULCH,Unspecified,surface water
OR_280,,,Fresh,BROWN GULCH,Unspecified,surface water
OR_281,,,Fresh,CHINA GULCH,Unspecified,surface water
OR_282,,,Fresh,LITTLE TODD CREEK,Unspecified,surface water
OR_283,,,Fresh,KNOTT CREEK,Unspecified,surface water
OR_284,,,Fresh,HAWKS NEST SPRING,Unspecified,surface water
OR_285,,,Fresh,HOGBACK CREEK,Unspecified,surface water
OR_286,,,Fresh,SEBASTOPOL CREEK,Unspecified,surface water
OR_287,,,Fresh,HANSEN GULCH,Unspecified,surface water
OR_288,,,Fresh,ROCKY BAR GULCH,Unspecified,surface water
OR_289,,,Fresh,WOOD CREEK,Unspecified,surface water
OR_290,,,Fresh,FRY GULCH,Unspecified,surface water
OR_291,,,Fresh,DUTCHY CREEK,Unspecified,surface water
OR_292,,,Fresh,BRUSH CREEK,Unspecified,surface water
OR_293,,,Fresh,JOHNSON CREEK,Unspecified,surface water
OR_294,,,Fresh,SPRINGS,Unspecified,surface water
OR_295,,,Fresh,FERRIS GULCH,Unspecified,surface water
OR_296,,,Fresh,LONG GULCH,Unspecified,surface water
OR_297,,,Fresh,GEORGE BLACK GULCH,Unspecified,surface water
OR_298,,,Fresh,FLUME GULCH,Unspecified,surface water
OR_299,,,Fresh,LAST CHANCE CREEK,Unspecified,surface water
OR_300,,,Fresh,PLEASANT CREEK,Unspecified,surface water
OR_301,,,Fresh,JAMISON GULCH,Unspecified,surface water
OR_302,,,Fresh,FRENCH GULCH,Unspecified,surface water
OR_303,,,Fresh,HARRIS GULCH,Unspecified,surface water
OR_304,,,Fresh,GERTULLA CREEK,Unspecified,surface water
OR_305,,,Fresh,COPPER CREEK,Unspecified,surface water
OR_306,,,Fresh,LAKE CREEK,Unspecified,surface water
OR_307,,,Fresh,BABOON CREEK,Unspecified,surface water
OR_308,,,Fresh,SHANKS CREEK,Unspecified,surface water
OR_309,,,Fresh,GARRADALLA GULCH,Unspecified,surface water
OR_310,,,Fresh,PAINT CREEK,Unspecified,surface water
OR_311,,,Fresh,SOUTH FORK QUINES CREEK,Unspecified,surface water
OR_312,,,Fresh,R FORK FOREST CREEK,Unspecified,surface water
OR_313,,,Fresh,ROCKY BAR CREEK,Unspecified,surface water
OR_314,,,Fresh,A K GULCH,Unspecified,surface water
OR_315,,,Fresh,R FORK FOOTS CREEK,Unspecified,surface water
OR_316,,,Fresh,MIDDLE FORK FOOTS CREEK,Unspecified,surface water
