,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
43,Montpelier, , , ,2480,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,1/1/2001,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.184822466,0.000632954
44,Oxford, , , ,2481,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.036749825,7.13E-05
45,Paris, , , ,2482,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,1/1/2001,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.126488528,0.000991515
46,Preston, , , ,2483,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.420132601,0.001876468
47,Saint Charles, , , ,2484,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Bear Lake,Bear River,1/1/2001,Bear Lake,01-01-01b,Bear Lake ID,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.075966473,0.000176802
48,Soda Springs, , , ,2485,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Caribou,Bear River,1/1/2002,Soda Springs,01-01-02a,Soda Springs,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.251455611,0.001302687
49,Weston, , , ,2486,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Idaho,Franklin,Bear River,1/1/2004,Cache Valley,01-01-04b,Cache Valley ID,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.096623324,0.00055628
50,Cokeville, , , ,2488,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Wyoming,Lincoln,Bear River,1/2/2001,Cokeville,01-02-01a,Cokeville,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.101454218,0.000208304
51,Evanston, , , ,2487,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Wyoming,Uinta,Bear River,1/3/2001,Evanston,01-03-01b,Evanston,0,DWRe,,ADAMCLARK,6/1/2017 0:00,,0.379256414,0.002873555
53,Monument Valley High School, ,Monument Valley High Scho,C,941,0,UTAH19038,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,5/31/2017 0:00,,0.017808959,1.94E-05
