,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
759,Goblin Valley State Park, ,Goblin Valley State Park,NC,368,0,UTAH08024,https://waterlink.utah.gov/deqWater/reports.html?systemId=712, , ,Utah,Emery,West Colorado River,8/3/2004,Lower Muddy Creek,08-03-04a,Muddy Creek,0,DWRe,4/13/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.013368335,1.05E-05
762,Sportsmans Lodge, , ,NC,2303,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Emery,West Colorado River,8/2/2002,Joes Valley,08-02-02a,Joes Valley,0,DWRe,4/13/2017 0:00,ADAMCLARK,4/13/2017 0:00,,0.013178137,6.36E-06
763,Fillmore Subdivision, ,Fillmore Subdivision - Joes Valley,NC,366,0,UTAH08020,https://waterlink.utah.gov/deqWater/reports.html?systemId=651, , ,Utah,Emery,West Colorado River,8/2/2002,Joes Valley,08-02-02a,Joes Valley,0,DWRe,4/13/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.043687168,5.13E-05
764,Energy West, ,Trail Mountain Mine,NP,2379,0,UTAH08009,https://waterlink.utah.gov/deqWater/reports.html?systemId=1538, , ,Utah,Emery,West Colorado River,8/2/2004,Castle Dale,08-02-04a,Castle Dale,0,DWRe,4/13/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.015434818,7.22E-06
767,Cleveland Lloyd Quarry, ,Cleveland Lloyd Dinosaur Quarry,NP,369,0,UTAH08025,https://waterlink.utah.gov/deqWater/reports.html?systemId=460, , ,Utah,Emery,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,0,DWRe,4/13/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.006188089,1.60E-06
772,Helaman Hollow Recreation, ,Helaman Hollow Recreation Camp,NC,2451,0,UTAH04057,https://waterlink.utah.gov/deqWater/reports.html?systemId=1796, , ,Utah,Carbon,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,0,DWRe,4/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.018466276,1.57E-05
773,Clear Creek Camp, ,Clear Creek Camp - Alpine School Dist,NC,203,0,UTAH04025,https://waterlink.utah.gov/deqWater/reports.html?systemId=454, , ,Utah,Carbon,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,0,DWRe,4/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.011274478,7.99E-06
774,Aspen View - Scofield Mountain Homes, ,Aspen View - Scofield Mountain Homes,NC,182,0,UTAH04001,https://waterlink.utah.gov/deqWater/reports.html?systemId=61, , ,Utah,Carbon,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,0,DWRe,4/24/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.031302885,4.94E-05
775,Mountain View, ,Mountain View Campground,NC,206,0,UTAH04029,https://waterlink.utah.gov/deqWater/reports.html?systemId=1008, , ,Utah,Carbon,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,0,DWRe,4/20/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.011940273,5.48E-06
776,Scofield Res. Camp, ,Scofield Reservoir Camp,NC,201,0,UTAH04023,https://waterlink.utah.gov/deqWater/reports.html?systemId=1315, , ,Utah,Carbon,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,0,DWRe,4/20/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.02230709,1.81E-05
777,Madsen Bay, ,Madsen Bay Campground,NC,221,0,UTAH04049,https://waterlink.utah.gov/deqWater/reports.html?systemId=900, , ,Utah,Utah,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,0,DWRe,4/20/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.011963828,8.73E-06
778,Aspen Cove, ,Aspen Cove Association,C,223,0,UTAH04051,https://waterlink.utah.gov/deqWater/reports.html?systemId=50, , ,Utah,Carbon,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,0,DWRe,4/20/2017 0:00,ADAMCLARK,2/11/2020 0:00,,0.070731171,0.000234584
781,Price Canyon Recreation Area, ,Price Canyon Recreation Area,NP,204,0,UTAH04026,https://waterlink.utah.gov/deqWater/reports.html?systemId=1207, , ,Utah,Carbon,West Colorado River,8/1/2002,Colton,08-01-02a,Colton,0,DWRe,4/24/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.015602905,1.28E-05
783,Bill Barrett Corp., , ,NTNC,2450,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Carbon,West Colorado River,8/1/2002,Colton,08-01-02a,Colton,0,DWRe,4/26/2017 0:00,ADAMCLARK,4/26/2017 0:00,,0.006466439,2.15E-06
785,Bacon Rind Ridge Water Co., ,Bacon Rine Ridge Water Company,NP,208,0,UTAH04031,https://waterlink.utah.gov/deqWater/reports.html?systemId=81, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,0, ,4/26/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.002314623,3.14E-07
788,Camp Timberlane, ,Camp Timber Lane,NC,322,0,UTAH07032,https://waterlink.utah.gov/deqWater/reports.html?systemId=238, , ,Utah,Duchesne,Uintah,7/4/2002,Mini Maud,07-04-02a,Mini Maud,0,DWRe,5/3/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.032404574,5.28E-05
789,P.R. Springs, ,PR Springs,NC,1276,0,UTAH24027,https://waterlink.utah.gov/deqWater/reports.html?systemId=1107, , ,Utah,Uintah,Uintah,7/4/2003,Willow Creek,07-04-03a,Willow Creek,0,DWRe,5/4/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.044236676,9.25E-05
793,Dinosaur NM - Dinosaur Quarry, ,Dinosaur NM - Dinosaur Quary,NC,1279,0,UTAH24030,https://waterlink.utah.gov/deqWater/reports.html?systemId=551, , ,Utah,Uintah,Uintah,7/1/2007,Vermillion/Yampa Creek,07-01-07a,Vermillion/Yampa Creek,0,DWRe,5/4/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.010445679,4.30E-06
794,Red Fleet State Park, ,Red Fleet Campground,NC,1287,0,UTAH24040,https://waterlink.utah.gov/deqWater/reports.html?systemId=1231, , ,Utah,Uintah,Uintah,7/2/2002,Big Brush Creek,07-02-02a,Big Brush Creek,0,DWRe,5/4/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.011890173,5.53E-06
795,Steinaker Lake State Park, ,Steinaker Lake State Park,NC,1272,0,UTAH24022,https://waterlink.utah.gov/deqWater/reports.html?systemId=1434, , ,Utah,Uintah,Uintah,7/2/2003,Vernal,07-02-03a,Vernal,0,DWRe,5/4/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.018197635,1.67E-05
798,Bacon Memorial Park, ,Bacon Memorial Park,NC,1268,0,UTAH24018,https://waterlink.utah.gov/deqWater/reports.html?systemId=80, , ,Utah,Uintah,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.013025583,9.80E-06
799,Ross Springs Water System, ,Ross Springs Water System,NC,235,0,UTAH05010,https://waterlink.utah.gov/deqWater/reports.html?systemId=1274, , ,Utah,Daggett,Uintah,7/1/2005,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.012543059,6.69E-06
800,Hideout Canyon Campground, ,Hideout Canyon Campground,NC,241,0,UTAH05019,https://waterlink.utah.gov/deqWater/reports.html?systemId=785, , ,Utah,Daggett,Uintah,7/1/2005,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.008923713,2.96E-06
801,Antelope Flat Campground, ,Antelope Flat Campground,NC,233,0,UTAH05007,https://waterlink.utah.gov/deqWater/reports.html?systemId=35, , ,Utah,Daggett,Uintah,7/1/2005,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.030324126,3.08E-05
802,Lucerne Valley Campground & Marina, ,Lucerne Valley Campground,NC,243,0,UTAH05022,https://waterlink.utah.gov/deqWater/reports.html?systemId=449, , ,Utah,Daggett,Uintah,7/1/2005,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.034826614,5.08E-05
803,Greendale & Bootleg Campground, ,Greendale and Bootleg Campgrounds,NC,240,0,UTAH05017,https://waterlink.utah.gov/deqWater/reports.html?systemId=739, , ,Utah,Daggett,Uintah,7/1/2005,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.021754824,1.81E-05
804,Hoop Lake Campground, ,Hoop Lake Campground,NC,1107,0,UTAH22042,https://waterlink.utah.gov/deqWater/reports.html?systemId=814, , ,Utah,Summit,Uintah,7/1/2003,Henry's Fork,07-01-03a,Henry's Fork,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.010245267,5.91E-06
805,Spirit Lake Lodge, ,Spirit Lake Lodge,NC,1139,0,UTAH22083,https://waterlink.utah.gov/deqWater/reports.html?systemId=1402, , ,Utah,Summit,Uintah,7/1/2004,Sheep Creek Lake,07-01-04a,Sheep Creek Lake,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.004496569,1.22E-06
806,Bridger Lake Campground, ,Bridger Lake Campground,NC,1103,0,UTAH22036,https://waterlink.utah.gov/deqWater/reports.html?systemId=176, , ,Utah,Summit,Uintah,7/1/2002,Smith Fork,07-01-02a,Smith Fork,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.01226951,6.23E-06
807,Little Lyman Lake Campground, ,Little Lyman Lake Campground,NC,1109,0,UTAH22045,https://waterlink.utah.gov/deqWater/reports.html?systemId=425, , ,Utah,Summit,Uintah,7/1/2001,Blacks Fork,07-01-01a,Blacks Fork,0,DWRe,5/17/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.005611446,1.53E-06
808,Yellowstone Campground, ,Yellowstone Campground,NC,2400,0,UTAH07023,https://waterlink.utah.gov/deqWater/reports.html?systemId=1710, , ,Utah,Duchesne,Uintah,7/3/2010,Yellowstone River,07-03-10a,Yellowstone River,0,DWRe,5/22/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.008872157,5.62E-06
809,Grants Springs Water System, ,Grants Springs,NP,331,0,UTAH07046,https://waterlink.utah.gov/deqWater/reports.html?systemId=730, , , ,Duchesne,Uintah,7/3/2010,Yellowstone River,07-03-10a,Yellowstone River,0,DWRe,5/22/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.006393483,2.62E-06
811,Jarvie Historical Site, ,Jarvie Historical Site,NC,250,0,UTAH05032,https://waterlink.utah.gov/deqWater/reports.html?systemId=860, , ,Utah,Daggett,Uintah,7/1/2006,Crouse Creek,07-01-06a,Crouse Creek,0,DWRe,6/28/2017 0:00,ADAMCLARK,6/28/2017 0:00,,0.006696877,1.79E-06
812,Cedar Ridge Academy, ,Cedar Ridge Academy,NTNC,2401,0,UTAH07066,https://waterlink.utah.gov/deqWater/reports.html?systemId=290, , ,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,0,DWRe,6/28/2017 0:00,ADAMCLARK,6/28/2017 0:00,,0.016155115,1.07E-05
813,Granita Park Water System, ,Granita Park Water System,NP,342,0,UTAH07060,https://waterlink.utah.gov/deqWater/reports.html?systemId=726, , ,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,0,DWRe,6/28/2017 0:00,ADAMCLARK,6/28/2017 0:00,,0.071925686,0.000266541
814,Camperworld - Lakeside Park, ,Camperworld - Lakeside Park,NC,2399,0,UTAH07039,https://waterlink.utah.gov/deqWater/reports.html?systemId=249, , ,Utah,Duchesne,Uintah,7/3/2004,Starvation Reservoir,07-03-04a,Starvation Reservoir,0,DWRe,6/28/2017 0:00,ADAMCLARK,6/28/2017 0:00,,0.007110469,3.24E-06
816,Camelot Resort, , ,NC,2297,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Duchesne,Uintah,7/3/2002,Strawberry River,07-03-02a,Strawberry River,0,DWRe,6/28/2017 0:00,ADAMCLARK,6/30/2017 0:00,,0.029377176,1.95E-05
817,Pinnacle Homeowners Association, ,Pinnacle Homeowners Association,NC,335,0,UTAH07053,https://waterlink.utah.gov/deqWater/reports.html?systemId=1181, , ,Utah,Duchesne,Uintah,7/3/2003,Fruitland,07-03-03a,Fruitland,0,DWRe,6/30/2017 0:00,ADAMCLARK,6/30/2017 0:00,,0.009994939,5.34E-06
818,Pinion Highway Rest Stop, ,Pinion Highway Rest Stop,NC,304,0,UTAH07011,https://waterlink.utah.gov/deqWater/reports.html?systemId=1180, , ,Utah,Duchesne,Uintah,7/3/2003,Fruitland,07-03-03a,Fruitland,0,DWRe,6/30/2017 0:00,ADAMCLARK,6/30/2017 0:00,,0.006087563,2.21E-06
819,Red Creek Ranches, ,Red Creek Ranches,NP,2472,0,UTAH07063,https://waterlink.utah.gov/deqWater/reports.html?systemId=1230, , ,Utah,Duchesne,Uintah,7/3/2003,Fruitland,07-03-03a,Fruitland,0,DWRe,6/30/2017 0:00,ADAMCLARK,6/30/2017 0:00,,0.044900255,0.000104234
820,Valle Del Padres Subdivision, ,Valle Del Padres Subdiv,NC,343,0,UTAH07061,https://waterlink.utah.gov/deqWater/reports.html?systemId=1596, , ,Utah,Duchesne,Uintah,7/3/2003,Fruitland,07-03-03a,Fruitland,2016,DWRe,6/30/2017 0:00,ADAMCLARK,11/9/2017 0:00,,0.054370771,0.000152102
821,Mount Tabby Springs Subdivision, ,Mt Tabby Springs Subdivision,NC,303,0,UTAH07009,https://waterlink.utah.gov/deqWater/reports.html?systemId=1012, , ,Utah,Duchesne,Uintah,7/3/2007,Tabiona,07-03-07a,Tabiona,0,DWRe,6/30/2017 0:00,ADAMCLARK,6/30/2017 0:00,,0.059195096,8.74E-05
822,Tabby Mountain Estates, ,Tabby Mountain Estates,NC,334,0,UTAH07052,https://waterlink.utah.gov/deqWater/reports.html?systemId=1487, , ,Utah,Duchesne,Uintah,7/3/2007,Tabiona,07-03-07a,Tabiona,0,DWRe,6/30/2017 0:00,ADAMCLARK,6/30/2017 0:00,,0.043130898,0.000100409
823,Moon Lake Campground, ,Moon Lake Campground,NC,312,0,UTAH07019,https://waterlink.utah.gov/deqWater/reports.html?systemId=994, , ,Utah,Duchesne,Uintah,7/3/2009,Moon Lake,07-03-09a,Moon Lake,0,DWRe,6/30/2017 0:00,ADAMCLARK,6/30/2017 0:00,,0.01256278,9.16E-06
824,Yellowpine Campground, ,Yellowpine Campground,NC,336,0,UTAH07054,https://waterlink.utah.gov/deqWater/reports.html?systemId=1709, , ,Utah,Duchesne,Uintah,7/3/2008,Rock Creek,07-03-08a,Rock Creek,0,DWRe,7/3/2017 0:00,ADAMCLARK,7/3/2017 0:00,,0.018913907,1.97E-05
825,Upper Stillwater Campground, ,Upper Stillwater Campground,NC,337,0,UTAH07055,https://waterlink.utah.gov/deqWater/reports.html?systemId=1584, , ,Utah,Duchesne,Uintah,7/3/2008,Rock Creek,07-03-08a,Rock Creek,0,DWRe,7/3/2017 0:00,ADAMCLARK,7/3/2017 0:00,,0.009797681,6.27E-06
826,Hades Campground, ,Hades Campground,NP,309,0,UTAH07016,https://waterlink.utah.gov/deqWater/reports.html?systemId=746, , ,Utah,Duchesne,Uintah,7/3/2005,Upper Duchesne River,07-03-05a,Upper Duchesne River,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.007558709,3.94E-06
827,Defa's Dude Ranch, ,Defa's Dude Ranch,NC,320,0,UTAH07029,https://waterlink.utah.gov/deqWater/reports.html?systemId=531, , ,Utah,Duchesne,Uintah,7/3/2005,Upper Duchesne River,07-03-05a,Upper Duchesne River,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.009597658,6.01E-06
828,Iron Mine Campground, ,Iron Mine Campground,NC,310,0,UTAH07017,https://waterlink.utah.gov/deqWater/reports.html?systemId=848, , ,Utah,Duchesne,Uintah,7/3/2005,Upper Duchesne River,07-03-05a,Upper Duchesne River,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.00842669,4.48E-06
829,Moosehorn Campground, ,Moosehorn Campground,NP,313,0,UTAH07020,https://waterlink.utah.gov/deqWater/reports.html?systemId=996, , ,Utah,Duchesne,Uintah,7/3/2005,Upper Duchesne River,07-03-05a,Upper Duchesne River,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.008981791,4.11E-06
830,Mirror Lake Campground, ,Mirror Lake Campground,NC,311,0,UTAH07018,https://waterlink.utah.gov/deqWater/reports.html?systemId=977, , ,Utah,Duchesne,Uintah,7/3/2005,Upper Duchesne River,07-03-05a,Upper Duchesne River,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.01983637,1.81E-05
831,Butterfly Campground, ,Butterfly Campground,NC,308,0,UTAH07015,https://waterlink.utah.gov/deqWater/reports.html?systemId=209, , ,Utah,Duchesne,Uintah,7/3/2005,Upper Duchesne River,07-03-05a,Upper Duchesne River,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.005064207,1.73E-06
832,Camp Steiner, ,Camp Steiner,NC,1094,0,UTAH22025,https://waterlink.utah.gov/deqWater/reports.html?systemId=237, , ,Utah,Duchesne,Uintah,7/3/2005,Upper Duchesne River,07-03-05a,Upper Duchesne River,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.015432722,1.49E-05
833,Sulphur Campground, ,Sulphur Campground,NC,1114,0,UTAH22053,https://waterlink.utah.gov/deqWater/reports.html?systemId=1451, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.00462553,1.39E-06
834,Beaver View Campground, ,Beaver View Campground,NC,1102,0,UTAH22035,https://waterlink.utah.gov/deqWater/reports.html?systemId=124, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.009428273,5.98E-06
835,Hayden Fork Campground, ,Hayden Fork Campground,NC,1106,0,UTAH22041,https://waterlink.utah.gov/deqWater/reports.html?systemId=763, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.008492217,3.24E-06
836,Christmas Meadows Campground, ,Christmas Meadows Campground,NC,1104,0,UTAH22038,https://waterlink.utah.gov/deqWater/reports.html?systemId=323, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.009339765,3.83E-06
837,Christmas Meadows Cabins, ,Christmas Meadows Cabins,NC,1162,0,UTAH22112,https://waterlink.utah.gov/deqWater/reports.html?systemId=324, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.019679225,9.07E-06
838,Camp Tomahawk, ,Camp Tomahawk,NP,1151,0,UTAH22099,https://waterlink.utah.gov/deqWater/reports.html?systemId=239, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.016190216,1.54E-05
839,Camp Evergreen, ,Camp Evergreen,NC,1089,0,UTAH22020,https://waterlink.utah.gov/deqWater/reports.html?systemId=225, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.010793669,6.33E-06
840,Bear River Admin Site, ,Bear River Admin Site,NP,1145,0,UTAH22090,https://waterlink.utah.gov/deqWater/reports.html?systemId=100, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.010740562,8.10E-06
841,Bear River Campground, ,Bear River Campground,NC,1100,0,UTAH22033,https://waterlink.utah.gov/deqWater/reports.html?systemId=101, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.00324935,5.77E-07
842,East Fork Bear River Campground, ,East Fork Bear River Campground,NC,1105,0,UTAH22040,https://waterlink.utah.gov/deqWater/reports.html?systemId=591, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.006489036,1.52E-06
843,Bear River Lodge, ,Bear River Lodge,NC,1121,0,UTAH22063,https://waterlink.utah.gov/deqWater/reports.html?systemId=102, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.006811319,2.28E-06
844,Manorland Water District No 1, ,Manorland Water District No 1,NC,1155,0,UTAH22103,https://waterlink.utah.gov/deqWater/reports.html?systemId=914, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,7/18/2017 0:00,ADAMCLARK,7/18/2017 0:00,,0.130128642,0.000832503
845,Beaver Knoll Subdivision, ,Beaver Knoll Subdivision,NP,1147,0,UTAH22093,https://waterlink.utah.gov/deqWater/reports.html?systemId=121, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,8/8/2017 0:00,ADAMCLARK,8/8/2017 0:00,,0.096027496,0.000484471
846,Carter Creek Water System, ,Carter Creek Water System,NC,1170,0,UTAH22120,https://waterlink.utah.gov/deqWater/reports.html?systemId=271, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,8/8/2017 0:00,ADAMCLARK,8/8/2017 0:00,,0.058764541,0.000232622
847,Uintalands Association, ,Uintalands Association,NC,1140,0,UTAH22084,https://waterlink.utah.gov/deqWater/reports.html?systemId=1578, , ,Utah,Summit,Bear River,1/3/2001,Evanston,01-03-01a,Summit,0,DWRe,8/8/2017 0:00,ADAMCLARK,8/8/2017 0:00,,0.047036829,0.000150176
848,Sugarhouse Rec Property, ,Sugarhouse Rec Property,NC,1419,0,UTAH25145,https://waterlink.utah.gov/deqWater/reports.html?systemId=1450, , ,Utah,Utah,Utah Lake,4/1/2003,Soldier Summit,04-01-03a,Soldier Summit,0,DWRe,8/8/2017 0:00,ADAMCLARK,8/8/2017 0:00,,0.013483679,6.23E-06
849,Bennion Creek Campground, ,Bennion Creek Campground,NC,1398,0,UTAH25122,https://waterlink.utah.gov/deqWater/reports.html?systemId=129, , ,Utah,Utah,Utah Lake,4/1/2003,Soldier Summit,04-01-03a,Soldier Summit,0,DWRe,8/8/2017 0:00,ADAMCLARK,8/8/2017 0:00,,0.015692209,8.43E-06
850,Tucker Highway Rest Stop, ,Tucker Highway Rest Stop,NP,1326,0,UTAH25037,https://waterlink.utah.gov/deqWater/reports.html?systemId=1553, , ,Utah,Utah,Utah Lake,4/1/2003,Soldier Summit,04-01-03a,Soldier Summit,0,DWRe,8/8/2017 0:00,ADAMCLARK,8/8/2017 0:00,,0.009103982,4.73E-06
851,Blackhawk Campground, ,Blackhawk Campground,NC,1331,0,UTAH25042,https://waterlink.utah.gov/deqWater/reports.html?systemId=143, , ,Utah,Utah,Utah Lake,4/1/2003,Soldier Summit,04-01-03a,Soldier Summit,0,DWRe,8/8/2017 0:00,ADAMCLARK,8/8/2017 0:00,,0.031588567,5.44E-05
852,Tinney Flat Campground, ,Tinney Flat Campground,NC,1340,0,UTAH25053,https://waterlink.utah.gov/deqWater/reports.html?systemId=1527, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/9/2017 0:00,ADAMCLARK,8/9/2017 0:00,,0.008167706,4.09E-06
853,Camp Koholowo, ,Camp Koholowo,NC,1355,0,UTAH25070,https://waterlink.utah.gov/deqWater/reports.html?systemId=880, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/9/2017 0:00,ADAMCLARK,8/9/2017 0:00,,0.012361848,9.87E-06
854,Payson Lakes Campground, ,Payson Lakes Campground,NC,1336,0,UTAH25048,https://waterlink.utah.gov/deqWater/reports.html?systemId=1142, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/9/2017 0:00,ADAMCLARK,8/9/2017 0:00,,0.01549806,1.39E-05
855,Maple Bench Campground, ,Maple Bench Campground,NP,1335,0,UTAH03040,https://waterlink.utah.gov/deqWater/reports.html?systemId=920, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/9/2017 0:00,ADAMCLARK,8/9/2017 0:00,,0.009604366,6.42E-06
856,Maple Dell Scout Camp, ,Maple Dell Scout Camp,NC,2502,0,UTAH25074,https://waterlink.utah.gov/deqWater/reports.html?systemId=921, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/9/2017 0:00,ADAMCLARK,8/9/2017 0:00,,0.022297791,3.05E-05
857,Loafer Water Users Association, ,Loafer Water Users Association,NC,1358,0,UTAH25073,https://waterlink.utah.gov/deqWater/reports.html?systemId=433, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/9/2017 0:00,ADAMCLARK,8/9/2017 0:00,,0.05416007,0.000100089
858,Christian Life Assembly, ,Christian Life Assembly,NC,1421,0,UTAH25147,https://waterlink.utah.gov/deqWater/reports.html?systemId=322, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/9/2017 0:00,ADAMCLARK,8/9/2017 0:00,,0.007053098,2.26E-06
860,Payson W Stake 12/13 Wards, , ,NC,1374,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.006028415,2.21E-06
