ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,REPORTING_UNIT_NAME,REPORTING_UNIT_TYPE,STATE,COUNTY_FIPS,HUC
TWDB,2000,48393,HARDEMAN,County,55,48393,
TWDB,2000,48397,HARDIN,County,55,48397,
TWDB,2000,48401,HARRIS,County,55,48401,
TWDB,2000,48405,HARRISON,County,55,48405,
TWDB,2000,48409,HARTLEY,County,55,48409,
TWDB,2000,48413,HASKELL,County,55,48413,
TWDB,2000,48417,HAYS,County,55,48417,
TWDB,2000,48421,HEMPHILL,County,55,48421,
TWDB,2000,48425,HENDERSON,County,55,48425,
TWDB,2000,48429,HIDALGO,County,55,48429,
TWDB,2000,48433,HILL,County,55,48433,
TWDB,2000,48437,HOCKLEY,County,55,48437,
TWDB,2000,48441,HOOD,County,55,48441,
TWDB,2000,48445,HOPKINS,County,55,48445,
TWDB,2000,48449,HOUSTON,County,55,48449,
TWDB,2000,48453,HOWARD,County,55,48453,
TWDB,2000,48457,HUDSPETH,County,55,48457,
TWDB,2000,48461,HUNT,County,55,48461,
TWDB,2000,48465,HUTCHINSON,County,55,48465,
TWDB,2000,48469,IRION,County,55,48469,
TWDB,2000,48473,JACK,County,55,48473,
TWDB,2000,48477,JACKSON,County,55,48477,
TWDB,2000,48481,JASPER,County,55,48481,
TWDB,2000,48485,JEFF DAVIS,County,55,48485,
TWDB,2000,48489,JEFFERSON,County,55,48489,
TWDB,2000,48493,JIM HOGG,County,55,48493,
TWDB,2000,48497,JIM WELLS,County,55,48497,
TWDB,2000,48501,JOHNSON,County,55,48501,
TWDB,2000,48505,JONES,County,55,48505,
TWDB,2000,48509,KARNES,County,55,48509,
TWDB,2000,48513,KAUFMAN,County,55,48513,
TWDB,2000,48517,KENDALL,County,55,48517,
TWDB,2000,48521,KENEDY,County,55,48521,
TWDB,2000,48525,KENT,County,55,48525,
TWDB,2000,48529,KERR,County,55,48529,
TWDB,2000,48533,KIMBLE,County,55,48533,
TWDB,2000,48537,KING,County,55,48537,
