MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,286.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1978,,12/31/1978,01/01/1978,Bad SiteUUID,9545.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,296.6,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1979,,12/31/1979,01/01/1979,Bad SiteUUID,9546.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,304.6,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1980,,12/31/1980,01/01/1980,Bad SiteUUID,9547.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,381.6,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1981,,12/31/1981,01/01/1981,Bad SiteUUID,9548.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,401.4,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1982,,12/31/1982,01/01/1982,Bad SiteUUID,9549.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,438.4,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1983,,12/31/1983,01/01/1983,Bad SiteUUID,9550.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,504.1,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1984,,12/31/1984,01/01/1984,Bad SiteUUID,9551.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,679.5,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1985,,12/31/1985,01/01/1985,Bad SiteUUID,9552.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,568.6,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1986,,12/31/1986,01/01/1986,Bad SiteUUID,9553.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,740.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1987,,12/31/1987,01/01/1987,Bad SiteUUID,9554.0
