SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S1416,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.649346,-106.002109,,,POD,W0102 WELL NO 10,WaDECO_S2295,,WELL,CO,
COss_S1417,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.657885,-105.997541,,,POD,W0102 WELL NO 14,WaDECO_S2296,,WELL,CO,
COss_S1418,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.650071999999994,-105.99308400000001,,,POD,W0102 WELL NO 15,WaDECO_S2297,,WELL,CO,
COss_S1419,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.650665000000004,-105.99753500000001,,,POD,W0102 WELL NO 16,WaDECO_S2298,,WELL,CO,
COss_S1420,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.650496999999994,-105.98861200000002,,,POD,W0102 WELL NO 17,WaDECO_S2299,,WELL,CO,
COss_S1421,,COss_WS11,,Unspecified,MORGAN,4326,,201759.0,,,40.320246000000004,-103.67657700000001,,,POD,CAUGHLAN PUMPING PLANT,WaDECO_S23,,OTHER,CO,
COss_S1422,,COss_WS51,,Unspecified,LARIMER,4326,,205012.0,,,40.29517,-105.54347800000001,,,POD,HUTCHINSON WELL 2-041542,WaDECO_S230,,WELL,CO,
COss_S1423,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.658072,-106.00196499999998,,,POD,W0102 WELL NO 18,WaDECO_S2300,,WELL,CO,
COss_S1424,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.644331,-105.99306399999999,,,POD,W0102 WELL NO 20,WaDECO_S2301,,WELL,CO,
COss_S1425,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.642095,-105.993113,,,POD,W0102 WELL NO 21,WaDECO_S2302,,WELL,CO,
COss_S1426,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.643106,-105.988684,,,POD,W0102 WELL NO 22,WaDECO_S2303,,WELL,CO,
