MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.51076234,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-23,2018-09-23,Bad SiteUUID,271728.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.66783036,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-24,2018-09-24,Bad SiteUUID,271729.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.78940551,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-25,2018-09-25,Bad SiteUUID,271730.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.86621677,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-26,2018-09-26,Bad SiteUUID,271731.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.13793945,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-27,2018-09-27,Bad SiteUUID,271732.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.39946106,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-28,2018-09-28,Bad SiteUUID,271733.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.5879748,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-29,2018-09-29,Bad SiteUUID,271734.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.80008358,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-30,2018-09-30,Bad SiteUUID,271735.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.98624957,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-01,2018-10-01,Bad SiteUUID,271736.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.09194899,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-02,2018-10-02,Bad SiteUUID,271737.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.29853001,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-03,2018-10-03,Bad SiteUUID,271738.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.347204799999999,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-04,2018-10-04,Bad SiteUUID,271739.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.33792456,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-05,2018-10-05,Bad SiteUUID,271740.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.29825587,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-06,2018-10-06,Bad SiteUUID,271741.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.20239614,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-07,2018-10-07,Bad SiteUUID,271742.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.18905167,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-08,2018-10-08,Bad SiteUUID,271743.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.22936046,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-09,2018-10-09,Bad SiteUUID,271744.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.16424763,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-10,2018-10-10,Bad SiteUUID,271745.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.08668812,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-11,2018-10-11,Bad SiteUUID,271746.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.12510684,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-12,2018-10-12,Bad SiteUUID,271747.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.16282277,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-13,2018-10-13,Bad SiteUUID,271748.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,7.002985099999999,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-14,2018-10-14,Bad SiteUUID,271749.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.87621305,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-15,2018-10-15,Bad SiteUUID,271750.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.68332037,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-16,2018-10-16,Bad SiteUUID,271751.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.56145326,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-17,2018-10-17,Bad SiteUUID,271752.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.42819571,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-18,2018-10-18,Bad SiteUUID,271753.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.27263885,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-19,2018-10-19,Bad SiteUUID,271754.0
