SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NEwr_S5218,,Unspecified,Fillmore,EPSG:4326,,,102702030601,,40.62038838516385,-97.55442949691476,,,POD,Unspecified,10252,,Unknown,NE,
NEwr_S5219,,Unspecified,Fillmore,EPSG:4326,,,102702030601,,40.62038838516385,-97.55442949691476,,,POD,Unspecified,10253,,Unknown,NE,
NEwr_S5220,,Unspecified,Johnson,EPSG:4326,,,102400080104,,40.50015503788081,-96.44760424196548,,,POD,Unspecified,2641,,Unknown,NE,
NEwr_S5221,,Unspecified,Nance,EPSG:4326,,,102100100606,,41.41350163291617,-98.02786566567316,,,POD,Unspecified,10829,,Unknown,NE,
NEwr_S5222,,Unspecified,Nance,EPSG:4326,,,102100100606,,41.41350163291617,-98.02786566567316,,,POD,Unspecified,16175,,Unknown,NE,
NEwr_S5223,,Unspecified,Nance,EPSG:4326,,,102100100606,,41.4135020909609,-98.02781621965765,,,POD,Unspecified,5803,,Unknown,NE,
NEwr_S5224,,Unspecified,Nance,EPSG:4326,,,102100100606,,41.4135020909609,-98.02781621965765,,,POD,Unspecified,7678,,Unknown,NE,
NEwr_S5225,,Unspecified,Valley,EPSG:4326,,,102100070605,,41.585155692186696,-98.80851714369715,,,POD,Unspecified,12013,,Unknown,NE,
NEwr_S5226,,Unspecified,Nance,EPSG:4326,,,102100100606,,41.4135020909609,-98.02781621965765,,,POD,Unspecified,7679,,Unknown,NE,
NEwr_S5227,,Unspecified,Johnson,EPSG:4326,,,102400080204,,40.272444751239796,-96.08937012663151,,,POD,Unspecified,15722,,Unknown,NE,
NEwr_S5228,,Unspecified,Scotts Bluff,EPSG:4326,,,101800090810,,41.789767011646425,-103.50045028028404,,,POD,Unspecified,10748,,Unknown,NE,
NEwr_S5229,,Unspecified,Holt,EPSG:4326,,,101500070304,,42.67918755546279,-98.70342087617796,,,POD,Unspecified,14437,,Unknown,NE,
NEwr_S5230,,Unspecified,Custer,EPSG:4326,,,102100030406,,41.626415907274534,-99.37171886872049,,,POD,Unspecified,9028,,Unknown,NE,
NEwr_S5231,,Unspecified,Custer,EPSG:4326,,,102100030406,,41.626415907274534,-99.37171886872049,,,POD,Unspecified,9029,,Unknown,NE,
NEwr_S5232,,Unspecified,Custer,EPSG:4326,,,102100030503,,41.49069991518041,-99.23957200197512,,,POD,Unspecified,12564,,Unknown,NE,
NEwr_S5233,,Unspecified,Custer,EPSG:4326,,,102100030503,,41.49069991518041,-99.23957200197512,,,POD,Unspecified,12565,,Unknown,NE,
NEwr_S5234,,Unspecified,Custer,EPSG:4326,,,102100030503,,41.49069991518041,-99.23957200197512,,,POD,Unspecified,12566,,Unknown,NE,
NEwr_S5235,,Unspecified,Custer,EPSG:4326,,,102100030406,,41.626412479988645,-99.37171107867829,,,POD,Unspecified,6143,,Unknown,NE,
NEwr_S5236,,Unspecified,Custer,EPSG:4326,,,102100030406,,41.626417101467716,-99.37171719335085,,,POD,Unspecified,6144,,Unknown,NE,
NEwr_S5237,,Unspecified,Custer,EPSG:4326,,,102100030502,,41.626417101467716,-99.37171719335085,,,POD,Unspecified,12389,,Unknown,NE,
NEwr_S5238,,Unspecified,Sherman,EPSG:4326,,,102100030508,,41.49069991518041,-99.23957200197512,,,POD,Unspecified,12471,,Unknown,NE,
NEwr_S5239,,Unspecified,Custer,EPSG:4326,,,102100030503,,41.49069991518041,-99.23957200197512,,,POD,Unspecified,12547,,Unknown,NE,
NEwr_S5240,,Unspecified,Butler,EPSG:4326,,,102002010305,,41.404462485794674,-97.0328253718642,,,POD,Unspecified,12290,,Unknown,NE,
NEwr_S5241,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.479669039942216,-98.0793010856389,,,POD,Unspecified,5944,,Unknown,NE,
NEwr_S5242,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.479669039942216,-98.0793010856389,,,POD,Unspecified,13404,,Unknown,NE,
NEwr_S5243,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.479669039942216,-98.0793010856389,,,POD,Unspecified,13405,,Unknown,NE,
NEwr_S5244,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.479669039942216,-98.0793010856389,,,POD,Unspecified,13406,,Unknown,NE,
NEwr_S5245,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.48041284317173,-98.0790815333997,,,POD,Unspecified,11406,,Unknown,NE,
NEwr_S5246,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.48041284317173,-98.0790815333997,,,POD,Unspecified,13400,,Unknown,NE,
NEwr_S5247,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.48041284317173,-98.0790815333997,,,POD,Unspecified,13401,,Unknown,NE,
NEwr_S5248,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.47965878713941,-98.07926235206726,,,POD,Unspecified,5943,,Unknown,NE,
NEwr_S5249,,Unspecified,Nance,EPSG:4326,,,102100100605,,41.47965878713941,-98.07926235206726,,,POD,Unspecified,13403,,Unknown,NE,
NEwr_S5250,,Unspecified,Knox,EPSG:4326,,,101500071004,,42.70989602837805,-98.25787245310222,,,POD,Unspecified,10532,,Unknown,NE,
NEwr_S5251,,Unspecified,Knox,EPSG:4326,,,101500071004,,42.70989602837805,-98.25787245310222,,,POD,Unspecified,10533,,Unknown,NE,
NEwr_S5252,,Unspecified,Knox,EPSG:4326,,,101500071004,,42.70989602837805,-98.25787245310222,,,POD,Unspecified,10534,,Unknown,NE,
NEwr_S5253,,Unspecified,Saline,EPSG:4326,,,102702020205,,40.487063290947134,-96.94940077066408,,,POD,Unspecified,16169,,Unknown,NE,
NEwr_S5254,,Unspecified,Johnson,EPSG:4326,,,102400080201,,40.26694859159284,-96.16676767646656,,,POD,Unspecified,16170,,Unknown,NE,
NEwr_S5255,,Unspecified,Cedar,EPSG:4326,,,101701011002,,42.70271449150285,-97.45530006211685,,,POD,Unspecified,7006,,Unknown,NE,
NEwr_S5256,,Unspecified,Cedar,EPSG:4326,,,101701011002,,42.70271449150285,-97.45530006211685,,,POD,Unspecified,7007,,Unknown,NE,
NEwr_S5257,,Unspecified,Scotts Bluff,EPSG:4326,,,101800090810,,41.81722928401464,-103.57677598314571,,,POD,Unspecified,10938,,Unknown,NE,
NEwr_S5258,,Unspecified,Fillmore,EPSG:4326,,,102702030601,,40.62038838516385,-97.55442949691476,,,POD,Unspecified,10250,,Unknown,NE,
NEwr_S5259,,Unspecified,Fillmore,EPSG:4326,,,102702030601,,40.62038838516385,-97.55442949691476,,,POD,Unspecified,10251,,Unknown,NE,
NEwr_S5260,,Unspecified,Pawnee,EPSG:4326,,,102400070102,,40.08146454802922,-96.29823650530632,,,POD,Unspecified,14192,,Unknown,NE,
NEwr_S5261,,Unspecified,Gage,EPSG:4326,,,102702020602,,40.177685161237854,-96.6262521380392,,,POD,Unspecified,14499,,Unknown,NE,
NEwr_S5262,,Unspecified,Gage,EPSG:4326,,,102702050102,,40.03464585000271,-96.51741107863529,,,POD,Unspecified,14705,,Unknown,NE,
NEwr_S5263,,Unspecified,Gage,EPSG:4326,,,102702020604,,40.09658254997196,-96.53611006486209,,,POD,Unspecified,15687,,Unknown,NE,
NEwr_S5264,,Unspecified,Richardson,EPSG:4326,,,102400080401,,40.14146415351858,-95.80457946311216,,,POD,Unspecified,15229,,Unknown,NE,
NEwr_S5265,,Unspecified,Jefferson,EPSG:4326,,,102702020501,,40.12409906020777,-97.01497970701786,,,POD,Unspecified,15688,,Unknown,NE,
NEwr_S5266,,Unspecified,Harlan,EPSG:4326,,,102500090905,,40.29257479933281,-99.52155081732496,,,POD,Unspecified,12994,,Unknown,NE,
NEwr_S5267,,Unspecified,Red Willow,EPSG:4326,,,102500140205,,40.01535585079953,-100.38066113147259,,,POD,Unspecified,16182,,Unknown,NE,
NEwr_S5268,,Unspecified,Nuckolls,EPSG:4326,,,102702060509,,40.31053306474617,-98.04469321896728,,,POD,Unspecified,15642,,Unknown,NE,
NEwr_S5269,,Unspecified,Gage,EPSG:4326,,,102702020603,,40.173968325253725,-96.598599743864,,,POD,Unspecified,11729,,Unknown,NE,
NEwr_S5270,,Unspecified,Red Willow,EPSG:4326,,,102500040803,,40.22505887667851,-100.38702826982453,,,POD,Unspecified,9263,,Unknown,NE,
NEwr_S5271,,Unspecified,Furnas,EPSG:4326,,,102500090301,,40.22505887667851,-100.38702826982453,,,POD,Unspecified,15663,,Unknown,NE,
NEwr_S5272,,Unspecified,Hitchcock,EPSG:4326,,,102500040501,,40.15459210141113,-101.06253717626976,,,POD,Unspecified,12665,,Unknown,NE,
NEwr_S5273,,Unspecified,Knox,EPSG:4326,,,101500070703,,42.55214304266473,-98.19188740156862,,,POD,Unspecified,16180,,Unknown,NE,
NEwr_S5274,,Unspecified,Knox,EPSG:4326,,,101500070703,,42.55214304266473,-98.19188740156862,,,POD,Unspecified,16181,,Unknown,NE,
NEwr_S5275,,Unspecified,Knox,EPSG:4326,,,101500070703,,42.55082568566157,-98.19965423225635,,,POD,Unspecified,12090,,Unknown,NE,
NEwr_S5276,,Unspecified,Knox,EPSG:4326,,,101500070703,,42.55082568566157,-98.19965423225635,,,POD,Unspecified,12091,,Unknown,NE,
NEwr_S5277,,Unspecified,Nance,EPSG:4326,,,102100090207,,41.26868750060059,-98.19004266699699,,,POD,Unspecified,12489,,Unknown,NE,
NEwr_S5278,,Unspecified,Cuming,EPSG:4326,,,102200030404,,41.937907160019456,-96.90639648377808,,,POD,Unspecified,16177,,Unknown,NE,
NEwr_S5279,,Unspecified,Keya Paha,EPSG:4326,,,101500061101,,42.89159480243815,-99.4757002394637,,,POD,Unspecified,11632,,Unknown,NE,
NEwr_S5280,,Unspecified,Cass,EPSG:4326,,,102400010205,,40.79676117856884,-96.08324368761015,,,POD,Unspecified,11349,,Unknown,NE,
NEwr_S5281,,Unspecified,Gage,EPSG:4326,,,102702020602,,40.18488013726717,-96.61019938917995,,,POD,Unspecified,11579,,Unknown,NE,
NEwr_S5282,,Unspecified,Harlan,EPSG:4326,,,102500110306,,40.07750163211964,-99.58406142886965,,,POD,Unspecified,13127,,Unknown,NE,
NEwr_S5283,,Unspecified,Hall,EPSG:4326,,,102001030104,,40.916730028734285,-98.61449048776475,,,POD,Unspecified,4381,,Unknown,NE,
NEwr_S5284,,Unspecified,Hall,EPSG:4326,,,102001030107,,41.00017602369899,-98.39314941527182,,,POD,Unspecified,4766,,Unknown,NE,
NEwr_S5285,,Unspecified,Hall,EPSG:4326,,,102001030107,,41.00017602369899,-98.39314941527182,,,POD,Unspecified,4768,,Unknown,NE,
NEwr_S5286,,Unspecified,Merrick,EPSG:4326,,,102001030202,,41.07911718332388,-98.22872637624587,,,POD,Unspecified,5015,,Unknown,NE,
NEwr_S5287,,Unspecified,Merrick,EPSG:4326,,,102001030202,,41.07911718332388,-98.22872637624587,,,POD,Unspecified,5025,,Unknown,NE,
NEwr_S5288,,Unspecified,Merrick,EPSG:4326,,,102001030202,,41.07911718332388,-98.22872637624587,,,POD,Unspecified,5026,,Unknown,NE,
NEwr_S5289,,Unspecified,Merrick,EPSG:4326,,,102001030202,,41.09009142641288,-98.21898849592421,,,POD,Unspecified,5043,,Unknown,NE,
NEwr_S5290,,Unspecified,Merrick,EPSG:4326,,,102001030202,,41.09009142641288,-98.21898849592421,,,POD,Unspecified,8039,,Unknown,NE,
NEwr_S5291,,Unspecified,Merrick,EPSG:4326,,,102001030202,,41.09009142641288,-98.21898849592421,,,POD,Unspecified,8040,,Unknown,NE,
NEwr_S5292,,Unspecified,Merrick,EPSG:4326,,,102001030206,,41.25450580829045,-97.96344078855431,,,POD,Unspecified,10972,,Unknown,NE,
NEwr_S5293,,Unspecified,Nance,EPSG:4326,,,102001030206,,41.31707887256306,-97.87750472933635,,,POD,Unspecified,5555,,Unknown,NE,
NEwr_S5294,,Unspecified,Nance,EPSG:4326,,,102001030206,,41.33109004916149,-97.86668818567206,,,POD,Unspecified,5572,,Unknown,NE,
NEwr_S5295,,Unspecified,Nance,EPSG:4326,,,102001030206,,41.33012133343096,-97.86879085626236,,,POD,Unspecified,5570,,Unknown,NE,
NEwr_S5296,,Unspecified,Merrick,EPSG:4326,,,102001030206,,41.25642138557277,-97.96298057874088,,,POD,Unspecified,5445,,Unknown,NE,
NEwr_S5297,,Unspecified,Loup,EPSG:4326,,,102100060806,,41.79451363966891,-99.46053922033806,,,POD,Unspecified,10787,,Unknown,NE,
NEwr_S5298,,Unspecified,Loup,EPSG:4326,,,102100060806,,41.79451363966891,-99.46053922033806,,,POD,Unspecified,10788,,Unknown,NE,
NEwr_S5299,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.49159339622899,-98.1700993987842,,,POD,Unspecified,16199,,Unknown,NE,
NEwr_S5300,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.498307405144175,-98.1685941042148,,,POD,Unspecified,16198,,Unknown,NE,
NEwr_S5301,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.4871689873386,-98.16764052294796,,,POD,Unspecified,14404,,Unknown,NE,
NEwr_S5302,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.52486668918879,-98.19785118730431,,,POD,Unspecified,14405,,Unknown,NE,
NEwr_S5303,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.53026606375443,-98.20280261194956,,,POD,Unspecified,14406,,Unknown,NE,
NEwr_S5304,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.523757702104724,-98.18504025973671,,,POD,Unspecified,16200,,Unknown,NE,
NEwr_S5305,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.533273991025375,-98.21571754046444,,,POD,Unspecified,14407,,Unknown,NE,
NEwr_S5306,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.51151055333175,-98.1738172650469,,,POD,Unspecified,14408,,Unknown,NE,
NEwr_S5307,,Unspecified,Clay,EPSG:4326,,,102702060604,,40.50531005317117,-98.170828971583,,,POD,Unspecified,16197,,Unknown,NE,
NEwr_S5308,,Unspecified,Knox,EPSG:4326,,,101500071006,,42.71901998304328,-98.06306167701624,,,POD,Unspecified,13158,,Unknown,NE,
NEwr_S5309,,Unspecified,Knox,EPSG:4326,,,101500071006,,42.71898002408553,-98.06303704171972,,,POD,Unspecified,12826,,Unknown,NE,
NEwr_S5310,,Unspecified,Lincoln,EPSG:4326,,,102001010405,,40.986747633318615,-100.33638365410671,,,POD,Unspecified,10865,,Unknown,NE,
NEwr_S5311,,Unspecified,Lincoln,EPSG:4326,,,102001010408,,40.93734432587805,-100.25073653162264,,,POD,Unspecified,12280,,Unknown,NE,
NEwr_S5312,,Unspecified,Richardson,EPSG:4326,,,102400070305,,40.039652343511854,-95.75683207897757,,,POD,Unspecified,16062,,Unknown,NE,
NEwr_S5313,,Unspecified,Richardson,EPSG:4326,,,102400070305,,40.039652343511854,-95.75683207897757,,,POD,Unspecified,16063,,Unknown,NE,
NEwr_S5314,,Unspecified,Cass,EPSG:4326,,,102400010202,,40.852889826810646,-96.1842430222924,,,POD,Unspecified,14202,,Unknown,NE,
NEwr_S5315,,Unspecified,Cass,EPSG:4326,,,102400010202,,40.85758411272195,-96.18522675516004,,,POD,Unspecified,4372,,Unknown,NE,
NEwr_S5316,,Unspecified,Cass,EPSG:4326,,,102400010204,,40.8859290333118,-96.12848305015905,,,POD,Unspecified,16210,,Unknown,NE,
NEwr_S5317,,Unspecified,Cass,EPSG:4326,,,102400010204,,40.8859290333118,-96.12848305015905,,,POD,Unspecified,16213,,Unknown,NE,
NEwr_S5318,,Unspecified,Cass,EPSG:4326,,,102400010204,,40.885931546633394,-96.12848364667215,,,POD,Unspecified,16211,,Unknown,NE,
NEwr_S5319,,Unspecified,Cass,EPSG:4326,,,102400010204,,40.885931546633394,-96.12848364667215,,,POD,Unspecified,16212,,Unknown,NE,
NEwr_S5320,,Unspecified,Cass,EPSG:4326,,,102400010202,,40.852889826810646,-96.1842430222924,,,POD,Unspecified,4355,,Unknown,NE,
NEwr_S5321,,Unspecified,Nuckolls,EPSG:4326,,,102702061001,,40.160832931034115,-97.89192005762976,,,POD,Unspecified,14793,,Unknown,NE,
NEwr_S5322,,Unspecified,Nuckolls,EPSG:4326,,,102702061001,,40.14900100518751,-97.88616029049528,,,POD,Unspecified,14794,,Unknown,NE,
NEwr_S5323,,Unspecified,Cherry,EPSG:4326,,,101500040901,,42.79576495539828,-100.62540183294088,,,POD,Unspecified,16232,,Unknown,NE,
NEwr_S5324,,Unspecified,Holt,EPSG:4326,,,101500070503,,42.77456844501239,-98.7570198201097,,,POD,Unspecified,14614,,Unknown,NE,
NEwr_S5325,,Unspecified,Holt,EPSG:4326,,,101500070103,,42.745819606364385,-99.05974736173737,,,POD,Unspecified,8644,,Unknown,NE,
NEwr_S5326,,Unspecified,Holt,EPSG:4326,,,101500070201,,42.73818985310115,-98.90217950535916,,,POD,Unspecified,7995,,Unknown,NE,
NEwr_S5327,,Unspecified,Holt,EPSG:4326,,,101500070201,,42.73818985310115,-98.90217950535916,,,POD,Unspecified,7996,,Unknown,NE,
NEwr_S5328,,Unspecified,Holt,EPSG:4326,,,101500070102,,42.68361937819413,-99.0815687750817,,,POD,Unspecified,7993,,Unknown,NE,
NEwr_S5329,,Unspecified,Holt,EPSG:4326,,,101500070102,,42.68361937819413,-99.0815687750817,,,POD,Unspecified,7994,,Unknown,NE,
NEwr_S5330,,Unspecified,Cherry,EPSG:4326,,,101500040404,,42.795216123597946,-101.1714580564067,,,POD,Unspecified,7601,,Unknown,NE,
