USE TYPE,STATE,COUNTY,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Livestock ,Colorado,green river,2776.9559,2321.7172,2230.6695,2549.3366,2367.2411,1800.0000,1700.0000,1500.0000,1700.0000,1600.0000,1830.0000,1730.0000,1710.0000,1740.0000,1650.0000,1606.6000,1600.8000,1507.6000,1517.2000,1486.6000,1454.9000,1471.4000,1521.6000,1571.7000,1621.6000,1429.1960,1482.4948,1452.2825,1422.1485,1392.0146,1556.1987,1135.3956,1293.6928,1156.2424,1232.6513,991.0494,931.2421,930.9157,886.3295,891.9306,903.1328,931.1383,1132.7779,1082.3680,1093.5702,1132.7779,1205.5922,1087.9691,0.0000,0.0000
Livestock ,Colorado,upper main stem,6467.0804,6991.4383,7282.7482,7515.7961,6234.0325,5300.0000,4900.0000,4400.0000,4800.0000,4900.0000,4060.0000,3840.0000,3800.0000,3870.0000,3670.0000,4292.8550,4030.8400,4017.2150,4047.2550,3934.1550,3915.5200,3917.8650,4102.6600,4287.4900,4472.6150,4469.8367,4670.9906,4389.1533,4107.2331,3825.3129,3381.1113,2704.2112,2605.2591,2212.6214,2410.1845,2560.6112,2387.5691,2429.6377,2292.5779,2216.3749,2324.7562,2402.2195,2594.9814,2496.1219,2518.5263,2631.9486,2768.6435,3052.7313,0.0000,0.0000
Livestock ,Colorado,san juan-colorado river,1406.5142,1486.1282,981.9062,1300.3622,1008.4442,1300.0000,1200.0000,1100.0000,1200.0000,1100.0000,2230.0000,2110.0000,2090.0000,2130.0000,2020.0000,1055.3450,977.7600,1011.1850,1046.0450,1016.0450,986.1800,971.1350,998.6400,1025.9100,1053.3850,1059.7731,1088.0348,1006.4957,924.8596,843.2236,942.3404,712.3054,691.6128,600.7481,606.6876,653.3063,730.7577,755.5365,709.0668,714.6679,721.7813,741.9453,828.5383,799.4126,811.7350,843.1012,879.3403,843.3812,0.0000,0.0000
Livestock ,New Mexico,san juan-colorado river,507.1839,525.2976,416.6153,543.4113,434.7290,500.0000,400.0000,400.0000,400.0000,400.0000,1606.4347,1624.5484,1624.5484,1624.5484,1624.5484,821.0000,828.0000,848.0000,862.0000,828.0000,842.0000,817.0000,769.0000,758.0000,770.0000,711.6221,719.0416,781.3493,805.6158,782.0795,693.7476,558.9321,452.4384,446.8605,457.5310,559.0000,600.0000,636.0000,645.0000,661.0000,673.8230,652.7336,630.0926,621.5412,625.9633,653.0000,675.0000,675.0000,0.0000,0.0000
Livestock ,Utah,green river,1654.2812,1693.6689,1417.9554,1890.6071,1772.4442,1700.0000,1500.0000,1500.0000,1400.0000,1500.0000,1550.0000,1600.0000,1590.0000,1470.0000,1350.0000,1594.5900,1545.0050,1578.5250,1720.1150,1665.0500,1668.1500,1665.3000,1728.0950,1842.5500,1860.9550,2255.3246,2095.1759,2067.6409,1965.0511,1994.2620,1883.6097,1922.5115,1673.6191,1752.2998,1781.0671,1883.7963,1925.6994,1883.8192,1888.7380,1888.7380,1857.4502,1871.9324,1884.3041,1877.1078,1832.9667,1926.7829,1891.1980,1793.2481,0.0000,0.0000
Livestock ,Utah,upper main stem,286.4385,229.1508,229.1508,286.4385,229.1508,100.0000,100.0000,100.0000,100.0000,100.0000,50.0000,50.0000,50.0000,50.0000,40.0000,156.6000,153.5750,144.5000,138.1500,121.8500,105.4000,106.2750,96.1750,108.8250,112.7750,109.3111,156.9793,148.5776,134.5749,120.5721,100.8786,94.9972,81.7226,86.7636,100.7663,88.5618,108.5805,93.6560,98.1341,98.1341,95.6136,96.7338,107.3759,108.4961,105.1355,111.8568,109.3363,135.1014,0.0000,0.0000
Livestock ,Utah,san juan-colorado river,375.8800,395.6631,316.5305,395.6631,336.3137,500.0000,500.0000,500.0000,500.0000,500.0000,1220.0000,1260.0000,1250.0000,1160.0000,1070.0000,561.3100,553.6200,544.0750,602.4350,584.3000,574.7500,584.8250,597.7300,573.5250,604.2700,804.6893,753.4983,742.2849,710.6947,683.6414,599.0129,618.4241,530.4528,552.0013,554.3381,585.9798,724.4021,694.6389,711.8183,711.8183,697.5758,698.7498,679.8181,652.9328,626.5090,661.6615,654.7475,649.5340,0.0000,0.0000
Livestock ,Wyoming,green river,2425.3397,2376.8330,2279.8194,2522.3533,2376.8330,2500.0000,2400.0000,2100.0000,2100.0000,1900.0000,2070.0000,2230.0000,2300.0000,2080.0000,1950.0000,2268.9000,2284.6000,2448.1000,2448.2000,2251.0000,2079.7000,2007.8000,2162.8000,2239.2000,2183.5000,1609.2635,1688.0945,1495.4167,1564.8703,1542.4659,2198.4993,1929.3216,1949.4856,2083.9120,2035.7425,2139.9230,2006.9932,2041.1491,2146.5051,2094.9750,2059.1280,2006.9932,2038.8561,2145.3295,2147.5700,2147.5700,2166.6137,2082.5972,0.0000,0.0000
Stockpond,Arizona,san juan-colorado river,1100.0000,1100.0000,900.0000,1164.0000,920.0000,1020.0000,1050.0000,1080.0000,930.0000,996.0000,1083.0000,1000.0000,1100.0000,900.0000,100.0000,1006.5000,836.0000,807.0000,535.0000,480.0000,510.0000,690.0000,670.0000,657.0000,633.0000,681.5228,685.7423,896.7388,865.7022,919.8598,899.6921,693.0927,733.5607,917.8699,873.4654,780.0604,866.6497,897.0000,734.8990,919.8480,898.3606,527.8181,882.0010,708.3262,851.2723,950.0940,939.2600,793.2750,0.0000,0.0000
Stockpond,Colorado,green river,3323.0441,2778.2828,2669.3305,3050.6634,2832.7589,1254.0000,1582.0000,1687.0000,1678.0000,1861.0000,1892.3700,1892.3700,1892.3700,1892.3700,1892.3700,2075.0000,2174.0000,2174.0000,2174.0000,2174.0000,2174.0000,2174.0000,2174.0000,2174.0000,1986.0000,1783.0000,1521.0000,1982.0000,2036.0000,2122.0000,2174.0000,2174.0000,2174.0000,2174.0000,2072.0000,2174.0000,1787.0000,1977.0000,1889.0000,1836.0000,1803.0000,2174.0000,1967.0000,1912.0000,1760.0000,1962.0000,1923.0000,2109.0000,0.0000,0.0000
