WaterSourceID,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV
115918,UTss_WS3,WaDEUT_WS3,Unspecified,Unspecified,Fresh,NULL
114936,CAss_WS1,WaDECA_WS1,Unspecified,Unspecified,Fresh,NULL
