WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDMetadataID
100591,100591,WAHL EPPLE DITCH,,,-104.257549,40.028846,,5107,Spotted from quarters,0.01,0.01,
100593,100593,CAROLINE EPPLE DITCH 1,,,-104.233973,40.030656,,5107,Spotted from quarters,0.01,0.01,
100594,100594,CAROLINE EPPLE DITCH 2,,,-104.238635,40.039638,,5107,Spotted from quarters,0.01,0.01,
100596,100596,CARNAHAN UNDER FLOW D PP,,,-104.523288,39.291376,,5107,Spotted from quarters,0.01,0.01,
100597,100597,AUX DITCH 2,,,-104.520098,39.261714,,5107,GPS,0.01,0.01,
100599,100599,ALEX BRAZELTON DITCH,,,-104.548616,39.202593,,5107,Spotted from quarters,0.01,0.01,
100601,100601,WIGGINS FARMS WEST PUMP STATION,,,-104.04953,40.347912,,5107,Spotted from section lines,0.01,0.01,
100602,100602,JACKPOT DITCHES,,,-103.871497,40.426764,,5107,Spotted from quarters,0.01,0.01,
100603,100603,NILE DITCH (LOWER),,,-103.994804,40.120508,,5107,Spotted from quarters,0.01,0.01,
100606,100606,BOLINGER DITCH,,,-103.709899,40.305587,,5107,Spotted from quarters,0.01,0.01,
100607,100607,HIGHLINE DITCH 3,,,-104.304103,40.245985,,5107,Spotted from quarters,0.01,0.01,
100608,100608,LOST CREEK SEEP DITCH,,,-104.278715,40.276948,,5107,Spotted from quarters,0.01,0.01,
100610,100610,KRUSE MAULDIN DITCH,,,-104.586983,39.326332,,5107,Spotted from section lines,0.01,0.01,
100612,100612,IRELAND DITCH,,,-104.596877,40.064716,,5107,Digitized,0.01,0.01,
100613,100613,IRELAND DITCH 5,,,-104.596918,40.086655,,5107,Spotted from quarters,0.01,0.01,
100616,100616,BOXELDER FLD WTR D 2,,,-104.488378,40.351824,,5107,Digitized,0.01,0.01,
100618,100618,BENTON DITCH,,,-104.347718,40.995253,,5107,GPS,0.01,0.01,
100620,100620,CONSOLIDATED LARSON D,,,-104.264878,40.942327,,5107,Digitized,0.01,0.01,
100621,100621,LARSEN SPRING 1,,,-104.525399,39.239525,,5107,Digitized,0.01,0.01,
100622,100622,LARSEN SPRING 2,,,-104.525903,39.236492,,5107,GPS,0.01,0.01,
100623,100623,LARSEN SPRING 3,,,-104.523909,39.233123,,5107,GPS,0.01,0.01,
100625,100625,WATKINS NOYES PLINE D 1,,,-104.336803,40.627412,,5107,GPS,0.01,0.01,
100626,100626,WADLIN DITCH 2,,,-104.458151,40.483957,,5107,GPS,0.01,0.01,
100627,100627,CROW CR FARM IRR SYS D,,,-104.506747,40.47949,,5107,GPS,0.01,0.01,
100636,100636,WIGGINS FARMS PUMP STATION 2,,,-104.044663,40.348086,,5107,Spotted from section lines,0.01,0.01,
100638,100638,GINGRICH DITCH,,,-104.549411,40.989775,,5107,GPS,0.01,0.01,
100639,100639,FISHER DITCH,,,-104.52259,40.986532,,5107,GPS,0.01,0.01,
100640,100640,PORTER CREEK DITCH,,,-104.405339,40.968315,,5107,Digitized,0.01,0.01,
100641,100641,GROVER DITCH,,,-104.314406,40.965189,,5107,GPS,0.01,0.01,
100642,100642,PETERS DITCH,,,-104.29161,40.865302,,5107,Digitized,0.01,0.01,
100643,100643,LITTLE CROW DITCH,,,-104.369535,40.871464,,5107,GPS,0.01,0.01,
100644,100644,MANTEY DITCH 1,,,-104.9195,40.97228,,5107,GPS,0.01,0.01,
100645,100645,MANTEY DITCH 2,,,-104.923737,40.966923,,5107,Digitized,0.01,0.01,
100646,100646,MCMURRAY DITCH,,,-104.915534,40.923065,,5107,GPS,0.01,0.01,
100649,100649,CARR RES PP,,,-104.868794,40.900281,,5107,Spotted from quarters,0.01,0.01,
100650,100650,LONE TREE POULTRY RIGHT,,,-104.861433,40.896077,,5107,GPS,0.01,0.01,
100654,100654,A J EATON DITCH 2,,,-104.69028,40.632676,,5107,Digitized,0.01,0.01,
100655,100655,A J EATON DITCH 1,,,-104.69028,40.632676,,5107,Digitized,0.01,0.01,
100656,100656,OLIVER SUPPLY DITCH,,,-104.661793,40.597009,,5107,Spotted from quarters,0.01,0.01,
100657,100657,OLIVER DITCH,,,-104.663004,40.573078,,5107,Digitized,0.01,0.01,
100659,100659,WARD DITCH,,,-104.650111,40.544211,,5107,GPS,0.01,0.01,
100662,100662,WIGGINS FARMS PUMP STATION 3,,,-104.186516,40.303504,,5107,Spotted from section lines,0.01,0.01,
100665,100665,H N BICKLING DITCH,,,-104.657849,40.494348,,5107,Spotted from quarters,0.01,0.01,
100666,100666,CALVERT'S MEADOW DIVERSION,,,-104.206414,40.13201,,5107,Digitized,0.01,0.01,
100671,100671,LONE TREE FEED OGILVY D,,,-104.587711,40.436069,,5107,Digitized,0.01,0.01,
100672,100672,OLIVER SAND CREEK DITCH,,,-104.663712,40.566475,,5107,Spotted from section lines,0.01,0.01,
100674,100674,OWL CREEK DITCH,,,-104.749324,40.865257,,5107,Spotted from section lines,0.01,0.01,
100675,100675,CENTRAL LATERAL,,,-104.655809,40.690793,,5107,Spotted from quarters,0.01,0.01,
100676,100676,HAYNES SPRING VALLEY DIVERSION,,,-104.571946,39.482763,,5107,Spotted from section lines,0.01,0.01,
100677,100677,SLAYTON SUB DR FLD WTR,,,-104.712109,40.858002,,5107,GPS,0.01,0.01,
100684,100684,WILCOX COLLECTION DITCH,,,-104.112233,40.345077,,5107,Spotted from section lines,0.01,0.01,
100685,100685,HERFORD IRR SYS RES,,,-104.367089,40.997478,,5107,GPS,0.01,0.01,
100687,100687,NORTH STERLING CANAL,,,-103.540756,40.352461,,5107,Digitized,0.01,0.01,
100688,100688,UNION DITCH,,,-103.540756,40.352461,,5107,Digitized,0.01,0.01,
100692,100692,LITCH SEEP DITCH,,,-103.738899,40.326484,,5107,Digitized,0.01,0.01,
100693,100693,MYLANDER SPRINGS DITCH,,,-104.055993,40.382075,,5107,Digitized,0.01,0.01,
