OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Mini Maud,10/1/2013
CODWR,COLORADO RIVER COMPACT,Scofield,10/1/2013
CODWR,LA PLATA RIVER COMPACT,White River,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,South GSL Desert,10/1/2013
CODWR,ANIMAS-LA PLATA PROJECT COMPACT,Salt Creek,10/1/2013
CODWR,SAN-JUAN RIVER BASIN RIP,Tule Valley,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Huntington Creek,10/1/2013
CODWR,COLORADO RIVER COMPACT,Range Creek,10/1/2013
CODWR,LA PLATA RIVER COMPACT,Fool Creek,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Joes Valley,10/1/2013
CODWR,ANIMAS-LA PLATA PROJECT COMPACT,Castle Dale,10/1/2013
CODWR,SAN-JUAN RIVER BASIN RIP,Willow Creek,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Price River,10/1/2013
CODWR,RIO GRANDE RIVER COMPACT,Sevier Lake,10/1/2013
CODWR,COSTILLA CREEK COMPACT,Gunnison,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Scipio,10/1/2013
CODWR,COLORADO RIVER COMPACT,Fillmore,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Ferron Creek,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Upper Green River,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Block Mountain,10/1/2013
CODWR,COLORADO RIVER COMPACT,Colorado River/Dead Horse,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Richfield,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado River/Castle Valley,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Cove Fort-Black Rock,10/1/2013
CODWR,COLORADO RIVER COMPACT,Ivie Creek,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Fremont River,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Otter Creek,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Marysvale,10/1/2013
CODWR,COLORADO RIVER COMPACT,Moab,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Canyonlands,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Cane Spring,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Rabbit Valley,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Torrey,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Lisbon Valley,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Milford,10/1/2013
