SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
AZ_333819112464401,333819112464401,Unspecified,,GWSI,-112.78078960595685,33.6397914856627,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333840112431701,333840112431701,Unspecified,,GWSI,-112.72261235012363,33.64526009219092,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334216113510601,334216113510601,Unspecified,,GWSI,-113.85251393207297,33.70459906904683,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334123114131001,334123114131001,Unspecified,,GWSI,-114.22013468022125,33.69018344612542,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334358112190801,334358112190801,Unspecified,,GWSI,-112.31974096698028,33.73256534547666,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334518113042501,334518113042501,Unspecified,,GWSI,-113.07333752191988,33.756176812370526,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335202112295801,335202112295801,Unspecified,,GWSI,-112.50028118219674,33.866522434700535,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334845113312801,334845113312801,Unspecified,,GWSI,-113.52442489149385,33.809314757653524,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334831113353001,334831113353001,Unspecified,,GWSI,-113.59164000954432,33.80945262525847,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334843113360101,334843113360101,Unspecified,,GWSI,-113.60034528969707,33.81127978066487,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334330113500601,334330113500601,Unspecified,,GWSI,-113.83709864833305,33.72565292856722,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334839113521301,334839113521301,Unspecified,,GWSI,-113.8716012091473,33.81048739295256,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334422113524001,334422113524001,Unspecified,,INDEX,-113.87812065810594,33.74013650102285,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335019112280301,335019112280301,Unspecified,,GWSI,-112.46771654681545,33.83925639343472,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335356112353501,335356112353501,Unspecified,,GWSI,-112.59344721530168,33.89758237846571,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334847112310201,334847112310201,Unspecified,,INDEX,-112.5172206339349,33.81209012275811,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335239112395101,335239112395101,Unspecified,,GWSI,-112.66502847703507,33.8792314697926,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335353112553801,335353112553801,Unspecified,,GWSI,-112.9278042486088,33.89851056436784,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335355112584001,335355112584001,Unspecified,,GWSI,-112.9713164339297,33.898470956303896,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335303112595001,335303112595001,Unspecified,,GWSI,-112.99964175339277,33.8848494736749,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335124113063701,335124113063701,Unspecified,,INDEX,-113.11033141585533,33.84859465879918,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335242113225901,335242113225901,Unspecified,,GWSI,-113.38351811453836,33.87841557190699,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335058113291601,335058113291601,Unspecified,,GWSI,-113.4894342441027,33.84753253167629,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335057113283301,335057113283301,Unspecified,,GWSI,-113.47636743593986,33.84933757843513,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335103113281601,335103113281601,Unspecified,,GWSI,-113.47204057356069,33.85112848120272,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334909113312101,334909113312101,Unspecified,,GWSI,-113.52441779912405,33.81476948521381,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334845113312201,334845113312201,Unspecified,,INDEX,-113.52442151180217,33.81294821022718,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335208113565401,335208113565401,Unspecified,,GWSI,-113.94982491330278,33.86878527544949,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335157113565301,335157113565301,Unspecified,,GWSI,-113.94983029819251,33.86514326659708,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334931113551901,334931113551901,Unspecified,,INDEX,-113.92357036230277,33.825149447851395,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334917113551901,334917113551901,Unspecified,,GWSI,-113.92357376413061,33.82150743556103,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335024113485701,335024113485701,Unspecified,,INDEX,-113.81727156809153,33.83960663525217,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335415112281301,335415112281301,Unspecified,,GWSI,-112.47034258254328,33.90443407238163,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
