in_SiteNativeID,geometry
POU11358,"POLYGON ((-113.449247500059 37.60356657011273, -113.4494527440127 37.60356681365026, -113.4494516094633 37.60413293255737, -113.4504449120655 37.60384880728775, -113.4510360232412 37.60356528241306, -113.4513624634234 37.60334483841179, -113.4520254229481 37.60342829086407, -113.4526979218911 37.60394688104527, -113.4533509901089 37.60474936938322, -113.4533426208258 37.60581477854438, -113.454129355813 37.60602072200938, -113.4547494740479 37.60642982006946, -113.4549297392533 37.6070066709683, -113.4461884651606 37.60698607482054, -113.4464290314923 37.60628729836826, -113.4464290041608 37.60617240371938, -113.446428996405 37.60580924487239, -113.4455792086412 37.6058077638897, -113.4446734181478 37.60574255552629, -113.4446733942356 37.60515726601525, -113.4418738746646 37.60515028593053, -113.4418728037508 37.60465350967492, -113.4418698066646 37.60325977845626, -113.4418120311751 37.59951907936098, -113.4398472097682 37.59950503856442, -113.4397873566612 37.59685160502916, -113.4397656629931 37.59588945456417, -113.4413749577488 37.59590220605936, -113.4413957336407 37.59681832662064, -113.4414145664919 37.59765419561835, -113.4436794157957 37.59767704469545, -113.4461311955294 37.59770165098514, -113.4461781173873 37.59917205925442, -113.4462034926578 37.59997084402621, -113.446224823304 37.60063922755369, -113.4489547682224 37.60065043481479, -113.4489697775302 37.60138085693045, -113.4462481874711 37.60136965735331, -113.4463173313136 37.60356294842242, -113.449247500059 37.60356657011273))"
POU11169,"POLYGON ((-113.1936737505207 37.69586315356199, -113.1936377587825 37.70160183214787, -113.1879526521648 37.70170750908628, -113.1861028908948 37.70174228457585, -113.1847461057105 37.70081328510626, -113.184673327451 37.69756961263127, -113.1870590796219 37.69757303872466, -113.1870354263048 37.69574942034817, -113.1936737505207 37.69586315356199))"
POU1195,"POLYGON ((-113.1532744659686 37.71747506966731, -113.1428600553228 37.71766490459422, -113.1427775223829 37.70889437717278, -113.1442309524792 37.7088679422924, -113.1530240506128 37.70870763158842, -113.1532744659686 37.71747506966731))"
POU11047,"POLYGON ((-113.1038595214143 37.74385472877125, -113.0972534364925 37.74397250708655, -113.097021030957 37.73573808120904, -113.1036281189068 37.73568158671268, -113.1038595214143 37.74385472877125))"
POU11047,"POLYGON ((-113.0906435359783 37.76492157275599, -113.0905452166994 37.78359743785779, -113.0771045415752 37.78383614337675, -113.0769187844428 37.77720046468496, -113.0877017181074 37.77700983343713, -113.0873633353273 37.76497884245858, -113.087800163089 37.76497110105682, -113.0877990538032 37.76497202189278, -113.0906435359783 37.76492157275599))"
POU11047,"POLYGON ((-113.0922428047937 37.77526478928493, -113.1009305816081 37.77511014692718, -113.1009528435772 37.77589647296963, -113.1019813960953 37.77593399462214, -113.1011832451225 37.77942225237551, -113.1012633872793 37.78425650666478, -113.0935962333591 37.78448316513177, -113.0937831999682 37.7911070557421, -113.0918650271487 37.79114114269175, -113.0920782020733 37.77868856595148, -113.0922428047937 37.77526478928493))"
POU0,"POLYGON ((-111.0002893259255 38.34178106893567, -111.0000146886161 38.33595907192292, -111.0060676102453 38.33550829589248, -111.0061006453338 38.3337508788435, -111.0097529138999 38.33380921260765, -111.0099929951896 38.33235819782238, -111.0188052390056 38.33176229838189, -111.0191180073857 38.33768789167475, -111.0118554539037 38.337846567208, -111.0116909285806 38.33938770072794, -111.0076264566197 38.3395097024852, -111.0074458573049 38.34143836283387, -111.0002893259255 38.34178106893567))"
POU11292,"POLYGON ((-112.2983903581405 41.67071025193611, -112.3023520511209 41.67076630022022, -112.3022946023629 41.66970413550606, -112.3054195223028 41.66966868032002, -112.3055700707637 41.67533501755696, -112.2984849288586 41.67541529419238, -112.2983903581405 41.67071025193611))"
POU1346,"POLYGON ((-110.8117536391196 39.58623541521813, -110.8119314019873 39.58595547839329, -110.8123653751579 39.58566784587924, -110.8124442482778 39.5849201066344, -110.8123890229039 39.58423972912983, -110.8130512610811 39.58263693746912, -110.8135140023321 39.58116447307337, -110.8143331278738 39.57921952777868, -110.8145848044946 39.57697182182392, -110.8149419022495 39.57491800719576, -110.8148104464077 39.57268770923945, -110.8145996023364 39.57097989054396, -110.8145659466846 39.56919125963908, -110.8149087247703 39.56769156330417, -110.8145768309959 39.56554203716374, -110.8143314620263 39.56369449845774, -110.8142410394807 39.56180665926745, -110.81420092903 39.55982428979542, -110.8151250829864 39.55899229402524, -110.8161967360861 39.55916068767978, -110.8169831088892 39.5598061780634, -110.8175781346104 39.56106858071404, -110.8175548935821 39.56283009257339, -110.817588446531 39.56468630301742, -110.8176146501115 39.56668216361371, -110.8172779509038 39.56855130696118, -110.8170773157928 39.57002870775755, -110.8178150032505 39.57064257813374, -110.8195624581999 39.57067684106925, -110.8222099834984 39.57067191110979, -110.8238141715663 39.57119245590833, -110.824261102738 39.57171123426539, -110.8239340254952 39.57213873616266, -110.8231458432633 39.57258355722037, -110.8215834800322 39.57299565027575, -110.819531237935 39.57283930356671, -110.817784550961 39.57293569301619, -110.8172871811544 39.57346202400033, -110.817192808932 39.57525946198271, -110.8172681723409 39.57759779356454, -110.8168889225895 39.5796831161037, -110.8163892012736 39.58240348279504, -110.8167411102004 39.58496300428677, -110.8168168334974 39.58672015953344, -110.8159843009382 39.58800283150693, -110.8158676682049 39.58807022502302, -110.8146175457123 39.58784567954497, -110.8117536391196 39.58623541521813))"
POU1015,"POLYGON ((-110.825766736256 39.61857222510548, -110.8257030200407 39.61842796328571, -110.8255120539753 39.61792309474123, -110.825156971012 39.61689537620897, -110.8258821459905 39.61668472106867, -110.8269834149341 39.61655571563373, -110.8286669765572 39.61651315868576, -110.829889075478 39.61699250539187, -110.8309052325534 39.61736792013776, -110.8318284156635 39.61765308751107, -110.8329572230181 39.61818632914468, -110.8347040485667 39.6189907524508, -110.8364084098529 39.62003386492972, -110.8381481216955 39.62142840660426, -110.8390483294642 39.62261452303019, -110.8391051282187 39.62274074709782, -110.8386007559755 39.62268598516086, -110.8371633454195 39.62402652646541, -110.8361206376836 39.62398451352074, -110.8351123939697 39.62365871307678, -110.8337271523459 39.62263856532945, -110.8326764160803 39.62206940246325, -110.8316033526724 39.62158579635624, -110.8305526497622 39.6210166142492, -110.8298213513078 39.62038481819822, -110.8288421722875 39.61964452788941, -110.8276269573673 39.6191922117455, -110.8263920874499 39.61868579115595, -110.825766736256 39.61857222510548))"
