MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,158.6336455,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2007,,2007-12-31,2007-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,177.99601040000005,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2008,,2008-12-31,2008-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,160.30366730000003,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2009,,2009-12-31,2009-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,182.2743594,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2010,,2010-12-31,2010-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,154.8662844,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2011,,2011-12-31,2011-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,180.6022464,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2012,,2012-12-31,2012-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,104.8729482,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2013,,2013-12-31,2013-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,104.8729482,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2014,,2014-12-31,2014-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,354.9982902,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2015,,2015-12-31,2015-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,90.18312465,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2016,,2016-12-31,2016-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,90.40653935,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2017,,2017-12-31,2017-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,91.14721433,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2018,,2018-12-31,2018-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,103.0193428,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,2019,,2019-12-31,2019-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,441.33001,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1979,,1979-12-31,1979-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,570.0,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1980,,1980-12-31,1980-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,587.3,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
