SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
WYwr_S34,Unspecified,Unspecified,,EPSG:4326,,,,,43.13732,-105.70195,,,POD,SENE 35-37-74 (UP TO 95 WELLS) - MINE UNIT 27 (I&P,WaDEWY_S34,,Well,WY,
WYwr_S35,Unspecified,Unspecified,,EPSG:4326,,,,,43.13375,-105.69693999999998,,,POD,NWSW 36-37-74 (UP TO 85 WELLS) - MINE UNIT 27 (I&P,WaDEWY_S35,,Well,WY,
WYwr_S36,Unspecified,Unspecified,,EPSG:4326,,,,,43.13022,-105.69203999999999,,,POD,SESW 36-37-74 (UP TO 20 WELLS) - MINE UNIT 27 (I&P,WaDEWY_S36,,Well,WY,
WYwr_S37,Unspecified,Unspecified,,EPSG:4326,,,,,43.13013,-105.69691,,,POD,SWSW 36-37-74 (UP TO 21 WELLS) - MINE UNIT 27 (I&P,WaDEWY_S37,,Well,WY,
WYwr_S38,Unspecified,Unspecified,,EPSG:4326,,,,,43.176460999999996,-105.816019,,,POD,HENRY RANCH FT UNION WSW #2,WaDEWY_S38,,Well,WY,
WYwr_S39,Unspecified,Unspecified,,EPSG:4326,,,,,43.185,-111.038,,,POD,PRICE SPRING CREEK #1 WELL,WaDEWY_S39,,Well,WY,
WYwr_S40,Unspecified,Unspecified,,EPSG:4326,,,,,43.2599,-105.27274,,,POD,G.E. #2,WaDEWY_S40,,Well,WY,
WYwr_S41,Unspecified,Unspecified,,EPSG:4326,,,,,43.288739,-105.656089,,,POD,HARDY RANCH WATER WELL 01,WaDEWY_S41,,Well,WY,
WYwr_S42,Unspecified,Unspecified,,EPSG:4326,,,,,43.28665,-106.19956,,,POD,57 WX3,WaDEWY_S42,,Well,WY,
WYwr_S43,Unspecified,Unspecified,,EPSG:4326,,,,,43.28309,-106.19955,,,POD,51 TP 10,WaDEWY_S43,,Well,WY,
WYwr_S44,Unspecified,Unspecified,,EPSG:4326,,,,,43.329609999999995,-106.22938,,,POD,17 WX 21,WaDEWY_S44,,Well,WY,
WYwr_S45,Unspecified,Unspecified,,EPSG:4326,,,,,43.315411,-106.184789,,,POD,W S 201,WaDEWY_S45,,Well,WY,
WYwr_S46,Unspecified,Unspecified,,EPSG:4326,,,,,43.379389,-106.29486100000001,,,POD,LACT 13,WaDEWY_S46,,Well,WY,
WYwr_S47,Unspecified,Unspecified,,EPSG:4326,,,,,43.368559999999995,-106.29401999999999,,,POD,SALT CREEK SOUTH UNIT WELL #1-MA,WaDEWY_S47,,Well,WY,
WYwr_S48,Unspecified,Unspecified,,EPSG:4326,,,,,43.3651,-106.29225,,,POD,SALT CREEK SOUTH BATTERY A,WaDEWY_S48,,Well,WY,
WYwr_S49,Unspecified,Unspecified,,EPSG:4326,,,,,43.370986,-110.741919,,,POD,TETON COUNTY WEED AND PEST WELL NO. 1,WaDEWY_S49,,Well,WY,
WYwr_S50,Unspecified,Unspecified,,EPSG:4326,,,,,43.370911,-110.74700800000001,,,POD,JACKSON SHOP NO. 2 WELL,WaDEWY_S50,,Well,WY,
WYwr_S51,Unspecified,Unspecified,,EPSG:4326,,,,,43.462892,-104.721367,,,POD,AQUA HOLIC WW #1,WaDEWY_S51,,Well,WY,
WYwr_S52,Unspecified,Unspecified,,EPSG:4326,,,,,43.470197,-105.41058100000001,,,POD,WAS-PS-1,WaDEWY_S52,,Well,WY,
WYwr_S53,Unspecified,Unspecified,,EPSG:4326,,,,,43.455064,-105.370131,,,POD,SMA-PS-1,WaDEWY_S53,,Well,WY,
WYwr_S54,Unspecified,Unspecified,,EPSG:4326,,,,,43.426769,-105.38381100000001,,,POD,J F W  CORP #1-21 WSW,WaDEWY_S54,,Well,WY,
WYwr_S55,Unspecified,Unspecified,,EPSG:4326,,,,,43.419129999999996,-106.26995,,,POD,SALT CREEK BATTERY #5,WaDEWY_S55,,Well,WY,
WYwr_S56,Unspecified,Unspecified,,EPSG:4326,,,,,43.401109999999996,-106.26507,,,POD,SALT CREEK BATTERY #10,WaDEWY_S56,,Well,WY,
WYwr_S57,Unspecified,Unspecified,,EPSG:4326,,,,,43.46942,-106.29696,,,POD,1TP-M WW NE 2,WaDEWY_S57,,Well,WY,
WYwr_S58,Unspecified,Unspecified,,EPSG:4326,,,,,43.4478,-106.2946,,,POD,SALT CREEK BATTERY #1,WaDEWY_S58,,Well,WY,
WYwr_S59,Unspecified,Unspecified,,EPSG:4326,,,,,43.4442,-106.28926100000001,,,POD,32 MAD SW 12 API 49-025-23370,WaDEWY_S59,,Well,WY,
WYwr_S60,Unspecified,Unspecified,,EPSG:4326,,,,,43.44078,-106.289099,,,POD,16 MAD NW 13 API 49-025-23369,WaDEWY_S60,,Well,WY,
WYwr_S61,Unspecified,Unspecified,,EPSG:4326,,,,,43.43437,-106.28549,,,POD,SALT CREEK      WATER - FLOOD,WaDEWY_S61,,Well,WY,
WYwr_S62,Unspecified,Unspecified,,EPSG:4326,,,,,43.434389,-106.2855,,,POD,10 MAD SW 13 API 49-025-23268,WaDEWY_S62,,Well,WY,
WYwr_S63,Unspecified,Unspecified,,EPSG:4326,,,,,43.426120000000004,-106.31385,,,POD,SALT CREEK BATTERY #4,WaDEWY_S63,,Well,WY,
WYwr_S64,Unspecified,Unspecified,,EPSG:4326,,,,,43.41551,-106.29403,,,POD,27 MAD SE 23,WaDEWY_S64,,Well,WY,
WYwr_S65,Unspecified,Unspecified,,EPSG:4326,,,,,43.408229999999996,-106.29896000000001,,,POD,SALT CREEK BATTERY #8,WaDEWY_S65,,Well,WY,
WYwr_S66,Unspecified,Unspecified,,EPSG:4326,,,,,43.40465,-106.28906,,,POD,SALT CREEK LIGHT OIL UNIT WELL#12TP SW 25,WaDEWY_S66,,Well,WY,
WYwr_S67,Unspecified,Unspecified,,EPSG:4326,,,,,43.404540000000004,-106.3039,,,POD,SALT CREEK BATTERY #20,WaDEWY_S67,,Well,WY,
WYwr_S68,Unspecified,Unspecified,,EPSG:4326,,,,,43.397290000000005,-106.30386999999999,,,POD,SALT CREEK BATTERY #15,WaDEWY_S68,,Well,WY,
WYwr_S69,Unspecified,Unspecified,,EPSG:4326,,,,,43.397290000000005,-106.30386999999999,,,POD,SALT CREEK BATTERY #11,WaDEWY_S69,,Well,WY,
