SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NEwr_S11265,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7557,,Unspecified,NE,
NEwr_S11266,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7566,,Unspecified,NE,
NEwr_S11267,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7549,,Unspecified,NE,
NEwr_S11268,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7558,,Unspecified,NE,
NEwr_S11269,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7567,,Unspecified,NE,
NEwr_S11270,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7550,,Unspecified,NE,
NEwr_S11271,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7559,,Unspecified,NE,
NEwr_S11272,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7568,,Unspecified,NE,
NEwr_S11273,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7551,,Unspecified,NE,
NEwr_S11274,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7560,,Unspecified,NE,
NEwr_S11275,NEre_RO8,NEwr_WS66,,Unspecified,Dodge,4326,,,1.022E+11,,41.40712742,-96.37595582,,,POD,Unspecified,7569,,Unspecified,NE,
NEwr_S11276,NEre_RO4,NEwr_WS132,,Unspecified,Gage,4326,,,1.02702E+11,,40.15281922,-96.64812759,,,POD,Unspecified,7454,,Unspecified,NE,
NEwr_S11277,NEre_RO4,NEwr_WS132,,Unspecified,Gage,4326,,,1.02702E+11,,40.15281922,-96.64812759,,,POD,Unspecified,7460,,Unspecified,NE,
NEwr_S11278,NEre_RO4,NEwr_WS132,,Unspecified,Gage,4326,,,1.02702E+11,,40.15281922,-96.64812759,,,POD,Unspecified,7464,,Unspecified,NE,
NEwr_S11279,NEre_RO4,NEwr_WS132,,Unspecified,Gage,4326,,,1.02702E+11,,40.15281922,-96.64812759,,,POD,Unspecified,7455,,Unspecified,NE,
NEwr_S11280,NEre_RO4,NEwr_WS132,,Unspecified,Gage,4326,,,1.02702E+11,,40.15281922,-96.64812759,,,POD,Unspecified,7458,,Unspecified,NE,
NEwr_S11281,NEre_RO4,NEwr_WS132,,Unspecified,Gage,4326,,,1.02702E+11,,40.15281922,-96.64812759,,,POD,Unspecified,7462,,Unspecified,NE,
NEwr_S11282,NEre_RO6,NEwr_WS149,,Unspecified,Boone,4326,,,1.021E+11,,41.76047876,-98.08508031,,,POD,Unspecified,6304,,Unspecified,NE,
NEwr_S11283,NEre_RO4,NEwr_WS191,,Unspecified,Gage,4326,,,1.02702E+11,,40.2837069,-96.70681181,,,POD,Unspecified,8095,,Unspecified,NE,
NEwr_S11284,NEre_RO4,NEwr_WS191,,Unspecified,Gage,4326,,,1.02702E+11,,40.2837069,-96.70681181,,,POD,Unspecified,8096,,Unspecified,NE,
