,AllocationAmount,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationLegalStatusCV,AllocationMaximum,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDOI,DataPublicationDate,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,ReasonRemoved,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,index
16,"0.29,0.45",,,,,,,,,Active,,A-13588,,1975-05-21,,09/30,04/01,,"Temporary Transfer to In-Stream Use,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2180,NE_2179",NEDNR_Allocation All,,NE_71,2155.0
17,"0.39,1.51",,,,,,,,,Active,,A-13861,,1975-11-10,,09/30,04/01,,Irrigation from Natural Stream,,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2335,NE_2334",NEDNR_Allocation All,,NE_74,2309.0
18,"0,3.0",,,,,,,,,Active,,A-14043,,1976-02-19,,09/30,04/01,,"Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.)",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2449,NE_2450,NE_2448",NEDNR_Allocation All,,NE_543,2422.0
19,"8.93,42.71",,,,,,,,,Active,,A-1429,,1892-12-26,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2587,NE_2588",NEDNR_Allocation All,,NE_70,2558.0
20,"37.76,39.24",,,,,,,,,Active,,A-1431,,1893-12-06,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2598,NE_2599",NEDNR_Allocation All,,NE_570,2568.0
21,"0.89,1.11",,,,,,,,,Active,,A-1432,,1912-02-28,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2607,NE_2608",NEDNR_Allocation All,,NE_70,2576.0
22,"1.24,11.92",,,,,,,,,Active,,A-14468,,1976-09-16,,09/30,04/01,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2677,NE_2678",NEDNR_Allocation All,,NE_459,2645.0
23,"1.81,5.68",,,,,,,,,Active,,A-1446A,,1888-10-18,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2680,NE_2681",NEDNR_Allocation All,,NE_578,2647.0
24,"34.36,11.15",,,,,,,,,Active,,A-1446B,,1888-10-18,,09/30,04/01,,"Incidental Underground Storage,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2682,NE_2683",NEDNR_Allocation All,,NE_578,2648.0
25,"0.77,0.27",,,,,,,,,Active,,A-14682,,1977-02-03,,09/30,04/01,,Irrigation from Natural Stream,,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_2801,NE_2802",NEDNR_Allocation All,,NE_9,2764.0
