SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NEwr_S10950,,NEwr_WS44,,Unspecified,Nance,4326,,,102100100605.0,,41.48896275702444,-98.08001266762705,,,POD,Unspecified,17535,,Unspecified,NE,
NEwr_S10951,,NEwr_WS44,,Unspecified,Nance,4326,,,102100100605.0,,41.48896275702444,-98.08001266762705,,,POD,Unspecified,17536,,Unspecified,NE,
NEwr_S10952,,NEwr_WS29,,Unspecified,Burt,4326,,,102200040404.0,,41.85415648818059,-96.48812329296578,,,POD,Unspecified,14930,,Unspecified,NE,
NEwr_S10953,,NEwr_WS98,,Unspecified,Clay,4326,,,102702030304.0,,40.65281780822124,-98.18202259772647,,,POD,Unspecified,3206,,Unspecified,NE,
NEwr_S10954,,NEwr_WS98,,Unspecified,Clay,4326,,,102702030304.0,,40.65281780822124,-98.18202259772647,,,POD,Unspecified,3215,,Unspecified,NE,
NEwr_S10955,,NEwr_WS98,,Unspecified,Clay,4326,,,102702030304.0,,40.65281780822124,-98.18202259772647,,,POD,Unspecified,3221,,Unspecified,NE,
NEwr_S10956,,NEwr_WS34,,Unspecified,Dodge,4326,,,102200030805.0,,41.634985115508854,-96.58625309514696,,,POD,Unspecified,13288,,Unspecified,NE,
NEwr_S10957,,NEwr_WS49,,Unspecified,Colfax,4326,,,102002010209.0,,41.52108907312629,-97.22274933537592,,,POD,Unspecified,6050,,Unspecified,NE,
NEwr_S10958,,NEwr_WS29,,Unspecified,Burt,4326,,,102200040404.0,,41.81158480568661,-96.49037926765811,,,POD,Unspecified,14931,,Unspecified,NE,
NEwr_S10959,,NEwr_WS29,,Unspecified,Burt,4326,,,102200040404.0,,41.81158480568661,-96.49037926765811,,,POD,Unspecified,14932,,Unspecified,NE,
NEwr_S10960,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100604.0,,41.54206178463489,-98.11889106371996,,,POD,Unspecified,6049,,Unspecified,NE,
NEwr_S10961,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100604.0,,41.54206178463489,-98.11889106371996,,,POD,Unspecified,6053,,Unspecified,NE,
NEwr_S10962,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100604.0,,41.54206178463489,-98.11889106371996,,,POD,Unspecified,6055,,Unspecified,NE,
NEwr_S10963,,NEwr_WS44,,Unspecified,Greeley,4326,,,102100100304.0,,41.73168583493344,-98.54002762858072,,,POD,Unspecified,11895,,Unspecified,NE,
NEwr_S10964,,NEwr_WS117,,Unspecified,Kearney,4326,,,102702060201.0,,40.352616014172575,-98.89545418310827,,,POD,Unspecified,2146,,Unspecified,NE,
NEwr_S10965,,NEwr_WS1347,,Unspecified,Kearney,4326,,,102702060201.0,,40.35297217884916,-98.8970248203021,,,POD,Unspecified,10383,,Unspecified,NE,
NEwr_S10966,,NEwr_WS117,,Unspecified,Kearney,4326,,,102702060201.0,,40.36813687637103,-98.84783393396452,,,POD,Unspecified,830,,Unspecified,NE,
NEwr_S10967,,NEwr_WS1037,,Unspecified,Kearney,4326,,,102702060201.0,,40.36779518704297,-98.84901356681743,,,POD,Unspecified,10384,,Unspecified,NE,
NEwr_S10968,,NEwr_WS1037,,Unspecified,Kearney,4326,,,102702060201.0,,40.37101533853165,-98.85061819216209,,,POD,Unspecified,13628,,Unspecified,NE,
NEwr_S10969,,NEwr_WS342,,Unspecified,Sheridan,4326,,,101402011105.0,,42.919184141087975,-102.5023394944936,,,POD,Unspecified,13889,,Unspecified,NE,
NEwr_S10970,,NEwr_WS342,,Unspecified,Sheridan,4326,,,101402011105.0,,42.919184141087975,-102.5023394944936,,,POD,Unspecified,13890,,Unspecified,NE,
NEwr_S10971,,NEwr_WS342,,Unspecified,Sheridan,4326,,,101402011105.0,,42.919184141087975,-102.5023394944936,,,POD,Unspecified,13891,,Unspecified,NE,
NEwr_S10972,,NEwr_WS342,,Unspecified,Sheridan,4326,,,101402011105.0,,42.919184141087975,-102.5023394944936,,,POD,Unspecified,13892,,Unspecified,NE,
NEwr_S10973,,NEwr_WS342,,Unspecified,Sheridan,4326,,,101402011105.0,,42.919184141087975,-102.5023394944936,,,POD,Unspecified,13893,,Unspecified,NE,
NEwr_S10974,,NEwr_WS342,,Unspecified,Sheridan,4326,,,101402011105.0,,42.919184141087975,-102.5023394944936,,,POD,Unspecified,13894,,Unspecified,NE,
NEwr_S10975,,NEwr_WS342,,Unspecified,Sheridan,4326,,,101402011105.0,,42.919184141087975,-102.5023394944936,,,POD,Unspecified,13895,,Unspecified,NE,
NEwr_S10976,,NEwr_WS899,,Unspecified,Sioux,4326,,,101800090603.0,,42.0204301482988,-103.78675550651728,,,POD,Unspecified,11045,,Unspecified,NE,
NEwr_S10977,,NEwr_WS899,,Unspecified,Sioux,4326,,,101800090603.0,,42.0204301482988,-103.78675550651728,,,POD,Unspecified,11046,,Unspecified,NE,
NEwr_S10978,,NEwr_WS899,,Unspecified,Sioux,4326,,,101800090603.0,,42.0204301482988,-103.78675550651728,,,POD,Unspecified,11047,,Unspecified,NE,
NEwr_S10979,,NEwr_WS728,,Unspecified,Keith,4326,,,101800140406.0,,41.21173204716818,-101.66870697801625,,,POD,Unspecified,16926,,Unspecified,NE,
NEwr_S10980,,NEwr_WS728,,Unspecified,Merrick,4326,,,102001011107.0,,41.21173204716818,-101.66870697801625,,,POD,Unspecified,16927,,Unspecified,NE,
NEwr_S10981,,NEwr_WS1348,,Unspecified,Keith,4326,,,101900180403.0,,41.02752231402311,-101.55554544547407,,,POD,Unspecified,4882,,Unspecified,NE,
NEwr_S10982,,NEwr_WS1349,,Unspecified,Dawes,4326,,,101500031007.0,,42.46234832295807,-102.92394413121504,,,POD,Unspecified,10619,,Unspecified,NE,
NEwr_S10983,,NEwr_WS202,,Unspecified,Kearney,4326,,,102702060102.0,,40.41052497776057,-98.87800908603458,,,POD,Unspecified,10302,,Unspecified,NE,
NEwr_S10984,,NEwr_WS1349,,Unspecified,Dawes,4326,,,101500031007.0,,42.46234832295807,-102.92394413121504,,,POD,Unspecified,10620,,Unspecified,NE,
NEwr_S10985,,NEwr_WS1350,,Unspecified,Pierce,4326,,,102200020606.0,,42.09358101723603,-97.44163367779232,,,POD,Unspecified,14933,,Unspecified,NE,
NEwr_S10986,,NEwr_WS1350,,Unspecified,Pierce,4326,,,102200020606.0,,42.09358101723603,-97.44163367779232,,,POD,Unspecified,14934,,Unspecified,NE,
NEwr_S10987,,NEwr_WS202,,Unspecified,Kearney,4326,,,102702060102.0,,40.4268946830514,-98.8624803929745,,,POD,Unspecified,2459,,Unspecified,NE,
NEwr_S10988,,NEwr_WS64,,Unspecified,Valley,4326,,,102100070303.0,,41.68399427500685,-98.9803904300812,,,POD,Unspecified,6218,,Unspecified,NE,
NEwr_S10989,,NEwr_WS202,,Unspecified,Kearney,4326,,,102702060102.0,,40.42986934564545,-98.86912163767964,,,POD,Unspecified,2482,,Unspecified,NE,
NEwr_S10990,,NEwr_WS60,,Unspecified,Kearney,4326,,,102702060103.0,,40.50799735028863,-98.7832120707946,,,POD,Unspecified,13661,,Unspecified,NE,
NEwr_S10991,,NEwr_WS64,,Unspecified,Garfield,4326,,,102100070302.0,,41.79086538614701,-99.13051076925112,,,POD,Unspecified,10889,,Unspecified,NE,
NEwr_S10992,,NEwr_WS64,,Unspecified,Valley,4326,,,102100070302.0,,41.79086538614701,-99.13051076925112,,,POD,Unspecified,11025,,Unspecified,NE,
NEwr_S10993,,NEwr_WS80,,Unspecified,Saunders,4326,,,102002031005.0,,41.058920466228265,-96.38392277741934,,,POD,Unspecified,5061,,Unspecified,NE,
NEwr_S10994,,NEwr_WS80,,Unspecified,Saunders,4326,,,102002031005.0,,41.058920466228265,-96.38392277741934,,,POD,Unspecified,5062,,Unspecified,NE,
NEwr_S10995,,NEwr_WS202,,Unspecified,Kearney,4326,,,102702060101.0,,40.493265119351115,-98.896858205934,,,POD,Unspecified,1229,,Unspecified,NE,
NEwr_S10996,,NEwr_WS202,,Unspecified,Kearney,4326,,,102702060101.0,,40.498974799263074,-98.89742536015024,,,POD,Unspecified,1249,,Unspecified,NE,
NEwr_S10997,,NEwr_WS202,,Unspecified,Kearney,4326,,,102702060101.0,,40.498974799263074,-98.89742536015024,,,POD,Unspecified,1269,,Unspecified,NE,
NEwr_S10998,,NEwr_WS190,,Unspecified,Saunders,4326,,,102002031005.0,,41.064912851751366,-96.38209126270422,,,POD,Unspecified,14935,,Unspecified,NE,
NEwr_S10999,,NEwr_WS60,,Unspecified,Kearney,4326,,,102702060103.0,,40.49919801022561,-98.75687770651736,,,POD,Unspecified,1259,,Unspecified,NE,
NEwr_S11000,,NEwr_WS44,,Unspecified,Nance,4326,,,102100100606.0,,41.375324983145426,-97.95291987500424,,,POD,Unspecified,11899,,Unspecified,NE,
NEwr_S11001,,NEwr_WS237,,Unspecified,Platte,4326,,,102002010302.0,,41.50010980014419,-97.53083103507029,,,POD,Unspecified,11901,,Unspecified,NE,
NEwr_S11002,,NEwr_WS237,,Unspecified,Platte,4326,,,102100090605.0,,41.50010980014419,-97.53083103507029,,,POD,Unspecified,12354,,Unspecified,NE,
NEwr_S11003,,NEwr_WS202,,Unspecified,Kearney,4326,,,102702060102.0,,40.401846294664715,-98.82231858800199,,,POD,Unspecified,2196,,Unspecified,NE,
NEwr_S11004,,NEwr_WS269,,Unspecified,Sheridan,4326,,,101402010701.0,,42.881200624574454,-102.7440581388445,,,POD,Unspecified,9896,,Unspecified,NE,
NEwr_S11005,,NEwr_WS202,,Unspecified,Kearney,4326,,,102702060102.0,,40.41221316955553,-98.8165847725125,,,POD,Unspecified,2367,,Unspecified,NE,
NEwr_S11006,,NEwr_WS202,,Unspecified,Adams,4326,,,102702060104.0,,40.4007100184032,-98.64201605886164,,,POD,Unspecified,2204,,Unspecified,NE,
NEwr_S11007,,NEwr_WS234,,Unspecified,Kearney,4326,,,102702060301.0,,40.60693439428601,-98.79091788437857,,,POD,Unspecified,2937,,Unspecified,NE,
NEwr_S11008,,NEwr_WS58,,Unspecified,Nance,4326,,,102100090207.0,,41.284573512563725,-98.1264424329987,,,POD,Unspecified,12355,,Unspecified,NE,
NEwr_S11009,,NEwr_WS234,,Unspecified,Kearney,4326,,,102702060301.0,,40.554294911127435,-98.74806326402599,,,POD,Unspecified,2667,,Unspecified,NE,
NEwr_S11010,,NEwr_WS155,,Unspecified,Pierce,4326,,,102200020606.0,,42.09369433658885,-97.438118775323,,,POD,Unspecified,14936,,Unspecified,NE,
NEwr_S11011,,NEwr_WS117,,Unspecified,Adams,4326,,,102702060307.0,,40.451697164060995,-98.5472446986702,,,POD,Unspecified,1053,,Unspecified,NE,
NEwr_S11012,,NEwr_WS217,,Unspecified,Adams,4326,,,102702060306.0,,40.49540830206936,-98.58758193564036,,,POD,Unspecified,1247,,Unspecified,NE,
NEwr_S11013,,NEwr_WS360,,Unspecified,Adams,4326,,,102702060306.0,,40.48087873071135,-98.57156217869594,,,POD,Unspecified,13549,,Unspecified,NE,
NEwr_S11014,,NEwr_WS166,,Unspecified,York,4326,,,102702030405.0,,40.88307353310697,-97.65048558430752,,,POD,Unspecified,4312,,Unspecified,NE,
NEwr_S11015,,NEwr_WS217,,Unspecified,Adams,4326,,,102702060306.0,,40.49013853067051,-98.4980184894522,,,POD,Unspecified,1236,,Unspecified,NE,
NEwr_S11016,,NEwr_WS217,,Unspecified,Adams,4326,,,102702060306.0,,40.45998652396801,-98.53489940225573,,,POD,Unspecified,1091,,Unspecified,NE,
NEwr_S11017,,NEwr_WS25,,Unspecified,Adams,4326,,,102702060410.0,,40.459019714928644,-98.42490177763432,,,POD,Unspecified,1095,,Unspecified,NE,
NEwr_S11018,,NEwr_WS361,,Unspecified,Adams,4326,,,102702060403.0,,40.571989753126736,-98.50253549649635,,,POD,Unspecified,2756,,Unspecified,NE,
NEwr_S11019,,NEwr_WS352,,Unspecified,Adams,4326,,,102702060403.0,,40.579278529900456,-98.53580922111381,,,POD,Unspecified,2799,,Unspecified,NE,
NEwr_S11020,,NEwr_WS403,,Unspecified,Adams,4326,,,102702060402.0,,40.58521435643075,-98.58124873130191,,,POD,Unspecified,2818,,Unspecified,NE,
NEwr_S11021,,NEwr_WS53,,Unspecified,Adams,4326,,,102702060402.0,,40.57919180127257,-98.5822660039047,,,POD,Unspecified,13622,,Unspecified,NE,
NEwr_S11022,,NEwr_WS403,,Unspecified,Adams,4326,,,102702060402.0,,40.519800012050794,-98.48304571864868,,,POD,Unspecified,2550,,Unspecified,NE,
NEwr_S11023,,NEwr_WS47,,Unspecified,Adams,4326,,,102702060409.0,,40.473804984436825,-98.34316334774175,,,POD,Unspecified,1169,,Unspecified,NE,
NEwr_S11024,,NEwr_WS27,,Unspecified,Clay,4326,,,102702060409.0,,40.426161057815364,-98.23607198683099,,,POD,Unspecified,977,,Unspecified,NE,
NEwr_S11025,,NEwr_WS27,,Unspecified,Clay,4326,,,102702060409.0,,40.426161057815364,-98.23607198683099,,,POD,Unspecified,978,,Unspecified,NE,
NEwr_S11026,,NEwr_WS27,,Unspecified,Clay,4326,,,102702060409.0,,40.426161057815364,-98.23607198683099,,,POD,Unspecified,994,,Unspecified,NE,
NEwr_S11027,,NEwr_WS27,,Unspecified,Clay,4326,,,102702060409.0,,40.426161057815364,-98.23607198683099,,,POD,Unspecified,995,,Unspecified,NE,
NEwr_S11028,,NEwr_WS27,,Unspecified,Clay,4326,,,102702060409.0,,40.426161057815364,-98.23607198683099,,,POD,Unspecified,998,,Unspecified,NE,
NEwr_S11029,,NEwr_WS27,,Unspecified,Clay,4326,,,102702060409.0,,40.426161057815364,-98.23607198683099,,,POD,Unspecified,1001,,Unspecified,NE,
NEwr_S11030,,NEwr_WS403,,Unspecified,Adams,4326,,,102702060402.0,,40.557511867365044,-98.57674974265748,,,POD,Unspecified,2702,,Unspecified,NE,
NEwr_S11031,,NEwr_WS361,,Unspecified,Adams,4326,,,102702060404.0,,40.535469216063255,-98.45437207381694,,,POD,Unspecified,2594,,Unspecified,NE,
NEwr_S11032,,NEwr_WS25,,Unspecified,Clay,4326,,,102702060504.0,,40.38658186988964,-98.20345842412264,,,POD,Unspecified,910,,Unspecified,NE,
NEwr_S11033,,NEwr_WS25,,Unspecified,Clay,4326,,,102702060504.0,,40.38658186988964,-98.20345842412264,,,POD,Unspecified,932,,Unspecified,NE,
NEwr_S11034,,NEwr_WS25,,Unspecified,Clay,4326,,,102702060504.0,,40.38658186988964,-98.20345842412264,,,POD,Unspecified,937,,Unspecified,NE,
NEwr_S11035,,NEwr_WS25,,Unspecified,Clay,4326,,,102702060504.0,,40.38626520822228,-98.20910048373254,,,POD,Unspecified,934,,Unspecified,NE,
NEwr_S11036,,NEwr_WS47,,Unspecified,Adams,4326,,,102702060409.0,,40.49614564940346,-98.30655809878942,,,POD,Unspecified,1282,,Unspecified,NE,
NEwr_S11037,,NEwr_WS47,,Unspecified,Adams,4326,,,102702060409.0,,40.49305026547313,-98.28439617973595,,,POD,Unspecified,1258,,Unspecified,NE,
NEwr_S11038,,NEwr_WS47,,Unspecified,Adams,4326,,,102702060409.0,,40.49305026547313,-98.28439617973595,,,POD,Unspecified,1260,,Unspecified,NE,
NEwr_S11039,,NEwr_WS47,,Unspecified,Adams,4326,,,102702060409.0,,40.49305026547313,-98.28439617973595,,,POD,Unspecified,1261,,Unspecified,NE,
NEwr_S11040,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100603.0,,41.63811700056613,-98.29091501113895,,,POD,Unspecified,11902,,Unspecified,NE,
NEwr_S11041,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100603.0,,41.63811700056613,-98.29091501113895,,,POD,Unspecified,11903,,Unspecified,NE,
NEwr_S11042,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100603.0,,41.63811700056613,-98.29091501113895,,,POD,Unspecified,11904,,Unspecified,NE,
NEwr_S11043,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100603.0,,41.63811700056613,-98.29091501113895,,,POD,Unspecified,11905,,Unspecified,NE,
NEwr_S11044,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100603.0,,41.63811700056613,-98.29091501113895,,,POD,Unspecified,11906,,Unspecified,NE,
NEwr_S11045,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100603.0,,41.63811700056613,-98.29091501113895,,,POD,Unspecified,11907,,Unspecified,NE,
NEwr_S11046,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100603.0,,41.63811700056613,-98.29091501113895,,,POD,Unspecified,12360,,Unspecified,NE,
NEwr_S11047,,NEwr_WS44,,Unspecified,Boone,4326,,,102100100603.0,,41.63811700056613,-98.29091501113895,,,POD,Unspecified,12361,,Unspecified,NE,
NEwr_S11048,,NEwr_WS25,,Unspecified,Adams,4326,,,102702060410.0,,40.43552382951403,-98.35572815266848,,,POD,Unspecified,1020,,Unspecified,NE,
NEwr_S11049,,NEwr_WS75,,Unspecified,Adams,4326,,,102702060405.0,,40.38627116624723,-98.44726454360027,,,POD,Unspecified,13625,,Unspecified,NE,
NEwr_S11050,,NEwr_WS25,,Unspecified,Nuckolls,4326,,,102702060504.0,,40.333030476906686,-98.07186948140443,,,POD,Unspecified,764,,Unspecified,NE,
NEwr_S11051,,NEwr_WS25,,Unspecified,Nuckolls,4326,,,102702060504.0,,40.333030476906686,-98.07186948140443,,,POD,Unspecified,771,,Unspecified,NE,
NEwr_S11052,,NEwr_WS25,,Unspecified,Nuckolls,4326,,,102702060504.0,,40.34375177461564,-98.09161439917901,,,POD,Unspecified,2154,,Unspecified,NE,
NEwr_S11053,,NEwr_WS47,,Unspecified,Adams,4326,,,102702060409.0,,40.52524095470528,-98.30083751199786,,,POD,Unspecified,13601,,Unspecified,NE,
NEwr_S11054,,NEwr_WS47,,Unspecified,Adams,4326,,,102702060409.0,,40.534572319073455,-98.30618128862378,,,POD,Unspecified,2601,,Unspecified,NE,
NEwr_S11055,,NEwr_WS378,,Unspecified,Cherry,4326,,,101500040108.0,,42.47974056291094,-101.37499456469472,,,POD,Unspecified,14362,,Unspecified,NE,
NEwr_S11056,,NEwr_WS605,,Unspecified,Sioux,4326,,,101402010104.0,,42.613331450471975,-103.56085988391428,,,POD,Unspecified,13896,,Unspecified,NE,
NEwr_S11057,,NEwr_WS25,,Unspecified,Nuckolls,4326,,,102702060509.0,,40.308328745359795,-98.03973431287064,,,POD,Unspecified,2296,,Unspecified,NE,
NEwr_S11058,,NEwr_WS218,,Unspecified,Clay,4326,,,102702060503.0,,40.38556987900393,-98.10693424089192,,,POD,Unspecified,919,,Unspecified,NE,
NEwr_S11059,,NEwr_WS218,,Unspecified,Clay,4326,,,102702060503.0,,40.38556987900393,-98.10693424089192,,,POD,Unspecified,942,,Unspecified,NE,
NEwr_S11060,,NEwr_WS218,,Unspecified,Clay,4326,,,102702060503.0,,40.3928081883321,-98.11863183009777,,,POD,Unspecified,2202,,Unspecified,NE,
NEwr_S11061,,NEwr_WS47,,Unspecified,Adams,4326,,,102702060604.0,,40.53911584678208,-98.29907134489024,,,POD,Unspecified,13623,,Unspecified,NE,
NEwr_S11062,,NEwr_WS1351,,Unspecified,Dawes,4326,,,101402010401.0,,42.91406303331628,-103.31724645992792,,,POD,Unspecified,13897,,Unspecified,NE,
