SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAss_S353,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,METTLER COUNTY WATER DISTRICT,,,,CA,,Bad Latitude,352.0
CAss_S354,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,"AERIAL ACRES WATER COMPANY, INC.",,,,CA,,Bad Latitude,353.0
CAss_S355,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,TRADEWIND WATER ASSOC.,,,,CA,,Bad Latitude,354.0
CAss_S357,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,TEJON RANCH MAIN HEADQUARTERS,,,,CA,,Bad Latitude,356.0
CAss_S358,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,TEJON RANCH GRAPEVINE WATER,,,,CA,,Bad Latitude,357.0
CAss_S359,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,LANDS OF PROMISE MWC,,,,CA,,Bad Latitude,358.0
CAss_S361,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CANYON MEADOWS MUTUAL WATER,,,,CA,,Bad Latitude,360.0
CAss_S362,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SIERRA BREEZE MUTUAL WATER COMPANY,,,,CA,,Bad Latitude,361.0
CAss_S363,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,HILLVIEW ACRES MUTUAL WATER COMPANY,,,,CA,,Bad Latitude,362.0
CAss_S364,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,FOURTH STREET WATER SYSTEM,,,,CA,,Bad Latitude,363.0
CAss_S365,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,R.S. MUTUAL WATER COMPANY,,,,CA,,Bad Latitude,364.0
CAss_S367,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,"VALLEY ESTATES POA, INC.",,,,CA,,Bad Latitude,366.0
CAss_S368,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,RIVERNOOK CAMPGROUND,,,,CA,,Bad Latitude,367.0
CAss_S374,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,STOCO MUTUAL WATER COMPANY,,,,CA,,Bad Latitude,373.0
CAss_S377,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,WEST VALLEY MUTUAL WATER COMPANY,,,,CA,,Bad Latitude,376.0
CAss_S381,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CHINA LAKE ACRES MUTUAL WATER COMPANY,,,,CA,,Bad Latitude,380.0
CAss_S383,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,VALLEY VIEW ESTATES MUTUAL WATER CO,,,,CA,,Bad Latitude,382.0
CAss_S384,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,"LUCKY 18 ON ROSAMOND, LLC",,,,CA,,Bad Latitude,383.0
CAss_S388,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,EL TEJON MIDDLE SCHOOL,,,,CA,,Bad Latitude,387.0
CAss_S390,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ROSAMOND MOBILEHOME PARK,,,,CA,,Bad Latitude,389.0
CAss_S391,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,DESERT BREEZE MOBILE HOME ESTATES,,,,CA,,Bad Latitude,390.0
CAss_S395,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,KERN CO P&R-GREENHORN MT. PARK WATER,,,,CA,,Bad Latitude,394.0
CAss_S397,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,KERN CO P&R-TEHACHAPI MT PARK WATER,,,,CA,,Bad Latitude,396.0
CAss_S400,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,USFS - FULTON WORK CENTER,,,,CA,,Bad Latitude,399.0
CAss_S408,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,USFS - SOUTH FORK RECREATION AREA,,,,CA,,Bad Latitude,407.0
CAss_S409,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,USFS - FRENCH GULCH CAMPGROUND WS,,,,CA,,Bad Latitude,408.0
CAss_S410,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,USFS - CAMP 9,,,,CA,,Bad Latitude,409.0
CAss_S412,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,WILDLAND TRAINING CENTER,,,,CA,,Bad Latitude,411.0
CAss_S414,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,TEHACHAPI CHURCH OF THE NAZARENE,,,,CA,,Bad Latitude,413.0
CAss_S415,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,KERN OIL AND REFINING CO.,,,,CA,,Bad Latitude,414.0
CAss_S417,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,PARADISE WATER SYSTEM,,,,CA,,Bad Latitude,416.0
CAss_S418,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SUPERIOR MUTUAL WATER COMPANY,,,,CA,,Bad Latitude,417.0
CAss_S420,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SOUTH KERN INDUSTRIAL CENTER,,,,CA,,Bad Latitude,419.0
CAss_S421,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,USFS - OLD ISABELLA AUXILIARY DAM WS,,,,CA,,Bad Latitude,420.0
CAss_S423,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,GOLDEN EMPIRE CONCRETE COMPANY,,,,CA,,Bad Latitude,422.0
CAss_S424,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,TEJON CASTAC WD - I5 & LAVAL RD,,,,CA,,Bad Latitude,423.0
CAss_S425,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,DIAMOND JIM S CASINO,,,,CA,,Bad Latitude,424.0
CAss_S428,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SUMMIT INDUSTRIAL PARK WATER SYSTEM,,,,CA,,Bad Latitude,427.0
CAss_S429,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SHEPHERD OF THE MOUNTAINS LUTHERAN CHURC,,,,CA,,Bad Latitude,428.0
CAss_S430,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SOLEDAD MOUNTAIN PROJECT WATER SYSTEM,,,,CA,,Bad Latitude,429.0
CAss_S431,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SOS CRANE AND TRUCKING,,,,CA,,Bad Latitude,430.0
CAss_S432,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SUNNYGEM JUICE PLANT,,,,CA,,Bad Latitude,431.0
CAss_S433,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CHINA LAKE NAVAL AIR - SOUTH RANGE,,,,CA,,Bad Latitude,432.0
CAss_S434,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,REVOL GREENS,,,,CA,,Bad Latitude,433.0
CAss_S435,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,FAMOSO NUT COMPANY,,,,CA,,Bad Latitude,434.0
CAss_S446,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,RAND COMMUNITIES WATER DISTRICT,,,,CA,,Bad Latitude,445.0
CAss_S472,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ANTELOPE VALLEY E KERN WTR AGY-ROSAMOND,,,,CA,,Bad Latitude,471.0
CAss_S478,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,PIONEER ELEMENTARY SCHOOL,,,,CA,,Bad Latitude,477.0
CAss_S486,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,JAGO BAY MUTUAL WATER COMPANY,,,,CA,,Bad Latitude,485.0
CAss_S490,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,COBB AREA CWD - BONANZA SPRINGS,,,,CA,,Bad Latitude,489.0
CAss_S493,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,COBB AREA CWD - HILL NINE AND TEN,,,,CA,,Bad Latitude,492.0
