,WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV
103,MT_104,2,Not Provided,,MULTIPLE,,,,,,,,,EPSG:4326,,,,,,
104,MT_105,1,ORR DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
105,MT_106,1,ROSS DITCH B,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
106,MT_107,1,ROSS DITCH C,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
107,MT_108,1,HICKEY DITCH B,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
108,MT_109,2,HICKEY DITCH C,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
109,MT_110,1,BURNT FORK RANCH DITCH (HEADGATE 2),,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
110,MT_111,1,SHOOK DITCH C,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
111,MT_112,1,ROSS DITCH A,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
112,MT_113,1,REPUBLICAN DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
113,MT_114,1,SMITH DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
114,MT_115,1,MAIN DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
115,MT_116,1,LEONARD DITCH,,DIVERSION DAM,,,,,,,,,EPSG:4326,,,,,,
116,MT_117,1,IDDINGS DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
117,MT_118,2,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
118,MT_119,3,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
119,MT_120,4,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
120,MT_121,5,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
121,MT_122,6,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
122,MT_123,7,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
123,MT_124,8,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
124,MT_125,9,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
125,MT_126,10,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
126,MT_127,11,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
127,MT_128,12,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
128,MT_129,13,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
129,MT_130,1,Not Provided,,PIT/DAM,,,,,,,,,EPSG:4326,,,,,,
130,MT_131,4,Not Provided,,FLOWING,,,,,,,,,EPSG:4326,,,,,,
131,MT_132,1,MCDONALD DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
132,MT_133,1,Not Provided,,DIKE,,,,,,,,,EPSG:4326,,,,,,
133,MT_134,1,ALLEN DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
134,MT_135,3,Not Provided,,DEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
