WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV
MT_1,1,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
MT_2,1,Not Provided,,PUMP,,,,,,,,,EPSG:4326,,,,,,
MT_3,1,Not Provided,,DAM,,,,,,,,,EPSG:4326,,,,,,
MT_4,1,Not Provided,,FLOWING,,,,,,,,,EPSG:4326,,,,,,
MT_5,1,Not Provided,,OTHER DIVERSION,,,,,,,,,EPSG:4326,,,,,,
MT_6,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
MT_7,1,Not Provided,,HAND PUMP,,,,,,,,,EPSG:4326,,,,,,
MT_8,1,Not Provided,,DITCH/GRAVITY FLOW,,,,,,,,,EPSG:4326,,,,,,
MT_9,2,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
MT_10,1,Not Provided,,WINDMILL,,,,,,,,,EPSG:4326,,,,,,
MT_11,1,Not Provided,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_12,1,Not Provided,,SPRING BOX,,,,,,,,,EPSG:4326,,,,,,
MT_13,2,Not Provided,,SPRING BOX,,,,,,,,,EPSG:4326,,,,,,
MT_14,3,Not Provided,,SPRING BOX,,,,,,,,,EPSG:4326,,,,,,
MT_15,1,Not Provided,,BUCKET,,,,,,,,,EPSG:4326,,,,,,
MT_16,2,Not Provided,,DEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
MT_17,3,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
MT_18,1,Not Provided,,UNDEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
MT_19,1,Not Provided,,DIVERSION DAM,,,,,,,,,EPSG:4326,,,,,,
MT_20,2,Not Provided,,PUMP,,,,,,,,,EPSG:4326,,,,,,
MT_21,3,Not Provided,,PUMP,,,,,,,,,EPSG:4326,,,,,,
MT_22,4,Not Provided,,PUMP,,,,,,,,,EPSG:4326,,,,,,
MT_23,4,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
MT_24,5,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
MT_25,2,Not Provided,,BUCKET,,,,,,,,,EPSG:4326,,,,,,
MT_26,1,RODY DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_27,1,Not Provided,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_28,1,Not Provided,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_29,1,UPPER BLOODY DICK DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_30,1,SELWAY SLOUGH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_31,2,Not Provided,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_32,1,Not Provided,,DAM/PIT,,,,,,,,,EPSG:4326,,,,,,
MT_33,1,Not Provided,,LIVESTOCK DIRECT FROM SOURCE,,,,,,,,,EPSG:4326,,,,,,
MT_34,2,Not Provided,,LIVESTOCK DIRECT FROM SOURCE,,,,,,,,,EPSG:4326,,,,,,
MT_35,3,Not Provided,,LIVESTOCK DIRECT FROM SOURCE,,,,,,,,,EPSG:4326,,,,,,
MT_36,1,Not Provided,,INSTREAM,,,,,,,,,EPSG:4326,,,,,,
MT_37,2,Not Provided,,INSTREAM,,,,,,,,,EPSG:4326,,,,,,
MT_38,3,Not Provided,,INSTREAM,,,,,,,,,EPSG:4326,,,,,,
MT_39,1,Not Provided,,GRAVITY FLOW/DIRECT,,,,,,,,,EPSG:4326,,,,,,
MT_40,1,Not Provided,,OTHER,,,,,,,,,EPSG:4326,,,,,,
MT_41,1,Not Provided,,PUMP/GRAVITY FLOW,,,,,,,,,EPSG:4326,,,,,,
MT_42,1,Not Provided,,MULTIPLE,,,,,,,,,EPSG:4326,,,,,,
MT_43,1,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_44,1,BEAR CREEK DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_45,1,Not Provided,,INFILTRATION GALLERY,,,,,,,,,EPSG:4326,,,,,,
MT_46,1,MASON DITCH,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_47,1,MALLORY DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_48,1,MCGOVERN DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_49,1,PROSPECT PIPELINE,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_50,1,SARSFIELD CABIN DIVERSION,,BUCKET,,,,,,,,,EPSG:4326,,,,,,
