SiteUUID,Longitude,Latitude
NEwr_S1,-97.5223804036093,40.0110407184454
NEwr_S10,-97.3199054706053,40.0987357449396
NEwr_S100,-98.5539833688896,42.5923903630963
NEwr_S1000,-98.0581690566029,41.7224996745611
NEwr_S10000,-96.9417304283578,40.4507917800054
NEwr_S10001,-96.9366545216921,40.4383939593896
NEwr_S10002,-101.240605622797,42.5138898545313
NEwr_S10003,-103.307932794955,42.6765078541712
NEwr_S10004,-96.9565262993369,40.4544147300462
NEwr_S10005,-96.9281811488189,40.4141676372934
NEwr_S10006,-96.919124299365,40.4068252689131
NEwr_S10007,-96.919124299365,40.4068252689131
NEwr_S10008,-96.919124299365,40.4068252689131
NEwr_S10009,-96.9041254676864,40.3991059515603
NEwr_S1001,-98.0422996793833,41.711496770601
NEwr_S10010,-96.905578472329,40.3922549080751
NEwr_S10011,-96.9006350188051,40.3914391216566
NEwr_S10012,-96.9006350188051,40.3914391216566
NEwr_S10013,-96.9006350188051,40.3914391216566
NEwr_S10014,-96.7879669503825,40.5180847253817
NEwr_S10015,-96.8110202910238,40.4974191228791
NEwr_S10016,-96.8110202910238,40.4974191228791
NEwr_S10017,-96.8378963853362,40.4723668272235
NEwr_S10018,-96.8799130350022,40.4353530463113
NEwr_S10019,-96.8799130350022,40.4353530463113
NEwr_S1002,-98.0422996793833,41.711496770601
NEwr_S10020,-96.8799130350022,40.4353530463113
NEwr_S10021,-96.8799130350022,40.4353530463113
NEwr_S10022,-96.8922752805029,40.4463825925621
NEwr_S10023,-96.8922752805029,40.4463825925621
NEwr_S10024,-96.8922752805029,40.4463825925621
NEwr_S10025,-96.8922752805029,40.4463825925621
NEwr_S10026,-98.4310171961702,41.2630154078298
NEwr_S10027,-98.4310171961702,41.2630154078298
NEwr_S10028,-98.4310171961702,41.2630154078298
NEwr_S10029,-103.57079863131,42.7608138650127
NEwr_S1003,-97.7631533156125,41.465697901595
NEwr_S10030,-102.556991221397,42.9544165067455
NEwr_S10031,-103.520886646778,42.7440296402758
NEwr_S10032,-101.262698801256,42.5154108713289
NEwr_S10033,-98.1173741812052,42.3795757640351
NEwr_S10034,-96.8914196368507,40.4034714664951
NEwr_S10035,-96.8997399468117,40.3905253188924
NEwr_S10036,-96.8948910204909,40.3859224754694
NEwr_S10037,-103.23811340823,42.719954188955
NEwr_S10038,-97.8124293630709,40.4976342764101
NEwr_S10039,-97.8124293630709,40.4976342764101
NEwr_S1004,-98.5934044377391,41.1065286579817
NEwr_S10040,-102.167746225539,42.623799570724
NEwr_S10041,-98.1836423514636,40.377424541494
NEwr_S10042,-98.1836423514636,40.377424541494
NEwr_S10043,-102.800292032223,42.6343067330513
NEwr_S10044,-102.800292032223,42.6343067330513
NEwr_S10045,-97.76110701903,40.4908048507143
NEwr_S10046,-97.76110701903,40.4908048507143
NEwr_S10047,-97.76110701903,40.4908048507143
NEwr_S10048,-100.693262057504,41.9848133727774
NEwr_S10049,-97.7247751742913,40.5081511223465
NEwr_S1005,-97.7422639806189,41.4427124076654
NEwr_S10050,-97.6593715872645,40.5144946986122
NEwr_S10051,-103.060774340932,42.8900408543907
NEwr_S10052,-103.060774340932,42.8900408543907
NEwr_S10053,-103.060774340932,42.8900408543907
NEwr_S10054,-103.415945021826,42.9181064375561
NEwr_S10055,-99.3159388486717,41.2378895538761
NEwr_S10056,-99.3159388486717,41.2378895538761
NEwr_S10057,-99.3159388486717,41.2378895538761
NEwr_S10058,-97.8533116712071,40.5544441790299
NEwr_S10059,-102.953583950782,42.8363344985013
NEwr_S1006,-97.7674181858286,41.4624216582508
NEwr_S10060,-102.953583950782,42.8363344985013
NEwr_S10061,-97.7630964192922,40.5357884200444
NEwr_S10062,-97.7630964192922,40.5357884200444
NEwr_S10063,-97.719584624859,40.5623133162006
NEwr_S10064,-97.7177379079927,40.5432071390946
NEwr_S10065,-98.6966626377744,42.722241525079
NEwr_S10066,-98.6878761903808,42.7276670009911
NEwr_S10067,-98.6878761903808,42.7276670009911
NEwr_S10068,-97.6902852397339,40.5462311586051
NEwr_S10069,-97.6902852397339,40.5462311586051
NEwr_S1007,-97.7674181858286,41.4624216582508
NEwr_S10070,-97.6713461947015,40.548340094671
NEwr_S10071,-97.6713461947015,40.548340094671
NEwr_S10072,-97.6713461947015,40.548340094671
NEwr_S10073,-97.6713461947015,40.548340094671
NEwr_S10074,-97.6713461947015,40.548340094671
NEwr_S10075,-97.6713461947015,40.548340094671
NEwr_S10076,-97.6424203178688,40.542212425268
NEwr_S10077,-97.6456649705398,40.5494091737129
NEwr_S10078,-97.6395794258237,40.547581236457
NEwr_S10079,-97.6395794258237,40.547581236457
NEwr_S1008,-97.8228618591919,41.3928268013023
NEwr_S10080,-97.6415317727729,40.5817919747038
NEwr_S10081,-97.635204870602,40.5660667763932
NEwr_S10082,-97.635204870602,40.5660667763932
NEwr_S10083,-97.635204870602,40.5660667763932
NEwr_S10084,-97.6519728469282,40.5650310098874
NEwr_S10085,-97.6519728469282,40.5650310098874
NEwr_S10086,-97.6519728469282,40.5650310098874
NEwr_S10087,-97.6215115434596,40.5557838426787
NEwr_S10088,-97.6154128958176,40.5518949535388
NEwr_S10089,-97.593484983908,40.5446657434731
NEwr_S1009,-97.8228618591919,41.3928268013023
NEwr_S10090,-97.5853140029251,40.5450054301688
NEwr_S10091,-97.5853140029251,40.5450054301688
NEwr_S10092,-97.5853140029251,40.5450054301688
NEwr_S10093,-97.5672563896092,40.5576305558214
NEwr_S10094,-97.6008383897623,40.5895631912807
NEwr_S10095,-97.6008383897623,40.5895631912807
NEwr_S10096,-97.555126448539,40.5615033182889
NEwr_S10097,-97.555126448539,40.5615033182889
NEwr_S10098,-97.5366542866267,40.5581943014905
NEwr_S10099,-97.5366542866267,40.5581943014905
NEwr_S101,-98.5193117392814,40.5329379792585
NEwr_S1010,-98.146303426501,41.2855709049283
NEwr_S10100,-97.5298738576581,40.5569749674405
NEwr_S10101,-97.5298738576581,40.5569749674405
NEwr_S10102,-97.5298738576581,40.5569749674405
NEwr_S10103,-97.5298738576581,40.5569749674405
NEwr_S10104,-99.4046108038806,41.6314050396037
NEwr_S10105,-99.4046108038806,41.6314050396037
NEwr_S10106,-99.4046108038806,41.6314050396037
NEwr_S10107,-103.469695922259,42.8877481984069
NEwr_S10108,-102.594179236467,42.5495205619309
NEwr_S10109,-97.1080132147814,40.7033490092873
NEwr_S1011,-98.1915396459241,41.2681950069386
NEwr_S10110,-97.1080132147814,40.7033490092873
NEwr_S10111,-103.096516536516,42.7438155452416
NEwr_S10112,-103.096516536516,42.7438155452416
NEwr_S10113,-103.096516536516,42.7438155452416
NEwr_S10114,-102.626671572566,42.5574625938947
NEwr_S10115,-102.787452913964,42.9175718899808
NEwr_S10116,-99.3341827823571,41.2433909180903
NEwr_S10117,-99.3341827823571,41.2433909180903
NEwr_S10118,-99.3341827823571,41.2433909180903
NEwr_S10119,-97.9884466710695,42.499453442802
NEwr_S1012,-98.1915396459241,41.2681950069386
NEwr_S10120,-103.252202147351,42.7771450932909
NEwr_S10121,-102.261266251725,42.8238130471308
NEwr_S10122,-98.2081559585056,42.6722808259022
NEwr_S10123,-102.955096920117,42.8578501104405
NEwr_S10124,-102.955096920117,42.8578501104405
NEwr_S10125,-102.955096920117,42.8578501104405
NEwr_S10126,-97.8827163738693,41.3798528588483
NEwr_S10127,-97.8827163738693,41.3798528588483
NEwr_S10128,-102.174524898773,41.4021014189733
NEwr_S10129,-97.6701940214939,40.4705891845098
NEwr_S1013,-98.4204409981391,41.694643581271
NEwr_S10130,-97.6701940214939,40.4705891845098
NEwr_S10131,-97.6701940214939,40.4705891845098
NEwr_S10132,-97.6701940214939,40.4705891845098
NEwr_S10133,-97.6641799681052,40.4649029311224
NEwr_S10134,-97.6641799681052,40.4649029311224
NEwr_S10135,-100.676476244067,41.1127769312005
NEwr_S10136,-100.676476244067,41.1127769312005
NEwr_S10137,-102.137426669297,40.085059103864
NEwr_S10138,-102.754203931477,42.8917235771585
NEwr_S10139,-103.218909040433,42.6999715948208
NEwr_S1014,-98.4204409981391,41.694643581271
NEwr_S10140,-96.5545492885087,41.0342624580905
NEwr_S10141,-96.5545492885087,41.0342624580905
NEwr_S10142,-96.5545492885087,41.0342624580905
NEwr_S10143,-102.24495520227,42.816956007177
NEwr_S10144,-102.294713181958,42.8260550652237
NEwr_S10145,-102.284331049091,42.8259194163326
NEwr_S10146,-102.247893237946,42.8181264509978
NEwr_S10147,-102.252918865988,42.820187515208
NEwr_S10148,-98.0667153240779,41.4304586677967
NEwr_S10149,-99.8606842207233,42.560114530659
NEwr_S1015,-98.4204409981391,41.694643581271
NEwr_S10150,-103.224975736731,42.7031866120718
NEwr_S10151,-102.98813980361,42.9317012323409
NEwr_S10152,-102.98813980361,42.9317012323409
NEwr_S10153,-102.98813980361,42.9317012323409
NEwr_S10154,-102.98813980361,42.9317012323409
NEwr_S10155,-96.7676736023103,40.9078035657614
NEwr_S10156,-96.7676736023103,40.9078035657614
NEwr_S10157,-96.7676736023103,40.9078035657614
NEwr_S10158,-97.2968600466914,40.6114197671476
NEwr_S10159,-103.248996052079,42.7726071558097
NEwr_S1016,-97.9702081490386,41.3774085207003
NEwr_S10160,-98.2766260084104,41.2798410178435
NEwr_S10161,-99.1758656209442,41.4622737374022
NEwr_S10162,-98.9076701641946,41.0202656952606
NEwr_S10163,-102.961094221188,42.8764530075483
NEwr_S10164,-102.961094221188,42.8764530075483
NEwr_S10165,-97.6575031939928,40.4636486605186
NEwr_S10166,-97.6174969938063,40.4933751075482
NEwr_S10167,-97.6235111590482,40.4858775191562
NEwr_S10168,-97.6235111590482,40.4858775191562
NEwr_S10169,-97.6235111590482,40.4858775191562
NEwr_S1017,-97.8228620600122,41.3928268069132
NEwr_S10170,-102.39185286136,42.5796988262801
NEwr_S10171,-102.39185286136,42.5796988262801
NEwr_S10172,-102.39185286136,42.5796988262801
NEwr_S10173,-97.5949396372989,40.5138548917514
NEwr_S10174,-97.5753726767655,40.5291041544142
NEwr_S10175,-97.5753726767655,40.5291041544142
NEwr_S10176,-97.4900021242248,40.5388231810821
NEwr_S10177,-97.4900021242248,40.5388231810821
NEwr_S10178,-97.4900021242248,40.5388231810821
NEwr_S10179,-97.4900021242248,40.5388231810821
NEwr_S1018,-97.8228620600122,41.3928268069132
NEwr_S10180,-97.4900021242248,40.5388231810821
NEwr_S10181,-97.4730045428974,40.527137534801
NEwr_S10182,-97.4730045428974,40.527137534801
NEwr_S10183,-97.4564709597469,40.5251013096688
NEwr_S10184,-97.4564709597469,40.5251013096688
NEwr_S10185,-97.6049642125067,40.4497290704519
NEwr_S10186,-97.6049642125067,40.4497290704519
NEwr_S10187,-97.6049642125067,40.4497290704519
NEwr_S10188,-97.5865393735445,40.4443858190443
NEwr_S10189,-97.5865393735445,40.4443858190443
NEwr_S1019,-98.1079721013446,41.811199031904
NEwr_S10190,-97.5865393735445,40.4443858190443
NEwr_S10191,-98.5618144387949,41.3100551583636
NEwr_S10192,-97.5451035968465,40.4432132501546
NEwr_S10193,-97.5451035968465,40.4432132501546
NEwr_S10194,-98.4083464877241,41.2479457424164
NEwr_S10195,-98.4083464877241,41.2479457424164
NEwr_S10196,-97.0200119038773,40.3943063201694
NEwr_S10197,-97.0200119038773,40.3943063201694
NEwr_S10198,-97.0200119038773,40.3943063201694
NEwr_S10199,-97.5955964986568,40.4766766177794
NEwr_S102,-98.5193117392814,40.5329379792585
NEwr_S1020,-98.1079721013446,41.811199031904
NEwr_S10200,-97.5955964986568,40.4766766177794
NEwr_S10201,-97.5303921394454,40.4577999953612
NEwr_S10202,-97.5303921394454,40.4577999953612
NEwr_S10203,-97.4903665572478,40.4423829758017
NEwr_S10204,-97.4903665572478,40.4423829758017
NEwr_S10205,-97.4748242235266,40.4537790588467
NEwr_S10206,-97.4748242235266,40.4537790588467
NEwr_S10207,-97.4748242235266,40.4537790588467
NEwr_S10208,-97.4472850920833,40.4739880666524
NEwr_S10209,-97.4472850920833,40.4739880666524
NEwr_S1021,-98.6010515975026,41.0737012128007
NEwr_S10210,-97.4472850920833,40.4739880666524
NEwr_S10211,-97.4468015989085,40.4780829851856
NEwr_S10212,-97.4468015989085,40.4780829851856
NEwr_S10213,-97.4468015989085,40.4780829851856
NEwr_S10214,-97.4318838737873,40.5036677283471
NEwr_S10215,-97.4318838737873,40.5036677283471
NEwr_S10216,-97.4318838737873,40.5036677283471
NEwr_S10217,-97.4318838737873,40.5036677283471
NEwr_S10218,-97.4318838737873,40.5036677283471
NEwr_S10219,-97.4318838737873,40.5036677283471
NEwr_S1022,-98.6010515975026,41.0737012128007
NEwr_S10220,-97.427353293651,40.5114940367705
NEwr_S10221,-97.4056699384373,40.5265370434701
NEwr_S10222,-97.4056699384373,40.5265370434701
NEwr_S10223,-97.399102350149,40.5369957460556
NEwr_S10224,-97.3824306726469,40.5428755202965
NEwr_S10225,-97.3341688648524,40.5838500123019
NEwr_S10226,-97.3341688648524,40.5838500123019
NEwr_S10227,-97.3327348883637,40.5950165494553
NEwr_S10228,-97.3291334888704,40.5956968040574
NEwr_S10229,-97.3268087807731,40.5983243826555
NEwr_S1023,-98.8055487689802,41.2752926431906
NEwr_S10230,-97.3192152479926,40.6096249025339
NEwr_S10231,-97.3192152479926,40.6096249025339
NEwr_S10232,-98.0600916774736,41.3044420545872
NEwr_S10233,-97.2311691398506,40.6141367649631
NEwr_S10234,-97.2093846618529,40.6189863699104
NEwr_S10235,-97.1969169310778,40.6175385490076
NEwr_S10236,-97.1923470988808,40.61660661105
NEwr_S10237,-97.1872340233417,40.6156733123708
NEwr_S10238,-97.1872340233417,40.6156733123708
NEwr_S10239,-97.1872340233417,40.6156733123708
NEwr_S1024,-98.594841512199,41.105574936845
NEwr_S10240,-97.1816216731707,40.6132465641635
NEwr_S10241,-97.1816216731707,40.6132465641635
NEwr_S10242,-97.1836677739501,40.6210131973594
NEwr_S10243,-97.1836677739501,40.6210131973594
NEwr_S10244,-97.1470483786012,40.6121327485844
NEwr_S10245,-97.1216803470852,40.6061191011392
NEwr_S10246,-97.1216803470852,40.6061191011392
NEwr_S10247,-97.1216803470852,40.6061191011392
NEwr_S10248,-97.1062364000306,40.6049877707768
NEwr_S10249,-97.0802831908837,40.5975409252572
NEwr_S1025,-98.579728759481,41.1609250328557
NEwr_S10250,-97.0685228721989,40.5823175282889
NEwr_S10251,-97.0685228721989,40.5823175282889
NEwr_S10252,-97.0621656838519,40.5671098084383
NEwr_S10253,-97.0792116844078,40.596817257929
NEwr_S10254,-97.0886738296093,40.6018558465496
NEwr_S10255,-97.0886738296093,40.6018558465496
NEwr_S10256,-97.0886738296093,40.6018558465496
NEwr_S10257,-97.0886738296093,40.6018558465496
NEwr_S10258,-97.0886738296093,40.6018558465496
NEwr_S10259,-97.0886738296093,40.6018558465496
NEwr_S1026,-98.5933154715263,41.1065446378315
NEwr_S10260,-97.0886738296093,40.6018558465496
NEwr_S10261,-97.0599374741822,40.5615471053852
NEwr_S10262,-97.056603280594,40.5571475320484
NEwr_S10263,-97.0442025275182,40.5487950723048
NEwr_S10264,-97.0442025275182,40.5487950723048
NEwr_S10265,-97.0330000220254,40.5427308364544
NEwr_S10266,-97.0330000220254,40.5427308364544
NEwr_S10267,-97.0330000220254,40.5427308364544
NEwr_S10268,-97.0322367554448,40.545701577785
NEwr_S10269,-97.0322367554448,40.545701577785
NEwr_S1027,-98.5339060504613,41.7340566614493
NEwr_S10270,-97.0317238870322,40.5822895572951
NEwr_S10271,-97.0305369258681,40.5712352511538
NEwr_S10272,-97.025202279446,40.5401898312781
NEwr_S10273,-97.025202279446,40.5401898312781
NEwr_S10274,-97.025202279446,40.5401898312781
NEwr_S10275,-97.0127859300969,40.5339249806839
NEwr_S10276,-97.0127859300969,40.5339249806839
NEwr_S10277,-97.0143996713138,40.5301784678983
NEwr_S10278,-97.0143996713138,40.5301784678983
NEwr_S10279,-101.670601115138,41.211575793348
NEwr_S1028,-98.5339060504613,41.7340566614493
NEwr_S10280,-101.670348835135,41.2110128364206
NEwr_S10281,-97.0124850987718,40.4912653258671
NEwr_S10282,-97.0124850987718,40.4912653258671
NEwr_S10283,-97.0124850987718,40.4912653258671
NEwr_S10284,-97.0124850987718,40.4912653258671
NEwr_S10285,-98.2804488021828,40.8725556113272
NEwr_S10286,-98.2804488021828,40.8725556113272
NEwr_S10287,-97.0726610081904,40.4997466049017
NEwr_S10288,-97.0191890213624,40.4860126537432
NEwr_S10289,-97.0172371043095,40.483459373142
NEwr_S1029,-98.5339060504613,41.7340566614493
NEwr_S10290,-97.0172371043095,40.483459373142
NEwr_S10291,-97.0135146496224,40.472882923727
NEwr_S10292,-97.0135146496224,40.472882923727
